col_time_id,col_date,col_annee,col_mois,col_jour,col_heure,col_trimestre,col_semaine,col_nom_jour,col_saison,col_est_weekend,col_creneau_horaire,col_polluant,col_concentration,col_unite,col_station_poll,col_condition_meteo,col_temperature_celsius,col_ressentie_celsius,col_humidite_pourcent,col_pression_hpa,col_vitesse_vent_kmh,col_visibilite_km,col_precipitations_mm,col_indice_uv,col_qualite_air_locale,col_alerte_meteo,col_nom_zone,col_type_zone,col_indice_pollution,col_niveau_bruit_db,col_biodiversite_index,col_type_horaire_pointe
TIM_00011,2024-01-01 00:00:00,2024,10,14,15,3.95,5.49,19,8.14,OUI,8.55,PM10,24.48,8.71,4.27,Brouillard,1.09,3.98,9.56,8.64,8.72,7.60,4.86,4.05,7.32,7.88,Résidentiel,Banlieue Sud,5.91,4.93,73,5.51
TIM_00012,2024-01-01 00:00:00,2024,3,26,0,7.44,8.81,6,3.52,OUI,3.05,SO2,30.73,6.12,2.13,Orage,7.92,4.04,9.26,6.17,6.48,9.58,5.16,9.61,5.66,4.13,ZAC Ouest,Résidentiel,8.69,6.99,62,1.91
TIM_00013,2024-01-01 00:00:00,2024,5,17,20,4.94,6.09,25,9.29,NON,4.97,NO2,41.67,2.88,7.71,Brouillard,5.42,4.80,4.48,6.63,4.55,1.87,9.21,1.09,7.51,8.78,Centre-Ville,Parc Central,1.96,3.63,31,7.34
TIM_00014,2024-01-01 00:00:00,2024,6,19,5,2.68,6.65,12,1.26,NON,5.17,CO2,11.35,7.21,4.62,Pluie,5.13,9.97,7.34,5.83,3.33,4.13,7.32,8.16,5.52,1.69,Banlieue Sud,ZAC Ouest,3.26,9.45,91,7.14
TIM_00015,2024-01-01 00:00:00,2024,6,15,14,3.18,3.58,22,7.23,NON,3.94,O3,9.14,9.99,3.20,Orage,5.64,2.90,8.15,8.97,4.68,6.13,4.40,9.18,1.72,6.61,Résidentiel,Zone Industrielle,3.40,2.96,75,5.80
TIM_00016,2024-01-01 00:00:00,2024,2,15,15,1.76,6.93,3,5.62,NON,1.27,NO2,32.72,8.12,7.17,Orage,4.95,7.37,7.31,4.39,1.59,9.00,8.74,2.12,4.02,3.84,Centre-Ville,Parc Central,2.53,9.08,49,6.64
TIM_00017,2024-01-01 00:00:00,2024,3,15,16,1.24,7.39,12,9.64,OUI,2.37,O3,5.63,2.54,2.45,Brouillard,3.65,5.97,2.46,1.20,8.90,2.49,4.26,9.35,6.42,4.76,Banlieue Sud,Quartier Nord,9.00,2.77,19,2.24
TIM_00018,2024-01-01 00:00:00,2024,10,4,22,4.09,8.85,7,2.52,NON,7.43,PM10,49.33,1.99,6.04,Pluie,2.09,4.84,3.21,9.78,1.57,8.18,4.74,3.11,1.02,8.44,Zone Industrielle,Parc Central,4.94,3.56,33,1.77
TIM_00019,2024-01-01 00:00:00,2024,1,25,13,8.19,3.71,24,6.73,NON,6.01,NO2,17.67,7.11,1.18,Nuageux,8.53,5.93,8.40,3.65,5.05,2.10,3.52,5.45,7.03,3.75,ZAC Ouest,Parc Central,8.81,2.23,67,3.97
TIM_00020,2024-01-01 00:00:00,2024,12,7,23,2.08,4.98,28,1.45,OUI,6.38,CO2,44.49,4.96,2.43,Brouillard,4.24,1.09,5.48,1.09,1.01,7.99,4.84,2.24,3.65,8.22,Résidentiel,Zone Industrielle,3.66,1.23,53,4.39
TIM_00021,2024-01-01 00:00:00,2024,8,14,21,4.69,4.35,14,3.30,OUI,5.33,O3,46.75,1.82,3.12,Pluie,8.74,4.80,8.96,3.78,9.23,7.66,6.86,1.05,9.52,5.52,Quartier Nord,Parc Central,5.11,4.78,97,9.95
TIM_00022,2024-01-01 00:00:00,2024,9,27,3,7.04,3.80,13,5.66,OUI,9.20,CO2,11.87,1.62,9.70,Orage,2.35,2.65,6.65,2.87,4.30,8.68,6.48,3.34,2.28,4.53,Centre-Ville,Banlieue Sud,1.72,5.84,43,6.74
TIM_00023,2024-01-01 00:00:00,2024,7,17,16,8.30,5.77,2,6.41,NON,5.39,O3,42.80,2.87,2.95,Pluie,3.51,1.81,8.74,3.90,3.71,2.12,3.21,1.81,3.85,7.96,ZAC Ouest,Résidentiel,9.97,2.49,89,2.07
TIM_00024,2024-01-01 00:00:00,2024,11,9,7,8.70,1.70,28,2.61,NON,5.32,NO2,44.78,6.16,5.37,Soleil,5.37,8.57,1.00,6.13,2.97,7.78,2.62,7.69,7.97,7.43,ZAC Ouest,Zone Industrielle,2.25,3.46,7,9.78
TIM_00025,2024-01-01 00:00:00,2024,9,15,7,6.77,3.23,4,5.48,NON,8.44,O3,45.94,2.43,6.96,Soleil,4.61,1.33,3.72,5.78,4.19,8.29,2.51,7.65,9.41,1.12,Résidentiel,Banlieue Sud,3.54,2.95,31,7.70
TIM_00026,2024-01-01 00:00:00,2024,1,4,22,5.15,6.72,2,6.04,OUI,4.58,SO2,27.35,4.67,8.11,Brouillard,5.06,7.65,1.05,7.58,1.73,3.84,5.09,4.61,2.94,3.72,Zone Industrielle,Résidentiel,6.02,4.18,72,9.94
TIM_00027,2024-01-01 00:00:00,2024,7,2,5,9.84,2.37,16,8.46,NON,2.66,PM2.5,23.22,8.64,1.40,Brouillard,5.00,1.38,7.96,1.80,5.68,7.85,5.97,3.79,7.24,5.64,Banlieue Sud,Zone Industrielle,6.16,9.78,80,4.87
TIM_00028,2024-01-01 00:00:00,2024,5,3,22,3.98,2.77,26,3.89,OUI,9.89,PM10,43.42,1.30,5.20,Brouillard,4.17,7.10,1.83,1.00,3.27,1.09,5.72,9.35,1.50,1.81,Zone Industrielle,ZAC Ouest,9.12,1.51,72,4.20
TIM_00029,2024-01-01 00:00:00,2024,8,6,15,5.35,2.20,23,9.00,OUI,5.25,PM2.5,1.95,6.31,1.74,Orage,5.40,7.91,6.76,4.32,6.40,1.89,4.83,6.48,5.40,6.55,ZAC Ouest,Zone Industrielle,2.93,2.40,5,6.38
TIM_00030,2024-01-01 00:00:00,2024,2,10,2,2.79,7.12,5,8.48,OUI,7.71,O3,47.82,9.75,5.14,Nuageux,4.67,7.69,2.28,1.85,5.18,1.71,8.07,2.38,6.12,9.15,Quartier Nord,Résidentiel,3.98,7.09,82,5.16
TIM_00031,2024-01-01 00:00:00,2024,4,14,6,7.41,9.67,4,3.35,OUI,3.93,CO2,39.74,4.37,9.58,Pluie,9.94,6.06,7.00,5.96,3.22,3.83,2.06,5.32,5.56,7.52,Quartier Nord,Résidentiel,2.67,2.37,34,3.92
TIM_00032,2024-01-01 00:00:00,2024,9,3,23,9.99,5.22,28,8.00,OUI,5.90,O3,47.73,7.66,1.04,Brouillard,8.37,6.83,3.74,5.42,8.50,3.41,9.53,9.20,3.41,1.06,Résidentiel,Quartier Nord,2.27,5.21,9,3.89
TIM_00033,2024-01-01 00:00:00,2024,10,8,21,4.43,7.95,15,6.93,OUI,6.82,SO2,27.35,7.68,4.88,Pluie,8.75,4.06,1.75,2.33,7.14,9.71,7.07,3.70,4.21,7.12,Zone Industrielle,Centre-Ville,7.42,6.03,37,6.32
TIM_00034,2024-01-01 00:00:00,2024,2,6,19,7.52,9.45,5,1.88,NON,4.13,NO2,17.77,9.11,1.71,Nuageux,9.64,5.72,4.06,4.26,8.85,4.69,3.43,8.68,9.74,4.55,Zone Industrielle,Résidentiel,7.43,1.88,83,5.59
TIM_00035,2024-01-01 00:00:00,2024,8,25,21,8.21,6.22,26,4.36,NON,1.21,SO2,20.76,8.31,9.64,Orage,8.12,9.52,1.57,9.33,5.46,3.68,5.38,1.20,7.50,8.82,Centre-Ville,Quartier Nord,3.47,4.01,48,6.50
TIM_00036,2024-01-01 00:00:00,2024,10,17,20,1.45,4.23,25,3.89,NON,3.22,O3,25.48,2.16,3.93,Brouillard,7.25,5.52,1.13,5.03,7.56,8.61,7.36,6.18,5.25,7.38,Banlieue Sud,Quartier Nord,6.71,6.59,96,9.51
TIM_00037,2024-01-01 00:00:00,2024,2,19,1,7.74,2.70,5,7.62,OUI,6.95,CO2,32.98,8.61,6.27,Nuageux,3.11,1.44,9.85,4.60,6.26,2.51,8.50,6.65,5.10,1.05,Résidentiel,Quartier Nord,4.32,9.86,43,8.08
TIM_00038,2024-01-01 00:00:00,2024,8,5,16,7.25,3.19,19,5.48,NON,7.72,CO2,12.62,5.00,4.28,Brouillard,2.61,6.76,6.51,2.29,8.80,4.76,8.15,8.02,3.39,2.52,ZAC Ouest,Banlieue Sud,8.89,6.59,79,7.19
TIM_00039,2024-01-01 00:00:00,2024,10,11,4,2.95,5.77,14,9.49,NON,2.34,PM2.5,6.92,5.30,7.83,Pluie,7.24,9.47,6.69,5.09,8.70,8.86,4.33,4.51,9.38,5.87,ZAC Ouest,Résidentiel,7.92,9.46,39,9.11
TIM_00040,2024-01-01 00:00:00,2024,11,21,19,6.79,9.09,19,4.92,OUI,3.52,SO2,26.46,1.60,8.03,Soleil,2.48,7.01,9.84,4.48,5.59,8.38,2.43,2.73,8.85,6.86,ZAC Ouest,Zone Industrielle,1.43,9.37,88,2.02
TIM_00041,2024-01-01 00:00:00,2024,10,11,19,3.36,9.34,17,3.13,NON,3.62,SO2,28.09,5.91,3.76,Pluie,6.30,4.31,8.86,3.46,4.77,7.68,7.64,6.39,4.76,8.94,Centre-Ville,Parc Central,5.26,7.24,88,7.44
TIM_00042,2024-01-01 00:00:00,2024,1,5,13,8.86,6.98,15,5.56,NON,9.46,PM2.5,25.98,8.43,3.35,Soleil,8.66,7.12,4.22,3.31,2.17,6.50,2.45,8.65,4.06,9.85,Zone Industrielle,Résidentiel,3.98,2.75,34,4.61
TIM_00043,2024-01-01 00:00:00,2024,4,17,5,6.85,8.88,20,8.09,NON,4.31,NO2,13.84,3.58,6.94,Brouillard,9.23,7.39,2.90,8.97,9.91,3.42,3.24,3.24,2.19,7.60,Quartier Nord,Centre-Ville,8.85,3.55,100,1.57
TIM_00044,2024-01-01 00:00:00,2024,9,14,5,7.24,2.13,1,7.81,NON,8.15,PM2.5,17.39,9.62,1.45,Orage,2.10,2.34,5.40,7.96,6.19,6.50,9.00,9.14,8.98,8.01,Résidentiel,Banlieue Sud,2.93,9.00,77,8.90
TIM_00045,2024-01-01 00:00:00,2024,5,17,15,5.73,3.10,10,5.16,NON,1.48,PM10,34.60,9.71,7.50,Nuageux,9.66,1.69,2.40,7.45,5.85,8.27,4.33,4.59,4.55,4.69,Centre-Ville,Quartier Nord,9.81,9.31,85,1.75
TIM_00046,2024-01-01 00:00:00,2024,10,21,2,4.04,9.49,27,5.55,OUI,7.79,NO2,31.17,8.33,3.17,Nuageux,1.28,7.11,3.46,2.55,5.86,4.67,8.18,3.08,2.62,6.45,Résidentiel,Quartier Nord,5.42,6.60,29,4.74
TIM_00047,2024-01-01 00:00:00,2024,10,3,23,6.93,7.94,10,9.44,OUI,6.49,PM2.5,32.37,9.90,3.73,Orage,6.92,9.42,9.02,6.90,8.17,3.59,7.47,9.01,3.41,8.75,Résidentiel,Zone Industrielle,1.50,4.28,10,9.18
TIM_00048,2024-01-01 00:00:00,2024,8,1,2,8.25,4.11,24,6.13,OUI,3.56,SO2,6.47,7.57,5.62,Soleil,9.49,2.49,9.92,2.17,2.37,5.79,9.90,8.81,5.49,7.97,Quartier Nord,Quartier Nord,4.26,7.79,63,9.86
TIM_00049,2024-01-01 00:00:00,2024,3,15,3,2.73,6.79,17,1.80,OUI,4.52,SO2,32.03,1.41,9.90,Pluie,8.07,9.04,5.35,5.44,9.12,8.79,8.69,8.92,2.18,9.98,Zone Industrielle,Quartier Nord,5.96,2.66,67,8.61
TIM_00050,2024-01-01 00:00:00,2024,8,14,7,1.13,4.59,17,6.36,NON,3.46,O3,23.88,8.92,7.09,Orage,5.01,6.71,4.84,7.40,2.00,4.05,1.46,2.75,9.17,5.48,Banlieue Sud,ZAC Ouest,5.94,8.79,9,7.50
TIM_00051,2024-01-01 00:00:00,2024,10,28,18,8.99,6.93,2,8.87,OUI,7.56,O3,23.54,2.60,5.10,Brouillard,9.78,6.34,3.55,9.93,4.25,1.97,4.30,2.31,9.16,6.34,Zone Industrielle,Quartier Nord,7.75,9.59,93,4.35
TIM_00052,2024-01-01 00:00:00,2024,10,11,7,5.81,5.42,20,9.05,NON,6.58,PM10,38.90,7.64,8.93,Brouillard,5.62,2.47,7.61,7.00,9.49,7.68,4.04,5.72,4.73,7.32,Parc Central,Banlieue Sud,2.33,8.96,20,4.91
TIM_00053,2024-01-01 00:00:00,2024,4,26,3,9.07,4.67,6,2.95,OUI,6.41,SO2,48.51,5.04,7.68,Nuageux,1.16,2.48,5.73,1.52,3.08,2.36,2.88,6.94,8.70,4.64,Centre-Ville,Parc Central,5.24,8.70,10,5.46
TIM_00054,2024-01-01 00:00:00,2024,6,9,0,9.18,8.65,24,8.24,OUI,9.54,CO2,41.85,3.39,6.51,Brouillard,6.61,2.91,9.92,6.21,3.24,3.20,4.39,2.10,1.79,1.08,Banlieue Sud,Centre-Ville,2.50,4.89,80,1.22
TIM_00055,2024-01-01 00:00:00,2024,7,15,19,1.93,7.08,9,4.43,NON,2.30,CO2,15.14,9.73,5.94,Orage,5.42,2.34,2.06,1.52,8.32,6.67,5.44,2.34,2.06,5.36,Centre-Ville,Centre-Ville,6.26,4.24,14,8.21
TIM_00056,2024-01-01 00:00:00,2024,9,6,13,1.46,7.97,27,2.29,OUI,6.68,SO2,38.18,3.33,6.04,Soleil,8.51,3.72,9.40,2.61,2.62,3.36,3.11,5.20,8.54,2.99,Zone Industrielle,Quartier Nord,3.55,9.83,58,3.77
TIM_00057,2024-01-01 00:00:00,2024,4,26,1,5.08,8.28,10,6.82,OUI,1.95,PM2.5,26.52,9.43,4.79,Pluie,2.92,7.58,4.45,6.69,5.80,5.69,8.92,8.96,2.20,8.47,Centre-Ville,Quartier Nord,9.25,2.18,59,3.45
TIM_00058,2024-01-01 00:00:00,2024,6,21,18,2.75,8.87,6,9.55,NON,3.11,CO2,15.64,5.34,1.31,Pluie,2.42,1.86,1.66,3.87,5.58,1.81,2.18,8.36,9.50,5.77,Résidentiel,Zone Industrielle,9.99,3.33,20,6.72
TIM_00059,2024-01-01 00:00:00,2024,3,5,14,5.27,1.30,6,8.50,NON,7.74,PM10,43.30,4.07,9.51,Brouillard,8.78,7.95,9.31,1.66,5.91,3.48,8.26,1.58,1.37,8.07,Centre-Ville,Zone Industrielle,2.12,5.94,72,1.81
TIM_00060,2024-01-01 00:00:00,2024,6,16,12,4.98,6.47,6,2.37,OUI,2.92,PM2.5,13.88,7.16,3.71,Nuageux,3.80,7.98,8.80,1.46,2.59,9.28,2.65,4.12,2.67,1.61,Parc Central,Zone Industrielle,3.27,4.71,22,1.46
TIM_00061,2024-01-01 00:00:00,2024,5,1,0,9.03,3.47,8,2.97,NON,1.20,PM2.5,45.93,9.73,3.35,Pluie,8.10,2.36,8.50,5.07,1.81,2.46,9.82,6.82,5.91,2.25,Résidentiel,Quartier Nord,7.10,8.02,88,7.92
TIM_00062,2024-01-01 00:00:00,2024,10,7,19,9.24,7.66,14,9.26,OUI,2.11,NO2,41.23,3.12,7.21,Soleil,2.57,1.04,6.29,5.18,3.05,7.05,5.80,6.03,5.42,1.39,Quartier Nord,Quartier Nord,1.80,4.59,43,5.05
TIM_00063,2024-01-01 00:00:00,2024,7,9,16,7.42,5.77,5,8.68,NON,9.84,SO2,35.44,5.17,1.56,Orage,6.48,6.86,1.41,8.16,7.01,5.93,6.24,1.06,5.34,9.86,Résidentiel,Zone Industrielle,6.52,6.12,31,9.73
TIM_00064,2024-01-01 00:00:00,2024,9,7,4,7.37,5.49,22,8.39,NON,3.64,CO2,12.13,4.57,9.28,Soleil,2.90,2.94,5.61,2.57,7.54,7.91,7.72,9.35,4.13,9.39,Parc Central,Centre-Ville,8.85,8.49,93,7.66
TIM_00065,2024-01-01 00:00:00,2024,3,19,7,2.34,4.44,23,1.71,OUI,1.84,NO2,24.71,6.08,2.19,Orage,1.59,5.82,1.08,2.59,4.49,5.67,2.76,8.58,7.15,1.09,Résidentiel,Parc Central,9.17,5.00,92,5.72
TIM_00066,2024-01-01 00:00:00,2024,10,5,0,7.22,4.01,8,1.77,OUI,9.51,O3,32.56,4.69,1.96,Soleil,9.02,2.44,6.95,3.82,8.53,5.50,9.50,3.25,7.88,1.65,Banlieue Sud,Parc Central,8.19,9.78,51,3.63
TIM_00067,2024-01-01 00:00:00,2024,11,3,8,8.99,9.28,14,4.47,NON,2.62,CO2,33.46,3.93,6.76,Brouillard,2.16,3.67,7.49,9.71,9.45,6.79,5.49,5.60,3.92,8.70,Banlieue Sud,Parc Central,4.92,7.20,16,6.91
TIM_00068,2024-01-01 00:00:00,2024,7,16,0,1.71,9.75,26,2.26,NON,2.88,PM2.5,39.51,3.75,7.94,Soleil,8.65,4.88,9.02,6.78,6.48,1.58,9.04,9.05,4.94,6.86,Centre-Ville,Résidentiel,4.49,6.92,81,4.00
TIM_00069,2024-01-01 00:00:00,2024,3,24,2,5.15,2.06,3,9.64,OUI,3.27,CO2,20.64,8.61,4.57,Nuageux,1.41,2.77,6.94,8.48,3.66,2.00,9.40,2.08,6.61,7.05,ZAC Ouest,Parc Central,3.38,5.20,14,7.91
TIM_00070,2024-01-01 00:00:00,2024,7,26,21,5.44,7.13,2,9.48,NON,7.99,PM10,21.78,4.08,7.55,Brouillard,8.07,7.38,2.04,5.72,5.01,2.59,4.26,4.88,6.76,6.42,Banlieue Sud,Zone Industrielle,5.97,4.15,45,7.86
TIM_00071,2024-01-01 00:00:00,2024,8,20,12,7.55,3.84,11,9.21,NON,2.19,PM2.5,42.57,7.77,7.07,Brouillard,5.79,6.72,6.24,7.98,7.84,3.07,9.57,6.23,9.94,6.19,ZAC Ouest,Résidentiel,8.85,9.82,49,5.66
TIM_00072,2024-01-01 00:00:00,2024,7,22,23,2.62,6.22,24,8.00,OUI,8.19,PM2.5,23.47,5.62,1.53,Orage,2.53,2.99,9.01,5.63,5.58,8.05,2.65,3.96,9.18,3.47,Parc Central,Banlieue Sud,6.71,6.57,90,9.42
TIM_00073,2024-01-01 00:00:00,2024,3,1,9,9.78,9.22,9,7.32,NON,3.40,PM10,24.71,5.85,2.90,Orage,3.62,9.59,3.88,5.55,3.65,2.85,1.17,1.08,4.58,7.22,Banlieue Sud,ZAC Ouest,8.28,1.53,82,7.04
TIM_00074,2024-01-01 00:00:00,2024,4,20,10,6.36,1.44,7,7.99,NON,3.58,CO2,19.29,5.58,6.67,Soleil,3.74,4.36,3.34,6.26,4.48,5.90,1.61,8.01,3.01,4.31,Quartier Nord,Banlieue Sud,1.74,7.04,79,2.63
TIM_00075,2024-01-01 00:00:00,2024,4,20,10,8.01,7.66,18,8.34,OUI,9.71,NO2,20.95,8.84,6.43,Pluie,2.92,7.98,5.38,1.70,7.98,3.48,5.62,1.63,4.32,1.16,Parc Central,Parc Central,1.67,1.61,64,1.47
TIM_00076,2024-01-01 00:00:00,2024,3,14,5,2.57,2.70,27,9.91,OUI,2.70,O3,15.76,5.80,2.65,Nuageux,5.57,5.60,9.94,6.74,6.01,9.74,4.97,9.98,9.22,9.56,Zone Industrielle,Centre-Ville,7.00,4.19,59,8.92
TIM_00077,2024-01-01 00:00:00,2024,6,23,16,7.28,8.37,19,8.18,OUI,2.58,PM2.5,14.38,7.91,5.36,Brouillard,7.40,1.37,3.72,9.07,4.60,9.19,7.72,3.77,5.26,1.05,Zone Industrielle,Centre-Ville,8.32,2.32,89,5.33
TIM_00078,2024-01-01 00:00:00,2024,1,14,15,5.48,2.53,12,6.80,OUI,1.04,CO2,27.80,7.82,6.01,Pluie,5.67,5.92,6.79,5.70,8.22,1.40,6.00,6.82,3.00,6.08,Résidentiel,Parc Central,1.67,6.11,14,4.72
TIM_00079,2024-01-01 00:00:00,2024,4,13,21,4.56,8.37,2,7.64,NON,5.48,CO2,22.05,9.39,9.06,Orage,2.46,4.87,7.73,8.03,6.13,1.77,6.32,4.03,6.76,3.61,Centre-Ville,Parc Central,7.18,4.22,66,9.93
TIM_00080,2024-01-01 00:00:00,2024,11,15,19,7.38,5.13,18,5.07,OUI,2.73,NO2,33.97,3.53,1.54,Brouillard,8.86,4.61,6.94,7.47,7.32,5.50,1.88,5.65,9.60,2.27,Quartier Nord,Résidentiel,6.30,5.93,92,8.61
TIM_00081,2024-01-01 00:00:00,2024,8,25,19,5.39,8.70,24,5.32,NON,3.25,PM2.5,12.26,4.82,8.27,Orage,2.20,5.33,1.13,5.56,7.11,3.93,1.41,7.63,8.84,4.90,Résidentiel,Zone Industrielle,1.25,6.13,21,6.06
TIM_00082,2024-01-01 00:00:00,2024,8,2,11,2.28,1.42,25,7.63,NON,5.58,O3,37.24,5.06,5.77,Pluie,7.50,3.73,5.10,4.84,6.17,9.45,3.81,3.02,4.55,8.77,Zone Industrielle,Banlieue Sud,7.29,2.67,24,1.44
TIM_00083,2024-01-01 00:00:00,2024,5,6,23,1.15,7.11,3,3.06,OUI,5.22,O3,44.72,1.79,8.72,Orage,2.61,3.70,6.00,4.01,3.85,9.02,6.89,6.25,6.26,5.65,Centre-Ville,Résidentiel,1.13,6.72,65,8.43
TIM_00084,2024-01-01 00:00:00,2024,4,4,6,2.22,3.12,7,8.22,NON,6.92,PM10,48.80,9.39,3.38,Brouillard,6.37,8.97,2.03,6.15,3.98,9.05,2.41,2.01,1.96,5.27,Centre-Ville,ZAC Ouest,1.79,2.57,65,3.94
TIM_00085,2024-01-01 00:00:00,2024,9,23,16,4.13,3.74,10,5.62,NON,6.82,CO2,33.95,2.30,3.40,Soleil,9.36,5.55,1.15,1.46,9.52,9.26,7.96,4.26,5.49,8.16,Banlieue Sud,Parc Central,1.14,6.84,33,3.95
TIM_00086,2024-01-01 00:00:00,2024,7,5,19,2.72,6.51,4,6.56,OUI,9.09,PM10,22.18,7.36,6.06,Soleil,6.04,7.50,2.97,7.46,9.14,4.91,4.39,1.83,4.42,2.09,Parc Central,Parc Central,1.75,6.75,87,6.76
TIM_00087,2024-01-01 00:00:00,2024,8,23,4,6.13,3.25,25,1.03,OUI,6.47,CO2,15.96,4.07,1.62,Soleil,7.30,5.79,4.94,3.17,4.25,8.55,1.68,8.87,2.05,2.39,Quartier Nord,Zone Industrielle,8.53,3.57,6,3.92
TIM_00088,2024-01-01 00:00:00,2024,7,1,17,3.99,1.21,11,2.51,NON,7.39,O3,27.03,4.39,6.41,Nuageux,4.81,3.14,3.02,6.25,7.69,1.99,3.15,4.85,2.79,2.92,Centre-Ville,ZAC Ouest,9.97,7.57,69,4.78
TIM_00089,2024-01-01 00:00:00,2024,2,16,14,3.71,5.77,12,3.77,OUI,9.81,PM10,18.33,5.35,7.15,Nuageux,5.67,9.20,1.01,5.10,9.66,1.94,6.94,3.48,9.33,2.59,Résidentiel,Banlieue Sud,9.32,3.07,34,1.33
TIM_00090,2024-01-01 00:00:00,2024,12,13,15,2.81,5.67,25,7.52,NON,4.30,O3,3.09,6.32,5.36,Brouillard,4.74,3.70,1.95,4.70,1.37,1.78,3.37,8.95,2.88,6.87,Centre-Ville,Résidentiel,4.12,1.12,8,2.29
TIM_00091,2024-01-01 00:00:00,2024,11,10,3,4.16,7.61,7,3.13,NON,5.38,SO2,31.69,4.09,2.92,Nuageux,6.97,9.37,4.50,1.88,6.16,8.45,4.87,3.42,1.39,1.08,Centre-Ville,Quartier Nord,1.11,5.91,87,1.25
TIM_00092,2024-01-01 00:00:00,2024,6,28,21,4.25,6.84,6,4.69,NON,5.26,PM2.5,36.73,4.88,6.46,Soleil,4.03,6.45,6.69,6.69,6.51,9.79,6.70,2.36,4.82,7.91,Zone Industrielle,Banlieue Sud,7.63,2.38,75,8.15
TIM_00093,2024-01-01 00:00:00,2024,5,4,11,5.15,1.51,16,7.30,NON,5.55,PM2.5,29.77,4.96,6.39,Brouillard,8.86,6.37,9.66,3.12,4.05,5.54,2.60,3.51,1.94,2.83,Résidentiel,Banlieue Sud,5.48,8.89,8,9.68
TIM_00094,2024-01-01 00:00:00,2024,12,2,10,6.11,7.61,14,3.97,OUI,5.95,CO2,10.72,4.95,1.04,Brouillard,3.96,2.82,3.79,8.08,9.89,9.04,3.00,7.77,5.07,1.13,Quartier Nord,ZAC Ouest,1.98,5.84,14,6.67
