col_stop_id,col_stop_nom,col_lat,col_lon,col_ville,col_zone_id,col_accessibilite,col_opened,col_station,col_lignes,col_trafic_journalier,col_trafic_annuel,col_nombre_correspondances,col_zone_tarifaire,col_source,col_date_maj,col_arret_id,col_nom_arret,col_type_arret,col_est_accessible_pmr,col_equipement_abri,col_equipement_affichage_temps_reel,col_latitude,col_longitude,col_commune
ARR_00011,Nom_11,48.363856,2.670070,Nantes,00011,6.73,6.77,5.89,9.18,3,2.35,Nom_11,Parc Central,Meteo_France,2024-01-01 00:00:00,00011,Nom_11,3.01,6.84,1.69,3.78,49.109327,2.772512,Paris
ARR_00012,Nom_12,49.240715,2.133806,Lyon,00012,8.12,4.34,2.62,8.54,14,7.11,Nom_12,ZAC Ouest,AirParif_2024,2024-01-01 00:00:00,00012,Nom_12,5.06,3.00,1.25,6.61,48.911817,2.310057,Lille
ARR_00013,Nom_13,49.011363,2.025123,Montpellier,00013,9.97,1.66,1.52,7.90,11,9.82,Nom_13,ZAC Ouest,Data.gouv.fr,2024-01-01 00:00:00,00013,Nom_13,2.24,9.11,5.56,6.28,48.519653,2.801913,Lille
ARR_00014,Nom_14,48.356239,2.064300,Nantes,00014,5.25,7.18,5.16,6.34,1,1.09,Nom_14,Quartier Nord,SNCF_Open_Data,2024-01-01 00:00:00,00014,Nom_14,5.54,7.93,9.79,6.49,48.430218,2.100210,Marseille
ARR_00015,Nom_15,48.544317,2.080967,Toulouse,00015,9.80,4.95,3.19,1.74,27,6.98,Nom_15,Banlieue Sud,Meteo_France,2024-01-01 00:00:00,00015,Nom_15,2.21,6.68,6.34,9.36,48.577389,1.927776,Lille
ARR_00016,Nom_16,49.171372,2.444418,Strasbourg,00016,1.35,9.43,5.66,4.42,16,5.09,Nom_16,Banlieue Sud,Data.gouv.fr,2024-01-01 00:00:00,00016,Nom_16,3.63,4.20,3.33,8.35,48.707855,2.317917,Strasbourg
ARR_00017,Nom_17,48.461763,2.633364,Lille,00017,8.21,9.52,2.99,8.09,1,4.54,Nom_17,Parc Central,SNCF_Open_Data,2024-01-01 00:00:00,00017,Nom_17,5.45,1.06,2.45,4.09,49.179556,2.691605,Marseille
ARR_00018,Nom_18,49.276582,2.488382,Toulouse,00018,1.67,7.93,1.59,2.54,22,3.09,Nom_18,Quartier Nord,Meteo_France,2024-01-01 00:00:00,00018,Nom_18,1.61,1.83,1.59,8.77,48.505323,2.341212,Marseille
ARR_00019,Nom_19,48.990322,2.605851,Montpellier,00019,8.48,2.84,3.53,1.35,14,5.31,Nom_19,Résidentiel,Meteo_France,2024-01-01 00:00:00,00019,Nom_19,2.11,6.42,6.20,6.09,48.766750,2.283981,Nantes
ARR_00020,Nom_20,48.963523,2.161226,Nice,00020,7.93,3.14,6.78,9.29,19,2.94,Nom_20,Quartier Nord,RATP_Open_Data_2024,2024-01-01 00:00:00,00020,Nom_20,4.32,9.65,2.04,3.59,48.781035,1.982370,Lille
ARR_00021,Nom_21,49.250958,2.000800,Nice,00021,4.55,5.25,7.16,8.23,9,4.01,Nom_21,Centre-Ville,SNCF_Open_Data,2024-01-01 00:00:00,00021,Nom_21,2.58,4.03,7.51,6.87,48.745046,2.158909,Nice
ARR_00022,Nom_22,49.139302,2.328976,Nantes,00022,3.97,2.95,2.28,9.72,6,8.53,Nom_22,Parc Central,RATP_Open_Data_2024,2024-01-01 00:00:00,00022,Nom_22,3.78,6.59,9.25,8.85,48.589287,2.652055,Montpellier
ARR_00023,Nom_23,48.482425,2.388078,Montpellier,00023,8.70,4.86,7.67,3.67,21,4.75,Nom_23,Zone Industrielle,Data.gouv.fr,2024-01-01 00:00:00,00023,Nom_23,3.75,7.90,2.74,7.94,48.821404,2.455997,Strasbourg
ARR_00024,Nom_24,48.476616,2.425019,Marseille,00024,4.35,2.32,6.47,1.77,1,3.75,Nom_24,Quartier Nord,RATP_Open_Data_2024,2024-01-01 00:00:00,00024,Nom_24,1.45,6.96,8.21,8.23,48.409207,2.005351,Nantes
ARR_00025,Nom_25,49.182750,2.441319,Montpellier,00025,1.18,9.33,4.84,5.28,20,7.90,Nom_25,Zone Industrielle,RATP_Open_Data_2024,2024-01-01 00:00:00,00025,Nom_25,4.18,1.11,3.73,4.83,48.633368,2.144583,Lyon
ARR_00026,Nom_26,49.032093,2.534167,Bordeaux,00026,1.59,9.78,6.45,4.45,5,8.98,Nom_26,Zone Industrielle,Data.gouv.fr,2024-01-01 00:00:00,00026,Nom_26,1.21,3.23,2.24,2.70,48.879329,2.718090,Lyon
ARR_00027,Nom_27,49.313964,1.930598,Marseille,00027,4.88,7.93,4.72,1.82,22,5.62,Nom_27,Quartier Nord,SNCF_Open_Data,2024-01-01 00:00:00,00027,Nom_27,9.88,7.48,4.01,6.68,48.781303,1.908082,Marseille
ARR_00028,Nom_28,48.465467,2.572622,Toulouse,00028,2.73,4.77,8.60,5.99,28,1.66,Nom_28,ZAC Ouest,RATP_Open_Data_2024,2024-01-01 00:00:00,00028,Nom_28,4.91,5.75,6.12,6.29,49.185995,2.671783,Lyon
ARR_00029,Nom_29,48.677099,2.398649,Montpellier,00029,9.51,1.20,9.68,5.79,5,7.51,Nom_29,ZAC Ouest,Meteo_France,2024-01-01 00:00:00,00029,Nom_29,3.13,1.37,7.91,4.02,49.115372,2.645911,Paris
ARR_00030,Nom_30,49.203786,2.711667,Strasbourg,00030,8.61,8.42,2.30,8.14,7,6.04,Nom_30,Zone Industrielle,SNCF_Open_Data,2024-01-01 00:00:00,00030,Nom_30,5.39,9.86,7.61,2.70,48.997063,2.233305,Bordeaux
ARR_00031,Nom_31,49.085621,2.525698,Nantes,00031,6.53,5.15,1.47,8.10,27,2.66,Nom_31,Centre-Ville,Data.gouv.fr,2024-01-01 00:00:00,00031,Nom_31,6.60,2.18,2.51,6.64,49.229904,2.746896,Nantes
ARR_00032,Nom_32,49.247380,2.417364,Montpellier,00032,1.03,1.36,5.50,5.99,1,9.40,Nom_32,ZAC Ouest,RATP_Open_Data_2024,2024-01-01 00:00:00,00032,Nom_32,3.98,3.22,6.88,5.45,48.353104,2.474476,Marseille
ARR_00033,Nom_33,49.201147,2.489761,Toulouse,00033,8.08,3.55,1.56,7.84,18,1.87,Nom_33,Zone Industrielle,AirParif_2024,2024-01-01 00:00:00,00033,Nom_33,8.61,1.49,7.88,3.17,49.082956,1.945580,Lyon
ARR_00034,Nom_34,49.177569,2.053434,Lille,00034,2.92,8.38,7.83,7.64,10,5.52,Nom_34,ZAC Ouest,AirParif_2024,2024-01-01 00:00:00,00034,Nom_34,1.45,9.32,3.46,7.54,48.640736,2.476199,Nantes
ARR_00035,Nom_35,48.604243,1.982086,Paris,00035,6.48,2.07,3.92,6.25,8,1.71,Nom_35,Parc Central,AirParif_2024,2024-01-01 00:00:00,00035,Nom_35,3.61,8.22,5.43,1.40,48.645919,2.441545,Nantes
ARR_00036,Nom_36,48.811062,2.337387,Paris,00036,2.91,4.20,7.34,4.45,9,1.05,Nom_36,Quartier Nord,AirParif_2024,2024-01-01 00:00:00,00036,Nom_36,5.24,1.71,9.99,1.38,48.508430,2.007827,Bordeaux
ARR_00037,Nom_37,49.176789,2.596298,Montpellier,00037,6.43,3.99,6.07,5.75,21,8.65,Nom_37,Banlieue Sud,Meteo_France,2024-01-01 00:00:00,00037,Nom_37,1.99,3.76,2.89,5.89,48.681012,2.609765,Strasbourg
ARR_00038,Nom_38,48.713380,1.906207,Bordeaux,00038,8.30,8.54,4.53,3.70,9,9.46,Nom_38,Résidentiel,SNCF_Open_Data,2024-01-01 00:00:00,00038,Nom_38,5.07,9.53,8.52,9.83,49.255542,2.497583,Lille
ARR_00039,Nom_39,48.836882,2.171274,Montpellier,00039,5.54,6.77,3.28,9.24,4,8.67,Nom_39,Zone Industrielle,SNCF_Open_Data,2024-01-01 00:00:00,00039,Nom_39,5.00,9.64,9.03,1.61,48.358538,2.513272,Paris
ARR_00040,Nom_40,48.713403,2.489572,Bordeaux,00040,4.52,4.18,7.41,2.26,2,7.91,Nom_40,Résidentiel,SNCF_Open_Data,2024-01-01 00:00:00,00040,Nom_40,5.20,4.05,4.84,8.23,49.189167,2.224987,Nice
ARR_00041,Nom_41,48.997382,1.999343,Strasbourg,00041,3.08,3.70,9.11,2.50,11,3.72,Nom_41,Banlieue Sud,AirParif_2024,2024-01-01 00:00:00,00041,Nom_41,6.65,5.66,8.71,2.45,48.484082,2.548579,Lyon
ARR_00042,Nom_42,49.026120,2.132361,Marseille,00042,1.44,9.99,3.36,2.27,25,2.25,Nom_42,Quartier Nord,RATP_Open_Data_2024,2024-01-01 00:00:00,00042,Nom_42,6.95,7.77,9.81,3.76,48.969057,2.177199,Lyon
ARR_00043,Nom_43,48.447740,2.519871,Strasbourg,00043,7.89,7.20,6.11,4.53,6,8.15,Nom_43,Parc Central,SNCF_Open_Data,2024-01-01 00:00:00,00043,Nom_43,3.50,2.62,5.52,3.76,48.965394,2.759017,Nantes
ARR_00044,Nom_44,49.063279,1.940134,Lille,00044,3.48,6.59,4.77,1.62,8,1.24,Nom_44,Quartier Nord,SNCF_Open_Data,2024-01-01 00:00:00,00044,Nom_44,9.01,5.87,5.78,5.10,48.934470,2.316498,Strasbourg
ARR_00045,Nom_45,48.552394,2.090759,Montpellier,00045,7.90,5.61,9.09,4.03,18,3.25,Nom_45,Zone Industrielle,Data.gouv.fr,2024-01-01 00:00:00,00045,Nom_45,7.76,2.03,6.19,8.97,49.123750,2.324446,Lyon
ARR_00046,Nom_46,49.287577,2.202802,Marseille,00046,6.78,3.35,2.93,6.20,21,1.49,Nom_46,Quartier Nord,Meteo_France,2024-01-01 00:00:00,00046,Nom_46,3.66,7.13,5.13,8.63,48.776909,2.238933,Nantes
ARR_00047,Nom_47,48.870935,1.919852,Lille,00047,8.22,9.74,5.04,7.99,5,7.89,Nom_47,Parc Central,AirParif_2024,2024-01-01 00:00:00,00047,Nom_47,4.30,9.78,7.73,4.56,48.496527,1.934110,Bordeaux
ARR_00048,Nom_48,49.054670,2.247600,Paris,00048,7.86,2.48,2.30,7.27,26,9.80,Nom_48,ZAC Ouest,Meteo_France,2024-01-01 00:00:00,00048,Nom_48,1.93,6.35,4.84,6.68,48.766198,2.029382,Nantes
ARR_00049,Nom_49,49.134770,2.566807,Strasbourg,00049,9.94,9.81,1.14,7.81,1,4.42,Nom_49,Quartier Nord,Meteo_France,2024-01-01 00:00:00,00049,Nom_49,5.16,3.02,4.40,7.94,48.990922,2.141190,Marseille
ARR_00050,Nom_50,49.323838,2.616060,Strasbourg,00050,5.78,8.59,4.47,5.15,13,9.56,Nom_50,Banlieue Sud,RATP_Open_Data_2024,2024-01-01 00:00:00,00050,Nom_50,1.82,9.28,4.14,5.52,48.576115,2.733688,Nantes
ARR_00051,Nom_51,48.754050,2.809684,Nice,00051,2.07,8.47,9.25,8.07,26,7.05,Nom_51,Centre-Ville,RATP_Open_Data_2024,2024-01-01 00:00:00,00051,Nom_51,9.84,3.74,8.57,6.38,49.323572,2.403090,Nice
ARR_00052,Nom_52,48.662407,2.501945,Nice,00052,2.47,5.14,3.42,2.37,23,8.12,Nom_52,Zone Industrielle,Meteo_France,2024-01-01 00:00:00,00052,Nom_52,6.40,9.47,3.99,5.45,48.878990,2.229745,Montpellier
ARR_00053,Nom_53,48.654625,2.787544,Paris,00053,4.13,8.56,6.86,8.67,5,5.25,Nom_53,Zone Industrielle,Meteo_France,2024-01-01 00:00:00,00053,Nom_53,6.00,7.39,9.01,2.30,48.413929,2.257793,Nantes
ARR_00054,Nom_54,48.818779,2.022926,Nantes,00054,2.61,8.68,1.29,1.12,28,1.43,Nom_54,Quartier Nord,Data.gouv.fr,2024-01-01 00:00:00,00054,Nom_54,6.16,9.77,6.37,1.44,48.623132,2.124660,Toulouse
ARR_00055,Nom_55,48.987880,1.936294,Marseille,00055,2.28,3.94,2.14,1.78,17,5.27,Nom_55,ZAC Ouest,RATP_Open_Data_2024,2024-01-01 00:00:00,00055,Nom_55,2.13,5.02,8.11,6.81,48.486665,2.105320,Montpellier
ARR_00056,Nom_56,48.438543,1.860923,Paris,00056,9.70,6.25,1.09,1.08,28,1.55,Nom_56,Zone Industrielle,Data.gouv.fr,2024-01-01 00:00:00,00056,Nom_56,7.59,4.37,3.74,5.90,49.269832,2.667739,Marseille
ARR_00057,Nom_57,48.868016,2.395052,Marseille,00057,4.23,1.36,9.29,6.62,4,3.87,Nom_57,Zone Industrielle,SNCF_Open_Data,2024-01-01 00:00:00,00057,Nom_57,2.86,4.01,1.44,1.91,49.082458,2.117240,Montpellier
ARR_00058,Nom_58,48.816147,2.827278,Strasbourg,00058,5.65,7.04,9.26,9.59,11,7.40,Nom_58,Résidentiel,RATP_Open_Data_2024,2024-01-01 00:00:00,00058,Nom_58,8.36,2.88,3.29,8.68,49.321806,2.653270,Montpellier
ARR_00059,Nom_59,49.298516,2.126435,Montpellier,00059,4.21,8.94,5.50,2.06,19,7.02,Nom_59,Centre-Ville,Meteo_France,2024-01-01 00:00:00,00059,Nom_59,1.71,4.20,5.47,1.82,49.330792,1.921864,Lyon
ARR_00060,Nom_60,49.287809,2.194140,Lyon,00060,4.10,7.79,9.19,8.84,23,2.40,Nom_60,Zone Industrielle,AirParif_2024,2024-01-01 00:00:00,00060,Nom_60,3.16,2.96,7.47,4.58,48.477311,2.095615,Strasbourg
ARR_00061,Nom_61,49.186681,2.688680,Toulouse,00061,8.62,9.97,8.37,2.55,27,9.90,Nom_61,Zone Industrielle,SNCF_Open_Data,2024-01-01 00:00:00,00061,Nom_61,1.36,8.51,7.80,7.29,48.450269,2.358002,Marseille
ARR_00062,Nom_62,48.614750,2.322062,Toulouse,00062,7.69,4.83,3.47,3.63,2,6.59,Nom_62,Zone Industrielle,AirParif_2024,2024-01-01 00:00:00,00062,Nom_62,3.95,4.13,3.92,4.60,48.617652,2.655544,Paris
ARR_00063,Nom_63,49.089208,2.220178,Strasbourg,00063,4.92,8.00,1.21,9.84,23,2.72,Nom_63,Résidentiel,SNCF_Open_Data,2024-01-01 00:00:00,00063,Nom_63,5.40,4.73,2.17,8.42,48.845801,1.895200,Strasbourg
ARR_00064,Nom_64,49.043768,2.672271,Toulouse,00064,8.26,9.58,1.55,9.99,6,9.19,Nom_64,Banlieue Sud,Data.gouv.fr,2024-01-01 00:00:00,00064,Nom_64,5.23,3.15,6.83,7.82,48.563256,2.463395,Toulouse
ARR_00065,Nom_65,48.521510,2.328372,Montpellier,00065,7.68,5.65,8.54,3.56,20,4.73,Nom_65,Centre-Ville,RATP_Open_Data_2024,2024-01-01 00:00:00,00065,Nom_65,2.36,2.21,1.74,1.86,49.112499,2.423509,Nice
ARR_00066,Nom_66,49.218870,2.499347,Bordeaux,00066,6.21,6.54,9.99,9.81,2,5.18,Nom_66,Zone Industrielle,AirParif_2024,2024-01-01 00:00:00,00066,Nom_66,9.84,9.15,2.53,9.08,49.080277,2.698283,Lille
ARR_00067,Nom_67,48.430006,1.992071,Strasbourg,00067,6.19,1.44,7.87,7.89,9,4.22,Nom_67,Zone Industrielle,AirParif_2024,2024-01-01 00:00:00,00067,Nom_67,4.48,8.70,3.24,7.44,48.608923,2.546127,Lyon
ARR_00068,Nom_68,49.119592,2.624548,Bordeaux,00068,9.95,7.86,1.88,9.02,19,1.21,Nom_68,Centre-Ville,AirParif_2024,2024-01-01 00:00:00,00068,Nom_68,3.65,2.57,7.68,3.21,49.127266,2.364219,Paris
ARR_00069,Nom_69,48.793715,2.647309,Lille,00069,1.85,8.52,5.72,7.14,23,2.01,Nom_69,Centre-Ville,AirParif_2024,2024-01-01 00:00:00,00069,Nom_69,4.93,8.11,3.21,3.41,49.337915,2.410386,Lyon
ARR_00070,Nom_70,48.466874,2.524337,Strasbourg,00070,4.19,9.40,5.96,9.59,7,8.47,Nom_70,Résidentiel,SNCF_Open_Data,2024-01-01 00:00:00,00070,Nom_70,5.85,1.43,5.89,5.10,48.469373,2.647419,Lyon
ARR_00071,Nom_71,48.465496,2.126350,Bordeaux,00071,6.54,6.46,5.08,7.02,10,3.82,Nom_71,Résidentiel,Meteo_France,2024-01-01 00:00:00,00071,Nom_71,7.84,8.34,8.08,2.69,49.103011,2.837296,Montpellier
ARR_00072,Nom_72,48.692740,2.450353,Toulouse,00072,4.79,1.53,8.38,7.00,16,3.18,Nom_72,ZAC Ouest,Data.gouv.fr,2024-01-01 00:00:00,00072,Nom_72,9.22,2.42,8.95,6.39,48.966950,1.938435,Strasbourg
ARR_00073,Nom_73,49.194370,2.650554,Paris,00073,3.26,6.10,2.93,6.10,17,2.88,Nom_73,Banlieue Sud,SNCF_Open_Data,2024-01-01 00:00:00,00073,Nom_73,8.04,4.95,3.18,6.04,49.143101,1.943728,Lille
ARR_00074,Nom_74,48.801718,1.930420,Nantes,00074,6.91,1.96,2.57,4.13,27,2.41,Nom_74,Zone Industrielle,Data.gouv.fr,2024-01-01 00:00:00,00074,Nom_74,2.07,5.72,1.48,5.15,48.587777,1.953792,Strasbourg
ARR_00075,Nom_75,48.516199,2.665397,Marseille,00075,7.20,1.36,5.67,6.34,8,5.10,Nom_75,Résidentiel,SNCF_Open_Data,2024-01-01 00:00:00,00075,Nom_75,1.28,6.66,3.96,9.38,48.694370,2.182659,Toulouse
ARR_00076,Nom_76,49.019926,2.290103,Montpellier,00076,8.35,2.51,4.39,4.88,15,7.32,Nom_76,Parc Central,AirParif_2024,2024-01-01 00:00:00,00076,Nom_76,9.78,7.07,5.64,1.48,48.612127,1.922897,Bordeaux
ARR_00077,Nom_77,48.680433,1.990623,Nantes,00077,9.59,8.45,4.96,2.31,21,1.67,Nom_77,Centre-Ville,AirParif_2024,2024-01-01 00:00:00,00077,Nom_77,5.86,6.05,6.58,3.33,48.370633,2.577665,Paris
ARR_00078,Nom_78,48.602464,2.370165,Marseille,00078,6.47,9.55,1.58,2.56,23,7.34,Nom_78,Quartier Nord,Data.gouv.fr,2024-01-01 00:00:00,00078,Nom_78,3.04,1.18,9.26,8.41,48.687280,2.441351,Lyon
ARR_00079,Nom_79,48.433117,2.369171,Paris,00079,1.25,9.79,1.12,5.36,12,1.05,Nom_79,Centre-Ville,AirParif_2024,2024-01-01 00:00:00,00079,Nom_79,5.02,7.20,9.12,3.18,48.836733,2.094422,Montpellier
ARR_00080,Nom_80,48.751015,2.837479,Bordeaux,00080,1.23,2.89,5.45,2.38,17,6.24,Nom_80,Résidentiel,Data.gouv.fr,2024-01-01 00:00:00,00080,Nom_80,2.76,5.57,2.22,1.64,49.035754,2.472819,Marseille
ARR_00081,Nom_81,48.929281,2.138146,Nantes,00081,1.68,1.88,9.89,3.97,10,8.49,Nom_81,Banlieue Sud,Data.gouv.fr,2024-01-01 00:00:00,00081,Nom_81,4.81,2.35,4.28,3.93,48.951305,2.539975,Toulouse
ARR_00082,Nom_82,49.154103,2.141729,Paris,00082,3.61,8.14,4.46,2.23,27,4.06,Nom_82,Banlieue Sud,AirParif_2024,2024-01-01 00:00:00,00082,Nom_82,9.92,2.07,5.18,2.82,49.187071,2.205565,Montpellier
ARR_00083,Nom_83,49.093445,2.222006,Toulouse,00083,4.97,6.02,6.55,4.31,24,7.05,Nom_83,ZAC Ouest,SNCF_Open_Data,2024-01-01 00:00:00,00083,Nom_83,5.10,9.14,9.19,3.27,48.579758,2.109164,Bordeaux
ARR_00084,Nom_84,48.896692,2.268604,Nantes,00084,9.44,3.18,5.69,8.93,27,7.20,Nom_84,Zone Industrielle,AirParif_2024,2024-01-01 00:00:00,00084,Nom_84,8.78,4.18,9.06,7.33,49.151620,2.665996,Montpellier
ARR_00085,Nom_85,49.099445,2.534380,Lille,00085,7.21,6.79,7.40,1.01,16,1.67,Nom_85,Résidentiel,Meteo_France,2024-01-01 00:00:00,00085,Nom_85,2.73,6.51,3.60,8.51,49.162848,2.095828,Paris
ARR_00086,Nom_86,49.282507,2.093243,Nice,00086,9.43,4.08,4.30,3.95,17,1.43,Nom_86,ZAC Ouest,AirParif_2024,2024-01-01 00:00:00,00086,Nom_86,1.66,1.02,6.82,8.41,48.922616,2.155269,Lyon
ARR_00087,Nom_87,49.287238,2.720923,Toulouse,00087,9.74,7.37,2.67,3.27,8,7.97,Nom_87,Quartier Nord,Data.gouv.fr,2024-01-01 00:00:00,00087,Nom_87,2.62,8.60,8.14,7.18,48.518096,2.036082,Nice
ARR_00088,Nom_88,49.238547,2.849841,Lille,00088,7.46,3.12,7.64,6.61,8,5.50,Nom_88,Banlieue Sud,AirParif_2024,2024-01-01 00:00:00,00088,Nom_88,5.60,3.80,2.35,7.36,48.529670,2.148312,Nantes
ARR_00089,Nom_89,48.653590,2.663505,Nice,00089,2.08,1.71,6.16,4.54,11,7.16,Nom_89,ZAC Ouest,Meteo_France,2024-01-01 00:00:00,00089,Nom_89,7.87,9.80,9.42,5.73,48.480588,1.906309,Nantes
ARR_00090,Nom_90,49.312546,1.908044,Toulouse,00090,1.02,7.89,2.88,7.52,11,5.29,Nom_90,Centre-Ville,AirParif_2024,2024-01-01 00:00:00,00090,Nom_90,1.07,6.15,6.15,9.45,48.470191,2.375868,Lille
ARR_00091,Nom_91,48.617903,2.473378,Montpellier,00091,3.08,6.45,3.56,2.27,16,9.06,Nom_91,Parc Central,RATP_Open_Data_2024,2024-01-01 00:00:00,00091,Nom_91,8.76,9.72,7.93,2.23,48.820388,1.946650,Nice
ARR_00092,Nom_92,48.677407,2.728016,Nantes,00092,6.91,9.25,4.11,2.28,9,3.43,Nom_92,Banlieue Sud,AirParif_2024,2024-01-01 00:00:00,00092,Nom_92,1.59,7.32,1.86,5.64,48.966371,2.539356,Bordeaux
ARR_00093,Nom_93,48.640462,2.488322,Strasbourg,00093,3.88,2.97,2.52,2.45,20,7.21,Nom_93,ZAC Ouest,RATP_Open_Data_2024,2024-01-01 00:00:00,00093,Nom_93,8.30,8.73,2.57,3.49,48.418438,2.681227,Lille
ARR_00094,Nom_94,49.159859,2.247215,Nantes,00094,8.76,5.15,5.26,4.20,5,3.52,Nom_94,Quartier Nord,Meteo_France,2024-01-01 00:00:00,00094,Nom_94,3.54,4.44,6.00,2.88,49.101941,2.276560,Toulouse
ARR_00095,Nom_95,48.884562,2.727400,Lille,00095,1.26,5.26,5.52,8.63,13,7.24,Nom_95,Banlieue Sud,RATP_Open_Data_2024,2024-01-01 00:00:00,00095,Nom_95,3.54,5.21,3.71,6.69,48.680918,2.071555,Lille
ARR_00096,Nom_96,49.067236,2.282851,Marseille,00096,1.71,6.87,6.23,8.32,10,4.81,Nom_96,Centre-Ville,SNCF_Open_Data,2024-01-01 00:00:00,00096,Nom_96,1.97,8.80,3.80,1.65,48.868004,2.163256,Paris
ARR_00097,Nom_97,49.328656,2.670305,Toulouse,00097,8.09,5.98,4.39,1.02,17,6.03,Nom_97,Banlieue Sud,Meteo_France,2024-01-01 00:00:00,00097,Nom_97,5.85,7.09,3.96,2.00,48.754809,2.012840,Lyon
ARR_00098,Nom_98,48.382969,2.560371,Montpellier,00098,4.53,9.17,4.32,5.22,5,1.79,Nom_98,ZAC Ouest,AirParif_2024,2024-01-01 00:00:00,00098,Nom_98,6.31,4.00,4.97,4.10,48.690165,1.905076,Marseille
ARR_00099,Nom_99,48.425452,2.799226,Nantes,00099,5.00,2.86,2.46,3.78,18,4.27,Nom_99,Parc Central,SNCF_Open_Data,2024-01-01 00:00:00,00099,Nom_99,1.59,7.97,3.76,4.47,48.772148,2.265732,Nantes
ARR_00100,Nom_100,48.608482,1.888491,Paris,00100,7.93,7.08,3.40,9.69,22,7.49,Nom_100,ZAC Ouest,Meteo_France,2024-01-01 00:00:00,00100,Nom_100,8.82,3.69,1.67,7.36,49.317247,2.371245,Nantes
ARR_00101,Nom_101,48.567435,2.537786,Toulouse,00101,8.19,5.65,3.52,2.60,12,5.92,Nom_101,ZAC Ouest,Meteo_France,2024-01-01 00:00:00,00101,Nom_101,9.68,8.42,9.41,2.08,48.660944,2.408874,Toulouse
ARR_00102,Nom_102,48.993477,2.320296,Nice,00102,4.55,5.08,7.59,6.32,23,8.53,Nom_102,Quartier Nord,Data.gouv.fr,2024-01-01 00:00:00,00102,Nom_102,1.43,3.46,5.94,8.35,48.681831,2.733511,Marseille
ARR_00103,Nom_103,48.886717,2.789031,Paris,00103,7.03,8.45,8.71,8.01,3,3.13,Nom_103,Quartier Nord,SNCF_Open_Data,2024-01-01 00:00:00,00103,Nom_103,4.62,7.45,3.46,8.35,48.526660,2.236239,Nice
ARR_00104,Nom_104,48.589034,2.013283,Marseille,00104,8.75,9.50,1.79,6.80,7,4.39,Nom_104,Résidentiel,Data.gouv.fr,2024-01-01 00:00:00,00104,Nom_104,3.82,5.45,2.18,7.65,48.531306,2.484260,Toulouse
