col_securite_id,col_nom_zone,col_ville,col_niveau_securite,col_nbr_cameras,col_sentiment_securite,col_taux_delinquance,col_periodicite_patrouille,col_zone_couverte_camera,col_source,col_date_maj
SEC_00093,Banlieue Sud,Bordeaux,Modéré,30,4.20,8.28,9.08,Centre-Ville,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00094,Banlieue Sud,Nice,Faible,60,7.18,9.94,3.05,Banlieue Sud,Meteo_France,2024-01-01 00:00:00
SEC_00095,Banlieue Sud,Paris,Élevé,14,2.45,3.79,8.62,Quartier Nord,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00096,Centre-Ville,Nice,Critique,90,5.54,2.04,6.61,Zone Industrielle,Meteo_France,2024-01-01 00:00:00
SEC_00097,Banlieue Sud,Montpellier,Élevé,53,1.39,9.74,4.29,Zone Industrielle,Meteo_France,2024-01-01 00:00:00
SEC_00098,Quartier Nord,Montpellier,Modéré,7,7.31,7.66,4.68,ZAC Ouest,AirParif_2024,2024-01-01 00:00:00
SEC_00099,ZAC Ouest,Toulouse,Élevé,55,8.46,7.18,4.25,Centre-Ville,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00100,Résidentiel,Nantes,Critique,87,6.93,2.13,8.71,Quartier Nord,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00101,ZAC Ouest,Nice,Faible,98,7.54,3.06,6.43,ZAC Ouest,AirParif_2024,2024-01-01 00:00:00
SEC_00102,Zone Industrielle,Nice,Élevé,2,5.85,8.83,2.86,Résidentiel,Meteo_France,2024-01-01 00:00:00
SEC_00103,Parc Central,Bordeaux,Modéré,19,1.23,4.26,4.04,ZAC Ouest,AirParif_2024,2024-01-01 00:00:00
SEC_00104,ZAC Ouest,Nantes,Modéré,39,7.09,3.03,1.84,Zone Industrielle,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00105,Banlieue Sud,Marseille,Élevé,80,6.70,1.38,4.52,Parc Central,Data.gouv.fr,2024-01-01 00:00:00
SEC_00106,Résidentiel,Nantes,Faible,19,5.41,5.38,7.01,Zone Industrielle,Data.gouv.fr,2024-01-01 00:00:00
SEC_00107,Zone Industrielle,Bordeaux,Modéré,36,4.75,7.87,9.93,Quartier Nord,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00108,Banlieue Sud,Nantes,Modéré,98,2.47,7.12,7.84,ZAC Ouest,Data.gouv.fr,2024-01-01 00:00:00
SEC_00109,Résidentiel,Nice,Élevé,39,5.89,1.49,6.56,Quartier Nord,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00110,Quartier Nord,Marseille,Élevé,90,3.90,3.78,3.76,Centre-Ville,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00111,ZAC Ouest,Nantes,Critique,63,2.75,1.93,5.99,Centre-Ville,Meteo_France,2024-01-01 00:00:00
SEC_00112,Zone Industrielle,Nice,Faible,85,6.23,6.30,3.61,Résidentiel,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00113,Centre-Ville,Nice,Modéré,71,5.62,9.59,2.27,Banlieue Sud,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00114,Résidentiel,Marseille,Modéré,74,6.45,6.12,1.52,Résidentiel,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00115,Centre-Ville,Lille,Faible,65,5.28,8.75,6.48,Résidentiel,AirParif_2024,2024-01-01 00:00:00
SEC_00116,Résidentiel,Bordeaux,Modéré,53,5.55,3.11,6.66,Résidentiel,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00117,Zone Industrielle,Lyon,Modéré,74,5.05,5.60,1.20,Parc Central,Data.gouv.fr,2024-01-01 00:00:00
SEC_00118,ZAC Ouest,Marseille,Modéré,96,5.42,3.23,1.56,Résidentiel,Meteo_France,2024-01-01 00:00:00
SEC_00119,Zone Industrielle,Montpellier,Faible,4,7.82,8.34,7.05,ZAC Ouest,Data.gouv.fr,2024-01-01 00:00:00
SEC_00120,Quartier Nord,Marseille,Faible,7,1.11,7.18,1.07,Parc Central,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00121,Résidentiel,Lille,Faible,93,4.52,8.41,3.36,Centre-Ville,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00122,Zone Industrielle,Nice,Modéré,100,5.14,2.21,4.04,Zone Industrielle,AirParif_2024,2024-01-01 00:00:00
SEC_00123,Banlieue Sud,Nantes,Critique,47,2.88,3.28,1.11,ZAC Ouest,Meteo_France,2024-01-01 00:00:00
SEC_00124,Parc Central,Nice,Critique,41,4.44,8.72,1.52,Banlieue Sud,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00125,Parc Central,Lyon,Élevé,46,7.44,8.72,6.01,ZAC Ouest,Data.gouv.fr,2024-01-01 00:00:00
SEC_00126,Centre-Ville,Nice,Modéré,83,7.95,7.06,3.15,Quartier Nord,AirParif_2024,2024-01-01 00:00:00
SEC_00127,Parc Central,Nantes,Critique,72,7.00,6.54,4.96,Centre-Ville,Data.gouv.fr,2024-01-01 00:00:00
SEC_00128,Parc Central,Nantes,Faible,8,9.63,7.24,5.35,Quartier Nord,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00129,Parc Central,Lille,Élevé,30,5.59,5.10,2.74,Centre-Ville,Meteo_France,2024-01-01 00:00:00
SEC_00130,Quartier Nord,Nantes,Critique,84,6.68,4.01,9.01,ZAC Ouest,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00131,Zone Industrielle,Nantes,Élevé,52,2.88,5.31,7.30,ZAC Ouest,Meteo_France,2024-01-01 00:00:00
SEC_00132,Zone Industrielle,Nice,Faible,76,9.89,3.82,3.60,Quartier Nord,AirParif_2024,2024-01-01 00:00:00
SEC_00133,Centre-Ville,Toulouse,Élevé,81,7.07,9.16,7.99,Quartier Nord,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00134,Banlieue Sud,Nantes,Faible,45,5.34,8.30,6.76,Zone Industrielle,Meteo_France,2024-01-01 00:00:00
SEC_00135,Banlieue Sud,Toulouse,Élevé,18,1.89,4.60,3.96,ZAC Ouest,AirParif_2024,2024-01-01 00:00:00
SEC_00136,Zone Industrielle,Strasbourg,Critique,62,6.06,4.79,5.72,Banlieue Sud,AirParif_2024,2024-01-01 00:00:00
SEC_00137,Zone Industrielle,Nice,Élevé,20,9.68,4.48,5.65,Centre-Ville,AirParif_2024,2024-01-01 00:00:00
SEC_00138,Centre-Ville,Montpellier,Critique,48,7.89,7.78,7.29,Quartier Nord,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00139,Zone Industrielle,Nantes,Faible,24,6.11,1.19,9.10,Centre-Ville,AirParif_2024,2024-01-01 00:00:00
SEC_00140,Parc Central,Lille,Critique,61,8.44,1.10,8.35,Résidentiel,Meteo_France,2024-01-01 00:00:00
SEC_00141,Zone Industrielle,Montpellier,Modéré,10,2.92,2.01,1.16,ZAC Ouest,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00142,Zone Industrielle,Marseille,Modéré,31,3.62,8.14,8.15,ZAC Ouest,Meteo_France,2024-01-01 00:00:00
SEC_00143,Résidentiel,Montpellier,Élevé,93,6.84,3.42,6.25,Quartier Nord,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00144,Banlieue Sud,Lyon,Critique,53,3.38,2.02,8.93,Résidentiel,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00145,Zone Industrielle,Marseille,Critique,74,1.21,3.59,6.83,Centre-Ville,AirParif_2024,2024-01-01 00:00:00
SEC_00146,ZAC Ouest,Paris,Élevé,24,2.23,2.75,8.09,Zone Industrielle,Meteo_France,2024-01-01 00:00:00
SEC_00147,ZAC Ouest,Marseille,Élevé,48,5.77,6.62,2.57,Résidentiel,Data.gouv.fr,2024-01-01 00:00:00
SEC_00148,Banlieue Sud,Lyon,Élevé,83,5.95,5.08,3.77,ZAC Ouest,Meteo_France,2024-01-01 00:00:00
SEC_00149,Zone Industrielle,Lyon,Faible,29,8.94,2.78,2.28,Résidentiel,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00150,Centre-Ville,Toulouse,Élevé,30,7.61,8.03,3.94,Résidentiel,Data.gouv.fr,2024-01-01 00:00:00
SEC_00151,Quartier Nord,Lyon,Élevé,22,3.65,3.19,3.58,Parc Central,Meteo_France,2024-01-01 00:00:00
SEC_00152,Zone Industrielle,Strasbourg,Faible,69,9.03,3.47,8.51,ZAC Ouest,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00153,Banlieue Sud,Marseille,Faible,67,6.62,1.42,8.38,Parc Central,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00154,Centre-Ville,Bordeaux,Élevé,44,2.92,9.84,1.68,Résidentiel,Data.gouv.fr,2024-01-01 00:00:00
SEC_00155,ZAC Ouest,Nice,Élevé,56,7.87,8.73,2.78,Banlieue Sud,Meteo_France,2024-01-01 00:00:00
SEC_00156,Parc Central,Lyon,Élevé,54,9.62,9.69,7.43,Zone Industrielle,AirParif_2024,2024-01-01 00:00:00
SEC_00157,Résidentiel,Lille,Critique,12,9.99,3.94,3.73,Parc Central,Meteo_France,2024-01-01 00:00:00
SEC_00158,Résidentiel,Lyon,Élevé,88,5.45,7.19,5.70,Zone Industrielle,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00159,Zone Industrielle,Toulouse,Faible,42,7.21,4.61,1.77,Centre-Ville,Meteo_France,2024-01-01 00:00:00
SEC_00160,ZAC Ouest,Nice,Élevé,33,8.60,8.11,8.43,Quartier Nord,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00161,Centre-Ville,Lille,Élevé,32,6.69,2.92,1.13,Parc Central,Meteo_France,2024-01-01 00:00:00
SEC_00162,Parc Central,Toulouse,Critique,78,8.94,2.63,1.34,Parc Central,Data.gouv.fr,2024-01-01 00:00:00
SEC_00163,Banlieue Sud,Strasbourg,Modéré,45,9.88,6.95,3.96,ZAC Ouest,Meteo_France,2024-01-01 00:00:00
SEC_00164,Centre-Ville,Toulouse,Modéré,73,3.97,1.64,5.47,Parc Central,AirParif_2024,2024-01-01 00:00:00
SEC_00165,Parc Central,Toulouse,Élevé,49,5.24,8.11,6.60,ZAC Ouest,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00166,Centre-Ville,Bordeaux,Modéré,91,4.63,7.59,4.19,ZAC Ouest,AirParif_2024,2024-01-01 00:00:00
SEC_00167,Parc Central,Lyon,Modéré,47,1.94,5.23,9.32,Parc Central,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00168,Centre-Ville,Paris,Élevé,2,7.22,6.57,1.51,Quartier Nord,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00169,Résidentiel,Strasbourg,Faible,62,2.93,1.31,8.26,ZAC Ouest,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00170,Zone Industrielle,Montpellier,Faible,7,5.07,1.09,8.94,Parc Central,AirParif_2024,2024-01-01 00:00:00
SEC_00171,Centre-Ville,Strasbourg,Faible,32,1.60,2.26,9.60,Centre-Ville,Meteo_France,2024-01-01 00:00:00
SEC_00172,Zone Industrielle,Nantes,Modéré,53,6.36,4.41,9.70,Parc Central,Data.gouv.fr,2024-01-01 00:00:00
SEC_00173,Résidentiel,Toulouse,Faible,94,7.65,7.86,5.20,Banlieue Sud,AirParif_2024,2024-01-01 00:00:00
SEC_00174,Parc Central,Nice,Élevé,18,3.10,8.40,7.21,Centre-Ville,AirParif_2024,2024-01-01 00:00:00
SEC_00175,Banlieue Sud,Strasbourg,Faible,64,5.45,5.23,3.31,Zone Industrielle,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00176,Parc Central,Nice,Élevé,38,5.18,2.40,9.03,Résidentiel,Meteo_France,2024-01-01 00:00:00
SEC_00177,Parc Central,Lyon,Faible,36,2.50,3.30,4.50,Parc Central,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00178,Banlieue Sud,Nantes,Faible,44,2.38,2.16,3.94,Centre-Ville,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00179,Zone Industrielle,Toulouse,Critique,2,1.69,6.71,3.87,Zone Industrielle,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00180,Quartier Nord,Marseille,Critique,70,4.01,6.21,8.56,Résidentiel,Meteo_France,2024-01-01 00:00:00
SEC_00181,Quartier Nord,Nantes,Faible,26,1.23,2.73,9.11,Quartier Nord,Data.gouv.fr,2024-01-01 00:00:00
SEC_00182,Centre-Ville,Strasbourg,Faible,74,3.34,1.34,4.55,Quartier Nord,Meteo_France,2024-01-01 00:00:00
SEC_00183,ZAC Ouest,Nantes,Modéré,66,1.03,4.91,9.79,Banlieue Sud,Data.gouv.fr,2024-01-01 00:00:00
SEC_00184,Parc Central,Lyon,Élevé,86,9.32,8.95,6.06,ZAC Ouest,AirParif_2024,2024-01-01 00:00:00
SEC_00185,Parc Central,Lille,Élevé,8,6.57,8.29,8.78,Banlieue Sud,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00186,Parc Central,Montpellier,Faible,23,5.53,8.51,5.06,ZAC Ouest,AirParif_2024,2024-01-01 00:00:00
SEC_00187,ZAC Ouest,Nantes,Modéré,79,5.08,8.24,7.40,Centre-Ville,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00188,Parc Central,Marseille,Critique,88,4.29,1.08,5.83,Banlieue Sud,Data.gouv.fr,2024-01-01 00:00:00
SEC_00189,Zone Industrielle,Lyon,Modéré,35,2.26,4.79,4.75,Centre-Ville,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00190,Quartier Nord,Lille,Élevé,51,8.09,4.66,3.67,Quartier Nord,Data.gouv.fr,2024-01-01 00:00:00
SEC_00191,Quartier Nord,Toulouse,Faible,88,9.12,3.35,9.12,ZAC Ouest,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00192,Banlieue Sud,Nice,Modéré,57,7.28,1.50,5.97,Quartier Nord,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00193,ZAC Ouest,Strasbourg,Modéré,31,3.14,9.04,7.49,Parc Central,AirParif_2024,2024-01-01 00:00:00
SEC_00194,Zone Industrielle,Montpellier,Élevé,1,2.39,8.89,6.78,Parc Central,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00195,Banlieue Sud,Toulouse,Faible,41,5.28,4.12,5.53,Zone Industrielle,Meteo_France,2024-01-01 00:00:00
SEC_00196,Centre-Ville,Lyon,Critique,100,6.32,3.81,1.97,Zone Industrielle,Data.gouv.fr,2024-01-01 00:00:00
SEC_00197,Banlieue Sud,Paris,Modéré,90,4.28,7.59,7.63,Parc Central,Data.gouv.fr,2024-01-01 00:00:00
SEC_00198,Zone Industrielle,Lille,Élevé,88,1.03,8.52,8.48,Parc Central,Meteo_France,2024-01-01 00:00:00
