col_segment_id,col_line_id,col_stop_id_from,col_stop_id_to,col_distance_m,col_temps_theorique_s,col_segment_id_line_id_stop_from,col_stop_to,col_dist_m_t_theo,col_stop_from,col_dist_m,col_t_theo,col_nom_rue,col_type_route,col_vitesse_limite,col_nb_voies,col_longueur_m,col_sens_unique,col_date_maj
SEG_00042,00042,00042,00042,2.75,2.96,00042,6.18,1.85,8.09,3.93,9.25,Nom_42,6.17,8.49,9.14,1.962273,4.03,2024-01-01 00:00:00
SEG_00043,00043,00043,00043,4.78,4.36,00043,8.76,6.92,8.84,9.12,3.75,Nom_43,5.95,5.70,1.72,2.067136,8.25,2024-01-01 00:00:00
SEG_00044,00044,00044,00044,4.45,2.96,00044,8.16,2.87,2.13,5.44,6.68,Nom_44,3.89,4.71,7.76,1.913771,2.33,2024-01-01 00:00:00
SEG_00045,00045,00045,00045,5.28,5.81,00045,5.73,9.97,1.49,8.41,1.02,Nom_45,1.41,5.10,3.37,2.620727,6.20,2024-01-01 00:00:00
SEG_00046,00046,00046,00046,1.16,7.25,00046,7.73,1.72,8.92,2.14,9.40,Nom_46,2.65,7.65,9.29,2.420587,1.86,2024-01-01 00:00:00
SEG_00047,00047,00047,00047,9.80,9.26,00047,7.39,4.33,4.75,9.95,5.69,Nom_47,7.80,9.45,5.19,2.589577,2.36,2024-01-01 00:00:00
SEG_00048,00048,00048,00048,1.00,9.62,00048,4.66,9.25,7.04,9.83,2.89,Nom_48,7.43,7.01,2.98,2.569252,2.42,2024-01-01 00:00:00
SEG_00049,00049,00049,00049,8.07,1.30,00049,8.09,2.03,3.09,8.20,4.25,Nom_49,2.72,6.86,1.96,2.620170,9.80,2024-01-01 00:00:00
SEG_00050,00050,00050,00050,2.27,8.16,00050,8.31,5.16,3.73,1.72,3.77,Nom_50,9.53,3.08,3.84,2.599128,6.75,2024-01-01 00:00:00
SEG_00051,00051,00051,00051,2.20,2.87,00051,3.13,5.14,1.35,6.73,6.49,Nom_51,5.29,9.11,9.41,1.992620,9.03,2024-01-01 00:00:00
SEG_00052,00052,00052,00052,3.07,3.52,00052,9.94,2.66,3.48,2.37,4.08,Nom_52,9.34,3.96,3.44,1.922437,3.28,2024-01-01 00:00:00
SEG_00053,00053,00053,00053,3.21,1.42,00053,8.48,3.40,3.52,2.90,3.84,Nom_53,1.09,7.07,7.88,2.709395,4.50,2024-01-01 00:00:00
SEG_00054,00054,00054,00054,3.58,5.79,00054,9.60,4.92,9.34,6.18,2.56,Nom_54,4.13,6.03,2.49,2.070210,6.10,2024-01-01 00:00:00
SEG_00055,00055,00055,00055,5.60,9.39,00055,6.70,1.42,4.72,3.10,7.07,Nom_55,4.99,2.73,9.56,2.251361,2.10,2024-01-01 00:00:00
SEG_00056,00056,00056,00056,1.79,9.33,00056,2.16,7.74,3.32,7.21,1.77,Nom_56,9.63,3.17,4.26,2.384723,4.02,2024-01-01 00:00:00
SEG_00057,00057,00057,00057,1.24,8.53,00057,4.70,9.40,1.18,1.00,9.11,Nom_57,6.83,9.79,2.70,2.386510,8.02,2024-01-01 00:00:00
SEG_00058,00058,00058,00058,2.13,9.66,00058,6.61,6.59,2.75,5.51,6.68,Nom_58,7.37,5.68,1.93,2.571568,8.36,2024-01-01 00:00:00
SEG_00059,00059,00059,00059,5.69,1.40,00059,9.57,5.93,4.01,6.80,1.20,Nom_59,2.33,6.43,8.18,1.954849,9.26,2024-01-01 00:00:00
SEG_00060,00060,00060,00060,3.38,7.39,00060,4.27,2.55,2.62,8.23,1.01,Nom_60,7.81,7.36,1.74,2.123141,3.97,2024-01-01 00:00:00
SEG_00061,00061,00061,00061,2.39,6.45,00061,4.88,6.47,5.04,5.24,6.62,Nom_61,8.69,6.78,5.30,2.692269,7.94,2024-01-01 00:00:00
SEG_00062,00062,00062,00062,4.53,5.55,00062,5.37,7.94,6.63,3.86,2.74,Nom_62,8.37,3.31,4.44,2.448881,8.33,2024-01-01 00:00:00
SEG_00063,00063,00063,00063,6.62,5.66,00063,5.60,7.71,4.23,2.27,5.67,Nom_63,9.56,8.44,5.13,2.836622,5.38,2024-01-01 00:00:00
SEG_00064,00064,00064,00064,3.42,8.05,00064,4.94,5.17,1.75,5.12,3.54,Nom_64,6.60,5.17,9.24,1.943962,4.05,2024-01-01 00:00:00
SEG_00065,00065,00065,00065,1.73,2.86,00065,2.47,2.29,1.09,4.24,3.72,Nom_65,2.31,4.09,3.12,1.970021,6.24,2024-01-01 00:00:00
SEG_00066,00066,00066,00066,4.34,9.99,00066,2.56,3.58,5.40,6.55,5.74,Nom_66,2.41,3.73,6.11,2.592445,3.21,2024-01-01 00:00:00
SEG_00067,00067,00067,00067,7.19,5.32,00067,3.86,5.01,4.50,4.73,3.25,Nom_67,6.25,2.24,5.93,2.428546,9.31,2024-01-01 00:00:00
SEG_00068,00068,00068,00068,7.00,1.07,00068,3.62,4.10,6.58,8.79,5.72,Nom_68,5.27,3.89,8.53,2.231978,8.29,2024-01-01 00:00:00
SEG_00069,00069,00069,00069,2.76,4.68,00069,1.79,7.57,8.00,7.63,7.24,Nom_69,6.74,3.41,7.57,2.439819,7.33,2024-01-01 00:00:00
SEG_00070,00070,00070,00070,7.16,3.45,00070,2.55,7.84,1.90,7.42,3.36,Nom_70,1.48,7.66,8.14,2.562633,1.35,2024-01-01 00:00:00
SEG_00071,00071,00071,00071,7.29,6.74,00071,2.07,8.96,7.17,6.03,5.61,Nom_71,4.15,7.81,9.47,2.093980,8.39,2024-01-01 00:00:00
SEG_00072,00072,00072,00072,7.39,7.58,00072,2.93,5.04,1.22,9.40,3.30,Nom_72,1.90,6.92,5.45,2.023433,4.88,2024-01-01 00:00:00
SEG_00073,00073,00073,00073,7.30,4.48,00073,1.82,1.89,2.79,4.01,4.12,Nom_73,8.95,6.25,3.77,2.617201,1.18,2024-01-01 00:00:00
SEG_00074,00074,00074,00074,1.47,9.78,00074,6.02,6.54,3.70,9.12,6.84,Nom_74,8.18,9.07,2.52,1.976858,4.02,2024-01-01 00:00:00
SEG_00075,00075,00075,00075,5.65,3.85,00075,4.22,7.71,2.47,1.47,6.46,Nom_75,9.73,5.84,3.09,2.276609,6.83,2024-01-01 00:00:00
SEG_00076,00076,00076,00076,6.99,9.23,00076,3.19,3.55,2.07,6.36,3.40,Nom_76,7.95,5.39,5.98,2.090606,3.99,2024-01-01 00:00:00
SEG_00077,00077,00077,00077,2.03,9.95,00077,7.73,1.59,4.00,5.87,6.12,Nom_77,6.95,1.25,9.67,2.479166,8.29,2024-01-01 00:00:00
SEG_00078,00078,00078,00078,4.24,1.52,00078,6.95,1.74,5.01,6.56,3.94,Nom_78,3.27,7.39,2.61,2.763190,1.46,2024-01-01 00:00:00
SEG_00079,00079,00079,00079,2.82,5.60,00079,7.00,1.54,4.02,9.47,5.65,Nom_79,7.51,4.45,7.07,1.852160,4.00,2024-01-01 00:00:00
SEG_00080,00080,00080,00080,9.75,6.55,00080,6.62,7.34,2.40,6.23,6.49,Nom_80,3.56,1.17,8.03,2.845767,7.19,2024-01-01 00:00:00
SEG_00081,00081,00081,00081,4.73,4.28,00081,7.87,7.32,9.92,5.31,9.70,Nom_81,6.91,9.10,2.93,1.975176,7.60,2024-01-01 00:00:00
SEG_00082,00082,00082,00082,7.07,3.62,00082,6.01,8.81,3.84,2.68,5.18,Nom_82,6.21,5.87,1.79,1.927090,7.51,2024-01-01 00:00:00
SEG_00083,00083,00083,00083,7.39,4.69,00083,1.69,5.10,7.97,1.27,9.71,Nom_83,4.70,2.90,6.14,2.690792,1.18,2024-01-01 00:00:00
SEG_00084,00084,00084,00084,9.61,8.28,00084,2.26,3.87,5.05,5.72,6.97,Nom_84,4.50,6.66,8.95,1.898554,2.21,2024-01-01 00:00:00
SEG_00085,00085,00085,00085,2.38,3.51,00085,4.75,7.36,6.44,3.52,1.18,Nom_85,9.68,4.47,6.41,2.089537,8.77,2024-01-01 00:00:00
SEG_00086,00086,00086,00086,5.37,8.01,00086,2.79,9.89,2.14,6.49,3.07,Nom_86,8.35,6.60,6.44,2.432444,1.88,2024-01-01 00:00:00
SEG_00087,00087,00087,00087,5.12,5.56,00087,4.85,6.42,9.21,2.75,4.03,Nom_87,7.38,8.95,4.29,2.424967,5.17,2024-01-01 00:00:00
SEG_00088,00088,00088,00088,6.13,4.31,00088,5.15,1.88,2.29,4.48,4.07,Nom_88,2.30,1.97,2.36,2.784843,9.03,2024-01-01 00:00:00
SEG_00089,00089,00089,00089,6.70,3.17,00089,3.55,7.45,2.49,1.02,2.54,Nom_89,6.95,1.82,7.06,2.123296,2.50,2024-01-01 00:00:00
SEG_00090,00090,00090,00090,3.67,4.22,00090,5.13,1.36,6.09,5.66,3.34,Nom_90,5.91,5.63,3.80,1.852776,1.64,2024-01-01 00:00:00
SEG_00091,00091,00091,00091,3.74,8.67,00091,7.07,2.00,6.07,6.08,5.31,Nom_91,8.40,7.78,7.84,2.309909,2.27,2024-01-01 00:00:00
SEG_00092,00092,00092,00092,6.97,7.32,00092,7.86,9.62,7.33,4.26,8.69,Nom_92,5.45,7.85,3.86,1.924144,8.53,2024-01-01 00:00:00
SEG_00093,00093,00093,00093,2.76,3.27,00093,5.75,3.63,1.91,9.15,4.72,Nom_93,8.83,4.64,2.93,2.289958,8.33,2024-01-01 00:00:00
SEG_00094,00094,00094,00094,1.86,1.41,00094,7.41,6.89,1.24,3.11,9.46,Nom_94,5.94,1.16,7.36,1.861122,6.95,2024-01-01 00:00:00
SEG_00095,00095,00095,00095,8.79,7.32,00095,7.54,2.16,3.93,1.78,1.31,Nom_95,1.04,2.31,1.16,2.814882,4.27,2024-01-01 00:00:00
SEG_00096,00096,00096,00096,2.01,9.14,00096,1.41,8.80,1.69,4.04,9.18,Nom_96,7.96,3.42,5.79,1.924591,7.23,2024-01-01 00:00:00
SEG_00097,00097,00097,00097,6.62,7.87,00097,6.51,6.46,2.68,7.93,4.74,Nom_97,6.37,9.04,2.90,2.805994,9.05,2024-01-01 00:00:00
SEG_00098,00098,00098,00098,9.71,8.75,00098,5.36,1.85,6.22,4.46,2.08,Nom_98,2.97,8.68,8.72,2.053273,5.01,2024-01-01 00:00:00
SEG_00099,00099,00099,00099,3.17,5.20,00099,3.28,4.92,3.43,1.67,2.27,Nom_99,7.35,3.69,4.10,2.674099,2.14,2024-01-01 00:00:00
SEG_00100,00100,00100,00100,1.09,7.65,00100,3.93,8.79,4.79,2.56,1.40,Nom_100,9.87,7.27,3.28,2.670421,3.99,2024-01-01 00:00:00
SEG_00101,00101,00101,00101,6.76,9.00,00101,4.77,2.18,8.67,4.78,8.13,Nom_101,9.96,4.85,3.49,2.659843,8.46,2024-01-01 00:00:00
SEG_00102,00102,00102,00102,3.39,3.47,00102,1.05,9.44,1.27,2.91,8.38,Nom_102,3.20,6.60,8.31,2.584481,1.22,2024-01-01 00:00:00
SEG_00103,00103,00103,00103,5.16,2.18,00103,8.52,9.37,1.16,3.76,5.16,Nom_103,3.11,6.84,6.98,2.807985,2.18,2024-01-01 00:00:00
SEG_00104,00104,00104,00104,2.31,1.30,00104,9.92,7.14,9.70,6.30,8.82,Nom_104,5.97,4.99,6.96,2.798662,8.23,2024-01-01 00:00:00
SEG_00105,00105,00105,00105,9.96,3.82,00105,9.65,3.38,2.71,8.59,5.66,Nom_105,6.37,9.61,9.96,2.710971,4.20,2024-01-01 00:00:00
SEG_00106,00106,00106,00106,5.47,6.75,00106,1.34,5.21,2.11,5.72,7.16,Nom_106,8.00,9.92,2.56,2.084261,2.07,2024-01-01 00:00:00
SEG_00107,00107,00107,00107,5.26,1.20,00107,4.96,1.87,6.46,6.27,4.07,Nom_107,5.95,2.95,3.02,2.598481,1.15,2024-01-01 00:00:00
SEG_00108,00108,00108,00108,3.16,2.59,00108,5.22,9.70,5.34,4.68,5.93,Nom_108,6.22,9.53,4.86,1.989923,2.35,2024-01-01 00:00:00
SEG_00109,00109,00109,00109,1.55,8.90,00109,5.73,6.56,4.88,9.50,6.44,Nom_109,9.81,3.95,8.44,2.004871,8.00,2024-01-01 00:00:00
SEG_00110,00110,00110,00110,7.81,1.73,00110,1.22,9.59,6.48,3.43,7.59,Nom_110,1.95,5.34,9.36,2.724621,2.62,2024-01-01 00:00:00
SEG_00111,00111,00111,00111,6.00,9.90,00111,2.92,4.11,2.03,4.32,8.07,Nom_111,9.65,6.21,3.96,1.968890,3.93,2024-01-01 00:00:00
SEG_00112,00112,00112,00112,1.35,9.76,00112,9.65,4.43,1.68,4.28,3.21,Nom_112,1.99,5.20,2.38,2.587462,8.32,2024-01-01 00:00:00
SEG_00113,00113,00113,00113,8.72,9.84,00113,4.22,7.84,8.31,2.64,6.88,Nom_113,9.80,3.00,5.88,2.678230,2.65,2024-01-01 00:00:00
SEG_00114,00114,00114,00114,7.86,4.60,00114,9.39,3.22,8.36,4.18,6.46,Nom_114,8.31,8.27,1.34,1.873502,8.72,2024-01-01 00:00:00
SEG_00115,00115,00115,00115,8.30,1.16,00115,1.65,9.90,9.15,1.21,5.40,Nom_115,7.01,5.01,6.65,2.203474,5.49,2024-01-01 00:00:00
SEG_00116,00116,00116,00116,2.03,3.89,00116,9.15,7.89,8.45,7.22,7.20,Nom_116,7.05,2.60,9.04,2.488385,9.57,2024-01-01 00:00:00
SEG_00117,00117,00117,00117,4.04,4.63,00117,2.07,1.52,2.90,6.29,4.60,Nom_117,4.26,7.84,8.14,2.791000,4.49,2024-01-01 00:00:00
SEG_00118,00118,00118,00118,2.31,6.22,00118,5.94,6.37,9.42,6.82,7.39,Nom_118,2.48,7.72,2.57,2.146264,5.59,2024-01-01 00:00:00
SEG_00119,00119,00119,00119,4.33,6.13,00119,7.57,2.01,8.91,7.01,2.79,Nom_119,8.61,5.53,9.96,1.851836,1.12,2024-01-01 00:00:00
SEG_00120,00120,00120,00120,1.17,3.72,00120,4.59,8.33,8.73,5.13,9.30,Nom_120,2.16,9.30,8.41,2.265513,9.52,2024-01-01 00:00:00
SEG_00121,00121,00121,00121,3.13,5.22,00121,3.08,7.00,2.75,6.81,2.04,Nom_121,6.39,4.18,1.31,2.657429,9.71,2024-01-01 00:00:00
SEG_00122,00122,00122,00122,8.52,7.46,00122,3.56,5.42,1.40,1.51,7.20,Nom_122,9.79,3.30,8.41,2.281189,8.44,2024-01-01 00:00:00
SEG_00123,00123,00123,00123,4.32,1.85,00123,2.62,3.42,4.15,8.50,9.01,Nom_123,4.29,7.02,5.80,2.643432,1.59,2024-01-01 00:00:00
SEG_00124,00124,00124,00124,6.50,5.35,00124,6.08,6.07,1.25,9.47,5.89,Nom_124,6.54,9.21,6.77,2.488213,7.08,2024-01-01 00:00:00
SEG_00125,00125,00125,00125,5.88,8.19,00125,7.74,1.70,6.79,1.27,5.19,Nom_125,1.42,3.68,4.91,2.797129,7.35,2024-01-01 00:00:00
SEG_00126,00126,00126,00126,5.38,8.77,00126,7.87,1.20,5.71,9.58,5.54,Nom_126,7.69,6.01,6.99,2.434213,9.11,2024-01-01 00:00:00
SEG_00127,00127,00127,00127,1.51,7.56,00127,4.18,6.26,7.76,5.00,8.36,Nom_127,1.70,3.58,7.14,2.470042,3.35,2024-01-01 00:00:00
SEG_00128,00128,00128,00128,7.51,9.06,00128,5.35,4.42,7.55,1.94,4.85,Nom_128,3.70,2.38,3.79,2.213222,5.26,2024-01-01 00:00:00
SEG_00129,00129,00129,00129,3.55,8.14,00129,4.42,8.43,9.18,5.56,5.33,Nom_129,3.32,1.42,6.73,2.621938,1.82,2024-01-01 00:00:00
SEG_00130,00130,00130,00130,4.35,4.08,00130,8.54,6.15,8.18,5.96,6.47,Nom_130,2.35,3.75,8.49,1.938379,4.12,2024-01-01 00:00:00
SEG_00131,00131,00131,00131,3.28,5.00,00131,2.43,7.80,9.63,2.82,1.84,Nom_131,5.22,1.57,5.76,2.198167,1.59,2024-01-01 00:00:00
SEG_00132,00132,00132,00132,5.65,2.67,00132,7.07,2.24,5.98,8.26,2.99,Nom_132,1.28,8.71,4.32,2.233495,4.08,2024-01-01 00:00:00
SEG_00133,00133,00133,00133,6.41,7.12,00133,5.10,4.41,2.40,9.71,3.73,Nom_133,3.40,3.43,9.16,2.560203,2.84,2024-01-01 00:00:00
SEG_00134,00134,00134,00134,9.06,2.13,00134,7.48,3.62,7.75,6.48,3.55,Nom_134,3.17,5.52,2.38,2.627728,8.70,2024-01-01 00:00:00
SEG_00135,00135,00135,00135,7.09,4.42,00135,7.11,5.65,9.33,5.29,9.51,Nom_135,1.46,9.87,1.86,2.075056,2.83,2024-01-01 00:00:00
SEG_00136,00136,00136,00136,7.23,5.65,00136,1.02,6.12,2.90,3.53,8.42,Nom_136,7.49,3.82,2.01,2.554585,9.11,2024-01-01 00:00:00
SEG_00137,00137,00137,00137,1.05,7.33,00137,3.91,4.68,9.84,3.51,2.15,Nom_137,6.00,2.04,8.10,2.316302,3.66,2024-01-01 00:00:00
SEG_00138,00138,00138,00138,5.09,6.60,00138,7.55,8.73,8.75,4.73,1.07,Nom_138,2.39,4.67,2.65,2.818348,5.82,2024-01-01 00:00:00
SEG_00139,00139,00139,00139,3.47,7.21,00139,6.07,7.12,2.96,2.87,3.92,Nom_139,1.58,6.90,4.53,2.090427,9.81,2024-01-01 00:00:00
SEG_00140,00140,00140,00140,8.17,3.47,00140,9.30,2.23,6.16,9.97,2.23,Nom_140,6.47,8.17,3.61,1.982439,8.87,2024-01-01 00:00:00
SEG_00141,00141,00141,00141,8.06,6.64,00141,1.23,7.83,8.71,5.09,2.36,Nom_141,2.44,5.47,6.88,2.411190,4.99,2024-01-01 00:00:00
SEG_00142,00142,00142,00142,1.87,2.00,00142,7.98,5.57,7.28,9.46,9.01,Nom_142,8.43,7.02,8.71,2.840519,8.18,2024-01-01 00:00:00
SEG_00143,00143,00143,00143,4.95,6.05,00143,5.13,8.13,1.87,1.27,3.22,Nom_143,8.97,9.50,9.36,2.655548,8.92,2024-01-01 00:00:00
SEG_00144,00144,00144,00144,10.00,2.31,00144,1.78,9.49,1.87,5.84,1.06,Nom_144,1.83,4.66,5.06,2.531299,8.12,2024-01-01 00:00:00
SEG_00145,00145,00145,00145,7.10,1.07,00145,5.47,5.23,4.29,6.68,4.20,Nom_145,7.10,9.59,3.86,2.119911,2.08,2024-01-01 00:00:00
SEG_00146,00146,00146,00146,4.72,3.95,00146,9.94,6.24,2.55,4.31,2.22,Nom_146,2.45,2.23,5.34,2.104746,6.40,2024-01-01 00:00:00
SEG_00147,00147,00147,00147,8.65,2.19,00147,5.62,4.74,8.34,9.71,1.35,Nom_147,9.79,4.20,1.49,1.933780,2.33,2024-01-01 00:00:00
SEG_00148,00148,00148,00148,1.21,6.36,00148,7.36,8.18,7.47,9.34,7.04,Nom_148,6.49,5.70,3.16,2.134373,6.70,2024-01-01 00:00:00
SEG_00149,00149,00149,00149,6.29,6.85,00149,1.47,4.82,6.08,6.01,6.84,Nom_149,2.41,2.90,3.54,2.343913,1.53,2024-01-01 00:00:00
SEG_00150,00150,00150,00150,1.02,1.30,00150,3.36,2.44,6.71,9.46,8.30,Nom_150,4.09,5.63,6.01,2.404328,9.22,2024-01-01 00:00:00
SEG_00151,00151,00151,00151,2.95,4.49,00151,3.67,3.22,1.55,3.82,9.28,Nom_151,1.61,4.26,5.89,2.719932,3.70,2024-01-01 00:00:00
SEG_00152,00152,00152,00152,3.84,4.62,00152,8.21,5.83,3.21,3.26,4.75,Nom_152,5.20,2.75,1.24,2.471873,2.10,2024-01-01 00:00:00
SEG_00153,00153,00153,00153,3.33,6.91,00153,8.19,3.58,6.61,4.44,4.09,Nom_153,2.94,8.09,5.01,1.878491,5.64,2024-01-01 00:00:00
SEG_00154,00154,00154,00154,7.07,5.41,00154,7.19,1.17,2.30,9.07,6.29,Nom_154,3.04,9.38,2.11,2.592767,1.74,2024-01-01 00:00:00
SEG_00155,00155,00155,00155,2.64,9.20,00155,3.38,5.54,2.27,5.60,9.46,Nom_155,9.67,5.53,2.00,1.960767,9.19,2024-01-01 00:00:00
SEG_00156,00156,00156,00156,2.06,7.14,00156,3.32,4.68,9.77,2.65,5.27,Nom_156,5.28,1.45,1.74,2.460557,2.48,2024-01-01 00:00:00
SEG_00157,00157,00157,00157,2.87,3.43,00157,4.75,7.93,2.72,8.17,3.77,Nom_157,1.01,3.86,6.11,2.043422,9.48,2024-01-01 00:00:00
