col_environnement_id,col_time_id,col_zone_id,col_polluant_id,col_mode_id,col_station_id,col_valeur_co2,col_niveau_pollution,col_aqi_moyen,col_condition_meteo,col_temperature,col_prix_carburant_ref,col_energie_renouvelable_pourcent,col_impact_sante_index,col_cout_pollution,col_energy_consumption_per_vehicle,col_source,col_date_insertion
ENV_00017,00017,00017,00017,00017,00017,9.81,Modéré,4.80,Soleil,3.37,1.40,4.49,5,7.22,7.26,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00018,00018,00018,00018,00018,00018,44.48,Modéré,1.87,Pluie,1.41,1.61,4.65,5,2.88,5.54,Meteo_France,2024-01-01 00:00:00
ENV_00019,00019,00019,00019,00019,00019,43.15,Faible,1.06,Nuageux,7.65,3.49,3.48,88,3.35,5.99,Data.gouv.fr,2024-01-01 00:00:00
ENV_00020,00020,00020,00020,00020,00020,46.27,Faible,8.68,Pluie,9.03,8.30,1.58,52,7.19,6.54,Meteo_France,2024-01-01 00:00:00
ENV_00021,00021,00021,00021,00021,00021,24.27,Modéré,1.54,Pluie,6.08,9.83,5.93,19,8.82,1.45,Meteo_France,2024-01-01 00:00:00
ENV_00022,00022,00022,00022,00022,00022,34.51,Élevé,2.06,Soleil,8.28,8.80,4.26,24,8.21,4.62,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00023,00023,00023,00023,00023,00023,44.30,Élevé,8.59,Orage,9.70,8.37,9.81,60,2.26,9.15,AirParif_2024,2024-01-01 00:00:00
ENV_00024,00024,00024,00024,00024,00024,44.94,Modéré,4.30,Orage,7.70,3.22,3.98,7,2.65,7.82,Data.gouv.fr,2024-01-01 00:00:00
ENV_00025,00025,00025,00025,00025,00025,32.06,Faible,7.07,Orage,7.47,1.47,7.55,13,4.31,8.19,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00026,00026,00026,00026,00026,00026,31.38,Faible,4.80,Soleil,4.63,1.28,6.02,86,2.06,4.99,AirParif_2024,2024-01-01 00:00:00
ENV_00027,00027,00027,00027,00027,00027,9.05,Critique,7.81,Nuageux,2.72,0.71,2.60,62,9.93,9.88,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00028,00028,00028,00028,00028,00028,4.33,Élevé,3.52,Brouillard,5.57,8.22,8.42,33,7.38,2.95,Data.gouv.fr,2024-01-01 00:00:00
ENV_00029,00029,00029,00029,00029,00029,14.61,Modéré,6.40,Nuageux,7.80,6.03,5.84,44,7.45,1.84,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00030,00030,00030,00030,00030,00030,49.94,Critique,4.18,Pluie,9.30,8.41,1.82,55,3.12,6.52,Data.gouv.fr,2024-01-01 00:00:00
ENV_00031,00031,00031,00031,00031,00031,22.33,Faible,5.65,Pluie,3.66,6.69,6.85,25,4.54,5.64,AirParif_2024,2024-01-01 00:00:00
ENV_00032,00032,00032,00032,00032,00032,32.60,Critique,9.61,Orage,6.50,5.74,6.82,63,1.09,6.98,AirParif_2024,2024-01-01 00:00:00
ENV_00033,00033,00033,00033,00033,00033,15.76,Critique,3.12,Brouillard,4.47,2.56,8.55,28,5.30,9.39,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00034,00034,00034,00034,00034,00034,34.41,Modéré,1.00,Soleil,8.99,4.93,7.28,81,4.68,7.97,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00035,00035,00035,00035,00035,00035,14.24,Modéré,5.88,Nuageux,3.74,8.92,8.00,72,7.05,3.37,Meteo_France,2024-01-01 00:00:00
ENV_00036,00036,00036,00036,00036,00036,33.01,Critique,4.24,Brouillard,7.94,2.33,9.56,67,9.66,3.00,Meteo_France,2024-01-01 00:00:00
ENV_00037,00037,00037,00037,00037,00037,15.15,Élevé,7.50,Orage,8.80,1.86,9.30,51,9.84,1.64,Data.gouv.fr,2024-01-01 00:00:00
ENV_00038,00038,00038,00038,00038,00038,23.18,Élevé,3.59,Orage,7.72,4.87,8.34,66,7.18,1.93,AirParif_2024,2024-01-01 00:00:00
ENV_00039,00039,00039,00039,00039,00039,34.39,Élevé,4.10,Soleil,6.15,8.76,7.02,36,1.49,5.49,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00040,00040,00040,00040,00040,00040,1.85,Élevé,5.92,Nuageux,9.44,4.45,8.48,75,6.35,5.25,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00041,00041,00041,00041,00041,00041,31.51,Faible,8.19,Nuageux,3.45,0.70,3.54,89,7.23,1.34,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00042,00042,00042,00042,00042,00042,6.52,Modéré,6.46,Pluie,1.31,6.67,8.37,23,7.81,7.11,Meteo_France,2024-01-01 00:00:00
ENV_00043,00043,00043,00043,00043,00043,22.49,Élevé,2.56,Brouillard,3.36,1.56,2.17,84,4.36,4.86,AirParif_2024,2024-01-01 00:00:00
ENV_00044,00044,00044,00044,00044,00044,4.95,Élevé,5.95,Pluie,7.81,5.08,8.34,7,8.71,6.13,Data.gouv.fr,2024-01-01 00:00:00
ENV_00045,00045,00045,00045,00045,00045,29.18,Élevé,3.46,Brouillard,4.54,6.69,2.38,71,6.48,6.16,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00046,00046,00046,00046,00046,00046,44.19,Élevé,8.32,Pluie,6.95,1.27,4.07,34,5.47,2.39,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00047,00047,00047,00047,00047,00047,2.82,Critique,9.52,Nuageux,3.63,9.81,1.70,3,5.42,4.50,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00048,00048,00048,00048,00048,00048,28.80,Faible,5.01,Soleil,4.60,0.52,5.42,79,8.53,8.44,Data.gouv.fr,2024-01-01 00:00:00
ENV_00049,00049,00049,00049,00049,00049,2.45,Faible,8.41,Orage,4.54,2.98,9.67,66,4.61,6.12,Data.gouv.fr,2024-01-01 00:00:00
ENV_00050,00050,00050,00050,00050,00050,22.02,Modéré,3.95,Nuageux,4.35,5.15,7.70,100,5.88,5.22,AirParif_2024,2024-01-01 00:00:00
ENV_00051,00051,00051,00051,00051,00051,27.37,Élevé,9.22,Orage,8.09,6.11,1.29,16,5.62,2.50,Data.gouv.fr,2024-01-01 00:00:00
ENV_00052,00052,00052,00052,00052,00052,29.87,Modéré,3.87,Orage,7.01,5.93,8.62,98,2.56,1.80,Data.gouv.fr,2024-01-01 00:00:00
ENV_00053,00053,00053,00053,00053,00053,3.33,Faible,6.51,Brouillard,8.68,1.92,2.80,86,3.75,4.74,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00054,00054,00054,00054,00054,00054,48.13,Modéré,4.42,Pluie,4.92,5.38,6.59,32,2.81,8.68,Data.gouv.fr,2024-01-01 00:00:00
ENV_00055,00055,00055,00055,00055,00055,6.08,Élevé,6.70,Orage,2.70,4.23,2.71,44,1.09,7.63,Meteo_France,2024-01-01 00:00:00
ENV_00056,00056,00056,00056,00056,00056,16.31,Faible,2.77,Brouillard,2.16,3.91,6.38,97,4.45,5.50,Data.gouv.fr,2024-01-01 00:00:00
ENV_00057,00057,00057,00057,00057,00057,24.80,Modéré,1.22,Nuageux,8.72,2.63,8.66,38,7.86,5.67,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00058,00058,00058,00058,00058,00058,19.07,Modéré,8.56,Soleil,1.40,2.64,3.31,91,4.05,5.24,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00059,00059,00059,00059,00059,00059,30.87,Faible,3.93,Soleil,6.22,5.15,6.65,76,5.15,7.30,Meteo_France,2024-01-01 00:00:00
ENV_00060,00060,00060,00060,00060,00060,4.61,Critique,8.82,Soleil,7.11,8.84,3.17,27,7.17,6.64,Meteo_France,2024-01-01 00:00:00
ENV_00061,00061,00061,00061,00061,00061,25.52,Élevé,3.89,Pluie,6.93,4.72,5.72,56,9.92,9.68,Data.gouv.fr,2024-01-01 00:00:00
ENV_00062,00062,00062,00062,00062,00062,30.38,Faible,1.32,Nuageux,4.63,2.79,5.84,91,0.73,1.07,Data.gouv.fr,2024-01-01 00:00:00
ENV_00063,00063,00063,00063,00063,00063,40.19,Faible,9.59,Orage,6.12,5.96,8.71,83,4.33,4.93,Data.gouv.fr,2024-01-01 00:00:00
ENV_00064,00064,00064,00064,00064,00064,2.51,Critique,9.89,Soleil,7.14,1.70,1.33,74,6.59,5.82,Meteo_France,2024-01-01 00:00:00
ENV_00065,00065,00065,00065,00065,00065,12.38,Élevé,7.07,Pluie,1.10,8.74,5.28,96,1.49,8.13,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00066,00066,00066,00066,00066,00066,17.63,Critique,6.08,Brouillard,3.62,1.83,1.04,59,1.89,6.59,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00067,00067,00067,00067,00067,00067,33.01,Modéré,7.85,Pluie,9.19,8.65,6.01,72,8.66,3.87,Meteo_France,2024-01-01 00:00:00
ENV_00068,00068,00068,00068,00068,00068,3.43,Faible,1.40,Brouillard,3.74,6.99,7.50,35,7.27,9.90,Data.gouv.fr,2024-01-01 00:00:00
ENV_00069,00069,00069,00069,00069,00069,16.23,Critique,9.66,Nuageux,4.54,3.13,4.17,99,1.71,7.91,Meteo_France,2024-01-01 00:00:00
ENV_00070,00070,00070,00070,00070,00070,17.42,Modéré,5.28,Soleil,5.41,6.69,2.60,8,6.62,6.69,Meteo_France,2024-01-01 00:00:00
ENV_00071,00071,00071,00071,00071,00071,44.00,Élevé,7.41,Soleil,4.76,0.90,7.85,36,1.04,6.11,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00072,00072,00072,00072,00072,00072,43.69,Élevé,6.37,Brouillard,2.15,8.37,1.01,38,3.21,2.04,Data.gouv.fr,2024-01-01 00:00:00
ENV_00073,00073,00073,00073,00073,00073,6.08,Faible,7.96,Pluie,3.50,0.61,1.91,36,6.86,1.31,Meteo_France,2024-01-01 00:00:00
ENV_00074,00074,00074,00074,00074,00074,24.37,Modéré,8.13,Pluie,4.71,6.52,3.01,67,6.74,3.55,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00075,00075,00075,00075,00075,00075,25.58,Faible,5.31,Pluie,7.35,8.65,6.50,92,5.35,7.00,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00076,00076,00076,00076,00076,00076,26.32,Modéré,9.72,Soleil,5.02,0.56,9.36,27,8.67,3.12,Data.gouv.fr,2024-01-01 00:00:00
ENV_00077,00077,00077,00077,00077,00077,6.40,Modéré,4.92,Brouillard,2.96,1.06,8.87,2,6.17,1.75,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00078,00078,00078,00078,00078,00078,26.79,Faible,7.09,Brouillard,1.69,0.86,8.95,33,6.11,4.87,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00079,00079,00079,00079,00079,00079,39.08,Critique,2.76,Nuageux,2.18,8.20,9.55,100,9.09,9.06,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00080,00080,00080,00080,00080,00080,34.02,Faible,6.09,Pluie,4.65,9.19,1.85,82,4.64,3.03,AirParif_2024,2024-01-01 00:00:00
ENV_00081,00081,00081,00081,00081,00081,13.35,Faible,1.02,Orage,2.74,9.21,5.78,42,2.52,4.58,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00082,00082,00082,00082,00082,00082,45.36,Modéré,8.37,Nuageux,2.16,9.56,2.36,23,9.25,3.78,Data.gouv.fr,2024-01-01 00:00:00
ENV_00083,00083,00083,00083,00083,00083,26.28,Faible,1.76,Nuageux,5.54,6.53,4.15,1,6.01,5.65,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00084,00084,00084,00084,00084,00084,43.44,Modéré,3.34,Brouillard,6.21,9.05,8.71,18,2.56,3.56,AirParif_2024,2024-01-01 00:00:00
ENV_00085,00085,00085,00085,00085,00085,27.98,Faible,7.79,Brouillard,8.09,8.86,3.56,40,3.05,4.85,AirParif_2024,2024-01-01 00:00:00
ENV_00086,00086,00086,00086,00086,00086,22.18,Faible,8.09,Pluie,7.73,8.44,8.14,32,9.49,7.80,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00087,00087,00087,00087,00087,00087,12.00,Critique,4.55,Brouillard,4.13,5.70,8.86,61,5.49,4.51,Data.gouv.fr,2024-01-01 00:00:00
ENV_00088,00088,00088,00088,00088,00088,14.63,Élevé,4.54,Brouillard,6.87,7.85,2.94,96,3.59,9.97,AirParif_2024,2024-01-01 00:00:00
ENV_00089,00089,00089,00089,00089,00089,47.46,Modéré,2.52,Pluie,7.24,1.83,6.18,31,5.94,1.02,Data.gouv.fr,2024-01-01 00:00:00
ENV_00090,00090,00090,00090,00090,00090,10.20,Faible,5.56,Orage,6.66,9.27,3.00,14,9.39,2.79,Meteo_France,2024-01-01 00:00:00
ENV_00091,00091,00091,00091,00091,00091,6.46,Modéré,2.49,Pluie,1.67,3.98,4.02,39,7.19,2.24,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00092,00092,00092,00092,00092,00092,47.94,Élevé,6.20,Brouillard,2.01,4.36,7.39,56,0.76,1.19,Meteo_France,2024-01-01 00:00:00
ENV_00093,00093,00093,00093,00093,00093,12.51,Élevé,8.17,Nuageux,1.92,3.41,6.05,85,2.97,6.08,Data.gouv.fr,2024-01-01 00:00:00
ENV_00094,00094,00094,00094,00094,00094,8.47,Modéré,2.48,Pluie,1.89,0.81,3.15,29,5.51,7.00,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00095,00095,00095,00095,00095,00095,47.09,Faible,7.02,Orage,9.81,8.55,9.08,40,7.97,9.03,Data.gouv.fr,2024-01-01 00:00:00
ENV_00096,00096,00096,00096,00096,00096,3.69,Critique,4.69,Nuageux,4.86,2.83,4.15,72,7.14,4.10,Meteo_France,2024-01-01 00:00:00
ENV_00097,00097,00097,00097,00097,00097,4.19,Modéré,8.61,Soleil,1.36,2.40,2.65,97,3.68,6.88,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00098,00098,00098,00098,00098,00098,33.77,Faible,3.43,Nuageux,4.69,9.56,4.70,26,7.06,5.66,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00099,00099,00099,00099,00099,00099,15.54,Critique,6.84,Orage,3.51,6.32,5.24,6,9.77,5.78,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00100,00100,00100,00100,00100,00100,32.53,Faible,9.12,Soleil,2.55,5.03,7.26,80,3.23,1.04,AirParif_2024,2024-01-01 00:00:00
ENV_00101,00101,00101,00101,00101,00101,28.79,Faible,5.72,Orage,6.27,1.28,3.83,86,3.76,2.91,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00102,00102,00102,00102,00102,00102,9.23,Critique,3.86,Orage,4.08,6.18,2.11,61,1.50,6.98,AirParif_2024,2024-01-01 00:00:00
ENV_00103,00103,00103,00103,00103,00103,45.80,Critique,9.12,Orage,5.65,6.49,2.16,100,2.45,5.90,Meteo_France,2024-01-01 00:00:00
ENV_00104,00104,00104,00104,00104,00104,7.37,Faible,7.72,Orage,5.02,1.81,4.01,69,9.28,7.48,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00105,00105,00105,00105,00105,00105,27.95,Critique,6.03,Soleil,3.09,6.00,6.59,88,7.55,7.93,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00106,00106,00106,00106,00106,00106,18.05,Modéré,4.81,Nuageux,9.63,2.02,3.11,8,7.20,5.59,Meteo_France,2024-01-01 00:00:00
ENV_00107,00107,00107,00107,00107,00107,2.88,Faible,5.39,Nuageux,9.20,1.69,2.52,77,4.12,8.73,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00108,00108,00108,00108,00108,00108,46.49,Modéré,1.98,Orage,5.01,8.11,6.79,31,5.66,8.23,Data.gouv.fr,2024-01-01 00:00:00
ENV_00109,00109,00109,00109,00109,00109,37.30,Critique,4.44,Nuageux,3.55,2.07,8.02,44,7.33,5.31,AirParif_2024,2024-01-01 00:00:00
ENV_00110,00110,00110,00110,00110,00110,21.14,Élevé,7.71,Soleil,5.70,9.36,3.67,98,6.55,2.31,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00111,00111,00111,00111,00111,00111,40.74,Critique,6.58,Nuageux,2.65,9.31,5.45,36,2.11,7.61,AirParif_2024,2024-01-01 00:00:00
ENV_00112,00112,00112,00112,00112,00112,27.96,Faible,3.65,Orage,3.23,3.88,7.62,70,9.45,3.88,AirParif_2024,2024-01-01 00:00:00
ENV_00113,00113,00113,00113,00113,00113,27.88,Élevé,2.36,Orage,9.77,5.39,1.69,24,2.41,3.75,Meteo_France,2024-01-01 00:00:00
ENV_00114,00114,00114,00114,00114,00114,25.69,Faible,5.64,Orage,5.59,4.46,8.81,75,2.79,4.87,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00115,00115,00115,00115,00115,00115,9.20,Faible,1.12,Orage,1.93,7.71,7.01,55,9.66,9.35,Data.gouv.fr,2024-01-01 00:00:00
ENV_00116,00116,00116,00116,00116,00116,30.89,Critique,9.94,Nuageux,4.37,9.86,1.93,50,5.77,3.39,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00117,00117,00117,00117,00117,00117,14.60,Faible,1.06,Brouillard,7.98,6.73,8.19,43,4.15,3.62,Meteo_France,2024-01-01 00:00:00
ENV_00118,00118,00118,00118,00118,00118,48.07,Critique,8.26,Brouillard,3.87,7.20,4.00,12,0.82,2.73,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00119,00119,00119,00119,00119,00119,25.05,Faible,6.16,Brouillard,9.66,9.63,4.44,79,7.43,4.99,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00120,00120,00120,00120,00120,00120,36.81,Faible,8.80,Orage,8.57,6.83,6.75,93,7.47,5.88,AirParif_2024,2024-01-01 00:00:00
ENV_00121,00121,00121,00121,00121,00121,26.90,Modéré,8.34,Soleil,3.29,6.32,9.26,22,9.79,9.84,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00122,00122,00122,00122,00122,00122,43.22,Élevé,7.25,Brouillard,7.19,8.76,4.19,20,5.74,9.53,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00123,00123,00123,00123,00123,00123,19.60,Élevé,5.21,Brouillard,3.22,3.19,9.54,64,5.49,7.97,AirParif_2024,2024-01-01 00:00:00
ENV_00124,00124,00124,00124,00124,00124,11.09,Élevé,7.74,Brouillard,1.82,5.57,8.88,49,5.31,9.75,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00125,00125,00125,00125,00125,00125,18.67,Élevé,1.88,Orage,6.98,8.16,1.23,32,8.18,6.28,Data.gouv.fr,2024-01-01 00:00:00
ENV_00126,00126,00126,00126,00126,00126,6.57,Faible,8.43,Soleil,7.76,9.40,3.62,42,7.90,1.24,Data.gouv.fr,2024-01-01 00:00:00
ENV_00127,00127,00127,00127,00127,00127,34.74,Faible,5.18,Soleil,4.05,9.89,9.29,7,1.41,3.90,Data.gouv.fr,2024-01-01 00:00:00
ENV_00128,00128,00128,00128,00128,00128,31.02,Faible,9.56,Nuageux,7.37,9.48,6.87,44,2.14,3.41,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00129,00129,00129,00129,00129,00129,44.81,Faible,4.25,Brouillard,1.96,5.18,9.53,58,0.66,4.71,Meteo_France,2024-01-01 00:00:00
ENV_00130,00130,00130,00130,00130,00130,11.77,Modéré,1.51,Orage,1.48,4.22,7.39,62,9.19,2.11,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00131,00131,00131,00131,00131,00131,9.20,Élevé,9.03,Soleil,1.23,6.81,1.64,33,1.16,9.88,Data.gouv.fr,2024-01-01 00:00:00
ENV_00132,00132,00132,00132,00132,00132,48.33,Faible,4.59,Pluie,9.39,9.66,4.65,67,1.94,9.66,Meteo_France,2024-01-01 00:00:00
ENV_00133,00133,00133,00133,00133,00133,15.62,Critique,2.12,Soleil,8.74,1.30,9.67,75,4.93,3.71,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00134,00134,00134,00134,00134,00134,23.72,Modéré,9.62,Pluie,2.43,9.29,1.92,29,3.96,2.55,Data.gouv.fr,2024-01-01 00:00:00
ENV_00135,00135,00135,00135,00135,00135,28.61,Élevé,1.64,Orage,2.39,0.62,8.48,83,9.16,7.04,AirParif_2024,2024-01-01 00:00:00
ENV_00136,00136,00136,00136,00136,00136,49.27,Élevé,3.58,Soleil,6.43,1.93,5.35,74,5.62,2.46,AirParif_2024,2024-01-01 00:00:00
ENV_00137,00137,00137,00137,00137,00137,35.31,Modéré,1.33,Orage,4.01,7.14,9.04,42,6.67,2.50,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00138,00138,00138,00138,00138,00138,46.46,Élevé,1.10,Nuageux,7.75,7.74,8.45,98,7.38,3.26,AirParif_2024,2024-01-01 00:00:00
ENV_00139,00139,00139,00139,00139,00139,3.89,Critique,6.44,Orage,5.80,2.40,3.29,97,5.63,7.72,Meteo_France,2024-01-01 00:00:00
ENV_00140,00140,00140,00140,00140,00140,17.34,Faible,8.97,Pluie,8.65,4.76,1.48,24,1.31,3.93,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00141,00141,00141,00141,00141,00141,45.30,Faible,2.26,Orage,9.39,6.59,4.49,42,3.02,3.24,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00142,00142,00142,00142,00142,00142,19.61,Modéré,1.23,Soleil,8.23,7.35,1.18,5,8.41,7.81,Meteo_France,2024-01-01 00:00:00
ENV_00143,00143,00143,00143,00143,00143,34.90,Modéré,4.84,Soleil,4.36,6.32,3.53,2,6.57,9.14,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00144,00144,00144,00144,00144,00144,38.82,Élevé,2.22,Nuageux,2.07,5.25,9.22,58,3.40,9.55,Data.gouv.fr,2024-01-01 00:00:00
ENV_00145,00145,00145,00145,00145,00145,44.15,Élevé,1.85,Soleil,8.83,1.45,8.68,72,5.51,6.91,AirParif_2024,2024-01-01 00:00:00
ENV_00146,00146,00146,00146,00146,00146,8.08,Faible,1.15,Brouillard,6.90,6.90,4.76,23,7.54,5.54,Meteo_France,2024-01-01 00:00:00
ENV_00147,00147,00147,00147,00147,00147,18.29,Faible,5.57,Pluie,2.37,6.81,9.22,24,7.19,8.63,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00148,00148,00148,00148,00148,00148,19.98,Élevé,1.41,Brouillard,1.39,8.38,2.12,46,3.92,7.24,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00149,00149,00149,00149,00149,00149,3.21,Élevé,7.68,Nuageux,3.65,8.03,3.13,98,2.29,2.65,Data.gouv.fr,2024-01-01 00:00:00
ENV_00150,00150,00150,00150,00150,00150,3.37,Élevé,2.28,Brouillard,9.26,7.26,9.19,98,9.72,5.39,AirParif_2024,2024-01-01 00:00:00
ENV_00151,00151,00151,00151,00151,00151,36.29,Faible,5.97,Pluie,5.30,7.97,2.54,17,8.84,5.69,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00152,00152,00152,00152,00152,00152,42.31,Critique,3.16,Brouillard,6.55,4.59,2.45,8,1.72,4.15,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00153,00153,00153,00153,00153,00153,40.04,Élevé,7.16,Pluie,2.35,3.85,7.31,67,0.95,5.95,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00154,00154,00154,00154,00154,00154,40.56,Élevé,6.89,Nuageux,4.65,5.66,2.05,97,8.91,3.58,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00155,00155,00155,00155,00155,00155,14.70,Élevé,9.37,Soleil,9.46,8.89,6.27,28,5.50,7.29,Meteo_France,2024-01-01 00:00:00
ENV_00156,00156,00156,00156,00156,00156,38.59,Critique,6.85,Orage,5.33,9.94,6.47,45,1.27,2.79,Meteo_France,2024-01-01 00:00:00
ENV_00157,00157,00157,00157,00157,00157,16.40,Critique,2.42,Pluie,8.69,8.44,4.03,1,3.12,3.32,Data.gouv.fr,2024-01-01 00:00:00
ENV_00158,00158,00158,00158,00158,00158,24.01,Modéré,6.50,Nuageux,3.34,8.25,3.60,56,7.46,1.56,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00159,00159,00159,00159,00159,00159,29.59,Élevé,8.56,Orage,1.09,7.59,5.42,7,3.72,4.62,AirParif_2024,2024-01-01 00:00:00
ENV_00160,00160,00160,00160,00160,00160,38.82,Élevé,6.98,Orage,3.14,8.92,8.76,38,1.13,1.70,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00161,00161,00161,00161,00161,00161,26.24,Élevé,6.84,Soleil,5.79,9.51,3.79,53,8.30,6.80,SNCF_Open_Data,2024-01-01 00:00:00
