col_aq_id,col_date,col_zone_id,col_pm25_ugm3,col_no2_ugm3,col_aqi_index,col_indice_qualite_air,col_date_enrichissement
ID_079,2024-06-04 00:00:00,ID_079,6.55,6.33,54.33,2.05,2024-07-25 00:00:00
ID_080,2024-07-06 00:00:00,ID_080,6.22,3.17,21.99,2.28,2024-01-23 00:00:00
ID_081,2024-10-10 00:00:00,ID_081,2.78,5.31,34.75,5.7,2024-11-27 00:00:00
ID_082,2024-10-03 00:00:00,ID_082,7.85,5.24,32.11,3.74,2024-05-20 00:00:00
ID_083,2024-01-30 00:00:00,ID_083,5.59,6.4,79.33,3.31,2024-10-26 00:00:00
ID_084,2024-02-15 00:00:00,ID_084,2.15,7.98,69.03,7.11,2024-05-25 00:00:00
ID_085,2024-07-29 00:00:00,ID_085,4.52,8.37,36.11,8.48,2024-05-29 00:00:00
ID_086,2024-08-09 00:00:00,ID_086,4.88,7.79,54.44,8.59,2024-03-31 00:00:00
ID_087,2024-09-14 00:00:00,ID_087,3.3,2.39,84.61,5.9,2024-05-17 00:00:00
ID_088,2024-11-10 00:00:00,ID_088,6.18,2.71,74.0,8.53,2024-07-12 00:00:00
ID_089,2024-11-20 00:00:00,ID_089,5.22,5.2,83.49,3.52,2024-07-18 00:00:00
ID_090,2024-03-28 00:00:00,ID_090,6.11,2.28,66.09,4.55,2024-01-21 00:00:00
ID_091,2024-10-02 00:00:00,ID_091,4.21,4.5,12.75,6.67,2024-10-14 00:00:00
ID_092,2024-07-10 00:00:00,ID_092,5.35,5.13,16.66,5.33,2024-07-18 00:00:00
ID_093,2024-09-15 00:00:00,ID_093,1.55,6.24,24.51,3.97,2024-06-27 00:00:00
ID_094,2024-10-04 00:00:00,ID_094,3.41,3.92,7.86,2.97,2024-03-21 00:00:00
ID_095,2024-04-22 00:00:00,ID_095,5.69,2.01,46.98,7.1,2024-10-07 00:00:00
ID_096,2024-11-28 00:00:00,ID_096,3.39,5.54,3.99,4.31,2024-02-03 00:00:00
ID_097,2024-09-20 00:00:00,ID_097,3.26,1.68,49.75,1.92,2024-01-09 00:00:00
ID_098,2024-04-24 00:00:00,ID_098,5.65,6.93,34.57,7.43,2024-10-07 00:00:00
ID_099,2024-09-13 00:00:00,ID_099,1.75,4.38,65.42,4.97,2024-06-16 00:00:00
ID_000,2024-03-17 00:00:00,ID_000,7.39,6.16,83.13,2.67,2024-08-17 00:00:00
ID_001,2024-03-02 00:00:00,ID_001,2.52,5.22,63.43,8.51,2024-10-25 00:00:00
ID_002,2024-05-22 00:00:00,ID_002,2.3,5.79,9.96,5.63,2024-12-16 00:00:00
ID_003,2024-11-01 00:00:00,ID_003,1.77,7.68,3.58,3.04,2024-09-10 00:00:00
ID_004,2024-02-12 00:00:00,ID_004,7.34,3.5,39.9,7.46,2024-02-11 00:00:00
ID_005,2024-04-14 00:00:00,ID_005,1.82,3.01,32.47,1.51,2024-10-30 00:00:00
ID_006,2024-04-01 00:00:00,ID_006,4.54,5.42,24.09,3.52,2024-03-30 00:00:00
ID_007,2024-05-29 00:00:00,ID_007,3.92,3.41,59.81,7.33,2024-05-22 00:00:00
ID_008,2024-11-25 00:00:00,ID_008,1.88,8.68,73.21,5.37,2024-06-02 00:00:00
ID_009,2024-08-29 00:00:00,ID_009,4.01,7.18,4.09,7.01,2024-10-22 00:00:00
ID_010,2024-10-11 00:00:00,ID_010,3.67,6.78,14.09,4.2,2024-05-27 00:00:00
ID_011,2024-02-06 00:00:00,ID_011,5.05,7.6,69.67,7.45,2024-09-30 00:00:00
ID_012,2024-08-24 00:00:00,ID_012,6.56,5.42,6.99,8.28,2024-11-17 00:00:00
ID_013,2024-01-22 00:00:00,ID_013,6.64,1.59,64.89,3.25,2024-03-26 00:00:00
ID_014,2024-07-31 00:00:00,ID_014,2.62,3.93,32.7,4.26,2024-01-01 00:00:00
ID_015,2024-09-04 00:00:00,ID_015,5.32,5.6,59.27,2.57,2024-07-11 00:00:00
ID_016,2024-07-06 00:00:00,ID_016,3.4,6.42,20.78,2.73,2024-07-21 00:00:00
ID_017,2024-05-31 00:00:00,ID_017,3.43,3.92,64.61,7.21,2024-02-04 00:00:00
ID_018,2024-10-28 00:00:00,ID_018,4.72,3.81,13.74,4.06,2024-09-17 00:00:00
ID_019,2024-10-03 00:00:00,ID_019,8.13,2.37,54.74,2.16,2024-09-28 00:00:00
ID_020,2024-01-11 00:00:00,ID_020,5.69,3.19,58.81,1.26,2024-03-05 00:00:00
ID_021,2024-05-29 00:00:00,ID_021,3.06,3.32,5.61,8.15,2024-03-17 00:00:00
ID_022,2024-11-13 00:00:00,ID_022,8.19,5.19,8.28,7.03,2024-01-02 00:00:00
ID_023,2024-01-20 00:00:00,ID_023,5.82,6.63,52.95,2.15,2024-10-13 00:00:00
ID_024,2024-12-02 00:00:00,ID_024,3.23,4.3,29.32,5.24,2024-08-18 00:00:00
ID_025,2024-10-08 00:00:00,ID_025,4.68,7.44,39.12,4.3,2024-07-06 00:00:00
ID_026,2024-08-31 00:00:00,ID_026,1.8,7.63,78.29,5.46,2024-11-30 00:00:00
ID_027,2024-12-19 00:00:00,ID_027,8.36,7.42,20.38,7.21,2024-01-11 00:00:00
ID_028,2024-10-31 00:00:00,ID_028,3.75,3.71,11.74,4.25,2024-10-30 00:00:00
ID_029,2024-03-25 00:00:00,ID_029,3.31,3.81,62.8,2.5,2024-08-02 00:00:00
ID_030,2024-10-15 00:00:00,ID_030,8.75,4.31,71.57,5.78,2024-02-14 00:00:00
ID_031,2024-10-06 00:00:00,ID_031,7.22,7.48,17.04,7.14,2024-07-24 00:00:00
ID_032,2024-08-27 00:00:00,ID_032,7.24,4.11,14.41,6.49,2024-11-11 00:00:00
ID_033,2024-09-07 00:00:00,ID_033,6.19,3.97,55.2,7.25,2024-02-24 00:00:00
ID_034,2024-05-19 00:00:00,ID_034,3.01,4.23,5.71,5.5,2024-08-20 00:00:00
ID_035,2024-09-22 00:00:00,ID_035,5.07,5.75,21.3,8.32,2024-06-02 00:00:00
ID_036,2024-04-03 00:00:00,ID_036,7.55,1.65,11.28,8.54,2024-08-17 00:00:00
ID_037,2024-04-15 00:00:00,ID_037,5.77,3.23,51.52,3.34,2024-03-25 00:00:00
ID_038,2024-06-06 00:00:00,ID_038,5.4,5.35,67.54,5.98,2024-11-04 00:00:00
ID_039,2024-03-03 00:00:00,ID_039,2.85,6.47,35.75,4.05,2024-03-30 00:00:00
ID_040,2024-06-28 00:00:00,ID_040,3.33,3.96,4.38,8.45,2024-02-03 00:00:00
ID_041,2024-02-29 00:00:00,ID_041,1.87,6.78,82.62,1.5,2024-04-27 00:00:00
ID_042,2024-03-07 00:00:00,ID_042,6.63,4.29,3.82,5.44,2024-10-31 00:00:00
ID_043,2024-04-04 00:00:00,ID_043,5.91,6.16,62.33,4.81,2024-10-29 00:00:00
ID_044,2024-03-14 00:00:00,ID_044,5.55,4.17,38.98,5.04,2024-03-03 00:00:00
ID_045,2024-08-22 00:00:00,ID_045,3.5,1.48,37.51,5.4,2024-12-03 00:00:00
ID_046,2024-02-13 00:00:00,ID_046,7.43,5.38,38.13,2.24,2024-09-26 00:00:00
ID_047,2024-05-08 00:00:00,ID_047,5.88,4.71,68.33,8.48,2024-04-09 00:00:00
ID_048,2024-07-18 00:00:00,ID_048,4.31,8.1,62.22,4.21,2024-02-17 00:00:00
ID_049,2024-03-02 00:00:00,ID_049,1.36,3.15,26.55,3.17,2024-09-30 00:00:00
ID_050,2024-11-01 00:00:00,ID_050,7.17,2.92,52.98,4.57,2024-08-08 00:00:00
ID_051,2024-08-17 00:00:00,ID_051,5.28,7.58,31.24,1.48,2024-10-13 00:00:00
ID_052,2024-02-16 00:00:00,ID_052,5.77,5.39,6.41,2.95,2024-04-06 00:00:00
ID_053,2024-09-02 00:00:00,ID_053,6.24,3.98,49.47,4.27,2024-04-18 00:00:00
ID_054,2024-11-27 00:00:00,ID_054,6.65,3.89,60.51,4.03,2024-03-27 00:00:00
ID_055,2024-01-18 00:00:00,ID_055,3.31,7.13,31.38,2.66,2024-05-14 00:00:00
ID_056,2024-01-12 00:00:00,ID_056,7.28,7.56,43.01,3.49,2024-08-16 00:00:00
ID_057,2024-03-23 00:00:00,ID_057,5.45,6.07,58.6,4.43,2024-09-23 00:00:00
ID_058,2024-01-08 00:00:00,ID_058,2.15,1.93,34.62,1.66,2024-02-05 00:00:00
ID_059,2024-10-09 00:00:00,ID_059,3.35,7.01,44.13,1.58,2024-10-08 00:00:00
ID_060,2024-05-31 00:00:00,ID_060,4.74,2.65,80.51,3.41,2024-03-12 00:00:00
ID_061,2024-07-14 00:00:00,ID_061,6.37,6.34,52.78,5.2,2024-04-07 00:00:00
ID_062,2024-07-03 00:00:00,ID_062,6.55,1.99,59.7,3.53,2024-11-08 00:00:00
ID_063,2024-05-03 00:00:00,ID_063,7.89,4.96,43.42,1.35,2024-12-25 00:00:00
ID_064,2024-03-27 00:00:00,ID_064,8.36,3.25,64.13,6.49,2024-08-24 00:00:00
ID_065,2024-06-27 00:00:00,ID_065,6.82,6.4,78.03,6.61,2024-05-25 00:00:00
ID_066,2024-01-14 00:00:00,ID_066,5.36,1.39,67.21,7.56,2024-01-23 00:00:00
ID_067,2024-08-23 00:00:00,ID_067,3.03,3.3,69.3,6.32,2024-01-12 00:00:00
ID_068,2024-01-07 00:00:00,ID_068,2.99,4.3,84.2,3.26,2024-04-17 00:00:00
ID_069,2024-04-09 00:00:00,ID_069,5.34,6.91,33.77,1.45,2024-03-01 00:00:00
ID_070,2024-06-12 00:00:00,ID_070,6.79,6.65,82.59,4.12,2024-12-06 00:00:00
ID_071,2024-10-15 00:00:00,ID_071,8.16,2.79,68.4,2.48,2024-11-17 00:00:00
ID_072,2024-07-11 00:00:00,ID_072,8.31,7.18,8.02,1.84,2024-11-28 00:00:00
ID_073,2024-02-16 00:00:00,ID_073,6.41,6.15,52.13,5.54,2024-05-10 00:00:00
ID_074,2024-11-27 00:00:00,ID_074,3.93,4.14,12.71,2.96,2024-09-09 00:00:00
ID_075,2024-01-10 00:00:00,ID_075,8.4,3.08,75.13,1.4,2024-10-22 00:00:00
ID_076,2024-04-01 00:00:00,ID_076,4.36,1.38,29.19,8.38,2024-08-08 00:00:00
ID_077,2024-11-23 00:00:00,ID_077,6.25,4.13,26.56,2.47,2024-08-18 00:00:00
ID_078,2024-10-05 00:00:00,ID_078,5.87,7.7,49.03,7.07,2024-06-22 00:00:00
ID_079,2024-01-24 00:00:00,ID_079,1.91,8.26,80.2,1.48,2024-12-13 00:00:00
ID_080,2024-10-15 00:00:00,ID_080,8.12,4.33,59.24,5.51,2024-10-23 00:00:00
ID_081,2024-03-08 00:00:00,ID_081,7.78,1.53,65.36,5.63,2024-09-18 00:00:00
ID_082,2024-06-16 00:00:00,ID_082,5.75,3.01,82.54,3.86,2024-07-13 00:00:00
ID_083,2024-08-23 00:00:00,ID_083,8.71,7.69,26.87,3.76,2024-10-08 00:00:00
ID_084,2024-01-07 00:00:00,ID_084,1.48,1.94,67.65,6.94,2024-06-17 00:00:00
ID_085,2024-10-26 00:00:00,ID_085,8.43,5.2,29.19,6.61,2024-07-12 00:00:00
ID_086,2024-09-03 00:00:00,ID_086,7.01,4.81,21.85,4.94,2024-04-13 00:00:00
ID_087,2024-11-03 00:00:00,ID_087,5.97,1.66,55.46,8.74,2024-09-16 00:00:00
ID_088,2024-04-18 00:00:00,ID_088,7.55,2.6,12.45,6.36,2024-03-07 00:00:00
ID_089,2024-04-13 00:00:00,ID_089,6.4,7.34,24.65,4.16,2024-08-16 00:00:00
ID_090,2024-01-02 00:00:00,ID_090,5.87,8.47,2.06,5.88,2024-10-30 00:00:00
ID_091,2024-06-02 00:00:00,ID_091,7.09,7.36,13.07,4.7,2024-11-12 00:00:00
ID_092,2024-12-22 00:00:00,ID_092,4.38,2.62,4.5,3.3,2024-01-12 00:00:00
ID_093,2024-08-09 00:00:00,ID_093,8.34,2.54,37.01,4.11,2024-02-14 00:00:00
ID_094,2024-11-16 00:00:00,ID_094,6.58,5.74,50.21,1.48,2024-08-23 00:00:00
ID_095,2024-10-13 00:00:00,ID_095,6.69,6.91,18.04,2.79,2024-11-15 00:00:00
ID_096,2024-06-10 00:00:00,ID_096,6.6,1.93,43.47,6.36,2024-05-21 00:00:00
ID_097,2024-07-31 00:00:00,ID_097,5.45,1.55,79.69,3.76,2024-03-09 00:00:00
ID_098,2024-09-25 00:00:00,ID_098,6.88,7.26,44.45,2.29,2024-06-12 00:00:00
ID_099,2024-06-23 00:00:00,ID_099,2.91,8.6,75.73,6.11,2024-04-20 00:00:00
ID_000,2024-02-22 00:00:00,ID_000,4.95,3.41,68.89,7.66,2024-06-20 00:00:00
ID_001,2024-01-07 00:00:00,ID_001,7.75,2.65,12.32,2.99,2024-08-21 00:00:00
ID_002,2024-02-29 00:00:00,ID_002,3.04,1.68,8.71,3.56,2024-11-25 00:00:00
ID_003,2024-09-09 00:00:00,ID_003,8.47,4.51,10.86,4.55,2024-01-02 00:00:00
ID_004,2024-04-16 00:00:00,ID_004,4.4,8.31,24.37,1.51,2024-01-25 00:00:00
ID_005,2024-12-10 00:00:00,ID_005,4.02,2.63,48.99,3.03,2024-09-20 00:00:00
ID_006,2024-10-01 00:00:00,ID_006,5.38,1.79,7.44,8.22,2024-09-06 00:00:00
ID_007,2024-07-19 00:00:00,ID_007,7.05,5.2,55.24,1.6,2024-03-05 00:00:00
ID_008,2024-01-03 00:00:00,ID_008,1.91,4.13,6.82,2.91,2024-12-03 00:00:00
ID_009,2024-04-10 00:00:00,ID_009,1.84,7.04,70.09,3.15,2024-06-12 00:00:00
ID_010,2024-12-01 00:00:00,ID_010,5.09,5.06,17.8,8.19,2024-01-13 00:00:00
ID_011,2024-03-23 00:00:00,ID_011,2.7,8.63,64.92,2.98,2024-01-31 00:00:00
ID_012,2024-02-21 00:00:00,ID_012,8.09,3.59,7.08,1.46,2024-10-05 00:00:00
ID_013,2024-01-22 00:00:00,ID_013,8.19,1.61,72.1,5.45,2024-07-17 00:00:00
ID_014,2024-11-29 00:00:00,ID_014,5.12,8.29,41.84,3.58,2024-04-26 00:00:00
ID_015,2024-11-12 00:00:00,ID_015,2.86,7.43,72.5,5.22,2024-01-18 00:00:00
ID_016,2024-08-28 00:00:00,ID_016,7.23,6.73,27.99,2.27,2024-02-29 00:00:00
ID_017,2024-05-19 00:00:00,ID_017,4.08,1.78,8.44,5.98,2024-07-25 00:00:00
ID_018,2024-11-25 00:00:00,ID_018,7.35,1.67,21.22,4.97,2024-06-04 00:00:00
ID_019,2024-01-11 00:00:00,ID_019,7.66,3.79,71.38,3.46,2024-09-07 00:00:00
ID_020,2024-10-01 00:00:00,ID_020,6.13,5.27,13.86,6.02,2024-07-20 00:00:00
ID_021,2024-04-26 00:00:00,ID_021,1.52,5.57,62.43,4.78,2024-05-18 00:00:00
ID_022,2024-02-10 00:00:00,ID_022,7.74,2.54,77.67,3.21,2024-02-20 00:00:00
ID_023,2024-06-30 00:00:00,ID_023,5.85,3.97,38.57,4.6,2024-03-21 00:00:00
ID_024,2024-12-16 00:00:00,ID_024,8.5,3.5,46.36,2.02,2024-05-10 00:00:00
ID_025,2024-05-25 00:00:00,ID_025,7.13,5.64,6.79,1.55,2024-01-19 00:00:00
ID_026,2024-07-23 00:00:00,ID_026,4.24,3.53,50.32,4.36,2024-09-02 00:00:00
ID_027,2024-12-17 00:00:00,ID_027,8.44,4.2,69.77,2.57,2024-10-09 00:00:00
ID_028,2024-01-03 00:00:00,ID_028,5.88,2.01,11.02,5.23,2024-11-21 00:00:00
ID_029,2024-02-09 00:00:00,ID_029,6.59,7.17,11.3,8.76,2024-09-08 00:00:00
ID_030,2024-03-15 00:00:00,ID_030,1.51,4.88,52.61,1.53,2024-05-13 00:00:00
ID_031,2024-05-14 00:00:00,ID_031,2.01,2.95,83.78,5.82,2024-06-04 00:00:00
ID_032,2024-12-09 00:00:00,ID_032,6.6,7.64,47.8,5.17,2024-01-05 00:00:00
ID_033,2024-04-03 00:00:00,ID_033,5.28,3.41,58.37,1.9,2024-02-07 00:00:00
ID_034,2024-07-02 00:00:00,ID_034,4.47,7.56,82.31,6.82,2024-12-21 00:00:00
ID_035,2024-03-19 00:00:00,ID_035,6.76,8.26,31.23,6.53,2024-06-27 00:00:00
ID_036,2024-08-03 00:00:00,ID_036,5.0,6.17,79.52,3.86,2024-07-01 00:00:00
ID_037,2024-05-08 00:00:00,ID_037,3.29,7.25,30.0,8.42,2024-07-14 00:00:00
ID_038,2024-04-29 00:00:00,ID_038,7.1,4.52,28.96,8.03,2024-02-10 00:00:00
ID_039,2024-02-01 00:00:00,ID_039,4.33,2.26,83.79,5.71,2024-07-05 00:00:00
ID_040,2024-04-13 00:00:00,ID_040,6.73,7.27,72.53,2.86,2024-05-15 00:00:00
ID_041,2024-01-12 00:00:00,ID_041,3.78,2.55,10.95,1.21,2024-06-14 00:00:00
ID_042,2024-01-26 00:00:00,ID_042,8.26,2.66,64.27,6.46,2024-01-01 00:00:00
ID_043,2024-03-18 00:00:00,ID_043,4.07,6.59,22.52,3.05,2024-09-04 00:00:00
ID_044,2024-03-14 00:00:00,ID_044,4.5,4.22,73.46,6.84,2024-12-03 00:00:00
ID_045,2024-09-05 00:00:00,ID_045,8.07,8.11,48.22,1.55,2024-08-20 00:00:00
ID_046,2024-06-18 00:00:00,ID_046,5.88,6.02,30.45,6.08,2024-11-06 00:00:00
ID_047,2024-05-26 00:00:00,ID_047,4.58,3.46,79.3,4.3,2024-08-20 00:00:00
ID_048,2024-02-04 00:00:00,ID_048,5.28,8.07,59.57,6.49,2024-02-19 00:00:00
ID_049,2024-03-03 00:00:00,ID_049,3.5,4.78,14.45,2.47,2024-08-27 00:00:00
ID_050,2024-01-23 00:00:00,ID_050,5.71,5.3,30.65,1.67,2024-01-28 00:00:00
ID_051,2024-10-26 00:00:00,ID_051,3.18,6.93,6.12,7.76,2024-11-23 00:00:00
ID_052,2024-05-11 00:00:00,ID_052,3.22,6.82,14.6,1.3,2024-11-01 00:00:00
ID_053,2024-09-18 00:00:00,ID_053,8.72,4.45,7.3,8.67,2024-09-04 00:00:00
ID_054,2024-08-22 00:00:00,ID_054,2.13,2.58,76.4,4.04,2024-07-21 00:00:00
ID_055,2024-01-10 00:00:00,ID_055,1.71,3.15,26.78,1.4,2024-04-21 00:00:00
ID_056,2024-06-08 00:00:00,ID_056,7.87,5.24,84.79,5.07,2024-11-15 00:00:00
ID_057,2024-03-06 00:00:00,ID_057,4.6,5.91,27.38,4.31,2024-03-05 00:00:00
ID_058,2024-04-18 00:00:00,ID_058,3.51,6.39,51.94,7.11,2024-08-13 00:00:00
ID_059,2024-08-21 00:00:00,ID_059,2.83,6.67,51.16,6.04,2024-01-26 00:00:00
ID_060,2024-08-28 00:00:00,ID_060,1.57,6.43,35.52,2.09,2024-12-02 00:00:00
ID_061,2024-02-07 00:00:00,ID_061,3.02,2.74,59.01,8.09,2024-09-12 00:00:00
ID_062,2024-01-07 00:00:00,ID_062,3.39,5.27,48.47,8.29,2024-08-08 00:00:00
ID_063,2024-02-22 00:00:00,ID_063,7.86,7.96,15.63,4.83,2024-11-10 00:00:00
ID_064,2024-04-07 00:00:00,ID_064,1.75,3.88,5.48,7.84,2024-11-19 00:00:00
ID_065,2024-01-09 00:00:00,ID_065,7.19,8.09,27.38,1.44,2024-01-07 00:00:00
