col_aq_id,col_date,col_zone_id,col_pm25_ugm3,col_no2_ugm3,col_aqi_index
ID_082,2024-12-18 00:00:00,ID_082,8.52,8.49,50.07
ID_083,2024-02-20 00:00:00,ID_083,4.15,1.5,81.19
ID_084,2024-10-03 00:00:00,ID_084,7.6,6.25,17.08
ID_085,2024-03-10 00:00:00,ID_085,5.71,8.61,45.26
ID_086,2024-07-07 00:00:00,ID_086,6.8,4.95,11.69
ID_087,2024-01-11 00:00:00,ID_087,8.14,5.34,79.12
ID_088,2024-12-02 00:00:00,ID_088,2.69,2.18,9.1
ID_089,2024-10-09 00:00:00,ID_089,3.4,1.81,50.49
ID_090,2024-09-22 00:00:00,ID_090,5.21,6.51,81.04
ID_091,2024-01-15 00:00:00,ID_091,8.41,1.82,57.65
ID_092,2024-04-24 00:00:00,ID_092,8.01,6.06,57.72
ID_093,2024-02-20 00:00:00,ID_093,6.06,2.76,65.38
ID_094,2024-10-24 00:00:00,ID_094,5.45,8.14,32.8
ID_095,2024-02-22 00:00:00,ID_095,1.67,2.51,70.15
ID_096,2024-11-16 00:00:00,ID_096,3.23,5.41,16.39
ID_097,2024-04-19 00:00:00,ID_097,7.13,5.58,69.38
ID_098,2024-08-24 00:00:00,ID_098,1.81,1.5,22.99
ID_099,2024-07-12 00:00:00,ID_099,5.24,2.71,61.42
ID_000,2024-02-12 00:00:00,ID_000,7.42,2.93,22.05
ID_001,2024-06-09 00:00:00,ID_001,8.4,5.05,25.66
ID_002,2024-03-15 00:00:00,ID_002,2.53,5.89,55.57
ID_003,2024-10-03 00:00:00,ID_003,5.84,6.69,43.46
ID_004,2024-09-09 00:00:00,ID_004,6.23,7.32,81.33
ID_005,2024-08-20 00:00:00,ID_005,6.88,3.29,35.78
ID_006,2024-07-30 00:00:00,ID_006,6.94,7.61,60.06
ID_007,2024-10-25 00:00:00,ID_007,7.95,8.79,49.06
ID_008,2024-05-25 00:00:00,ID_008,6.27,1.79,2.47
ID_009,2024-07-19 00:00:00,ID_009,1.25,1.46,39.31
ID_010,2024-08-11 00:00:00,ID_010,6.94,6.98,81.39
ID_011,2024-02-06 00:00:00,ID_011,7.2,5.58,66.57
ID_012,2024-07-20 00:00:00,ID_012,1.21,4.03,30.33
ID_013,2024-05-26 00:00:00,ID_013,3.15,7.12,75.31
ID_014,2024-04-04 00:00:00,ID_014,7.03,2.76,56.76
ID_015,2024-03-31 00:00:00,ID_015,3.23,2.81,23.81
ID_016,2024-11-13 00:00:00,ID_016,5.91,8.53,51.0
ID_017,2024-06-08 00:00:00,ID_017,8.67,6.5,20.97
ID_018,2024-04-14 00:00:00,ID_018,2.06,7.62,4.39
ID_019,2024-11-20 00:00:00,ID_019,3.15,7.88,31.07
ID_020,2024-08-29 00:00:00,ID_020,5.42,3.49,67.1
ID_021,2024-12-12 00:00:00,ID_021,1.34,4.73,63.24
ID_022,2024-03-16 00:00:00,ID_022,8.77,7.48,52.21
ID_023,2024-11-19 00:00:00,ID_023,7.72,1.59,8.55
ID_024,2024-09-16 00:00:00,ID_024,7.68,4.2,69.7
ID_025,2024-11-11 00:00:00,ID_025,3.81,7.5,36.48
ID_026,2024-01-27 00:00:00,ID_026,7.89,8.72,42.97
ID_027,2024-03-26 00:00:00,ID_027,7.23,3.3,69.42
ID_028,2024-10-22 00:00:00,ID_028,8.04,2.9,84.51
ID_029,2024-03-19 00:00:00,ID_029,4.37,5.9,24.38
ID_030,2024-02-16 00:00:00,ID_030,8.51,5.98,50.03
ID_031,2024-05-14 00:00:00,ID_031,1.95,1.52,41.04
ID_032,2024-01-19 00:00:00,ID_032,1.56,1.98,17.71
ID_033,2024-12-08 00:00:00,ID_033,7.74,2.34,78.7
ID_034,2024-02-10 00:00:00,ID_034,8.68,5.59,10.16
ID_035,2024-04-24 00:00:00,ID_035,3.58,8.68,49.62
ID_036,2024-11-20 00:00:00,ID_036,3.71,3.65,84.63
ID_037,2024-06-21 00:00:00,ID_037,3.03,3.1,76.83
ID_038,2024-04-25 00:00:00,ID_038,6.59,7.98,15.47
ID_039,2024-09-13 00:00:00,ID_039,6.92,5.57,33.16
ID_040,2024-09-19 00:00:00,ID_040,4.26,6.99,52.31
ID_041,2024-05-11 00:00:00,ID_041,2.12,6.03,61.7
ID_042,2024-01-11 00:00:00,ID_042,8.64,5.93,79.27
ID_043,2024-02-16 00:00:00,ID_043,4.0,2.02,75.46
ID_044,2024-10-16 00:00:00,ID_044,1.98,8.6,24.27
ID_045,2024-11-06 00:00:00,ID_045,7.48,6.19,50.35
ID_046,2024-09-18 00:00:00,ID_046,2.96,7.57,28.09
ID_047,2024-06-08 00:00:00,ID_047,1.2,7.21,51.49
ID_048,2024-05-09 00:00:00,ID_048,7.89,2.22,37.92
ID_049,2024-09-26 00:00:00,ID_049,7.6,4.63,55.41
ID_050,2024-06-17 00:00:00,ID_050,8.54,3.62,14.96
ID_051,2024-04-06 00:00:00,ID_051,4.17,3.67,40.52
ID_052,2024-01-05 00:00:00,ID_052,8.18,8.74,31.47
ID_053,2024-08-17 00:00:00,ID_053,6.34,2.07,46.52
ID_054,2024-03-13 00:00:00,ID_054,7.3,4.98,68.54
ID_055,2024-11-25 00:00:00,ID_055,2.55,3.47,17.92
ID_056,2024-08-28 00:00:00,ID_056,6.3,3.21,45.87
ID_057,2024-07-09 00:00:00,ID_057,2.71,2.84,19.7
ID_058,2024-09-15 00:00:00,ID_058,5.17,5.04,11.39
ID_059,2024-10-15 00:00:00,ID_059,6.45,4.52,50.23
ID_060,2024-11-29 00:00:00,ID_060,5.48,1.82,17.59
ID_061,2024-03-08 00:00:00,ID_061,7.11,4.78,32.52
ID_062,2024-10-21 00:00:00,ID_062,1.64,1.59,23.46
ID_063,2024-04-18 00:00:00,ID_063,2.68,6.16,18.05
ID_064,2024-10-21 00:00:00,ID_064,4.65,3.54,71.58
ID_065,2024-08-12 00:00:00,ID_065,4.45,6.19,16.88
ID_066,2024-08-10 00:00:00,ID_066,3.06,8.42,3.99
ID_067,2024-02-24 00:00:00,ID_067,1.69,6.91,39.9
ID_068,2024-01-13 00:00:00,ID_068,4.18,2.09,40.64
ID_069,2024-06-26 00:00:00,ID_069,5.6,1.67,55.66
ID_070,2024-03-07 00:00:00,ID_070,6.39,2.11,84.87
ID_071,2024-03-25 00:00:00,ID_071,2.9,4.35,10.21
ID_072,2024-08-23 00:00:00,ID_072,5.43,6.76,8.37
ID_073,2024-07-02 00:00:00,ID_073,8.39,5.7,65.5
ID_074,2024-08-06 00:00:00,ID_074,5.6,8.61,51.68
ID_075,2024-07-26 00:00:00,ID_075,7.84,7.94,14.67
ID_076,2024-10-23 00:00:00,ID_076,5.81,3.2,6.49
ID_077,2024-09-03 00:00:00,ID_077,7.55,6.38,15.72
ID_078,2024-04-20 00:00:00,ID_078,8.05,6.23,8.88
ID_079,2024-08-26 00:00:00,ID_079,1.63,4.84,50.82
ID_080,2024-08-10 00:00:00,ID_080,6.9,5.27,24.33
ID_081,2024-10-02 00:00:00,ID_081,1.92,3.33,34.46
ID_082,2024-09-13 00:00:00,ID_082,5.33,1.98,58.98
ID_083,2024-12-01 00:00:00,ID_083,5.95,4.1,3.38
ID_084,2024-10-31 00:00:00,ID_084,8.41,8.1,78.51
ID_085,2024-10-21 00:00:00,ID_085,7.87,2.59,15.27
ID_086,2024-12-01 00:00:00,ID_086,1.98,3.8,62.12
ID_087,2024-07-25 00:00:00,ID_087,1.4,1.67,66.01
ID_088,2024-04-21 00:00:00,ID_088,4.49,3.49,15.88
ID_089,2024-06-15 00:00:00,ID_089,6.01,6.38,4.13
ID_090,2024-11-20 00:00:00,ID_090,4.66,6.56,76.23
ID_091,2024-03-10 00:00:00,ID_091,6.45,8.54,68.46
ID_092,2024-06-25 00:00:00,ID_092,8.65,1.7,2.71
ID_093,2024-04-09 00:00:00,ID_093,2.29,5.46,70.15
ID_094,2024-06-05 00:00:00,ID_094,3.5,2.52,72.0
ID_095,2024-11-13 00:00:00,ID_095,5.31,8.25,23.85
ID_096,2024-09-13 00:00:00,ID_096,3.9,5.71,13.96
ID_097,2024-06-03 00:00:00,ID_097,6.75,5.14,62.76
ID_098,2024-08-05 00:00:00,ID_098,2.56,7.96,5.18
ID_099,2024-11-29 00:00:00,ID_099,1.81,2.37,83.55
ID_000,2024-05-25 00:00:00,ID_000,6.23,4.74,48.26
ID_001,2024-09-30 00:00:00,ID_001,5.83,7.18,33.64
ID_002,2024-05-07 00:00:00,ID_002,7.18,5.57,31.56
ID_003,2024-04-24 00:00:00,ID_003,5.72,2.04,34.68
ID_004,2024-01-27 00:00:00,ID_004,4.38,8.66,19.57
ID_005,2024-01-07 00:00:00,ID_005,1.77,1.66,51.23
ID_006,2024-05-31 00:00:00,ID_006,6.9,2.38,70.27
ID_007,2024-03-18 00:00:00,ID_007,5.6,8.5,10.2
ID_008,2024-09-04 00:00:00,ID_008,3.05,2.25,46.37
ID_009,2024-01-01 00:00:00,ID_009,3.37,7.58,81.81
ID_010,2024-09-06 00:00:00,ID_010,2.92,1.64,39.52
ID_011,2024-11-26 00:00:00,ID_011,4.2,8.36,74.03
ID_012,2024-03-03 00:00:00,ID_012,5.09,1.59,46.47
ID_013,2024-08-23 00:00:00,ID_013,7.97,2.93,4.49
ID_014,2024-09-17 00:00:00,ID_014,3.92,2.01,24.11
ID_015,2024-09-27 00:00:00,ID_015,6.11,3.79,63.49
ID_016,2024-08-06 00:00:00,ID_016,6.44,8.68,75.65
ID_017,2024-11-21 00:00:00,ID_017,7.1,4.8,9.01
ID_018,2024-02-18 00:00:00,ID_018,4.32,4.87,30.43
ID_019,2024-07-30 00:00:00,ID_019,6.77,3.11,15.98
ID_020,2024-02-28 00:00:00,ID_020,6.7,6.47,79.08
ID_021,2024-11-27 00:00:00,ID_021,4.49,5.04,84.24
ID_022,2024-08-22 00:00:00,ID_022,6.43,3.94,45.16
ID_023,2024-03-19 00:00:00,ID_023,8.12,5.27,46.0
ID_024,2024-04-05 00:00:00,ID_024,3.3,6.65,81.57
ID_025,2024-03-23 00:00:00,ID_025,5.91,8.46,36.3
ID_026,2024-09-23 00:00:00,ID_026,4.21,3.41,73.3
ID_027,2024-08-13 00:00:00,ID_027,8.44,5.6,11.66
ID_028,2024-04-12 00:00:00,ID_028,7.4,6.11,36.59
ID_029,2024-07-26 00:00:00,ID_029,7.47,8.63,29.22
ID_030,2024-12-25 00:00:00,ID_030,6.0,8.1,67.74
ID_031,2024-04-07 00:00:00,ID_031,4.09,2.06,24.47
ID_032,2024-10-11 00:00:00,ID_032,5.43,8.7,83.22
ID_033,2024-08-03 00:00:00,ID_033,1.54,5.27,21.42
ID_034,2024-11-27 00:00:00,ID_034,2.77,2.15,67.66
ID_035,2024-12-07 00:00:00,ID_035,8.72,4.52,32.6
ID_036,2024-07-08 00:00:00,ID_036,7.83,2.03,10.62
ID_037,2024-11-23 00:00:00,ID_037,1.46,1.95,84.57
ID_038,2024-02-16 00:00:00,ID_038,6.99,3.78,15.56
ID_039,2024-03-27 00:00:00,ID_039,4.83,7.27,81.31
ID_040,2024-09-29 00:00:00,ID_040,1.68,5.94,19.37
ID_041,2024-02-04 00:00:00,ID_041,2.52,7.97,84.66
ID_042,2024-05-12 00:00:00,ID_042,6.21,5.78,27.56
ID_043,2024-02-08 00:00:00,ID_043,6.58,5.29,42.95
ID_044,2024-12-16 00:00:00,ID_044,8.11,2.01,63.02
ID_045,2024-11-14 00:00:00,ID_045,6.73,3.02,82.55
ID_046,2024-04-30 00:00:00,ID_046,6.42,1.38,47.54
ID_047,2024-11-18 00:00:00,ID_047,2.8,1.67,42.66
ID_048,2024-10-07 00:00:00,ID_048,3.65,6.01,51.49
ID_049,2024-09-26 00:00:00,ID_049,6.13,5.27,7.38
ID_050,2024-07-13 00:00:00,ID_050,1.93,4.69,29.63
ID_051,2024-12-12 00:00:00,ID_051,2.86,6.89,83.0
ID_052,2024-09-18 00:00:00,ID_052,8.05,2.09,17.09
ID_053,2024-02-18 00:00:00,ID_053,1.95,6.14,68.11
ID_054,2024-12-07 00:00:00,ID_054,6.65,4.11,56.0
ID_055,2024-12-04 00:00:00,ID_055,4.79,5.08,69.89
ID_056,2024-05-20 00:00:00,ID_056,6.62,1.6,53.9
ID_057,2024-11-11 00:00:00,ID_057,7.86,5.99,7.98
ID_058,2024-04-10 00:00:00,ID_058,5.86,5.09,61.45
ID_059,2024-08-18 00:00:00,ID_059,7.4,4.81,61.96
ID_060,2024-01-30 00:00:00,ID_060,5.86,1.54,81.48
ID_061,2024-10-04 00:00:00,ID_061,4.17,7.98,81.33
ID_062,2024-07-26 00:00:00,ID_062,5.89,6.73,25.89
ID_063,2024-05-22 00:00:00,ID_063,2.45,8.19,18.24
ID_064,2024-12-18 00:00:00,ID_064,5.43,4.71,60.37
ID_065,2024-04-24 00:00:00,ID_065,3.35,2.94,14.3
ID_066,2024-08-18 00:00:00,ID_066,6.6,8.4,42.88
ID_067,2024-07-30 00:00:00,ID_067,4.78,4.91,83.68
ID_068,2024-02-28 00:00:00,ID_068,7.0,4.65,57.45
ID_069,2024-08-12 00:00:00,ID_069,2.19,7.53,13.86
ID_070,2024-09-07 00:00:00,ID_070,3.45,7.17,28.67
ID_071,2024-09-11 00:00:00,ID_071,8.76,4.4,3.58
ID_072,2024-08-16 00:00:00,ID_072,5.62,7.23,61.81
ID_073,2024-01-27 00:00:00,ID_073,1.64,7.6,12.74
ID_074,2024-02-09 00:00:00,ID_074,3.78,5.58,16.77
ID_075,2024-08-20 00:00:00,ID_075,7.27,6.19,3.21
ID_076,2024-10-15 00:00:00,ID_076,2.31,8.27,47.59
ID_077,2024-06-12 00:00:00,ID_077,5.02,8.64,9.7
ID_078,2024-09-19 00:00:00,ID_078,4.87,7.24,37.32
ID_079,2024-11-19 00:00:00,ID_079,2.52,7.61,34.83
ID_080,2024-08-17 00:00:00,ID_080,8.59,8.48,34.47
ID_081,2024-06-25 00:00:00,ID_081,8.73,2.12,70.51
ID_082,2024-10-11 00:00:00,ID_082,8.31,3.3,72.42
ID_083,2024-11-14 00:00:00,ID_083,1.56,3.44,20.61
ID_084,2024-11-22 00:00:00,ID_084,4.9,2.61,71.31
ID_085,2024-06-06 00:00:00,ID_085,4.12,1.58,23.23
ID_086,2024-11-07 00:00:00,ID_086,1.97,1.79,49.13
ID_087,2024-07-16 00:00:00,ID_087,5.77,3.48,14.51
ID_088,2024-12-24 00:00:00,ID_088,1.51,1.95,74.1
ID_089,2024-02-10 00:00:00,ID_089,8.7,3.55,78.53
ID_090,2024-11-27 00:00:00,ID_090,5.41,3.68,57.8
ID_091,2024-01-21 00:00:00,ID_091,6.15,4.86,72.25
ID_092,2024-04-24 00:00:00,ID_092,5.64,4.57,66.7
ID_093,2024-08-16 00:00:00,ID_093,1.54,5.25,7.25
ID_094,2024-07-26 00:00:00,ID_094,2.75,7.48,69.29
ID_095,2024-08-02 00:00:00,ID_095,5.6,5.43,45.31
ID_096,2024-04-27 00:00:00,ID_096,7.48,6.14,4.45
ID_097,2024-04-04 00:00:00,ID_097,7.93,8.48,58.88
ID_098,2024-04-02 00:00:00,ID_098,6.51,4.53,49.69
ID_099,2024-11-13 00:00:00,ID_099,2.62,1.9,46.95
ID_000,2024-11-29 00:00:00,ID_000,5.17,4.25,50.43
ID_001,2024-08-12 00:00:00,ID_001,6.76,1.22,25.46
ID_002,2024-06-28 00:00:00,ID_002,8.11,4.9,73.25
ID_003,2024-07-07 00:00:00,ID_003,3.57,7.66,12.56
ID_004,2024-06-07 00:00:00,ID_004,6.51,1.28,79.48
ID_005,2024-04-27 00:00:00,ID_005,5.53,4.19,26.89
ID_006,2024-02-22 00:00:00,ID_006,2.0,5.78,34.31
ID_007,2024-08-04 00:00:00,ID_007,5.37,3.24,41.09
ID_008,2024-05-02 00:00:00,ID_008,4.72,7.9,83.02
ID_009,2024-06-23 00:00:00,ID_009,7.63,6.82,2.8
ID_010,2024-10-28 00:00:00,ID_010,2.95,5.61,34.98
ID_011,2024-09-27 00:00:00,ID_011,5.77,5.98,40.71
ID_012,2024-12-03 00:00:00,ID_012,7.98,7.39,8.45
ID_013,2024-07-16 00:00:00,ID_013,8.23,5.23,61.77
ID_014,2024-09-11 00:00:00,ID_014,8.25,6.38,11.72
ID_015,2024-12-01 00:00:00,ID_015,3.9,3.15,4.63
ID_016,2024-05-19 00:00:00,ID_016,2.38,2.31,26.65
ID_017,2024-06-26 00:00:00,ID_017,7.44,3.49,80.89
ID_018,2024-03-26 00:00:00,ID_018,4.23,7.19,52.31
ID_019,2024-05-24 00:00:00,ID_019,3.21,1.53,73.78
ID_020,2024-10-13 00:00:00,ID_020,8.47,8.66,47.68
ID_021,2024-10-19 00:00:00,ID_021,1.47,1.54,29.38
ID_022,2024-07-05 00:00:00,ID_022,7.21,8.73,7.72
ID_023,2024-11-27 00:00:00,ID_023,4.65,8.43,69.19
ID_024,2024-05-15 00:00:00,ID_024,3.76,2.76,18.6
ID_025,2024-08-13 00:00:00,ID_025,5.57,3.62,80.19
ID_026,2024-09-12 00:00:00,ID_026,3.8,2.09,17.81
ID_027,2024-03-16 00:00:00,ID_027,5.71,2.83,52.02
ID_028,2024-03-08 00:00:00,ID_028,8.74,3.25,33.02
ID_029,2024-01-07 00:00:00,ID_029,6.7,3.73,63.56
ID_030,2024-04-21 00:00:00,ID_030,7.44,3.86,42.28
ID_031,2024-08-08 00:00:00,ID_031,2.77,8.12,4.87
ID_032,2024-02-02 00:00:00,ID_032,6.01,7.42,7.22
ID_033,2024-12-23 00:00:00,ID_033,2.44,2.34,58.97
ID_034,2024-07-24 00:00:00,ID_034,1.24,3.31,70.16
ID_035,2024-01-20 00:00:00,ID_035,2.21,5.03,20.51
ID_036,2024-04-12 00:00:00,ID_036,2.3,5.52,3.9
ID_037,2024-02-26 00:00:00,ID_037,5.05,7.0,66.95
ID_038,2024-10-07 00:00:00,ID_038,5.61,8.74,33.54
ID_039,2024-12-10 00:00:00,ID_039,1.21,1.49,31.72
ID_040,2024-08-11 00:00:00,ID_040,3.41,4.52,84.96
ID_041,2024-11-13 00:00:00,ID_041,3.18,2.85,48.04
ID_042,2024-11-10 00:00:00,ID_042,5.38,8.38,64.47
ID_043,2024-03-16 00:00:00,ID_043,7.96,8.56,59.38
ID_044,2024-01-17 00:00:00,ID_044,3.13,5.38,5.17
ID_045,2024-08-03 00:00:00,ID_045,5.9,2.96,41.31
ID_046,2024-01-26 00:00:00,ID_046,6.18,7.46,30.57
ID_047,2024-04-30 00:00:00,ID_047,6.75,1.34,49.93
ID_048,2024-07-19 00:00:00,ID_048,3.22,8.75,35.01
ID_049,2024-07-17 00:00:00,ID_049,2.61,8.39,8.55
ID_050,2024-08-23 00:00:00,ID_050,2.6,1.61,66.25
ID_051,2024-02-28 00:00:00,ID_051,8.27,4.84,43.85
ID_052,2024-08-28 00:00:00,ID_052,8.36,4.23,64.91
ID_053,2024-05-09 00:00:00,ID_053,8.33,7.81,79.41
ID_054,2024-06-22 00:00:00,ID_054,3.54,3.12,10.89
ID_055,2024-09-05 00:00:00,ID_055,1.93,6.24,54.92
ID_056,2024-08-31 00:00:00,ID_056,7.81,7.33,31.54
ID_057,2024-10-05 00:00:00,ID_057,5.81,6.69,71.12
ID_058,2024-09-06 00:00:00,ID_058,3.26,3.0,44.28
ID_059,2024-01-09 00:00:00,ID_059,5.83,3.29,48.26
ID_060,2024-07-24 00:00:00,ID_060,8.59,6.44,30.37
ID_061,2024-10-02 00:00:00,ID_061,7.68,8.04,78.32
ID_062,2024-06-08 00:00:00,ID_062,6.92,1.93,54.15
ID_063,2024-07-27 00:00:00,ID_063,3.0,7.72,70.82
ID_064,2024-03-29 00:00:00,ID_064,2.77,2.09,78.16
ID_065,2024-02-04 00:00:00,ID_065,4.05,1.9,34.16
ID_066,2024-10-19 00:00:00,ID_066,3.64,5.99,8.8
ID_067,2024-02-21 00:00:00,ID_067,1.39,3.38,32.32
ID_068,2024-06-27 00:00:00,ID_068,5.25,7.76,10.21
ID_069,2024-03-10 00:00:00,ID_069,2.6,1.98,46.39
ID_070,2024-10-25 00:00:00,ID_070,5.73,5.57,14.43
ID_071,2024-09-20 00:00:00,ID_071,7.06,7.24,40.84
ID_072,2024-04-20 00:00:00,ID_072,6.59,5.37,53.92
ID_073,2024-11-11 00:00:00,ID_073,2.36,2.98,20.76
ID_074,2024-09-17 00:00:00,ID_074,5.81,3.16,30.5
ID_075,2024-04-27 00:00:00,ID_075,4.11,1.52,65.94
ID_076,2024-07-01 00:00:00,ID_076,4.49,2.23,19.66
ID_077,2024-01-05 00:00:00,ID_077,7.94,7.98,79.66
ID_078,2024-05-07 00:00:00,ID_078,6.78,5.26,11.61
ID_079,2024-04-01 00:00:00,ID_079,7.96,6.37,52.11
ID_080,2024-10-16 00:00:00,ID_080,2.01,7.55,8.31
ID_081,2024-07-24 00:00:00,ID_081,6.65,3.22,75.62
ID_082,2024-10-03 00:00:00,ID_082,3.19,1.99,62.66
ID_083,2024-09-02 00:00:00,ID_083,6.78,4.96,26.24
ID_084,2024-01-01 00:00:00,ID_084,2.61,6.25,31.58
ID_085,2024-11-08 00:00:00,ID_085,3.81,3.88,78.42
ID_086,2024-07-10 00:00:00,ID_086,8.36,3.54,14.23
ID_087,2024-03-07 00:00:00,ID_087,8.68,6.9,53.53
ID_088,2024-02-17 00:00:00,ID_088,2.74,1.37,80.41
ID_089,2024-05-14 00:00:00,ID_089,2.5,5.36,11.67
ID_090,2024-10-23 00:00:00,ID_090,1.79,5.77,4.48
ID_091,2024-03-19 00:00:00,ID_091,1.83,1.91,58.14
ID_092,2024-06-05 00:00:00,ID_092,1.27,4.74,76.83
ID_093,2024-11-25 00:00:00,ID_093,4.99,8.3,53.27
ID_094,2024-10-24 00:00:00,ID_094,8.68,1.26,50.23
ID_095,2024-08-31 00:00:00,ID_095,3.0,8.34,39.45
ID_096,2024-11-29 00:00:00,ID_096,8.67,2.61,70.33
