col_emission_id,col_annee,col_mois,col_zone_id,col_mode,col_activity_type,col_activity_value,col_emission_factor,col_co2_kg
ID_063,8.7,4.58,ID_063,Métro,4.67,4.49,2.71,1.87
ID_064,3.71,4.58,ID_064,RER,1.35,5.18,1.95,4.68
ID_065,6.09,5.06,ID_065,RER,4.42,2.6,2.93,5.93
ID_066,1.35,5.47,ID_066,RER,3.12,8.57,2.19,6.71
ID_067,5.6,3.27,ID_067,Bus RATP,8.0,6.54,4.69,2.27
ID_068,7.91,1.74,ID_068,Bus RATP,6.92,3.64,7.73,2.79
ID_069,2.57,3.51,ID_069,Tramway,4.14,5.01,6.27,3.47
ID_070,4.02,6.07,ID_070,Tramway,5.04,2.14,3.8,2.25
ID_071,8.47,3.14,ID_071,Transilien,5.98,2.93,7.24,2.83
ID_072,2.98,7.94,ID_072,Bus RATP,2.18,8.53,6.06,3.77
ID_073,4.83,6.67,ID_073,Bus RATP,6.63,6.99,1.38,6.17
ID_074,2.0,7.71,ID_074,Transilien,4.22,3.66,4.64,1.58
ID_075,6.78,6.94,ID_075,Métro,3.98,3.78,2.65,5.41
ID_076,3.34,2.37,ID_076,Bus RATP,7.33,5.49,6.43,1.98
ID_077,4.44,2.8,ID_077,Bus RATP,4.44,3.17,1.54,4.82
ID_078,8.18,8.57,ID_078,TER,5.57,4.75,5.78,7.79
ID_079,3.84,1.28,ID_079,Métro,3.41,7.19,2.98,3.1
ID_080,8.08,1.96,ID_080,RER,3.47,7.68,4.8,5.66
ID_081,1.85,2.77,ID_081,Bus RATP,6.02,4.43,6.1,6.29
ID_082,4.19,8.29,ID_082,Bus RATP,5.03,1.38,4.12,6.99
ID_083,7.12,6.88,ID_083,TGV,7.11,1.23,8.0,4.16
ID_084,4.62,6.13,ID_084,TGV,7.66,5.65,4.79,1.21
ID_085,8.06,4.96,ID_085,Métro,2.47,5.73,3.31,8.53
ID_086,6.71,4.38,ID_086,Transilien,4.12,1.7,5.81,5.6
ID_087,4.44,1.3,ID_087,Transilien,2.76,2.06,5.48,7.23
ID_088,5.48,4.92,ID_088,Tramway,3.3,8.44,4.11,3.37
ID_089,6.68,8.26,ID_089,Bus RATP,2.71,7.53,5.5,4.39
ID_090,3.59,2.36,ID_090,TGV,7.48,3.98,3.83,3.11
ID_091,5.58,4.18,ID_091,Métro,7.4,4.81,1.5,8.65
ID_092,2.28,4.08,ID_092,Tramway,5.17,2.44,3.36,2.82
ID_093,5.86,7.48,ID_093,Transilien,5.13,8.6,3.3,2.9
ID_094,6.31,7.58,ID_094,RER,2.25,2.85,3.99,2.61
ID_095,1.61,6.06,ID_095,TER,6.34,6.7,7.12,6.71
ID_096,8.39,1.33,ID_096,TER,4.62,6.03,1.98,5.37
ID_097,4.85,3.02,ID_097,TGV,1.75,3.63,5.36,4.09
ID_098,2.16,5.29,ID_098,RER,5.95,8.31,4.06,1.55
ID_099,7.99,4.22,ID_099,Transilien,5.37,6.04,1.39,6.17
ID_000,7.94,1.27,ID_000,TER,4.67,4.29,8.71,6.1
ID_001,1.52,1.58,ID_001,Transilien,7.3,5.75,8.36,6.39
ID_002,3.32,7.64,ID_002,TER,7.93,2.83,3.96,7.66
ID_003,6.5,4.81,ID_003,RER,8.72,5.26,6.87,4.76
ID_004,6.01,5.43,ID_004,Bus RATP,2.45,5.06,3.51,5.73
ID_005,6.92,8.23,ID_005,RER,8.79,7.57,3.27,7.43
ID_006,3.12,5.37,ID_006,TER,2.04,7.54,7.34,4.41
ID_007,2.8,4.81,ID_007,TGV,5.34,1.3,8.61,2.02
ID_008,6.65,4.5,ID_008,RER,2.87,1.28,7.35,5.96
ID_009,3.43,2.89,ID_009,Métro,4.09,7.91,5.84,3.14
ID_010,3.16,3.6,ID_010,Transilien,7.27,3.66,8.5,6.91
ID_011,8.26,5.15,ID_011,TER,5.61,3.37,4.23,3.72
ID_012,4.01,2.62,ID_012,Tramway,8.11,4.86,6.17,7.31
ID_013,1.78,6.49,ID_013,TGV,2.81,2.63,8.5,4.19
ID_014,1.65,8.43,ID_014,RER,6.16,8.28,1.84,5.45
ID_015,8.61,7.02,ID_015,RER,4.65,4.14,3.17,1.83
ID_016,4.05,6.74,ID_016,TGV,1.3,3.77,6.91,5.65
ID_017,1.37,5.62,ID_017,RER,5.94,7.3,6.9,5.16
ID_018,6.66,8.66,ID_018,TGV,7.83,6.2,5.73,7.22
ID_019,7.44,8.15,ID_019,TER,6.04,8.05,3.4,5.5
ID_020,3.0,6.4,ID_020,RER,6.3,1.24,7.7,8.32
ID_021,2.95,4.24,ID_021,Bus RATP,7.51,1.91,3.88,2.09
ID_022,3.19,5.97,ID_022,RER,6.32,1.7,4.13,8.37
ID_023,6.24,7.37,ID_023,RER,7.94,2.57,4.89,1.47
ID_024,7.13,3.32,ID_024,TGV,6.91,6.6,2.7,2.79
ID_025,5.5,3.49,ID_025,TGV,6.69,7.91,7.15,5.31
ID_026,3.97,4.73,ID_026,Bus RATP,5.86,5.83,6.7,5.61
ID_027,4.36,6.01,ID_027,TER,7.82,1.92,8.15,8.75
ID_028,5.34,8.39,ID_028,RER,6.88,8.13,2.93,5.61
ID_029,8.11,2.05,ID_029,TER,4.37,3.79,2.56,5.27
ID_030,7.6,8.32,ID_030,TGV,6.97,8.43,1.68,5.66
ID_031,6.08,7.62,ID_031,Métro,5.92,7.33,5.15,6.75
ID_032,1.68,1.62,ID_032,TER,5.97,5.24,1.99,7.1
ID_033,6.21,7.43,ID_033,Métro,1.52,8.22,4.47,1.99
ID_034,8.14,6.52,ID_034,Tramway,4.2,7.38,2.3,5.3
ID_035,5.62,7.24,ID_035,RER,8.15,3.11,5.63,6.13
ID_036,6.3,4.86,ID_036,TER,4.12,7.34,2.56,1.29
ID_037,2.65,3.52,ID_037,Bus RATP,5.55,2.15,4.65,8.37
ID_038,3.51,8.76,ID_038,Métro,5.24,1.69,4.18,6.13
ID_039,5.22,5.92,ID_039,Tramway,8.35,2.07,6.32,6.75
ID_040,1.89,4.98,ID_040,TER,6.53,5.78,7.57,3.25
ID_041,5.44,6.51,ID_041,Transilien,6.7,3.42,2.32,6.14
ID_042,3.11,3.55,ID_042,TER,6.17,1.8,5.6,1.82
ID_043,7.11,6.1,ID_043,Tramway,2.99,3.28,7.84,5.09
ID_044,5.04,2.3,ID_044,RER,5.96,3.73,5.7,1.56
ID_045,7.04,5.66,ID_045,Transilien,1.98,4.22,7.61,8.62
ID_046,6.61,2.49,ID_046,RER,5.03,4.41,4.56,2.95
ID_047,5.26,7.68,ID_047,Tramway,1.8,3.8,7.53,6.33
ID_048,5.54,2.84,ID_048,TGV,7.46,5.57,2.45,5.07
ID_049,6.24,8.44,ID_049,Tramway,5.68,4.51,4.68,6.81
ID_050,7.36,4.76,ID_050,TGV,6.92,4.67,3.08,7.09
ID_051,7.01,4.9,ID_051,Métro,2.7,5.45,6.0,4.59
ID_052,3.31,8.39,ID_052,Bus RATP,5.34,3.9,5.23,5.76
ID_053,6.55,5.87,ID_053,Bus RATP,5.12,2.64,7.0,8.03
ID_054,3.43,8.14,ID_054,RER,7.11,6.65,3.73,1.69
ID_055,5.8,2.8,ID_055,Transilien,5.67,3.28,1.93,3.82
ID_056,8.33,7.79,ID_056,RER,6.36,5.67,3.56,1.34
ID_057,6.83,6.33,ID_057,Tramway,1.27,4.1,2.31,8.28
ID_058,8.52,6.67,ID_058,Transilien,2.14,8.46,8.74,5.67
ID_059,6.71,1.64,ID_059,Métro,1.27,7.92,8.2,2.66
ID_060,5.82,5.8,ID_060,RER,7.5,3.51,5.26,2.67
ID_061,7.65,3.67,ID_061,TGV,1.52,7.71,3.98,6.84
ID_062,2.9,5.96,ID_062,Tramway,7.67,7.08,7.56,8.4
ID_063,5.59,1.63,ID_063,Métro,8.15,5.81,7.15,4.22
ID_064,5.49,7.66,ID_064,Bus RATP,7.07,3.92,3.09,8.24
ID_065,6.52,6.76,ID_065,RER,1.38,7.67,8.73,8.17
ID_066,2.0,6.19,ID_066,Transilien,6.47,6.01,8.13,6.36
ID_067,8.17,6.44,ID_067,TGV,1.63,5.44,8.3,6.75
ID_068,1.24,3.53,ID_068,Bus RATP,3.23,8.69,7.08,3.31
ID_069,2.49,1.56,ID_069,Transilien,2.0,3.55,7.29,2.06
ID_070,7.8,8.56,ID_070,TGV,4.92,2.45,3.75,4.07
ID_071,4.43,4.18,ID_071,TGV,6.13,3.4,2.79,7.27
ID_072,8.58,7.02,ID_072,Tramway,6.0,7.81,1.76,6.4
ID_073,7.03,4.82,ID_073,Transilien,5.59,4.08,5.42,6.69
ID_074,2.91,6.07,ID_074,RER,2.87,2.95,7.22,1.54
ID_075,8.04,5.37,ID_075,Tramway,7.05,8.25,2.42,6.5
ID_076,3.95,6.47,ID_076,Bus RATP,6.17,2.09,4.57,1.63
ID_077,7.69,7.0,ID_077,Tramway,3.02,5.37,5.94,1.62
ID_078,8.73,2.31,ID_078,Tramway,6.92,4.47,1.73,6.77
ID_079,5.16,1.84,ID_079,Métro,3.49,6.85,2.6,2.23
ID_080,5.78,1.31,ID_080,Transilien,2.95,4.05,8.31,5.21
ID_081,5.72,1.57,ID_081,Bus RATP,4.16,4.46,4.55,8.16
ID_082,7.32,3.25,ID_082,Bus RATP,3.11,5.74,3.17,8.41
ID_083,4.73,7.94,ID_083,Bus RATP,2.23,6.03,7.34,8.1
ID_084,5.42,3.88,ID_084,Bus RATP,5.64,6.21,3.02,4.89
ID_085,1.95,4.4,ID_085,TGV,6.51,2.26,5.24,2.13
ID_086,6.81,3.22,ID_086,Bus RATP,7.37,4.24,2.79,3.49
ID_087,4.37,5.84,ID_087,Tramway,4.09,3.52,4.93,7.39
ID_088,7.37,3.08,ID_088,TGV,6.6,5.16,3.55,6.46
ID_089,3.99,2.42,ID_089,Métro,2.81,1.43,7.59,7.1
ID_090,5.99,5.19,ID_090,RER,6.92,4.79,4.22,6.41
ID_091,7.16,8.47,ID_091,Métro,4.56,3.86,1.29,5.97
ID_092,8.29,3.39,ID_092,Bus RATP,6.2,6.04,2.24,6.02
ID_093,3.03,8.55,ID_093,TER,6.45,1.94,4.86,1.89
ID_094,4.2,6.56,ID_094,RER,2.45,4.67,8.09,3.59
ID_095,2.74,5.64,ID_095,Bus RATP,5.12,3.78,8.78,7.2
ID_096,4.23,3.15,ID_096,TGV,6.73,4.03,2.59,4.49
ID_097,6.31,3.88,ID_097,TER,5.1,6.62,7.55,4.37
ID_098,5.3,1.49,ID_098,Tramway,5.08,3.74,6.98,6.45
ID_099,2.41,8.09,ID_099,Transilien,7.6,2.64,2.93,8.68
ID_000,5.81,3.42,ID_000,TGV,5.86,6.21,4.18,8.53
ID_001,3.52,7.74,ID_001,TER,8.12,8.0,6.93,8.28
ID_002,8.66,1.4,ID_002,TER,5.38,7.42,3.95,2.79
ID_003,2.03,1.45,ID_003,Tramway,5.19,4.36,6.56,1.51
ID_004,6.92,1.79,ID_004,Transilien,8.61,2.59,6.64,7.95
ID_005,7.36,7.61,ID_005,Tramway,5.79,5.27,2.56,5.69
ID_006,4.21,6.68,ID_006,Tramway,1.29,4.32,1.44,8.4
ID_007,7.64,7.17,ID_007,TER,2.2,4.88,6.84,6.76
ID_008,3.73,8.45,ID_008,Bus RATP,1.92,4.91,6.33,2.77
ID_009,7.44,3.5,ID_009,TGV,3.21,7.65,7.49,4.04
ID_010,8.33,7.55,ID_010,Métro,7.49,6.34,8.28,5.35
ID_011,7.47,1.81,ID_011,Transilien,3.26,3.49,2.47,4.77
ID_012,7.18,5.13,ID_012,TER,4.4,1.91,1.97,4.08
ID_013,8.18,3.66,ID_013,Métro,8.21,6.23,5.47,4.69
ID_014,3.53,1.92,ID_014,Bus RATP,6.32,2.28,6.49,7.55
ID_015,7.74,5.98,ID_015,Tramway,4.09,4.62,3.64,6.46
ID_016,4.65,1.79,ID_016,TGV,3.21,7.62,5.91,5.6
ID_017,5.41,3.9,ID_017,RER,4.36,1.4,1.52,5.38
ID_018,4.6,2.19,ID_018,Transilien,4.74,6.13,3.72,3.28
ID_019,7.0,6.26,ID_019,Tramway,6.35,1.74,8.65,3.32
ID_020,3.77,5.34,ID_020,TGV,8.32,7.55,5.68,2.86
ID_021,8.03,4.54,ID_021,Tramway,7.9,2.98,3.53,1.52
ID_022,5.79,2.96,ID_022,RER,3.07,8.23,7.14,2.11
ID_023,8.3,8.66,ID_023,RER,2.69,8.38,5.51,7.5
ID_024,2.97,4.09,ID_024,Tramway,5.07,7.06,5.58,7.58
ID_025,4.49,4.23,ID_025,Bus RATP,8.3,8.52,3.04,4.87
ID_026,5.46,5.63,ID_026,TER,7.07,3.28,1.8,5.51
ID_027,5.72,5.05,ID_027,TGV,6.32,5.53,6.55,8.63
ID_028,1.29,2.74,ID_028,Transilien,4.09,4.57,6.21,3.98
ID_029,7.28,3.39,ID_029,Bus RATP,3.58,5.14,8.31,2.36
ID_030,3.35,6.91,ID_030,Métro,3.53,7.11,5.59,7.02
ID_031,5.43,1.69,ID_031,Métro,7.95,4.59,3.09,7.54
ID_032,5.28,6.84,ID_032,Transilien,1.74,1.21,2.35,6.32
ID_033,4.4,2.56,ID_033,Bus RATP,4.86,8.34,2.69,5.84
ID_034,4.58,2.32,ID_034,Bus RATP,7.21,8.21,7.9,5.32
ID_035,3.26,8.72,ID_035,RER,1.21,4.68,5.69,5.8
ID_036,6.02,2.88,ID_036,Métro,3.69,7.55,7.34,5.54
ID_037,3.69,2.98,ID_037,TGV,6.3,1.99,2.22,3.99
ID_038,7.74,6.65,ID_038,Métro,4.3,4.14,4.33,6.69
ID_039,7.97,5.03,ID_039,TER,2.5,6.3,3.99,8.76
ID_040,7.01,7.03,ID_040,Tramway,5.51,6.47,5.17,6.0
ID_041,2.62,5.45,ID_041,RER,1.93,4.27,3.7,2.09
ID_042,3.15,4.86,ID_042,TGV,4.41,5.44,6.33,7.87
ID_043,1.63,2.5,ID_043,TGV,5.2,7.26,4.7,1.61
ID_044,1.69,4.92,ID_044,TGV,3.75,5.06,7.45,2.58
ID_045,2.42,6.21,ID_045,TGV,1.77,5.64,6.49,6.38
ID_046,2.99,3.06,ID_046,TGV,3.38,3.24,4.38,1.49
ID_047,8.14,5.52,ID_047,Métro,1.29,1.6,2.9,5.75
ID_048,7.45,7.94,ID_048,TER,1.5,4.3,5.71,2.62
ID_049,4.84,8.13,ID_049,RER,8.69,3.5,5.52,7.78
ID_050,2.94,5.43,ID_050,Bus RATP,4.09,2.77,4.73,7.54
ID_051,7.99,7.57,ID_051,Métro,3.31,8.16,8.33,5.88
ID_052,1.43,1.38,ID_052,TGV,4.87,2.54,1.63,4.85
ID_053,2.63,8.5,ID_053,TER,8.33,5.49,4.84,1.5
ID_054,7.64,5.71,ID_054,Bus RATP,4.58,2.39,2.85,6.78
ID_055,2.34,5.39,ID_055,Métro,3.1,6.78,7.79,3.94
ID_056,3.24,7.74,ID_056,Tramway,4.68,8.15,5.39,6.27
ID_057,4.96,5.5,ID_057,TER,6.42,8.32,4.3,7.92
ID_058,6.48,3.4,ID_058,Métro,1.54,7.34,6.71,7.66
ID_059,7.99,6.3,ID_059,Métro,5.56,7.2,8.24,8.78
ID_060,1.67,7.12,ID_060,Tramway,7.97,6.76,4.51,8.55
ID_061,7.07,7.86,ID_061,Tramway,5.69,4.43,1.41,7.15
ID_062,4.93,5.02,ID_062,Tramway,6.96,1.4,3.81,6.4
ID_063,1.26,4.58,ID_063,TER,2.98,6.0,3.76,4.7
ID_064,6.29,3.93,ID_064,TER,7.42,2.27,2.7,5.25
ID_065,2.33,2.61,ID_065,Transilien,4.38,3.81,6.92,8.11
ID_066,5.9,6.2,ID_066,Tramway,7.67,6.81,8.71,5.69
ID_067,7.09,8.69,ID_067,Métro,7.71,8.31,1.95,5.67
ID_068,2.97,6.37,ID_068,Tramway,5.07,1.39,7.55,3.86
ID_069,6.81,1.22,ID_069,Bus RATP,3.25,2.56,5.83,3.37
ID_070,2.87,5.88,ID_070,RER,2.3,5.34,4.95,7.32
ID_071,3.14,3.31,ID_071,RER,7.93,6.57,6.56,6.4
ID_072,6.14,8.39,ID_072,Transilien,8.25,6.84,2.25,1.56
ID_073,8.68,5.9,ID_073,Tramway,1.3,2.67,2.58,3.95
ID_074,8.63,6.82,ID_074,TER,1.52,7.66,7.48,1.85
ID_075,6.94,6.93,ID_075,Tramway,2.85,8.5,3.94,6.28
ID_076,3.77,5.46,ID_076,TGV,1.54,5.14,4.08,1.41
ID_077,3.17,3.29,ID_077,Métro,3.31,4.65,4.41,3.97
ID_078,7.1,7.41,ID_078,Transilien,7.23,3.09,4.63,6.73
ID_079,1.78,2.58,ID_079,TER,6.57,2.05,3.43,4.82
ID_080,6.03,5.0,ID_080,Tramway,5.96,7.74,7.57,7.65
ID_081,3.22,2.61,ID_081,Bus RATP,5.83,6.18,8.19,5.13
ID_082,3.17,4.53,ID_082,Transilien,1.28,3.78,4.47,6.07
ID_083,6.46,8.03,ID_083,Métro,5.28,5.77,5.78,6.9
ID_084,7.8,1.61,ID_084,TGV,4.38,4.73,8.01,4.99
ID_085,4.48,8.23,ID_085,Bus RATP,6.85,2.57,3.17,4.55
ID_086,6.05,3.37,ID_086,TGV,3.78,1.38,6.88,1.98
ID_087,7.74,2.29,ID_087,RER,2.29,7.43,7.13,7.47
ID_088,7.55,4.29,ID_088,Transilien,2.82,3.4,3.61,3.88
ID_089,4.65,4.15,ID_089,Bus RATP,3.07,8.58,7.17,3.5
ID_090,3.38,1.62,ID_090,Transilien,8.34,8.73,1.6,8.61
ID_091,8.34,5.48,ID_091,TER,5.53,6.29,4.2,8.28
ID_092,4.67,7.55,ID_092,Métro,7.51,6.81,7.32,5.44
ID_093,3.79,4.57,ID_093,RER,4.54,6.8,2.08,2.91
ID_094,4.57,2.28,ID_094,TGV,1.31,2.86,5.11,6.41
ID_095,8.0,3.95,ID_095,Tramway,6.72,4.89,1.94,2.31
ID_096,1.96,1.89,ID_096,Transilien,7.98,4.79,5.66,2.28
ID_097,2.57,7.96,ID_097,Transilien,7.0,8.33,4.37,4.87
ID_098,2.63,4.19,ID_098,Bus RATP,3.43,2.62,6.85,8.05
ID_099,4.57,2.19,ID_099,TER,2.21,5.59,2.96,2.37
ID_000,6.48,1.51,ID_000,Tramway,8.48,6.56,5.85,4.75
ID_001,5.26,8.79,ID_001,Tramway,5.74,7.07,2.63,4.43
ID_002,8.32,8.31,ID_002,RER,4.34,8.35,6.15,7.13
ID_003,1.6,8.06,ID_003,Métro,7.63,2.11,2.8,4.79
ID_004,1.56,2.29,ID_004,TGV,6.56,3.21,2.98,3.81
ID_005,7.18,1.64,ID_005,Transilien,5.72,4.53,4.93,2.37
ID_006,1.41,5.15,ID_006,Transilien,3.07,6.78,8.34,5.1
ID_007,1.5,6.26,ID_007,Métro,4.32,6.89,8.55,4.21
ID_008,2.5,7.99,ID_008,RER,2.2,4.3,7.9,2.43
ID_009,7.99,4.34,ID_009,Métro,4.13,4.1,3.71,1.61
ID_010,5.52,5.99,ID_010,RER,2.32,4.95,7.49,7.23
ID_011,3.98,8.17,ID_011,Métro,1.56,4.43,4.35,1.54
ID_012,1.8,4.25,ID_012,Métro,2.87,8.28,2.75,5.36
ID_013,7.37,6.74,ID_013,TER,6.24,2.6,7.25,2.23
ID_014,8.64,1.42,ID_014,Métro,4.89,7.07,6.77,5.91
ID_015,6.73,6.17,ID_015,Transilien,5.61,5.97,7.97,4.93
ID_016,2.79,5.86,ID_016,TGV,6.84,7.99,6.6,7.71
ID_017,5.64,3.52,ID_017,Bus RATP,2.94,4.11,7.78,5.18
ID_018,5.61,4.02,ID_018,Métro,3.14,6.67,3.29,6.19
ID_019,4.12,8.04,ID_019,TER,6.31,8.49,1.41,8.42
ID_020,8.71,2.11,ID_020,TGV,7.61,1.84,3.84,3.59
ID_021,2.11,1.42,ID_021,Bus RATP,3.49,2.17,2.86,7.06
ID_022,4.77,5.08,ID_022,Bus RATP,5.97,6.85,6.51,6.55
ID_023,1.4,8.11,ID_023,Tramway,6.75,1.32,1.89,1.34
ID_024,1.33,7.13,ID_024,Métro,8.61,2.9,8.34,8.68
ID_025,1.65,3.96,ID_025,Transilien,7.4,7.13,5.11,7.56
ID_026,2.02,4.38,ID_026,TER,3.18,2.97,1.46,6.8
ID_027,2.19,4.99,ID_027,RER,2.62,5.27,8.64,3.66
ID_028,5.06,6.97,ID_028,Tramway,2.67,6.82,8.02,5.77
ID_029,6.91,6.61,ID_029,RER,3.82,7.98,6.38,5.7
ID_030,1.74,5.95,ID_030,Métro,3.2,3.88,5.4,1.99
ID_031,8.23,6.53,ID_031,Transilien,6.21,3.11,4.04,6.24
ID_032,5.26,2.29,ID_032,TGV,6.84,3.46,7.21,1.5
ID_033,3.88,1.88,ID_033,Transilien,2.0,4.48,7.68,2.2
ID_034,6.19,6.2,ID_034,TER,7.58,7.07,5.87,4.53
ID_035,6.43,2.84,ID_035,Métro,5.68,1.88,7.42,4.01
ID_036,3.73,2.38,ID_036,Bus RATP,2.29,3.93,8.31,3.22
ID_037,1.74,3.89,ID_037,RER,6.55,5.82,8.2,5.73
ID_038,4.45,3.97,ID_038,Transilien,4.53,6.2,4.28,6.74
ID_039,8.45,8.26,ID_039,Métro,8.32,7.16,3.04,6.43
ID_040,8.52,3.39,ID_040,Bus RATP,2.56,3.59,8.23,5.15
ID_041,5.99,3.68,ID_041,TGV,4.2,6.15,3.58,4.16
ID_042,6.75,1.77,ID_042,TGV,6.47,4.41,6.95,4.94
ID_043,2.02,2.36,ID_043,Métro,2.44,7.66,6.35,6.54
ID_044,2.42,5.75,ID_044,RER,5.11,8.35,3.74,5.47
ID_045,6.95,7.55,ID_045,TGV,3.5,5.67,3.27,2.61
ID_046,6.83,4.29,ID_046,TER,3.19,5.5,7.92,7.55
ID_047,4.23,4.19,ID_047,Métro,4.12,5.82,2.85,4.37
ID_048,4.43,6.01,ID_048,Tramway,2.03,4.74,3.21,3.94
ID_049,3.42,2.84,ID_049,Tramway,1.37,7.73,2.84,8.6
ID_050,6.7,1.24,ID_050,TER,4.11,1.38,7.7,1.22
ID_051,7.07,5.0,ID_051,Tramway,7.94,4.03,7.95,5.54
ID_052,5.42,8.15,ID_052,RER,4.2,2.33,1.72,6.76
ID_053,2.79,2.39,ID_053,TER,2.0,6.2,3.5,2.02
ID_054,4.47,7.15,ID_054,RER,7.0,1.65,7.87,4.44
ID_055,6.28,3.65,ID_055,TER,1.36,7.17,8.02,5.4
ID_056,6.16,7.57,ID_056,TER,1.33,4.63,7.02,6.79
ID_057,1.6,7.81,ID_057,Tramway,2.06,2.36,6.52,5.42
ID_058,2.21,7.75,ID_058,TGV,3.59,2.27,2.53,4.82
ID_059,2.44,5.21,ID_059,TER,6.2,8.17,2.06,5.67
ID_060,3.37,4.21,ID_060,Métro,6.48,3.11,7.89,2.28
