col_price_id,col_region,col_periode_mois,col_annee,col_mois,col_fuel_type,col_prix_unitaire,col_devise
ID_076,Île-de-France,6.62,6.66,3.79,1.99,1.862,2.62
ID_077,Nouvelle-Aquitaine,7.61,7.32,8.41,4.29,1.802,8.12
ID_078,Pays de la Loire,3.12,2.76,8.35,1.83,1.961,8.76
ID_079,Île-de-France,2.23,8.46,2.29,5.86,1.82,8.1
ID_080,Pays de la Loire,8.0,5.7,3.87,4.51,1.903,5.45
ID_081,Nouvelle-Aquitaine,4.53,6.78,4.22,8.36,1.92,1.6
ID_082,Normandie,8.47,2.25,2.0,3.23,1.774,1.26
ID_083,Occitanie,5.72,2.86,4.92,7.22,1.947,2.26
ID_084,Occitanie,1.65,4.38,2.88,3.79,1.929,4.26
ID_085,Provence-Alpes-Côte d'Azur,8.21,5.78,5.16,2.49,1.817,6.67
ID_086,Nouvelle-Aquitaine,7.69,8.35,2.43,3.26,1.875,6.13
ID_087,Pays de la Loire,3.26,8.2,5.92,1.76,1.747,5.51
ID_088,Pays de la Loire,1.33,6.61,6.62,4.14,1.802,4.5
ID_089,Île-de-France,3.48,2.83,3.58,6.14,1.767,8.42
ID_090,Provence-Alpes-Côte d'Azur,8.1,7.38,1.98,2.57,1.871,6.69
ID_091,Grand Est,4.16,4.15,7.25,7.61,1.755,7.22
ID_092,Grand Est,7.15,8.41,5.78,2.89,1.967,7.24
ID_093,Auvergne-Rhône-Alpes,3.72,6.37,2.76,5.47,1.723,4.74
ID_094,Grand Est,1.66,4.44,6.12,6.09,1.926,5.54
ID_095,Provence-Alpes-Côte d'Azur,8.38,5.45,2.07,4.11,1.834,6.61
ID_096,Occitanie,8.0,4.1,7.1,8.1,1.867,6.5
ID_097,Pays de la Loire,5.25,1.43,4.05,5.71,1.847,5.51
ID_098,Pays de la Loire,6.56,6.55,7.61,5.41,1.814,4.69
ID_099,Pays de la Loire,4.25,3.01,1.61,1.22,1.926,8.69
ID_000,Pays de la Loire,4.11,3.52,4.84,8.6,1.859,3.78
ID_001,Nouvelle-Aquitaine,3.39,4.49,4.58,4.6,1.681,4.43
ID_002,Provence-Alpes-Côte d'Azur,4.51,6.58,8.21,3.68,1.689,2.75
ID_003,Nouvelle-Aquitaine,1.32,6.34,2.18,4.68,1.834,1.65
ID_004,Occitanie,3.98,8.78,1.76,2.68,1.849,8.59
ID_005,Normandie,6.79,2.26,7.48,7.88,1.727,6.06
ID_006,Normandie,5.14,1.83,8.4,2.13,1.718,7.61
ID_007,Auvergne-Rhône-Alpes,7.88,5.1,4.61,1.31,1.872,2.05
ID_008,Grand Est,1.6,1.84,3.51,2.11,1.702,2.38
ID_009,Pays de la Loire,4.87,2.72,6.9,7.89,1.82,8.35
ID_010,Pays de la Loire,7.63,7.81,3.27,3.83,1.845,6.31
ID_011,Grand Est,4.36,4.0,3.65,2.42,1.831,7.99
ID_012,Bretagne,7.98,2.14,3.8,8.54,1.947,4.92
ID_013,Provence-Alpes-Côte d'Azur,2.16,7.28,7.5,8.63,1.691,8.7
ID_014,Occitanie,2.81,4.69,2.79,2.01,1.929,5.39
ID_015,Occitanie,3.19,8.32,6.12,3.59,1.792,1.54
ID_016,Nouvelle-Aquitaine,4.79,2.76,7.56,5.54,1.864,1.22
ID_017,Hauts-de-France,8.75,6.79,3.92,6.09,1.905,1.3
ID_018,Occitanie,2.58,5.11,8.38,4.56,1.862,1.84
ID_019,Auvergne-Rhône-Alpes,8.0,2.93,8.48,2.7,1.951,1.57
ID_020,Bretagne,4.28,8.23,6.49,2.24,1.698,3.68
ID_021,Hauts-de-France,6.36,1.8,8.39,3.29,1.754,5.21
ID_022,Auvergne-Rhône-Alpes,1.85,5.17,4.47,7.28,1.716,7.31
ID_023,Provence-Alpes-Côte d'Azur,5.69,8.7,7.5,7.13,1.853,1.75
ID_024,Nouvelle-Aquitaine,2.58,4.33,4.09,3.89,1.761,4.11
ID_025,Hauts-de-France,4.44,7.61,4.55,7.71,1.891,6.06
ID_026,Auvergne-Rhône-Alpes,3.04,6.83,2.35,1.33,1.743,8.53
ID_027,Pays de la Loire,3.23,5.62,2.01,2.75,1.819,3.28
ID_028,Pays de la Loire,7.43,3.44,4.69,7.97,1.721,1.28
ID_029,Pays de la Loire,7.28,5.13,1.64,8.18,1.833,4.13
ID_030,Pays de la Loire,5.33,7.64,3.41,8.4,1.944,7.03
ID_031,Grand Est,6.24,4.34,3.09,8.28,1.965,2.22
ID_032,Occitanie,1.56,5.75,1.6,4.33,1.949,5.52
ID_033,Auvergne-Rhône-Alpes,7.33,8.31,3.67,3.77,1.681,7.02
ID_034,Grand Est,5.06,7.8,5.16,5.62,1.737,6.49
ID_035,Normandie,7.17,4.6,4.81,8.07,1.952,2.97
ID_036,Hauts-de-France,3.25,3.55,5.88,7.18,1.87,1.85
ID_037,Pays de la Loire,4.24,1.66,5.63,3.24,1.825,3.85
ID_038,Pays de la Loire,2.64,2.62,7.55,7.06,1.748,2.65
ID_039,Occitanie,7.41,4.26,2.81,6.53,1.982,2.9
ID_040,Bretagne,5.05,2.71,4.98,2.05,1.988,2.37
ID_041,Occitanie,7.9,6.86,7.9,1.84,1.729,6.13
ID_042,Hauts-de-France,1.6,4.55,1.43,4.19,1.732,3.09
ID_043,Île-de-France,3.42,4.17,8.52,2.89,1.863,1.83
ID_044,Grand Est,4.49,3.95,3.85,4.97,1.856,6.2
ID_045,Hauts-de-France,6.77,2.26,6.49,7.35,1.809,5.77
ID_046,Bretagne,2.65,5.38,1.77,7.62,1.815,4.35
ID_047,Provence-Alpes-Côte d'Azur,7.14,4.8,6.8,2.52,1.846,2.52
ID_048,Hauts-de-France,4.73,6.9,8.51,5.5,1.825,1.36
ID_049,Nouvelle-Aquitaine,7.22,5.93,5.7,1.93,1.962,2.08
ID_050,Normandie,2.57,7.44,7.8,5.29,1.776,5.09
ID_051,Pays de la Loire,3.13,6.4,5.71,7.31,1.705,6.6
ID_052,Provence-Alpes-Côte d'Azur,4.23,2.42,7.33,6.25,1.969,8.63
ID_053,Grand Est,5.14,3.3,5.79,6.23,1.693,4.38
ID_054,Grand Est,2.87,1.38,5.97,4.14,1.873,3.19
ID_055,Île-de-France,3.79,4.8,6.26,6.75,1.858,5.03
ID_056,Pays de la Loire,4.59,4.93,7.54,1.31,1.76,8.68
ID_057,Bretagne,1.87,8.29,5.63,2.73,1.906,3.23
ID_058,Pays de la Loire,1.77,1.33,5.71,5.02,1.699,2.88
ID_059,Île-de-France,2.5,4.19,5.39,8.67,1.972,5.87
ID_060,Bretagne,8.05,3.61,5.92,3.11,1.712,8.37
ID_061,Grand Est,8.79,7.26,2.0,4.97,1.954,4.41
ID_062,Nouvelle-Aquitaine,4.88,7.67,7.76,5.61,1.968,4.04
ID_063,Nouvelle-Aquitaine,3.2,3.73,7.61,2.52,1.799,4.36
ID_064,Auvergne-Rhône-Alpes,7.73,7.07,6.01,5.13,1.985,5.79
ID_065,Île-de-France,7.21,2.88,8.41,4.11,1.913,4.48
ID_066,Occitanie,7.24,5.73,4.22,8.75,1.683,3.07
ID_067,Pays de la Loire,2.95,4.87,5.41,3.49,1.833,2.54
ID_068,Bretagne,4.51,6.0,6.49,1.93,1.778,2.99
ID_069,Provence-Alpes-Côte d'Azur,5.1,6.47,6.45,4.46,1.82,5.55
ID_070,Provence-Alpes-Côte d'Azur,1.71,5.05,6.04,7.78,1.954,3.74
ID_071,Pays de la Loire,8.29,4.69,7.1,2.61,1.857,7.46
ID_072,Occitanie,7.46,5.0,1.99,5.46,1.973,2.8
ID_073,Provence-Alpes-Côte d'Azur,5.01,3.94,5.35,8.31,1.835,6.5
ID_074,Grand Est,4.85,8.79,7.14,6.85,1.955,2.48
ID_075,Grand Est,2.57,5.47,7.14,1.91,1.899,7.42
ID_076,Bretagne,6.17,1.99,7.14,6.55,1.874,7.72
ID_077,Grand Est,4.15,7.23,6.08,3.83,1.784,8.25
ID_078,Nouvelle-Aquitaine,8.63,4.51,2.72,1.55,1.735,2.13
ID_079,Nouvelle-Aquitaine,8.07,6.41,2.28,4.65,1.696,6.77
ID_080,Hauts-de-France,8.66,7.64,7.63,6.74,1.89,5.1
ID_081,Normandie,6.49,3.46,1.39,7.56,1.932,2.83
ID_082,Provence-Alpes-Côte d'Azur,1.78,3.73,8.72,5.14,1.871,5.35
ID_083,Auvergne-Rhône-Alpes,1.78,6.92,4.49,4.34,1.857,7.68
ID_084,Auvergne-Rhône-Alpes,7.42,1.68,5.54,5.31,1.689,5.77
ID_085,Normandie,7.07,3.14,7.29,3.87,1.915,1.5
ID_086,Normandie,2.83,7.98,7.38,6.12,1.942,2.07
ID_087,Grand Est,7.78,3.22,1.49,8.18,1.931,2.07
ID_088,Île-de-France,3.29,7.86,2.06,1.33,1.967,1.95
ID_089,Pays de la Loire,4.8,4.4,6.46,3.76,1.786,7.85
ID_090,Provence-Alpes-Côte d'Azur,4.23,7.15,2.52,1.2,1.91,3.55
ID_091,Pays de la Loire,3.85,4.26,2.35,8.02,1.777,7.63
ID_092,Hauts-de-France,7.2,5.77,3.55,7.71,1.787,7.87
ID_093,Île-de-France,7.63,7.36,4.42,7.24,1.8,1.29
ID_094,Nouvelle-Aquitaine,7.44,4.19,1.78,7.42,1.767,2.46
ID_095,Nouvelle-Aquitaine,3.24,3.6,6.36,5.5,1.911,4.6
ID_096,Nouvelle-Aquitaine,1.97,2.12,8.73,5.37,1.853,6.0
ID_097,Provence-Alpes-Côte d'Azur,4.16,7.45,8.66,7.59,1.905,1.69
ID_098,Provence-Alpes-Côte d'Azur,8.01,5.63,2.23,1.92,1.877,6.69
ID_099,Grand Est,6.01,5.42,5.64,4.8,1.68,5.92
ID_000,Pays de la Loire,4.68,1.49,1.22,5.96,1.903,3.21
ID_001,Auvergne-Rhône-Alpes,7.1,7.85,8.02,8.37,1.71,5.56
ID_002,Pays de la Loire,7.42,1.36,2.47,4.22,1.831,6.26
ID_003,Normandie,2.38,4.53,6.51,4.88,1.877,6.01
ID_004,Occitanie,5.56,2.52,6.97,1.94,1.778,8.27
ID_005,Normandie,3.13,3.63,7.54,3.48,1.732,6.47
ID_006,Hauts-de-France,4.16,5.6,8.45,4.82,1.893,3.85
ID_007,Nouvelle-Aquitaine,2.9,1.4,7.59,8.65,1.804,5.36
ID_008,Auvergne-Rhône-Alpes,8.6,2.56,3.69,3.69,1.837,1.86
ID_009,Pays de la Loire,7.32,2.92,5.45,3.13,1.755,5.72
ID_010,Pays de la Loire,6.8,1.83,2.01,2.89,1.685,7.16
ID_011,Provence-Alpes-Côte d'Azur,4.62,2.3,4.44,8.61,1.838,1.3
ID_012,Occitanie,7.14,8.68,7.52,7.7,1.98,6.07
ID_013,Occitanie,8.07,4.85,6.02,6.46,1.784,5.76
ID_014,Provence-Alpes-Côte d'Azur,2.28,3.93,7.03,2.4,1.921,4.1
ID_015,Normandie,7.27,3.6,3.46,4.7,1.855,7.57
ID_016,Provence-Alpes-Côte d'Azur,4.32,6.5,4.08,4.96,1.876,6.98
ID_017,Île-de-France,2.5,7.73,5.17,5.05,1.895,2.75
ID_018,Île-de-France,4.87,3.15,5.0,3.21,1.886,4.94
ID_019,Auvergne-Rhône-Alpes,8.72,5.94,2.32,1.71,1.711,6.14
ID_020,Provence-Alpes-Côte d'Azur,7.84,4.34,7.04,6.48,1.756,8.41
ID_021,Normandie,4.88,7.41,2.84,1.74,1.759,6.27
ID_022,Normandie,5.96,1.35,2.36,1.78,1.935,5.57
ID_023,Provence-Alpes-Côte d'Azur,4.17,6.91,1.9,7.51,1.975,7.07
ID_024,Normandie,3.77,3.85,3.91,8.5,1.751,5.38
ID_025,Grand Est,5.46,6.24,3.55,3.06,1.971,5.64
ID_026,Grand Est,7.08,5.24,3.04,1.73,1.977,3.07
ID_027,Pays de la Loire,6.12,3.01,7.87,1.85,1.764,6.68
ID_028,Grand Est,5.4,2.13,7.17,1.22,1.801,3.14
ID_029,Bretagne,1.72,4.74,6.99,7.63,1.742,7.84
ID_030,Île-de-France,5.63,7.84,5.03,2.93,1.719,8.62
ID_031,Île-de-France,7.53,1.65,7.23,3.84,1.877,3.55
ID_032,Nouvelle-Aquitaine,2.37,1.83,5.44,3.22,1.726,5.01
ID_033,Normandie,3.31,6.64,1.25,8.42,1.879,2.11
ID_034,Auvergne-Rhône-Alpes,4.44,4.83,7.14,5.54,1.766,8.08
ID_035,Nouvelle-Aquitaine,2.78,3.45,5.08,5.58,1.764,6.39
ID_036,Grand Est,1.95,1.37,6.21,7.66,1.803,3.38
ID_037,Hauts-de-France,4.7,8.4,6.57,6.08,1.907,4.78
ID_038,Nouvelle-Aquitaine,6.38,8.42,1.64,2.4,1.914,3.5
ID_039,Grand Est,4.71,6.46,2.75,2.93,1.947,6.61
ID_040,Grand Est,4.65,5.46,1.44,4.42,1.778,4.72
ID_041,Normandie,7.49,7.06,6.44,7.56,1.777,3.9
ID_042,Provence-Alpes-Côte d'Azur,2.96,2.24,4.58,5.45,1.711,4.21
ID_043,Grand Est,4.6,8.09,5.87,2.26,1.839,2.52
ID_044,Bretagne,6.91,6.74,7.04,7.44,1.787,7.79
ID_045,Nouvelle-Aquitaine,1.66,2.7,8.62,6.44,1.79,2.71
ID_046,Auvergne-Rhône-Alpes,4.54,8.66,8.58,1.58,1.683,4.53
ID_047,Nouvelle-Aquitaine,4.41,4.01,3.01,3.48,1.948,1.81
ID_048,Pays de la Loire,2.78,8.11,8.68,1.21,1.905,5.41
ID_049,Provence-Alpes-Côte d'Azur,7.82,7.62,3.99,7.53,1.729,7.72
ID_050,Grand Est,1.32,1.58,6.48,6.94,1.827,7.41
ID_051,Occitanie,3.31,6.45,6.37,3.63,1.744,4.28
ID_052,Île-de-France,8.59,8.79,4.37,8.77,1.898,7.58
ID_053,Grand Est,6.95,8.28,2.96,8.0,1.72,6.77
ID_054,Hauts-de-France,3.76,7.12,3.94,5.34,1.899,2.03
ID_055,Pays de la Loire,4.45,1.88,7.41,6.68,1.949,3.94
ID_056,Pays de la Loire,4.99,1.92,6.65,2.29,1.938,4.9
ID_057,Île-de-France,6.14,2.79,8.4,7.75,1.704,8.77
ID_058,Normandie,6.48,6.38,7.31,3.7,1.923,5.25
ID_059,Île-de-France,8.0,8.63,5.23,1.6,1.694,8.21
ID_060,Occitanie,1.2,4.14,7.48,2.63,1.737,3.51
ID_061,Hauts-de-France,6.62,1.34,4.89,3.58,1.983,7.96
ID_062,Grand Est,7.72,7.62,1.64,3.83,1.727,4.39
ID_063,Normandie,7.64,5.4,7.41,6.58,1.961,2.52
ID_064,Hauts-de-France,6.65,3.33,6.66,4.17,1.731,2.01
ID_065,Auvergne-Rhône-Alpes,6.91,1.45,3.87,2.04,1.757,3.98
ID_066,Grand Est,8.06,5.01,6.66,3.09,1.8,3.04
ID_067,Grand Est,3.96,6.55,2.5,2.88,1.807,7.81
ID_068,Provence-Alpes-Côte d'Azur,4.38,6.85,2.94,7.84,1.883,5.32
ID_069,Île-de-France,7.83,6.27,2.77,3.49,1.901,3.46
ID_070,Grand Est,2.88,2.82,3.86,2.58,1.967,7.28
ID_071,Auvergne-Rhône-Alpes,6.83,7.43,7.91,7.18,1.965,6.47
ID_072,Occitanie,7.17,4.33,1.53,8.24,1.697,6.63
ID_073,Auvergne-Rhône-Alpes,2.49,7.57,1.65,7.0,1.965,6.88
ID_074,Nouvelle-Aquitaine,3.69,4.83,3.51,1.54,1.713,5.27
ID_075,Hauts-de-France,6.25,1.97,1.93,5.78,1.792,4.08
ID_076,Provence-Alpes-Côte d'Azur,5.37,7.59,7.8,8.65,1.927,8.54
ID_077,Normandie,5.66,5.19,6.32,2.52,1.894,6.84
ID_078,Hauts-de-France,7.89,4.17,3.36,7.66,1.898,2.41
ID_079,Provence-Alpes-Côte d'Azur,5.11,6.85,5.66,6.32,1.811,3.89
ID_080,Auvergne-Rhône-Alpes,6.85,2.31,4.55,3.36,1.827,2.9
ID_081,Bretagne,7.85,6.39,6.18,3.86,1.986,1.29
ID_082,Nouvelle-Aquitaine,3.49,4.3,4.23,6.04,1.737,4.57
ID_083,Bretagne,7.03,1.55,4.79,6.62,1.89,4.71
ID_084,Normandie,6.97,6.73,2.71,2.95,1.699,8.26
ID_085,Nouvelle-Aquitaine,6.04,2.95,6.36,3.33,1.977,2.84
ID_086,Grand Est,8.38,1.31,7.32,1.54,1.878,6.42
ID_087,Normandie,1.82,3.89,2.25,6.77,1.946,8.65
ID_088,Occitanie,8.22,3.11,7.81,4.39,1.704,4.01
ID_089,Bretagne,1.42,2.39,8.13,1.7,1.926,2.75
ID_090,Normandie,7.45,5.61,2.1,5.35,1.704,8.72
ID_091,Bretagne,4.19,5.81,5.74,6.17,1.924,5.27
ID_092,Hauts-de-France,8.78,4.5,5.69,5.21,1.977,3.97
ID_093,Pays de la Loire,2.78,6.5,7.23,3.46,1.838,5.49
ID_094,Provence-Alpes-Côte d'Azur,6.82,4.87,4.71,3.94,1.973,8.56
ID_095,Bretagne,5.78,4.03,7.63,1.39,1.922,6.29
ID_096,Hauts-de-France,8.6,6.14,3.0,6.61,1.732,5.95
ID_097,Normandie,1.71,8.51,4.39,8.12,1.919,3.92
ID_098,Île-de-France,1.41,2.65,6.29,6.85,1.793,3.21
ID_099,Grand Est,3.66,5.69,1.97,5.73,1.907,2.23
ID_000,Auvergne-Rhône-Alpes,8.1,5.29,2.51,5.47,1.863,3.91
ID_001,Nouvelle-Aquitaine,4.8,4.47,5.87,3.66,1.816,6.01
ID_002,Pays de la Loire,2.05,6.52,4.14,6.48,1.852,7.5
ID_003,Occitanie,4.74,1.43,6.19,4.37,1.903,2.13
ID_004,Bretagne,8.39,6.16,2.86,7.83,1.939,2.39
ID_005,Hauts-de-France,3.4,8.13,4.3,8.55,1.687,4.3
ID_006,Nouvelle-Aquitaine,3.05,2.94,3.19,1.78,1.834,2.59
ID_007,Île-de-France,1.4,2.98,8.51,3.31,1.846,4.54
ID_008,Grand Est,7.07,3.5,2.95,5.75,1.812,3.82
ID_009,Île-de-France,4.54,3.75,8.75,3.91,1.908,3.26
ID_010,Occitanie,3.7,4.58,7.76,8.45,1.907,5.25
ID_011,Grand Est,7.02,8.65,6.21,5.08,1.871,6.66
ID_012,Grand Est,2.52,5.68,4.93,3.97,1.956,5.47
ID_013,Grand Est,1.5,5.8,3.85,3.45,1.882,5.66
ID_014,Pays de la Loire,8.61,2.27,8.32,7.12,1.847,5.69
ID_015,Hauts-de-France,8.69,7.31,6.16,4.73,1.921,2.55
ID_016,Auvergne-Rhône-Alpes,3.7,8.27,1.73,6.17,1.808,6.13
ID_017,Occitanie,2.02,3.66,3.38,2.3,1.68,2.32
ID_018,Bretagne,5.82,2.68,2.85,2.22,1.742,8.32
ID_019,Hauts-de-France,5.15,6.01,6.03,7.31,1.716,1.75
ID_020,Pays de la Loire,8.51,8.27,8.18,6.43,1.767,7.65
ID_021,Normandie,8.7,7.78,1.87,8.52,1.761,6.69
ID_022,Grand Est,2.26,3.21,1.74,2.84,1.961,6.69
ID_023,Provence-Alpes-Côte d'Azur,3.61,3.36,4.25,2.81,1.727,6.03
ID_024,Pays de la Loire,5.85,6.31,7.97,2.89,1.761,4.06
ID_025,Grand Est,1.5,1.77,2.07,6.83,1.802,2.88
ID_026,Normandie,5.72,3.68,8.5,8.06,1.838,4.93
ID_027,Hauts-de-France,4.31,5.86,5.66,2.26,1.769,8.42
ID_028,Île-de-France,8.04,4.57,7.07,6.28,1.948,4.04
ID_029,Hauts-de-France,4.13,3.26,6.12,1.43,1.804,2.94
ID_030,Nouvelle-Aquitaine,2.63,4.53,5.21,4.43,1.682,5.97
ID_031,Nouvelle-Aquitaine,6.7,6.7,6.72,6.31,1.822,5.15
ID_032,Provence-Alpes-Côte d'Azur,8.32,1.24,4.52,8.19,1.895,7.96
ID_033,Grand Est,2.14,5.78,7.02,4.5,1.779,4.38
ID_034,Pays de la Loire,2.64,1.65,1.4,4.54,1.934,2.25
ID_035,Normandie,3.14,7.26,7.82,6.59,1.963,5.95
ID_036,Bretagne,6.71,2.75,4.8,7.2,1.916,7.61
ID_037,Nouvelle-Aquitaine,1.83,7.05,1.71,3.22,1.915,7.7
ID_038,Grand Est,5.41,7.49,8.08,3.29,1.692,6.78
ID_039,Provence-Alpes-Côte d'Azur,2.57,3.38,2.07,7.97,1.755,3.73
ID_040,Auvergne-Rhône-Alpes,3.98,1.43,1.42,3.71,1.975,4.47
ID_041,Occitanie,4.44,8.64,1.35,4.39,1.978,7.4
ID_042,Pays de la Loire,7.14,2.76,7.58,2.3,1.918,3.6
ID_043,Pays de la Loire,7.5,6.35,6.07,2.92,1.981,3.9
ID_044,Normandie,5.48,6.75,4.49,4.24,1.878,4.77
ID_045,Provence-Alpes-Côte d'Azur,5.22,3.24,2.95,8.15,1.798,1.88
ID_046,Île-de-France,8.33,4.7,2.72,5.81,1.964,3.53
ID_047,Bretagne,2.97,5.28,1.37,3.91,1.937,4.6
ID_048,Provence-Alpes-Côte d'Azur,3.61,6.97,5.11,4.91,1.955,1.92
ID_049,Provence-Alpes-Côte d'Azur,1.45,3.76,5.32,5.24,1.976,5.39
ID_050,Provence-Alpes-Côte d'Azur,1.81,3.18,1.61,6.02,1.886,6.62
ID_051,Bretagne,4.09,6.58,8.33,4.85,1.957,5.61
ID_052,Hauts-de-France,1.22,6.73,8.48,2.19,1.988,6.39
ID_053,Grand Est,6.49,5.9,8.42,8.67,1.862,8.04
ID_054,Bretagne,6.05,1.58,7.52,4.14,1.833,5.56
ID_055,Île-de-France,1.48,3.85,6.52,1.31,1.926,6.21
ID_056,Normandie,6.77,8.75,5.12,7.45,1.766,2.03
