col_scenario,col_nom_scenario,col_description,col_annee,col_age_moyen_parc,col_taux_renouvellement_annuel,col_reduction_emissions_pct,col_nombre_vehicules_remplaces_cumules,col_cout_politique_millions_eur,col_co2_evite_millions_tonnes,col_gain_qualite_air_pct,col_emplois_crees_estimes,col_rentabilite_annees,col_region,col_code_type,col_type_vehicule,col_tranche_age,col_age_moyen_tranche,col_nombre_vehicules,col_pourcentage_type_region,col_pourcentage_total_national,col_emissions_co2_g_km,col_consommation_l_100km,col_norme_euro,col_critair,col_impact_environnemental,col_cout_entretien_annuel_eur,col_taux_controle_technique_defaut,col_risque_accident,col_date_mise_circulation_moyenne,col_ville,col_population,col_date_mise_place_zfe,col_niveau_critair,col_total_vehicules_ville,col_vehicules_impactes,col_pourcentage_impactes,col_reduction_emissions_locale_pct,col_amelioration_qualite_air_pct,col_cout_adaptation_estime_eur,col_economies_sante_estimees_eur,col_date_conformite_complete
2.24,3.65,5.15,7.56,1.86,3.38,4.79,3.58,7.84,2.18,8.55,2024-09-02 00:00:00,2.71,Grand Est,6.77,5.55,1.37,1.65,2.26,Île-de-France,6.57,6.39,1.8,6.49,2.08,3.66,3.98,6.65,ID_010,46.928919,Nice,46.928919,2024-01-22 00:00:00,8.78,Lyon,5.78,3.09,8.69,1.85,2024-05-26 00:00:00,2024-06-15 00:00:00,2024-10-05 00:00:00
1.74,2.89,2.68,3.94,4.09,4.58,2.61,5.53,5.69,7.27,1.78,2024-09-08 00:00:00,4.83,Hauts-de-France,6.13,7.74,8.38,7.06,1.73,Normandie,1.95,8.62,1.63,5.34,8.29,7.21,1.32,4.82,ID_011,48.546259,Bordeaux,48.546259,2024-09-11 00:00:00,8.14,Nice,6.58,1.4,2.41,4.56,2024-09-05 00:00:00,2024-02-11 00:00:00,2024-01-15 00:00:00
2.46,7.63,5.45,7.54,6.21,8.04,8.78,8.22,8.64,2.7,3.68,2024-12-03 00:00:00,5.02,Auvergne-Rhône-Alpes,3.67,7.87,8.54,8.07,2.54,Nouvelle-Aquitaine,6.98,6.35,7.75,4.31,6.24,6.77,7.25,6.65,ID_012,52.402121,Paris,52.402121,2024-06-30 00:00:00,3.43,Montpellier,1.44,1.44,4.58,5.99,2024-03-08 00:00:00,2024-12-08 00:00:00,2024-06-02 00:00:00
1.5,1.29,1.6,6.68,7.55,6.76,7.83,7.27,4.3,7.51,4.85,2024-12-24 00:00:00,4.83,Pays de la Loire,2.08,1.83,5.08,6.63,5.87,Provence-Alpes-Côte d'Azur,1.55,6.7,6.55,5.6,4.46,5.0,7.58,1.29,ID_013,45.359041,Nantes,45.359041,2024-05-09 00:00:00,3.41,Nantes,8.42,5.15,3.8,4.32,2024-10-03 00:00:00,2024-09-03 00:00:00,2024-08-22 00:00:00
7.19,7.79,2.38,8.26,2.07,6.5,4.94,5.74,2.84,2.97,1.3,2024-02-01 00:00:00,1.41,Nouvelle-Aquitaine,8.56,2.03,1.2,7.47,8.64,Pays de la Loire,5.59,4.5,7.32,4.58,4.16,5.61,4.74,8.06,ID_014,51.599435,Lille,51.599435,2024-09-08 00:00:00,7.64,Marseille,8.61,6.64,7.24,8.37,2024-12-15 00:00:00,2024-09-30 00:00:00,2024-09-05 00:00:00
6.76,3.63,5.9,8.41,2.45,5.69,4.44,3.42,7.61,1.2,5.35,2024-07-11 00:00:00,1.43,Grand Est,7.54,4.43,2.69,1.88,4.98,Nouvelle-Aquitaine,3.53,6.25,3.92,1.74,8.52,3.21,3.06,2.54,ID_015,44.898132,Paris,44.898132,2024-05-06 00:00:00,7.23,Lille,8.45,2.62,7.29,5.75,2024-12-14 00:00:00,2024-11-06 00:00:00,2024-06-20 00:00:00
5.3,2.37,8.73,3.04,2.29,2.77,5.78,4.77,7.49,1.28,4.28,2024-05-15 00:00:00,4.07,Nouvelle-Aquitaine,5.17,4.6,1.32,2.88,5.12,Nouvelle-Aquitaine,7.54,1.62,5.69,8.05,5.95,7.42,5.13,2.7,ID_016,52.61758,Paris,52.61758,2024-12-07 00:00:00,4.43,Montpellier,4.04,3.33,8.45,2.66,2024-01-01 00:00:00,2024-04-18 00:00:00,2024-06-13 00:00:00
7.95,2.88,5.47,5.47,5.09,4.44,5.22,3.29,5.79,2.0,7.3,2024-08-03 00:00:00,5.97,Grand Est,6.9,6.14,7.55,8.79,2.77,Bretagne,7.15,6.82,7.31,2.42,1.69,7.91,2.48,7.26,ID_017,48.366136,Paris,48.366136,2024-03-26 00:00:00,2.31,Strasbourg,7.18,4.33,5.02,2.77,2024-08-17 00:00:00,2024-04-20 00:00:00,2024-08-17 00:00:00
8.38,7.43,4.04,5.7,4.13,3.18,1.64,4.02,4.29,5.29,4.46,2024-03-03 00:00:00,5.11,Auvergne-Rhône-Alpes,3.3,8.39,2.14,1.91,6.74,Nouvelle-Aquitaine,3.9,6.83,7.03,3.84,6.89,6.23,2.51,5.61,ID_018,46.590723,Toulouse,46.590723,2024-03-23 00:00:00,4.72,Marseille,3.4,3.63,2.38,7.47,2024-09-16 00:00:00,2024-07-19 00:00:00,2024-07-18 00:00:00
3.15,5.64,6.06,6.47,3.39,8.26,4.2,5.98,5.99,2.42,5.49,2024-02-28 00:00:00,4.59,Occitanie,3.3,5.0,7.09,7.36,3.71,Hauts-de-France,5.55,2.74,4.83,2.11,7.38,4.19,4.43,4.09,ID_019,52.150223,Nantes,52.150223,2024-07-24 00:00:00,3.51,Nantes,4.0,4.8,2.21,5.42,2024-02-29 00:00:00,2024-07-04 00:00:00,2024-06-21 00:00:00
8.67,1.67,8.48,2.52,2.64,3.71,7.57,5.68,7.18,8.55,2.23,2024-06-22 00:00:00,5.13,Normandie,3.56,5.16,2.59,1.99,1.37,Nouvelle-Aquitaine,2.05,1.95,8.44,3.11,8.31,5.99,7.41,8.41,ID_020,50.432104,Paris,50.432104,2024-03-02 00:00:00,4.85,Nice,8.31,6.22,3.23,7.43,2024-12-24 00:00:00,2024-06-28 00:00:00,2024-10-31 00:00:00
3.82,4.59,4.9,4.88,7.99,5.41,2.1,4.63,3.7,4.26,3.58,2024-03-28 00:00:00,5.32,Nouvelle-Aquitaine,2.79,3.09,5.95,4.23,4.15,Hauts-de-France,1.84,2.25,5.1,5.85,5.04,2.64,1.59,7.02,ID_021,45.039504,Toulouse,45.039504,2024-06-03 00:00:00,3.77,Nantes,1.53,3.67,3.12,3.92,2024-02-04 00:00:00,2024-02-02 00:00:00,2024-07-02 00:00:00
4.78,2.6,3.7,2.97,3.27,6.12,2.26,7.74,1.23,1.33,8.16,2024-03-16 00:00:00,7.14,Pays de la Loire,4.29,1.66,3.05,5.48,7.45,Nouvelle-Aquitaine,8.13,3.3,2.54,6.39,5.08,2.37,7.83,3.11,ID_022,46.65649,Lille,46.65649,2024-01-16 00:00:00,4.86,Nantes,3.74,7.88,2.68,3.38,2024-12-17 00:00:00,2024-09-01 00:00:00,2024-08-14 00:00:00
4.46,2.45,2.49,6.11,8.74,1.35,8.16,4.66,4.1,6.92,3.08,2024-09-28 00:00:00,2.48,Normandie,7.1,7.71,7.55,6.83,3.3,Île-de-France,3.16,4.4,3.41,3.0,7.19,8.65,1.29,5.18,ID_023,47.139557,Nice,47.139557,2024-07-24 00:00:00,5.1,Strasbourg,7.01,8.48,6.0,5.34,2024-09-19 00:00:00,2024-07-22 00:00:00,2024-02-09 00:00:00
8.48,5.61,2.92,3.5,7.56,4.21,7.84,1.22,2.33,3.76,2.13,2024-04-07 00:00:00,5.17,Grand Est,3.98,1.73,4.2,5.29,7.3,Hauts-de-France,4.91,7.95,5.21,2.93,2.72,3.26,2.04,3.05,ID_024,47.977466,Paris,47.977466,2024-03-07 00:00:00,2.65,Bordeaux,2.44,5.9,6.73,2.63,2024-05-08 00:00:00,2024-07-22 00:00:00,2024-04-17 00:00:00
3.97,1.28,2.84,6.69,2.73,6.68,4.25,5.76,1.59,6.84,6.62,2024-07-14 00:00:00,6.36,Provence-Alpes-Côte d'Azur,7.29,1.71,1.68,4.67,6.2,Nouvelle-Aquitaine,7.77,7.34,7.49,1.38,4.86,5.2,4.74,3.01,ID_025,51.253035,Bordeaux,51.253035,2024-07-04 00:00:00,6.78,Strasbourg,1.42,7.26,5.73,5.04,2024-05-07 00:00:00,2024-04-02 00:00:00,2024-07-23 00:00:00
2.56,3.61,5.68,1.57,5.94,7.67,1.82,3.91,3.89,4.44,2.2,2024-02-22 00:00:00,7.35,Occitanie,8.19,6.54,8.01,7.05,4.9,Normandie,2.39,6.32,8.77,1.77,5.4,4.42,2.67,7.64,ID_026,46.416051,Bordeaux,46.416051,2024-09-26 00:00:00,6.79,Montpellier,4.23,6.21,7.83,6.48,2024-04-02 00:00:00,2024-04-07 00:00:00,2024-01-26 00:00:00
2.08,1.91,3.77,1.46,8.03,3.05,4.31,6.65,5.84,8.51,4.78,2024-07-10 00:00:00,8.51,Hauts-de-France,8.58,4.09,4.2,1.74,4.59,Pays de la Loire,1.76,6.28,4.05,5.4,2.08,1.58,6.12,2.46,ID_027,45.00392,Nantes,45.00392,2024-01-14 00:00:00,2.01,Marseille,7.88,4.6,2.29,4.76,2024-06-03 00:00:00,2024-08-25 00:00:00,2024-08-29 00:00:00
2.63,2.39,5.37,5.32,2.89,4.15,3.62,7.74,2.59,2.93,8.57,2024-01-25 00:00:00,6.79,Hauts-de-France,5.01,3.12,6.82,4.48,4.9,Nouvelle-Aquitaine,2.29,7.86,5.36,6.39,8.79,6.37,3.33,4.98,ID_028,48.527993,Nice,48.527993,2024-01-08 00:00:00,8.21,Strasbourg,4.44,2.16,7.64,2.13,2024-08-04 00:00:00,2024-04-23 00:00:00,2024-04-04 00:00:00
4.03,7.05,2.76,2.15,2.22,6.15,8.33,4.66,6.95,4.32,6.68,2024-05-14 00:00:00,2.14,Normandie,3.45,3.18,2.32,1.82,4.63,Provence-Alpes-Côte d'Azur,1.95,4.11,7.48,6.37,4.2,7.75,3.69,4.83,ID_029,46.283507,Strasbourg,46.283507,2024-07-28 00:00:00,2.18,Strasbourg,3.46,1.46,4.0,5.0,2024-01-22 00:00:00,2024-08-07 00:00:00,2024-08-23 00:00:00
8.63,4.88,1.96,2.63,1.34,1.8,4.13,4.44,8.21,4.57,4.89,2024-04-26 00:00:00,4.48,Normandie,4.0,7.08,3.02,5.09,3.73,Grand Est,4.85,4.81,8.64,8.63,7.02,3.8,4.18,8.35,ID_030,47.69248,Paris,47.69248,2024-06-27 00:00:00,2.33,Nantes,5.6,3.13,2.6,4.57,2024-01-29 00:00:00,2024-03-15 00:00:00,2024-06-01 00:00:00
4.52,3.26,6.03,3.61,2.52,7.39,6.39,1.91,4.66,3.1,4.0,2024-07-20 00:00:00,6.4,Provence-Alpes-Côte d'Azur,4.18,8.46,8.57,4.97,6.19,Grand Est,4.46,4.14,2.63,6.31,3.59,6.79,6.48,1.45,ID_031,47.561489,Montpellier,47.561489,2024-03-17 00:00:00,3.26,Toulouse,1.51,8.32,3.68,7.8,2024-03-19 00:00:00,2024-01-21 00:00:00,2024-06-14 00:00:00
6.34,8.04,3.39,1.82,3.1,8.31,6.42,3.48,4.34,2.76,6.33,2024-01-03 00:00:00,1.58,Grand Est,1.42,8.34,3.49,3.86,3.44,Nouvelle-Aquitaine,2.48,8.23,2.97,8.38,5.67,1.3,7.54,1.71,ID_032,49.773674,Toulouse,49.773674,2024-12-14 00:00:00,1.31,Paris,2.14,5.07,4.73,1.53,2024-04-23 00:00:00,2024-11-24 00:00:00,2024-12-07 00:00:00
6.31,3.17,2.54,1.57,8.35,2.66,6.78,8.42,3.34,6.84,4.59,2024-04-13 00:00:00,4.13,Pays de la Loire,6.6,7.74,5.96,2.89,6.4,Nouvelle-Aquitaine,7.93,1.27,6.81,7.32,2.43,2.62,2.26,6.09,ID_033,45.508947,Toulouse,45.508947,2024-06-12 00:00:00,2.19,Lille,1.41,3.82,7.09,4.2,2024-04-17 00:00:00,2024-03-11 00:00:00,2024-12-07 00:00:00
4.66,8.01,8.69,4.63,3.17,5.02,4.56,1.77,2.77,8.55,7.85,2024-03-03 00:00:00,8.44,Occitanie,3.65,8.67,8.43,6.51,5.53,Grand Est,7.47,8.28,1.82,5.26,4.96,3.34,5.96,2.74,ID_034,47.948955,Lille,47.948955,2024-06-15 00:00:00,5.67,Montpellier,8.8,7.31,8.15,3.9,2024-09-25 00:00:00,2024-05-31 00:00:00,2024-11-02 00:00:00
3.03,2.72,1.37,8.64,2.43,1.35,4.96,6.18,2.18,2.26,6.43,2024-11-24 00:00:00,6.99,Nouvelle-Aquitaine,6.97,7.41,8.52,6.43,1.23,Bretagne,2.24,4.86,3.87,6.53,8.55,3.7,7.86,3.12,ID_035,47.458688,Nantes,47.458688,2024-07-28 00:00:00,2.02,Montpellier,4.7,6.29,2.82,5.65,2024-04-01 00:00:00,2024-01-12 00:00:00,2024-02-21 00:00:00
2.83,3.05,2.58,5.96,8.41,6.75,2.47,7.51,5.24,5.96,2.08,2024-07-02 00:00:00,3.67,Bretagne,4.47,7.0,5.03,7.77,5.32,Pays de la Loire,5.99,8.18,7.51,7.08,1.74,2.59,8.44,6.76,ID_036,50.767784,Lille,50.767784,2024-12-01 00:00:00,7.81,Montpellier,6.23,7.92,8.12,1.82,2024-11-21 00:00:00,2024-07-04 00:00:00,2024-12-08 00:00:00
4.95,3.84,8.69,6.1,2.2,6.76,2.4,1.58,4.69,6.24,5.2,2024-06-04 00:00:00,4.7,Île-de-France,5.68,8.05,5.29,3.38,4.2,Pays de la Loire,7.17,6.22,5.96,1.32,6.38,1.64,6.29,1.57,ID_037,47.309464,Nice,47.309464,2024-05-10 00:00:00,2.7,Toulouse,6.28,3.68,8.16,3.91,2024-03-25 00:00:00,2024-06-05 00:00:00,2024-03-31 00:00:00
8.0,8.25,2.02,2.92,2.59,8.58,6.44,1.81,2.85,3.86,6.98,2024-05-27 00:00:00,3.43,Île-de-France,3.95,1.93,2.63,2.59,7.53,Bretagne,2.13,6.06,1.5,4.06,4.24,6.25,7.44,4.26,ID_038,46.700473,Paris,46.700473,2024-10-14 00:00:00,2.79,Bordeaux,4.68,1.97,8.19,4.97,2024-09-09 00:00:00,2024-03-19 00:00:00,2024-02-17 00:00:00
8.7,1.27,7.84,5.7,5.5,6.4,8.13,1.47,3.3,8.13,7.08,2024-03-24 00:00:00,7.01,Île-de-France,4.54,3.34,5.11,6.99,4.89,Nouvelle-Aquitaine,1.48,1.34,2.48,2.34,2.63,4.01,1.52,8.2,ID_039,47.126534,Bordeaux,47.126534,2024-07-17 00:00:00,7.31,Strasbourg,7.66,3.2,2.89,3.96,2024-08-13 00:00:00,2024-04-23 00:00:00,2024-11-25 00:00:00
7.53,3.33,6.33,6.11,5.25,2.28,5.16,4.07,4.91,3.51,1.34,2024-05-08 00:00:00,7.84,Normandie,2.22,3.9,6.56,5.34,4.36,Pays de la Loire,5.27,7.47,3.67,8.55,2.75,6.73,3.38,5.72,ID_040,51.658313,Lille,51.658313,2024-02-18 00:00:00,8.0,Marseille,3.95,2.14,4.0,6.9,2024-11-08 00:00:00,2024-07-17 00:00:00,2024-05-15 00:00:00
6.65,2.96,6.84,5.54,1.67,3.02,6.27,5.16,4.21,3.1,5.79,2024-05-04 00:00:00,6.31,Hauts-de-France,6.79,4.74,7.63,5.56,3.01,Grand Est,7.64,2.91,6.51,2.03,2.04,1.5,4.93,6.84,ID_041,45.130172,Marseille,45.130172,2024-08-14 00:00:00,4.95,Lille,3.11,6.68,4.53,1.31,2024-08-01 00:00:00,2024-07-15 00:00:00,2024-02-16 00:00:00
1.63,7.4,5.88,6.74,5.23,2.94,1.98,1.24,2.61,2.29,6.72,2024-02-24 00:00:00,4.14,Nouvelle-Aquitaine,1.28,8.17,5.78,1.71,6.59,Occitanie,1.76,2.73,1.24,2.66,3.45,5.5,6.65,5.65,ID_042,51.930082,Toulouse,51.930082,2024-05-26 00:00:00,7.21,Bordeaux,8.01,1.3,5.16,8.1,2024-09-24 00:00:00,2024-05-15 00:00:00,2024-09-05 00:00:00
4.76,2.12,3.37,8.51,6.94,3.46,5.42,1.25,4.61,8.71,1.95,2024-04-01 00:00:00,4.35,Auvergne-Rhône-Alpes,8.64,2.01,3.41,6.06,2.17,Normandie,7.12,4.75,2.29,4.36,6.05,6.59,5.86,2.94,ID_043,49.934261,Paris,49.934261,2024-12-19 00:00:00,8.56,Paris,7.99,4.78,5.55,5.73,2024-03-26 00:00:00,2024-10-23 00:00:00,2024-12-14 00:00:00
4.46,6.47,8.61,8.64,4.73,5.54,3.63,5.88,3.93,4.48,1.8,2024-02-11 00:00:00,4.11,Provence-Alpes-Côte d'Azur,6.98,1.45,6.7,3.63,5.33,Île-de-France,3.1,5.86,6.29,6.48,4.69,6.3,5.88,3.46,ID_044,52.220864,Lyon,52.220864,2024-10-21 00:00:00,6.86,Montpellier,2.46,5.28,2.22,1.32,2024-08-28 00:00:00,2024-06-27 00:00:00,2024-10-17 00:00:00
1.43,1.32,7.58,4.82,6.58,8.01,7.24,3.06,7.91,1.45,6.97,2024-09-15 00:00:00,3.47,Pays de la Loire,3.72,5.91,2.63,5.72,4.09,Île-de-France,5.54,5.7,1.63,7.13,3.14,3.51,1.62,3.27,ID_045,51.69818,Marseille,51.69818,2024-01-11 00:00:00,5.94,Strasbourg,4.77,8.79,4.55,6.79,2024-12-23 00:00:00,2024-08-16 00:00:00,2024-03-20 00:00:00
1.37,8.4,4.28,3.6,3.25,1.63,5.31,6.29,4.99,7.64,8.26,2024-08-02 00:00:00,3.66,Pays de la Loire,1.25,8.09,8.46,1.25,5.71,Bretagne,4.38,3.49,6.54,4.8,5.85,7.29,1.98,3.46,ID_046,49.314008,Nice,49.314008,2024-03-10 00:00:00,2.67,Nantes,4.19,3.51,8.72,5.86,2024-10-06 00:00:00,2024-03-07 00:00:00,2024-08-29 00:00:00
4.85,8.58,7.16,6.86,5.65,7.22,8.21,7.41,6.34,4.72,6.62,2024-06-02 00:00:00,5.67,Normandie,1.69,5.21,4.96,5.79,1.78,Normandie,1.9,1.24,7.83,5.9,4.96,3.87,8.78,5.86,ID_047,51.522091,Lille,51.522091,2024-12-26 00:00:00,4.97,Strasbourg,4.89,1.41,4.22,4.25,2024-09-07 00:00:00,2024-11-21 00:00:00,2024-04-27 00:00:00
3.31,2.17,3.57,3.89,3.08,7.61,4.59,8.3,3.58,6.97,5.65,2024-05-27 00:00:00,5.6,Occitanie,8.61,5.81,6.39,5.14,5.57,Île-de-France,6.29,8.75,1.39,2.81,3.69,2.59,4.33,6.92,ID_048,47.0289,Nice,47.0289,2024-06-25 00:00:00,4.68,Montpellier,2.36,2.18,2.85,7.66,2024-12-21 00:00:00,2024-03-22 00:00:00,2024-08-19 00:00:00
3.3,1.88,1.58,1.32,1.54,6.29,2.43,6.07,6.94,7.85,2.45,2024-09-04 00:00:00,5.7,Provence-Alpes-Côte d'Azur,5.45,7.45,7.28,8.35,5.87,Île-de-France,2.67,1.43,1.79,6.57,5.13,2.32,5.09,3.57,ID_049,46.253851,Montpellier,46.253851,2024-09-09 00:00:00,4.51,Lyon,4.84,2.11,4.81,6.23,2024-06-16 00:00:00,2024-02-12 00:00:00,2024-10-08 00:00:00
3.53,5.76,3.32,1.55,8.59,8.06,6.09,3.9,3.56,7.1,1.95,2024-07-08 00:00:00,3.74,Pays de la Loire,2.5,1.85,8.22,1.62,6.92,Occitanie,7.7,3.1,4.12,4.6,5.35,4.07,8.73,2.18,ID_050,47.721549,Montpellier,47.721549,2024-02-29 00:00:00,6.39,Bordeaux,2.77,4.39,3.82,4.71,2024-12-11 00:00:00,2024-03-03 00:00:00,2024-01-20 00:00:00
6.19,8.7,2.84,4.74,2.73,3.3,6.81,4.2,1.29,8.72,5.28,2024-04-16 00:00:00,8.31,Île-de-France,5.19,3.73,1.35,1.64,2.17,Occitanie,7.38,6.53,7.03,3.55,1.68,4.03,4.92,1.86,ID_051,46.687802,Toulouse,46.687802,2024-04-14 00:00:00,8.36,Nantes,4.87,6.93,1.4,7.23,2024-08-25 00:00:00,2024-08-25 00:00:00,2024-04-23 00:00:00
7.55,8.44,7.01,3.49,5.82,5.54,5.25,1.99,5.58,3.61,2.64,2024-05-30 00:00:00,1.86,Provence-Alpes-Côte d'Azur,5.34,8.21,2.64,8.11,5.99,Pays de la Loire,6.96,2.53,6.59,3.81,2.23,7.62,6.56,3.44,ID_052,47.56632,Nantes,47.56632,2024-11-04 00:00:00,4.68,Lille,8.12,5.36,5.78,6.9,2024-08-15 00:00:00,2024-04-15 00:00:00,2024-09-30 00:00:00
7.52,6.87,7.63,6.91,3.73,4.23,5.09,2.96,5.36,1.51,6.01,2024-08-09 00:00:00,2.73,Hauts-de-France,6.01,3.43,2.88,2.2,3.45,Normandie,2.1,4.67,2.32,2.97,2.05,6.55,4.26,1.44,ID_053,45.876144,Nantes,45.876144,2024-06-14 00:00:00,2.37,Nantes,3.78,3.22,4.74,2.55,2024-09-21 00:00:00,2024-01-01 00:00:00,2024-11-01 00:00:00
1.21,2.36,4.76,6.97,2.73,3.6,6.71,2.6,7.84,5.25,1.65,2024-03-14 00:00:00,2.9,Bretagne,3.4,3.99,1.42,2.48,8.05,Pays de la Loire,4.41,8.5,6.28,5.34,6.99,2.91,6.57,5.0,ID_054,50.093467,Nice,50.093467,2024-06-07 00:00:00,5.99,Lille,7.81,8.04,4.98,4.6,2024-09-01 00:00:00,2024-05-29 00:00:00,2024-11-29 00:00:00
6.53,4.43,1.9,7.4,7.04,6.02,7.92,1.66,7.46,3.47,8.18,2024-02-09 00:00:00,4.01,Pays de la Loire,5.9,3.43,7.49,1.85,6.14,Île-de-France,4.68,7.29,4.14,4.96,4.02,5.48,6.65,7.74,ID_055,52.648672,Bordeaux,52.648672,2024-05-20 00:00:00,6.71,Nice,7.02,6.91,5.91,7.52,2024-08-02 00:00:00,2024-07-28 00:00:00,2024-12-13 00:00:00
