col_par_saison,col_par_creneau_horaire,col_par_polluant,col_weekend_vs_semaine,col_vacances_vs_scolaire,col_0,col_time_id,col_date,col_date_complete,col_annee,col_mois,col_jour,col_heure,col_creneau_horaire,col_saison,col_est_weekend,col_est_ferie,col_est_vacances_scolaires,col_polluant,col_concentration,col_unite,col_station,col_source_environnementale
6.01,5.49,O3,NON,OUI,1.21,ID_020,2024-08-21 00:00:00,2024-11-14 00:00:00,7.87,4.65,2.58,7.84,7.99,2.64,NON,OUI,0,CO,82.68,µg/m³,Part-Dieu 7,Data.gouv.fr
1.46,1.4,SO2,1,1,4.73,ID_021,2024-11-07 00:00:00,2024-08-24 00:00:00,7.02,4.49,3.34,3.14,7.36,6.38,1,0,OUI,SO2,45.75,µg/m³,Part-Dieu 6,Météo-France
4.49,4.38,PM10,0,OUI,1.68,ID_022,2024-01-06 00:00:00,2024-10-17 00:00:00,4.19,1.74,3.91,7.47,1.82,2.54,1,NON,NON,PM2.5,75.76,µg/m³,Gare de Lyon 3,RATP_Open_Data_2024
7.03,7.1,PM10,NON,OUI,3.2,ID_023,2024-09-14 00:00:00,2024-11-22 00:00:00,3.64,4.58,6.81,2.01,7.47,6.78,0,OUI,0,O3,75.17,µg/m³,Haussmann Saint-Lazare 4,SNCF_Open_Data
5.95,8.1,CO,NON,1,1.21,ID_024,2024-06-13 00:00:00,2024-06-03 00:00:00,3.4,1.29,1.26,6.83,2.97,6.32,0,0,1,O3,47.27,µg/m³,Montparnasse 1,Data.gouv.fr
3.71,5.35,NO2,0,OUI,5.86,ID_025,2024-12-01 00:00:00,2024-06-04 00:00:00,7.36,2.5,1.59,7.79,5.88,5.85,NON,0,1,PM2.5,73.62,µg/m³,Gare de l'Est 9,Airparif
3.96,2.45,PM2.5,0,1,4.2,ID_026,2024-06-24 00:00:00,2024-07-30 00:00:00,3.24,4.33,6.19,1.36,6.96,2.47,OUI,1,1,PM10,84.0,µg/m³,Haussmann Saint-Lazare 5,Data.gouv.fr
2.34,7.1,CO,OUI,0,5.38,ID_027,2024-06-28 00:00:00,2024-02-04 00:00:00,6.18,6.55,5.37,4.77,3.4,2.71,OUI,NON,1,O3,46.59,µg/m³,Saint-Charles 5,Data.gouv.fr
4.82,5.54,CO,1,NON,3.21,ID_028,2024-06-16 00:00:00,2024-11-28 00:00:00,3.89,2.67,3.69,2.46,5.53,8.41,OUI,1,0,CO,72.85,µg/m³,Gare du Nord 7,Airparif
3.96,6.82,CO,1,OUI,5.23,ID_029,2024-08-21 00:00:00,2024-11-19 00:00:00,8.09,6.25,1.26,8.76,6.17,6.74,1,NON,1,PM2.5,39.66,µg/m³,Saint-Charles 1,SNCF_Open_Data
5.87,1.76,O3,OUI,0,6.49,ID_030,2024-09-12 00:00:00,2024-01-11 00:00:00,5.48,6.14,5.57,6.43,4.85,3.57,OUI,NON,NON,SO2,22.35,µg/m³,Gare du Nord 6,Data.gouv.fr
4.88,4.15,PM10,1,0,5.28,ID_031,2024-12-07 00:00:00,2024-03-27 00:00:00,3.46,1.36,2.95,3.41,1.73,2.19,OUI,0,0,O3,76.77,µg/m³,Saint-Charles 3,Météo-France
8.31,1.39,PM2.5,OUI,OUI,5.59,ID_032,2024-02-21 00:00:00,2024-09-20 00:00:00,7.07,3.92,7.39,2.24,4.81,4.53,0,0,OUI,NO2,74.07,µg/m³,Saint-Charles 4,Data.gouv.fr
5.32,3.04,O3,0,NON,3.94,ID_033,2024-02-10 00:00:00,2024-03-01 00:00:00,1.63,5.89,8.01,5.87,1.28,7.89,0,OUI,1,O3,42.58,µg/m³,Montparnasse 2,RATP_Open_Data_2024
4.47,5.03,CO,OUI,1,1.63,ID_034,2024-01-22 00:00:00,2024-03-10 00:00:00,7.9,4.86,6.5,6.51,5.38,5.99,0,0,NON,PM2.5,45.39,µg/m³,Saint-Charles 8,Data.gouv.fr
1.84,7.25,O3,1,NON,5.68,ID_035,2024-04-26 00:00:00,2024-02-12 00:00:00,4.58,5.49,3.08,6.79,2.88,2.17,NON,OUI,OUI,O3,79.1,µg/m³,Haussmann Saint-Lazare 6,Airparif
7.27,7.94,PM2.5,1,OUI,5.96,ID_036,2024-08-02 00:00:00,2024-10-22 00:00:00,5.09,1.8,8.18,5.28,8.32,4.5,NON,0,OUI,SO2,60.51,µg/m³,Gare de l'Est 8,RATP_Open_Data_2024
1.95,6.58,PM10,0,OUI,2.46,ID_037,2024-10-05 00:00:00,2024-06-20 00:00:00,4.33,2.71,4.36,7.49,4.38,8.57,OUI,NON,1,SO2,22.21,µg/m³,Saint-Charles 6,Airparif
4.38,5.72,PM2.5,OUI,NON,3.34,ID_038,2024-05-04 00:00:00,2024-10-24 00:00:00,6.39,7.72,1.31,8.09,2.97,1.85,0,1,0,CO,75.32,µg/m³,Part-Dieu 4,Airparif
3.75,2.97,CO,OUI,1,2.3,ID_039,2024-04-08 00:00:00,2024-12-13 00:00:00,2.27,4.32,5.16,4.16,4.77,3.13,0,OUI,0,NO2,80.6,µg/m³,Gare de l'Est 8,Météo-France
3.18,2.63,CO,NON,OUI,6.88,ID_040,2024-07-08 00:00:00,2024-08-06 00:00:00,6.05,4.68,4.54,2.42,6.51,2.71,NON,OUI,0,PM10,42.11,µg/m³,Matabiau 5,SNCF_Open_Data
7.81,4.98,PM10,0,0,8.35,ID_041,2024-03-12 00:00:00,2024-07-14 00:00:00,1.94,5.98,3.5,4.38,7.01,5.18,0,NON,OUI,NO2,77.17,µg/m³,Montparnasse 3,SNCF_Open_Data
8.54,2.3,NO2,0,0,6.42,ID_042,2024-08-15 00:00:00,2024-04-26 00:00:00,8.74,3.67,1.86,8.53,3.15,7.31,0,0,NON,CO,27.73,µg/m³,Gare de l'Est 8,Airparif
5.21,5.32,CO,0,0,5.5,ID_043,2024-07-07 00:00:00,2024-02-03 00:00:00,1.67,1.67,2.03,4.59,3.58,7.1,1,0,OUI,SO2,34.44,µg/m³,Gare de Lyon 7,Météo-France
7.13,2.46,NO2,NON,1,7.17,ID_044,2024-07-04 00:00:00,2024-08-25 00:00:00,4.53,6.86,1.79,6.59,5.92,3.2,1,1,1,CO,44.81,µg/m³,Part-Dieu 9,SNCF_Open_Data
2.84,3.03,PM10,OUI,OUI,8.51,ID_045,2024-03-27 00:00:00,2024-09-25 00:00:00,6.36,4.23,2.4,4.4,6.47,6.08,OUI,0,1,SO2,60.86,µg/m³,Haussmann Saint-Lazare 9,RATP_Open_Data_2024
5.03,5.03,NO2,NON,1,7.7,ID_046,2024-05-05 00:00:00,2024-11-06 00:00:00,6.24,1.37,4.45,1.83,1.82,1.47,0,NON,NON,SO2,71.48,µg/m³,Saint-Jean 2,Airparif
3.75,3.06,PM2.5,OUI,0,1.9,ID_047,2024-12-17 00:00:00,2024-06-07 00:00:00,5.45,4.35,5.77,3.67,8.68,5.6,NON,NON,NON,PM10,24.4,µg/m³,Saint-Jean 9,Data.gouv.fr
3.73,2.27,CO,1,0,2.15,ID_048,2024-02-13 00:00:00,2024-07-20 00:00:00,2.0,8.17,3.82,3.0,8.79,7.53,0,1,NON,O3,60.08,µg/m³,Saint-Charles 6,SNCF_Open_Data
5.36,1.97,NO2,0,1,3.99,ID_049,2024-09-29 00:00:00,2024-07-29 00:00:00,4.21,5.52,8.03,3.78,5.69,3.46,NON,OUI,NON,NO2,65.29,µg/m³,Gare de l'Est 9,SNCF_Open_Data
2.84,8.18,NO2,0,OUI,1.96,ID_050,2024-04-28 00:00:00,2024-06-15 00:00:00,1.77,3.92,4.31,1.65,7.71,5.89,OUI,NON,OUI,SO2,56.04,µg/m³,Saint-Jean 4,Météo-France
1.44,4.31,SO2,OUI,OUI,6.98,ID_051,2024-08-14 00:00:00,2024-03-16 00:00:00,7.51,1.29,6.82,3.66,7.38,5.08,OUI,OUI,OUI,O3,55.47,µg/m³,Haussmann Saint-Lazare 7,RATP_Open_Data_2024
8.56,2.91,O3,0,NON,7.53,ID_052,2024-06-10 00:00:00,2024-09-13 00:00:00,3.56,1.87,2.65,5.5,8.42,7.3,OUI,NON,NON,NO2,18.13,µg/m³,Haussmann Saint-Lazare 6,Airparif
2.34,4.23,PM10,1,1,7.14,ID_053,2024-03-25 00:00:00,2024-07-25 00:00:00,1.26,5.85,5.4,2.52,2.21,7.94,NON,1,0,O3,9.24,µg/m³,Gare de l'Est 4,Météo-France
7.51,3.1,CO,0,0,2.93,ID_054,2024-05-13 00:00:00,2024-05-31 00:00:00,1.25,1.48,7.9,6.86,2.85,5.21,0,OUI,1,PM10,72.55,µg/m³,Saint-Jean 6,Airparif
4.76,7.43,SO2,1,1,1.51,ID_055,2024-05-29 00:00:00,2024-08-18 00:00:00,5.73,7.31,1.84,3.24,1.26,7.81,NON,NON,0,PM2.5,31.48,µg/m³,Gare de Lyon 2,Météo-France
3.59,3.74,SO2,OUI,0,6.33,ID_056,2024-03-26 00:00:00,2024-04-11 00:00:00,7.74,2.69,3.86,8.26,4.92,8.5,NON,OUI,OUI,NO2,74.44,µg/m³,Haussmann Saint-Lazare 4,Météo-France
4.82,2.13,PM10,OUI,1,8.26,ID_057,2024-08-07 00:00:00,2024-09-17 00:00:00,2.35,4.77,1.99,4.15,5.23,1.27,OUI,OUI,1,CO,18.56,µg/m³,Part-Dieu 6,SNCF_Open_Data
6.99,7.23,O3,OUI,1,3.01,ID_058,2024-02-14 00:00:00,2024-05-26 00:00:00,5.87,1.68,4.41,4.37,7.94,5.44,NON,0,1,NO2,6.67,µg/m³,Matabiau 9,SNCF_Open_Data
8.45,3.89,CO,NON,1,3.35,ID_059,2024-04-15 00:00:00,2024-11-24 00:00:00,4.93,6.77,3.34,5.4,7.92,6.0,OUI,NON,0,CO,53.08,µg/m³,Saint-Charles 5,Data.gouv.fr
7.31,5.87,SO2,1,OUI,4.17,ID_060,2024-08-05 00:00:00,2024-11-14 00:00:00,4.35,7.0,7.3,2.02,4.93,1.98,NON,NON,NON,O3,35.97,µg/m³,Haussmann Saint-Lazare 8,Météo-France
5.43,3.67,O3,1,1,1.81,ID_061,2024-01-15 00:00:00,2024-10-13 00:00:00,3.59,2.56,2.21,5.39,3.79,3.79,OUI,0,OUI,CO,77.66,µg/m³,Haussmann Saint-Lazare 2,Data.gouv.fr
2.01,2.28,SO2,NON,1,7.08,ID_062,2024-08-05 00:00:00,2024-12-15 00:00:00,5.3,4.58,1.99,4.71,5.17,8.47,NON,0,NON,PM10,50.55,µg/m³,Gare de Lyon 2,Météo-France
4.11,1.47,PM2.5,OUI,0,3.72,ID_063,2024-07-03 00:00:00,2024-04-01 00:00:00,8.28,2.99,2.8,1.83,4.08,1.29,1,1,1,PM2.5,76.02,µg/m³,Saint-Charles 4,RATP_Open_Data_2024
7.3,1.91,PM10,1,0,4.24,ID_064,2024-03-07 00:00:00,2024-07-06 00:00:00,1.8,3.15,2.29,2.32,2.37,5.35,1,1,1,PM2.5,29.54,µg/m³,Gare du Nord 4,Data.gouv.fr
8.39,2.21,NO2,1,NON,5.75,ID_065,2024-01-31 00:00:00,2024-05-05 00:00:00,2.94,7.35,3.55,4.37,8.14,5.92,1,OUI,NON,O3,61.46,µg/m³,Saint-Jean 2,Airparif
8.12,4.87,CO,1,OUI,3.94,ID_066,2024-02-21 00:00:00,2024-08-10 00:00:00,1.55,4.23,7.08,8.64,8.21,7.86,0,NON,NON,CO,72.16,µg/m³,Haussmann Saint-Lazare 4,SNCF_Open_Data
1.9,3.99,NO2,OUI,0,2.96,ID_067,2024-06-01 00:00:00,2024-10-26 00:00:00,6.67,2.19,5.06,6.57,4.08,6.72,1,OUI,OUI,O3,16.64,µg/m³,Haussmann Saint-Lazare 1,Data.gouv.fr
4.55,5.35,SO2,NON,OUI,8.27,ID_068,2024-05-28 00:00:00,2024-08-23 00:00:00,1.89,2.78,5.09,7.84,6.32,7.0,1,OUI,NON,O3,79.63,µg/m³,Haussmann Saint-Lazare 8,RATP_Open_Data_2024
1.35,8.58,SO2,NON,OUI,7.29,ID_069,2024-11-10 00:00:00,2024-07-23 00:00:00,8.51,1.66,3.05,8.03,1.25,8.73,1,OUI,OUI,SO2,60.31,µg/m³,Part-Dieu 9,Data.gouv.fr
6.83,3.89,NO2,OUI,NON,4.76,ID_070,2024-04-27 00:00:00,2024-11-30 00:00:00,2.38,5.24,8.05,6.05,5.66,3.87,1,OUI,1,PM2.5,15.4,µg/m³,Haussmann Saint-Lazare 2,SNCF_Open_Data
6.78,8.55,PM2.5,NON,NON,8.79,ID_071,2024-04-27 00:00:00,2024-09-04 00:00:00,4.55,8.57,2.47,5.43,5.35,8.63,0,OUI,0,CO,84.77,µg/m³,Gare du Nord 5,Météo-France
4.77,4.18,O3,0,NON,5.86,ID_072,2024-07-01 00:00:00,2024-03-21 00:00:00,3.44,7.86,7.5,6.32,7.2,5.55,0,0,NON,CO,54.47,µg/m³,Montparnasse 4,RATP_Open_Data_2024
6.21,7.6,CO,0,OUI,7.03,ID_073,2024-10-11 00:00:00,2024-08-07 00:00:00,6.22,6.69,8.17,6.57,8.27,1.36,OUI,0,0,PM2.5,31.53,µg/m³,Saint-Jean 3,Data.gouv.fr
5.59,4.81,PM10,NON,OUI,7.01,ID_074,2024-09-04 00:00:00,2024-11-29 00:00:00,2.41,4.11,7.98,2.87,4.97,8.74,OUI,OUI,NON,PM2.5,67.32,µg/m³,Gare de Lyon 4,Data.gouv.fr
4.8,1.83,SO2,OUI,NON,7.77,ID_075,2024-04-18 00:00:00,2024-04-18 00:00:00,8.72,5.24,4.24,6.14,7.93,4.61,0,OUI,OUI,NO2,67.61,µg/m³,Gare de Lyon 4,Météo-France
2.65,6.43,SO2,1,0,6.55,ID_076,2024-01-15 00:00:00,2024-11-01 00:00:00,4.15,7.72,7.71,4.82,2.88,3.25,OUI,OUI,OUI,CO,61.96,µg/m³,Saint-Jean 6,RATP_Open_Data_2024
8.07,5.03,SO2,0,NON,7.85,ID_077,2024-05-08 00:00:00,2024-06-26 00:00:00,5.29,6.03,1.53,5.03,3.19,8.8,0,0,0,SO2,10.23,µg/m³,Matabiau 6,Data.gouv.fr
2.96,7.58,PM2.5,0,0,5.5,ID_078,2024-11-14 00:00:00,2024-03-07 00:00:00,1.24,5.45,8.47,2.25,7.54,8.48,NON,NON,1,SO2,66.49,µg/m³,Matabiau 5,SNCF_Open_Data
2.89,6.38,O3,OUI,0,3.57,ID_079,2024-07-05 00:00:00,2024-01-31 00:00:00,4.86,6.1,4.28,5.92,2.96,4.52,1,NON,OUI,NO2,6.09,µg/m³,Saint-Jean 4,RATP_Open_Data_2024
1.65,1.54,CO,0,OUI,1.79,ID_080,2024-09-09 00:00:00,2024-02-04 00:00:00,4.56,5.99,7.96,1.39,7.84,8.79,0,0,0,PM2.5,23.95,µg/m³,Matabiau 3,RATP_Open_Data_2024
1.78,4.41,PM2.5,NON,NON,7.68,ID_081,2024-07-01 00:00:00,2024-01-30 00:00:00,3.38,3.46,2.61,7.79,4.45,5.6,1,OUI,1,SO2,72.39,µg/m³,Haussmann Saint-Lazare 9,SNCF_Open_Data
6.7,6.3,O3,OUI,1,5.26,ID_082,2024-02-05 00:00:00,2024-04-04 00:00:00,1.51,4.22,7.08,7.47,2.66,4.68,0,OUI,OUI,PM2.5,47.62,µg/m³,Gare de l'Est 7,Météo-France
1.39,2.45,PM10,0,1,7.75,ID_083,2024-03-06 00:00:00,2024-11-10 00:00:00,2.71,5.88,8.5,5.43,7.44,4.39,NON,0,OUI,O3,3.23,µg/m³,Gare de l'Est 6,SNCF_Open_Data
4.88,8.04,O3,1,1,7.97,ID_084,2024-11-12 00:00:00,2024-01-26 00:00:00,2.11,7.06,4.23,8.06,5.26,1.97,0,NON,OUI,PM2.5,26.17,µg/m³,Matabiau 2,Airparif
8.4,8.19,PM10,1,NON,4.95,ID_085,2024-10-15 00:00:00,2024-09-19 00:00:00,2.79,8.44,3.54,6.36,1.81,4.7,1,OUI,OUI,SO2,20.67,µg/m³,Gare du Nord 7,Météo-France
3.85,3.65,NO2,0,NON,1.55,ID_086,2024-03-26 00:00:00,2024-11-17 00:00:00,2.38,2.9,7.27,5.91,5.78,2.93,OUI,OUI,NON,SO2,6.4,µg/m³,Matabiau 3,Météo-France
2.2,3.19,PM2.5,0,OUI,2.15,ID_087,2024-05-03 00:00:00,2024-01-30 00:00:00,3.52,4.62,5.43,6.27,3.17,2.98,1,NON,0,O3,83.02,µg/m³,Haussmann Saint-Lazare 5,Airparif
4.8,8.3,NO2,OUI,NON,6.9,ID_088,2024-01-24 00:00:00,2024-11-21 00:00:00,5.98,8.05,7.26,7.72,6.66,7.9,0,0,0,PM2.5,44.04,µg/m³,Gare du Nord 5,SNCF_Open_Data
5.48,3.53,PM10,0,OUI,8.74,ID_089,2024-01-06 00:00:00,2024-06-05 00:00:00,8.39,4.98,5.97,8.22,4.1,2.5,OUI,0,NON,SO2,17.15,µg/m³,Montparnasse 3,SNCF_Open_Data
6.45,6.99,O3,OUI,OUI,5.45,ID_090,2024-12-24 00:00:00,2024-10-27 00:00:00,6.68,3.1,3.63,6.37,2.25,6.77,NON,0,OUI,CO,31.67,µg/m³,Matabiau 8,Data.gouv.fr
7.25,7.24,SO2,1,OUI,7.07,ID_091,2024-06-08 00:00:00,2024-08-08 00:00:00,5.97,1.48,2.3,2.16,4.75,2.81,0,NON,NON,O3,84.36,µg/m³,Saint-Charles 7,Météo-France
6.88,3.3,PM2.5,OUI,NON,5.33,ID_092,2024-11-15 00:00:00,2024-06-19 00:00:00,7.8,2.97,3.8,6.14,1.37,3.54,OUI,1,1,O3,59.63,µg/m³,Saint-Jean 6,Airparif
5.34,7.56,PM10,0,OUI,8.22,ID_093,2024-05-31 00:00:00,2024-11-02 00:00:00,6.45,5.01,8.34,2.27,3.35,4.03,NON,1,0,CO,59.31,µg/m³,Gare de l'Est 9,SNCF_Open_Data
7.54,4.57,CO,0,1,6.29,ID_094,2024-08-16 00:00:00,2024-12-17 00:00:00,7.73,3.02,8.35,3.48,7.46,8.61,1,1,NON,NO2,37.07,µg/m³,Part-Dieu 5,RATP_Open_Data_2024
1.97,3.36,O3,OUI,1,6.68,ID_095,2024-04-20 00:00:00,2024-10-12 00:00:00,4.18,1.45,1.45,3.46,1.46,4.55,OUI,0,OUI,CO,40.76,µg/m³,Gare du Nord 5,RATP_Open_Data_2024
7.24,1.51,PM2.5,0,OUI,4.69,ID_096,2024-12-20 00:00:00,2024-01-12 00:00:00,6.79,7.88,5.79,4.09,7.12,7.08,NON,NON,NON,CO,26.76,µg/m³,Part-Dieu 9,Météo-France
2.68,8.24,PM2.5,0,NON,7.12,ID_097,2024-12-18 00:00:00,2024-07-22 00:00:00,2.46,5.31,8.0,8.66,7.63,6.42,NON,NON,OUI,PM2.5,76.25,µg/m³,Saint-Jean 7,RATP_Open_Data_2024
2.09,5.18,PM10,NON,1,8.55,ID_098,2024-01-06 00:00:00,2024-02-28 00:00:00,5.56,3.71,2.81,7.74,1.71,2.94,NON,OUI,1,O3,74.56,µg/m³,Saint-Jean 7,SNCF_Open_Data
6.49,7.02,PM2.5,1,NON,7.22,ID_099,2024-06-24 00:00:00,2024-07-25 00:00:00,1.46,8.66,1.83,2.46,5.71,1.47,OUI,0,OUI,CO,78.61,µg/m³,Saint-Charles 7,Météo-France
3.93,5.79,PM10,0,OUI,8.25,ID_000,2024-06-03 00:00:00,2024-02-11 00:00:00,8.55,7.51,3.34,8.76,7.48,4.99,NON,0,1,SO2,22.11,µg/m³,Gare de Lyon 9,Météo-France
4.68,6.95,O3,NON,1,6.59,ID_001,2024-01-27 00:00:00,2024-04-02 00:00:00,8.15,4.17,6.74,3.48,1.26,6.71,NON,0,0,CO,19.28,µg/m³,Gare de Lyon 1,Météo-France
7.44,3.61,NO2,0,OUI,7.37,ID_002,2024-06-20 00:00:00,2024-03-01 00:00:00,7.98,6.33,2.28,7.17,3.47,8.79,0,1,NON,SO2,80.9,µg/m³,Matabiau 7,Airparif
5.35,1.28,PM10,1,1,4.23,ID_003,2024-09-09 00:00:00,2024-08-19 00:00:00,2.06,3.26,5.53,7.31,1.96,7.34,OUI,NON,0,PM10,3.89,µg/m³,Saint-Charles 4,Data.gouv.fr
3.88,6.61,CO,0,NON,2.23,ID_004,2024-02-16 00:00:00,2024-11-28 00:00:00,4.91,6.96,6.82,1.83,1.46,6.21,OUI,1,0,NO2,37.64,µg/m³,Gare du Nord 4,SNCF_Open_Data
6.53,5.35,PM2.5,0,1,7.82,ID_005,2024-02-17 00:00:00,2024-01-26 00:00:00,8.73,7.39,2.46,2.62,2.68,8.19,NON,0,OUI,NO2,58.04,µg/m³,Saint-Jean 2,Data.gouv.fr
1.36,8.78,SO2,0,NON,5.37,ID_006,2024-08-03 00:00:00,2024-03-24 00:00:00,5.83,3.73,6.5,2.72,5.38,8.44,NON,OUI,OUI,PM2.5,70.26,µg/m³,Saint-Jean 2,Airparif
2.53,3.45,SO2,1,0,5.54,ID_007,2024-05-10 00:00:00,2024-01-10 00:00:00,1.41,8.35,8.19,2.28,5.87,2.81,1,OUI,NON,NO2,18.39,µg/m³,Saint-Jean 7,Data.gouv.fr
4.15,6.59,PM10,0,0,2.57,ID_008,2024-05-24 00:00:00,2024-07-17 00:00:00,6.06,8.64,5.35,4.26,4.5,7.99,0,NON,0,O3,76.6,µg/m³,Saint-Charles 1,SNCF_Open_Data
3.33,4.28,SO2,OUI,NON,1.98,ID_009,2024-12-06 00:00:00,2024-02-10 00:00:00,1.83,7.08,7.79,6.54,3.56,8.24,0,0,0,SO2,16.03,µg/m³,Haussmann Saint-Lazare 4,Airparif
6.54,5.08,SO2,0,1,5.45,ID_010,2024-11-12 00:00:00,2024-01-10 00:00:00,3.02,7.13,4.7,4.19,3.99,6.88,1,1,0,PM10,52.72,µg/m³,Gare du Nord 7,Data.gouv.fr
4.79,3.6,O3,NON,0,5.68,ID_011,2024-06-23 00:00:00,2024-04-23 00:00:00,4.5,3.08,5.02,3.85,2.44,4.04,OUI,OUI,1,CO,75.86,µg/m³,Haussmann Saint-Lazare 4,Météo-France
1.83,3.09,CO,OUI,NON,5.43,ID_012,2024-10-16 00:00:00,2024-09-28 00:00:00,6.87,7.18,4.03,7.12,8.39,5.96,1,NON,NON,PM2.5,44.05,µg/m³,Gare de Lyon 9,Data.gouv.fr
4.11,3.53,SO2,0,1,2.6,ID_013,2024-12-03 00:00:00,2024-04-28 00:00:00,2.99,6.25,3.31,7.74,3.88,5.59,OUI,NON,1,CO,74.41,µg/m³,Saint-Jean 8,Airparif
