col_mode_transport,col_polluant,col_emission_totale,col_emission_moyenne,col_concentration_moyenne,col_date,col_saison,col_ville,col_emission_par_usager_gkm,col_nb_usagers_journaliers,col_emission_totale_kg,col_concentration_ugm3,col_indice_qualite_air,col_source
TGV,SO2,5.93,3.13,71.59,2024-10-30 00:00:00,4.72,Strasbourg,8.0,5.38,3.07,67.0,7.2,Airparif
Transilien,PM10,4.95,3.34,36.43,2024-12-24 00:00:00,7.36,Bordeaux,3.08,2.31,7.98,5.2,7.67,Data.gouv.fr
Bus RATP,O3,5.46,2.7,52.86,2024-11-16 00:00:00,3.35,Montpellier,6.42,8.55,2.03,71.68,1.82,RATP_Open_Data_2024
Métro,PM10,2.28,7.06,55.37,2024-10-18 00:00:00,1.75,Lille,1.58,8.2,1.99,2.1,7.56,Airparif
Bus RATP,NO2,7.59,1.62,78.01,2024-07-30 00:00:00,6.58,Nice,4.94,3.49,2.7,18.1,5.94,SNCF_Open_Data
Tramway,SO2,4.09,7.39,82.52,2024-03-03 00:00:00,2.13,Nice,2.6,1.91,7.14,69.93,7.72,Météo-France
RER,PM2.5,1.44,2.3,32.78,2024-02-15 00:00:00,3.93,Marseille,2.28,3.39,7.66,34.13,4.55,Airparif
TGV,PM2.5,3.86,8.44,54.66,2024-03-12 00:00:00,3.84,Nantes,7.13,7.84,6.07,23.44,2.47,Airparif
TER,O3,4.69,7.14,22.76,2024-03-21 00:00:00,5.68,Lyon,4.78,2.86,2.72,11.59,8.79,RATP_Open_Data_2024
Métro,CO,1.24,6.79,50.33,2024-07-01 00:00:00,8.07,Strasbourg,7.0,2.51,5.01,23.3,8.72,Airparif
Bus RATP,PM2.5,5.45,5.68,36.68,2024-01-11 00:00:00,7.02,Lyon,2.8,2.44,4.99,65.06,4.4,Data.gouv.fr
TER,PM2.5,4.71,8.32,80.66,2024-07-27 00:00:00,1.22,Strasbourg,6.9,3.97,8.14,57.48,1.76,SNCF_Open_Data
TGV,SO2,2.61,3.58,17.47,2024-01-07 00:00:00,2.48,Bordeaux,4.25,5.88,2.48,48.99,5.28,Data.gouv.fr
TGV,PM2.5,6.1,5.82,84.87,2024-05-14 00:00:00,4.27,Strasbourg,3.75,2.82,7.6,12.12,2.34,Météo-France
TGV,PM2.5,6.46,7.92,23.39,2024-09-27 00:00:00,5.56,Bordeaux,4.73,2.03,6.11,57.84,5.52,Météo-France
Bus RATP,NO2,1.62,2.88,66.9,2024-08-17 00:00:00,6.86,Nantes,8.45,6.56,2.4,74.0,3.93,Airparif
TER,PM2.5,2.79,7.63,74.76,2024-05-04 00:00:00,7.98,Nice,6.5,3.39,4.42,65.83,1.24,Météo-France
TGV,CO,6.49,7.66,6.68,2024-03-20 00:00:00,7.49,Lyon,7.35,4.58,6.7,5.24,3.99,Data.gouv.fr
TGV,PM2.5,3.27,5.06,50.48,2024-05-04 00:00:00,5.21,Lyon,5.38,3.97,3.88,42.82,6.19,Météo-France
TGV,PM10,2.43,4.93,48.43,2024-05-24 00:00:00,7.52,Marseille,5.52,4.24,8.51,21.99,4.9,Airparif
TER,SO2,2.84,4.66,26.29,2024-08-18 00:00:00,5.54,Lille,3.57,7.03,6.6,14.2,6.06,Data.gouv.fr
RER,PM10,1.96,2.02,81.84,2024-12-22 00:00:00,5.83,Montpellier,6.22,7.86,7.32,27.28,7.86,Météo-France
Bus RATP,O3,5.78,5.62,70.82,2024-02-19 00:00:00,2.24,Lyon,2.44,6.14,5.62,30.17,1.45,Météo-France
Métro,NO2,8.22,6.14,18.45,2024-08-25 00:00:00,3.63,Lille,5.13,6.85,2.23,3.18,7.77,RATP_Open_Data_2024
TER,SO2,6.78,1.91,81.47,2024-11-28 00:00:00,4.75,Montpellier,1.86,4.11,8.0,40.49,4.44,Airparif
TGV,PM10,5.04,2.69,16.88,2024-07-27 00:00:00,6.35,Paris,2.01,2.11,4.95,20.08,4.67,Data.gouv.fr
Tramway,PM10,3.92,3.98,55.51,2024-06-24 00:00:00,6.43,Nantes,3.09,2.6,4.44,62.0,3.47,Airparif
RER,NO2,6.07,6.23,38.95,2024-12-05 00:00:00,7.77,Toulouse,6.96,6.37,7.79,41.8,7.16,Météo-France
Métro,NO2,2.8,7.62,20.76,2024-03-15 00:00:00,1.33,Montpellier,1.49,5.44,5.51,11.7,4.11,Météo-France
TER,SO2,1.64,7.48,2.85,2024-12-05 00:00:00,1.96,Marseille,6.28,3.1,3.92,31.98,5.29,SNCF_Open_Data
Métro,PM2.5,7.73,1.43,66.73,2024-05-05 00:00:00,1.45,Toulouse,7.8,7.67,6.93,16.63,7.71,RATP_Open_Data_2024
Métro,PM10,4.69,6.38,71.91,2024-08-21 00:00:00,8.1,Lille,1.8,4.01,8.69,26.58,3.44,Airparif
Tramway,CO,8.53,8.22,23.44,2024-07-20 00:00:00,6.63,Toulouse,8.79,7.56,2.48,81.57,3.3,Météo-France
Transilien,SO2,5.74,2.2,77.4,2024-03-02 00:00:00,2.47,Toulouse,3.24,6.24,5.85,48.02,2.69,Météo-France
Transilien,O3,5.95,1.68,4.38,2024-06-25 00:00:00,7.67,Marseille,3.01,5.17,7.64,75.12,2.61,Météo-France
TER,PM2.5,6.56,3.35,43.49,2024-01-11 00:00:00,2.08,Lille,6.93,7.32,8.19,50.46,2.26,Data.gouv.fr
Transilien,SO2,6.16,6.64,75.27,2024-12-14 00:00:00,4.47,Nice,8.04,1.77,4.46,32.96,2.2,Airparif
Bus RATP,O3,7.98,2.64,14.65,2024-01-23 00:00:00,2.81,Nantes,7.48,6.6,4.41,76.15,4.13,Météo-France
Tramway,SO2,7.78,5.28,26.04,2024-06-19 00:00:00,1.34,Nice,7.74,6.35,1.69,21.56,3.74,Airparif
Tramway,SO2,3.9,5.19,59.38,2024-04-28 00:00:00,6.41,Strasbourg,5.4,7.61,8.62,30.87,5.5,Airparif
Transilien,CO,5.56,6.71,53.24,2024-10-07 00:00:00,5.9,Paris,3.32,3.36,7.04,82.88,7.6,Data.gouv.fr
Bus RATP,PM2.5,8.24,3.52,39.31,2024-04-10 00:00:00,5.68,Nice,5.6,2.27,5.28,21.31,7.38,RATP_Open_Data_2024
Bus RATP,PM10,5.1,4.96,60.2,2024-03-18 00:00:00,4.03,Nantes,7.05,6.0,2.49,28.86,5.1,Airparif
RER,PM2.5,8.05,3.41,83.36,2024-05-10 00:00:00,8.25,Paris,4.3,5.93,3.36,29.51,7.52,Airparif
Métro,PM10,6.72,4.83,69.12,2024-11-11 00:00:00,8.12,Nice,8.6,2.0,3.71,36.48,4.51,Airparif
Bus RATP,CO,7.25,1.65,16.09,2024-10-20 00:00:00,7.38,Strasbourg,2.52,8.29,4.9,14.33,6.71,SNCF_Open_Data
TGV,SO2,4.1,6.54,55.04,2024-04-21 00:00:00,2.92,Nice,3.6,1.62,7.85,25.24,5.78,Météo-France
Transilien,PM10,4.96,3.56,76.01,2024-06-22 00:00:00,7.87,Lille,5.89,5.78,5.1,78.92,7.14,Météo-France
Bus RATP,O3,4.62,2.95,72.23,2024-04-08 00:00:00,1.44,Lille,3.86,6.14,6.31,14.0,3.24,Data.gouv.fr
RER,O3,5.7,2.34,76.23,2024-06-03 00:00:00,6.12,Toulouse,2.89,5.83,4.38,29.94,7.84,Airparif
RER,CO,7.5,1.84,30.09,2024-06-09 00:00:00,2.3,Lille,3.34,6.23,2.08,38.88,2.74,Météo-France
Métro,SO2,4.59,2.32,53.32,2024-05-14 00:00:00,7.62,Nice,3.26,3.18,5.53,75.45,1.71,SNCF_Open_Data
TGV,PM2.5,2.02,8.08,15.16,2024-11-19 00:00:00,7.66,Lyon,3.93,3.49,5.33,43.93,7.66,Data.gouv.fr
Bus RATP,PM2.5,8.4,8.79,45.29,2024-02-09 00:00:00,4.42,Marseille,7.52,4.71,4.19,60.54,8.13,Météo-France
Transilien,SO2,6.26,5.88,35.34,2024-06-13 00:00:00,8.61,Lyon,4.62,5.67,6.12,4.85,3.43,Météo-France
Transilien,PM10,3.28,5.82,5.25,2024-12-14 00:00:00,3.9,Strasbourg,2.82,6.59,6.47,24.03,3.41,Data.gouv.fr
Tramway,PM10,7.43,4.61,74.9,2024-01-29 00:00:00,4.57,Paris,3.73,2.02,8.73,29.66,5.39,Data.gouv.fr
Métro,CO,7.69,5.69,73.52,2024-08-22 00:00:00,2.61,Paris,1.75,6.04,7.69,36.06,4.85,Airparif
TGV,O3,7.54,3.94,8.78,2024-09-26 00:00:00,7.96,Strasbourg,8.61,5.63,4.75,47.46,8.36,Météo-France
TGV,O3,7.28,8.3,77.7,2024-05-28 00:00:00,6.48,Montpellier,2.98,3.89,3.66,28.44,4.12,RATP_Open_Data_2024
RER,NO2,5.85,6.84,26.86,2024-11-26 00:00:00,4.37,Nantes,3.96,7.16,7.15,58.83,4.35,SNCF_Open_Data
TGV,SO2,4.17,6.2,66.63,2024-03-09 00:00:00,7.33,Montpellier,4.47,8.59,1.88,25.27,2.66,SNCF_Open_Data
Bus RATP,NO2,4.79,6.38,7.31,2024-03-10 00:00:00,2.09,Nice,5.06,1.33,7.71,34.55,6.53,Data.gouv.fr
TGV,SO2,1.65,2.52,37.61,2024-11-01 00:00:00,1.37,Marseille,3.14,3.43,6.57,31.46,2.86,SNCF_Open_Data
TER,CO,7.38,3.46,53.44,2024-11-08 00:00:00,2.81,Lyon,5.77,1.67,3.9,60.14,5.58,RATP_Open_Data_2024
Bus RATP,CO,2.96,3.37,48.34,2024-08-09 00:00:00,5.43,Montpellier,7.71,2.72,7.01,38.1,3.31,SNCF_Open_Data
RER,O3,8.01,1.71,43.52,2024-01-02 00:00:00,6.34,Lille,1.31,7.68,5.3,19.29,5.73,SNCF_Open_Data
Métro,NO2,6.83,6.11,61.47,2024-04-11 00:00:00,8.56,Strasbourg,7.39,3.45,1.4,33.7,7.98,RATP_Open_Data_2024
RER,NO2,3.78,3.38,74.67,2024-03-04 00:00:00,4.41,Lyon,3.19,8.05,7.33,69.82,7.67,Météo-France
Métro,CO,7.95,4.39,56.7,2024-08-02 00:00:00,7.0,Toulouse,2.06,6.67,4.48,41.64,7.17,Data.gouv.fr
Transilien,CO,8.53,4.61,58.29,2024-10-14 00:00:00,3.67,Bordeaux,1.9,2.6,7.31,22.98,8.17,Météo-France
Métro,O3,2.8,4.76,23.93,2024-07-08 00:00:00,5.44,Nantes,3.87,3.27,8.51,23.46,8.55,Airparif
TGV,PM10,4.43,5.4,33.34,2024-10-30 00:00:00,2.65,Nice,1.32,4.52,6.25,31.43,8.15,Météo-France
Bus RATP,NO2,8.03,1.56,19.0,2024-10-01 00:00:00,6.69,Bordeaux,8.44,8.5,6.28,79.39,4.73,Airparif
TGV,SO2,2.12,8.0,38.72,2024-12-01 00:00:00,3.0,Lille,2.53,7.11,5.09,42.63,2.39,SNCF_Open_Data
RER,SO2,4.46,2.95,13.43,2024-10-16 00:00:00,3.22,Nice,5.38,3.87,2.04,57.96,3.05,Airparif
TGV,NO2,6.74,6.03,82.54,2024-08-12 00:00:00,8.05,Marseille,7.99,4.68,8.46,38.14,6.32,RATP_Open_Data_2024
RER,CO,4.19,8.69,37.3,2024-07-22 00:00:00,4.27,Paris,6.39,6.22,6.38,27.42,4.55,Météo-France
Tramway,PM10,3.73,5.01,58.05,2024-07-18 00:00:00,4.43,Lille,4.78,6.13,2.15,24.34,7.34,Data.gouv.fr
TER,PM10,7.39,6.6,76.41,2024-08-06 00:00:00,2.38,Paris,7.61,4.23,1.61,7.62,2.34,RATP_Open_Data_2024
Tramway,CO,7.59,3.62,80.33,2024-08-25 00:00:00,7.09,Paris,5.97,1.71,1.67,18.6,3.34,Data.gouv.fr
RER,CO,3.83,5.93,43.68,2024-03-25 00:00:00,2.24,Nice,5.57,8.69,6.89,43.95,6.38,Data.gouv.fr
Transilien,SO2,4.16,3.17,65.8,2024-01-18 00:00:00,7.08,Toulouse,2.78,8.8,4.96,58.52,3.59,SNCF_Open_Data
Métro,CO,2.21,5.59,14.11,2024-11-24 00:00:00,7.13,Lille,2.12,5.61,8.46,82.46,1.82,Data.gouv.fr
RER,PM10,7.12,8.54,76.76,2024-06-21 00:00:00,8.43,Lyon,1.98,6.31,3.94,5.51,3.94,Data.gouv.fr
Bus RATP,PM2.5,6.15,1.92,49.22,2024-03-03 00:00:00,5.19,Bordeaux,8.67,6.98,5.25,40.28,2.6,Météo-France
Tramway,O3,5.57,6.73,45.05,2024-01-13 00:00:00,1.26,Lyon,5.46,7.82,5.22,53.33,3.09,Airparif
TER,SO2,3.96,6.92,51.96,2024-12-01 00:00:00,5.83,Toulouse,8.55,5.1,8.27,15.48,5.16,RATP_Open_Data_2024
Métro,PM10,2.12,3.07,70.54,2024-02-02 00:00:00,4.33,Toulouse,1.84,6.56,8.6,61.91,1.32,SNCF_Open_Data
Métro,O3,3.48,2.94,40.95,2024-01-04 00:00:00,8.56,Lyon,3.59,8.06,6.36,57.04,3.61,Météo-France
TER,O3,5.75,7.68,80.74,2024-03-17 00:00:00,1.34,Toulouse,6.89,5.06,2.5,58.12,4.01,Data.gouv.fr
RER,PM2.5,5.59,7.37,53.3,2024-03-16 00:00:00,2.79,Marseille,2.51,6.0,1.7,15.94,4.46,Airparif
Métro,PM10,3.99,2.97,9.83,2024-07-03 00:00:00,1.72,Strasbourg,8.34,7.71,2.73,64.24,5.56,Météo-France
RER,NO2,8.71,6.99,80.62,2024-05-27 00:00:00,5.34,Lille,5.61,2.66,2.47,54.13,3.15,Météo-France
TER,CO,1.55,3.5,61.29,2024-02-22 00:00:00,4.96,Lyon,3.3,8.72,4.85,69.44,3.44,Airparif
Tramway,NO2,8.61,2.8,37.3,2024-03-14 00:00:00,2.25,Nantes,8.17,7.64,4.5,30.29,3.33,SNCF_Open_Data
Bus RATP,NO2,7.95,1.28,21.67,2024-07-18 00:00:00,8.23,Nice,4.59,2.89,4.6,53.16,6.31,Airparif
Transilien,PM2.5,3.99,5.29,50.53,2024-04-20 00:00:00,4.91,Toulouse,1.62,5.39,6.42,46.64,8.42,RATP_Open_Data_2024
Bus RATP,O3,4.54,5.92,70.26,2024-01-09 00:00:00,8.07,Bordeaux,2.1,1.89,4.58,56.09,8.08,Météo-France
TER,SO2,1.66,6.36,18.57,2024-01-09 00:00:00,7.08,Marseille,1.31,7.07,3.94,42.32,3.35,Data.gouv.fr
Tramway,SO2,2.39,7.22,26.95,2024-07-03 00:00:00,3.15,Toulouse,2.0,2.9,1.89,77.77,6.14,Data.gouv.fr
Bus RATP,PM2.5,6.0,6.89,67.19,2024-01-15 00:00:00,4.12,Strasbourg,4.8,2.6,3.98,31.04,3.43,Airparif
Tramway,SO2,6.12,5.6,41.78,2024-11-05 00:00:00,6.79,Toulouse,6.82,8.31,6.65,34.01,4.17,SNCF_Open_Data
TER,O3,8.42,4.98,32.58,2024-09-09 00:00:00,4.42,Paris,4.0,3.47,8.27,5.85,5.94,Airparif
Bus RATP,O3,3.25,1.29,63.13,2024-11-16 00:00:00,1.65,Marseille,5.07,7.15,2.76,77.84,3.93,Airparif
TGV,PM10,7.19,8.14,63.21,2024-12-26 00:00:00,4.46,Lyon,6.53,4.99,2.21,20.44,4.03,Data.gouv.fr
TER,CO,6.96,4.39,72.15,2024-10-02 00:00:00,5.65,Lyon,3.26,2.74,7.89,51.72,7.16,Météo-France
RER,PM2.5,5.54,1.87,27.75,2024-08-19 00:00:00,7.9,Nantes,2.41,2.37,2.41,69.41,1.3,Airparif
Bus RATP,PM10,6.81,3.75,23.33,2024-08-08 00:00:00,3.28,Toulouse,8.79,8.54,6.58,67.06,5.58,Airparif
RER,PM10,8.48,2.37,49.1,2024-10-31 00:00:00,4.45,Bordeaux,2.46,7.84,3.69,65.01,3.08,RATP_Open_Data_2024
TER,PM2.5,7.31,5.56,21.25,2024-07-09 00:00:00,7.67,Paris,4.45,3.18,3.32,2.19,7.78,SNCF_Open_Data
Tramway,NO2,6.08,7.8,41.4,2024-02-11 00:00:00,4.96,Montpellier,1.89,8.14,5.07,64.99,7.61,Météo-France
TGV,O3,1.5,2.78,74.72,2024-11-03 00:00:00,5.79,Toulouse,2.86,5.48,8.38,27.82,3.74,RATP_Open_Data_2024
Transilien,PM10,3.43,1.23,21.33,2024-06-08 00:00:00,8.7,Nice,3.6,2.6,8.09,8.38,8.32,RATP_Open_Data_2024
RER,NO2,4.22,2.11,76.85,2024-10-22 00:00:00,8.67,Toulouse,7.03,5.55,5.01,7.89,1.29,SNCF_Open_Data
Tramway,SO2,4.45,6.95,63.49,2024-08-22 00:00:00,5.79,Paris,6.71,1.46,1.59,31.03,5.13,Data.gouv.fr
Tramway,NO2,1.96,3.1,27.4,2024-09-20 00:00:00,7.04,Strasbourg,3.93,3.99,4.81,35.92,7.64,Météo-France
TGV,PM10,4.37,4.83,32.74,2024-03-20 00:00:00,8.02,Marseille,6.72,2.13,5.69,43.66,1.88,Airparif
Transilien,PM10,4.92,2.67,9.26,2024-12-25 00:00:00,2.82,Toulouse,5.67,2.06,7.33,67.14,3.9,Météo-France
Tramway,PM10,3.35,3.77,39.51,2024-07-26 00:00:00,7.41,Strasbourg,6.9,2.16,4.45,17.21,4.31,Data.gouv.fr
TGV,PM10,6.64,7.66,37.71,2024-08-24 00:00:00,5.17,Lille,4.33,4.71,3.71,8.88,6.91,Météo-France
Bus RATP,O3,4.59,4.99,10.0,2024-01-02 00:00:00,6.65,Toulouse,4.8,6.43,7.61,55.23,5.15,SNCF_Open_Data
Transilien,SO2,2.88,2.59,53.71,2024-01-05 00:00:00,4.11,Bordeaux,2.09,8.43,6.61,65.1,6.57,RATP_Open_Data_2024
Transilien,PM10,4.99,1.84,63.09,2024-02-19 00:00:00,5.93,Nantes,5.3,2.73,8.51,19.87,5.74,Data.gouv.fr
Bus RATP,CO,1.62,7.67,46.4,2024-06-17 00:00:00,8.01,Montpellier,8.11,6.67,8.59,47.09,6.29,Airparif
RER,CO,3.42,8.65,54.31,2024-02-03 00:00:00,1.41,Toulouse,2.89,5.89,2.27,21.07,1.47,SNCF_Open_Data
Tramway,PM2.5,3.35,4.22,66.58,2024-05-04 00:00:00,7.42,Nice,8.31,6.14,4.28,83.53,7.26,Airparif
Métro,CO,3.79,8.22,83.07,2024-11-16 00:00:00,5.69,Marseille,7.76,3.16,4.71,36.12,1.83,RATP_Open_Data_2024
RER,NO2,4.56,7.13,52.73,2024-09-04 00:00:00,6.86,Nice,4.01,2.07,2.44,70.0,7.05,Data.gouv.fr
Transilien,PM10,5.29,5.45,18.15,2024-10-04 00:00:00,4.18,Bordeaux,8.23,3.37,3.33,22.06,6.5,Météo-France
TER,PM10,1.82,4.83,28.88,2024-01-11 00:00:00,5.23,Lyon,4.54,2.74,4.08,73.2,3.26,RATP_Open_Data_2024
Bus RATP,PM2.5,3.17,8.77,53.84,2024-08-02 00:00:00,8.72,Nantes,7.45,6.57,4.73,28.5,6.98,Data.gouv.fr
Métro,O3,8.6,5.92,71.28,2024-08-09 00:00:00,7.36,Montpellier,7.85,2.83,3.2,30.25,8.42,RATP_Open_Data_2024
Transilien,CO,1.64,2.06,11.65,2024-11-18 00:00:00,6.79,Montpellier,7.78,7.12,4.17,35.92,8.49,Météo-France
RER,NO2,2.71,5.61,8.8,2024-02-03 00:00:00,3.77,Montpellier,4.91,5.4,2.57,18.19,8.18,RATP_Open_Data_2024
Bus RATP,PM10,7.43,5.69,41.03,2024-09-24 00:00:00,3.12,Lille,3.6,7.37,3.38,64.62,1.43,RATP_Open_Data_2024
Transilien,O3,6.14,1.81,83.53,2024-06-04 00:00:00,8.73,Montpellier,3.71,7.01,1.63,43.77,1.9,SNCF_Open_Data
TER,O3,6.31,3.04,59.74,2024-04-01 00:00:00,5.13,Nantes,7.1,4.73,6.06,46.76,5.58,Airparif
Métro,SO2,5.61,4.8,49.84,2024-02-29 00:00:00,2.33,Marseille,2.7,6.04,7.4,73.71,1.92,RATP_Open_Data_2024
TGV,PM10,7.03,5.68,27.17,2024-12-19 00:00:00,8.19,Toulouse,3.3,2.52,3.14,20.72,8.16,Airparif
RER,PM2.5,5.63,4.63,73.07,2024-04-30 00:00:00,5.01,Montpellier,2.04,3.64,3.61,29.67,3.63,Data.gouv.fr
Métro,PM2.5,1.73,1.26,6.6,2024-12-11 00:00:00,8.27,Montpellier,4.85,5.74,6.39,19.15,8.05,Météo-France
Transilien,NO2,7.29,4.29,24.34,2024-08-22 00:00:00,2.92,Lille,6.46,3.49,4.22,16.88,6.92,RATP_Open_Data_2024
Bus RATP,NO2,2.96,6.79,49.39,2024-08-13 00:00:00,2.69,Nice,4.57,4.9,2.06,19.75,7.48,Data.gouv.fr
RER,SO2,5.99,6.43,58.45,2024-09-24 00:00:00,5.04,Paris,1.91,5.97,2.66,16.83,1.8,Airparif
RER,PM2.5,5.96,5.06,15.28,2024-01-19 00:00:00,3.8,Nantes,1.25,2.53,6.71,74.51,8.58,Météo-France
TGV,CO,3.88,8.77,70.3,2024-02-18 00:00:00,2.67,Nantes,3.58,3.88,5.7,24.68,6.97,SNCF_Open_Data
Transilien,PM2.5,6.84,8.63,77.5,2024-10-19 00:00:00,7.79,Marseille,2.92,6.95,2.62,17.28,5.75,Airparif
TER,NO2,1.67,2.14,59.4,2024-11-28 00:00:00,1.45,Toulouse,5.24,6.34,1.34,56.03,3.93,RATP_Open_Data_2024
TGV,PM10,4.3,4.45,47.56,2024-02-01 00:00:00,4.02,Nice,8.06,2.77,7.36,25.38,5.3,Météo-France
TGV,O3,1.93,7.77,43.66,2024-07-20 00:00:00,2.76,Lille,2.26,3.74,6.45,74.83,3.04,Airparif
Transilien,NO2,2.45,6.11,53.18,2024-03-29 00:00:00,5.29,Lille,7.07,4.57,6.55,34.83,5.49,RATP_Open_Data_2024
Tramway,NO2,7.62,6.51,11.91,2024-09-19 00:00:00,6.54,Lille,5.29,2.04,3.81,12.35,2.81,SNCF_Open_Data
RER,CO,6.71,6.54,38.02,2024-03-02 00:00:00,5.6,Montpellier,6.04,6.09,6.56,79.53,4.21,Airparif
Bus RATP,SO2,2.7,8.4,72.55,2024-02-14 00:00:00,1.77,Strasbourg,7.18,4.66,1.86,42.86,7.66,SNCF_Open_Data
TER,CO,7.27,4.35,63.8,2024-02-24 00:00:00,6.56,Lyon,7.04,3.2,6.12,11.81,7.74,Airparif
Métro,PM2.5,1.77,8.58,79.37,2024-01-12 00:00:00,2.71,Nantes,5.75,7.69,6.26,83.84,8.67,SNCF_Open_Data
Transilien,SO2,7.93,5.5,81.33,2024-09-04 00:00:00,7.54,Lyon,7.06,1.24,7.5,51.11,5.41,RATP_Open_Data_2024
Métro,CO,2.53,2.2,35.21,2024-08-11 00:00:00,4.69,Toulouse,4.8,2.04,5.59,29.31,1.82,Météo-France
TER,PM2.5,4.0,5.29,42.48,2024-07-29 00:00:00,8.47,Bordeaux,4.8,1.66,5.84,58.2,7.03,Météo-France
RER,CO,5.1,2.22,84.56,2024-09-01 00:00:00,7.87,Toulouse,5.42,4.59,1.53,60.24,5.85,SNCF_Open_Data
RER,CO,2.7,5.33,14.31,2024-03-27 00:00:00,3.02,Toulouse,5.95,8.28,8.36,54.39,8.56,Airparif
Bus RATP,PM2.5,7.56,1.25,11.08,2024-12-20 00:00:00,4.08,Bordeaux,1.66,8.62,2.03,26.33,7.93,Airparif
TGV,CO,2.52,3.65,18.21,2024-05-08 00:00:00,2.96,Montpellier,1.39,6.48,6.47,15.95,3.76,Météo-France
Bus RATP,NO2,8.69,2.33,24.07,2024-04-22 00:00:00,4.93,Nantes,7.97,2.02,1.44,26.55,4.23,Airparif
Tramway,SO2,5.91,4.65,67.68,2024-06-12 00:00:00,5.06,Bordeaux,3.83,3.1,4.38,5.24,2.1,Airparif
Métro,O3,8.11,5.56,78.39,2024-09-12 00:00:00,6.08,Nice,2.43,8.0,3.04,50.38,5.06,SNCF_Open_Data
RER,PM10,5.27,1.45,6.73,2024-06-20 00:00:00,6.89,Lille,1.64,1.29,7.6,78.45,2.37,RATP_Open_Data_2024
RER,PM2.5,5.51,7.44,80.93,2024-03-01 00:00:00,2.58,Nice,4.19,6.72,7.78,31.17,8.56,Météo-France
TGV,CO,6.51,8.68,10.49,2024-02-10 00:00:00,3.84,Strasbourg,7.06,8.09,1.64,55.34,3.91,SNCF_Open_Data
TGV,PM10,8.61,2.79,2.62,2024-08-16 00:00:00,4.02,Paris,5.2,8.5,6.54,63.7,2.72,Météo-France
TGV,CO,7.99,5.96,45.71,2024-06-19 00:00:00,6.78,Nantes,1.96,3.93,3.19,17.41,1.35,Data.gouv.fr
Bus RATP,CO,5.54,8.23,53.15,2024-07-13 00:00:00,6.94,Marseille,3.59,5.57,1.92,23.04,4.3,Airparif
TER,SO2,4.04,8.48,79.65,2024-06-14 00:00:00,7.9,Nice,2.09,3.35,6.21,7.85,8.68,Data.gouv.fr
Bus RATP,NO2,3.03,3.5,49.28,2024-02-05 00:00:00,8.19,Montpellier,5.33,4.58,7.36,69.52,6.48,SNCF_Open_Data
RER,SO2,2.1,8.55,14.26,2024-05-15 00:00:00,3.87,Strasbourg,5.09,2.79,8.11,15.36,1.68,SNCF_Open_Data
RER,CO,6.86,7.91,19.04,2024-07-29 00:00:00,8.45,Lyon,8.12,7.32,5.26,38.02,7.84,SNCF_Open_Data
