col_categorie_vehicule,col_age_vehicule,col_annee_mise_circulation,col_emissions_co2_g_km,col_emissions_nox_g_km,col_emissions_pm25_g_km,col_emissions_co_g_km,col_emissions_hc_g_km,col_consommation_l_100km,col_classe_environmentale,col_impact_sante,col_annee,col_scenario,col_age_moyen_parc,col_emissions_moyennes_co2_g_km,col_pourcentage_vehicules_propres,col_reduction_emissions_pct,col_pourcentage_parc,col_nombre_estime
5.85,2.18,47.258338,7.02,6.28,5.5,8.0,5.9,1.23,2.35,7.79,5.23,5.31,2.69,1.36,8.09,5.92,2.67,2024-01-19 00:00:00
8.56,3.27,46.906588,7.24,6.26,7.69,8.4,1.99,8.31,8.47,3.29,5.02,2.43,3.62,6.38,6.92,3.55,1.74,2024-02-20 00:00:00
8.73,8.05,45.702032,4.97,3.33,7.68,1.99,1.46,8.15,7.97,5.83,5.88,4.44,2.43,3.69,4.33,5.25,3.6,2024-07-31 00:00:00
4.03,4.71,51.559577,7.97,3.57,7.13,6.01,4.07,3.47,4.29,6.56,7.43,7.94,3.49,2.9,7.74,4.57,7.74,2024-06-04 00:00:00
6.76,6.79,48.782673,4.49,5.41,6.47,3.59,8.4,4.47,8.55,7.4,3.39,5.49,5.34,7.1,1.99,6.48,4.17,2024-05-29 00:00:00
4.92,3.62,48.548597,3.01,6.17,3.14,4.15,5.78,4.4,2.46,6.71,3.16,6.15,8.26,3.34,3.56,7.72,6.27,2024-12-12 00:00:00
5.86,7.64,48.796945,2.13,8.63,6.88,3.42,3.49,2.56,1.28,4.63,5.57,1.65,2.81,8.38,1.36,4.36,7.52,2024-10-09 00:00:00
4.1,3.12,47.027973,8.48,5.26,1.71,4.14,6.23,7.17,8.58,5.48,8.43,3.65,1.84,5.24,7.43,4.2,5.58,2024-02-27 00:00:00
6.35,8.66,49.448901,2.42,1.8,2.18,6.8,3.31,4.79,3.29,2.67,6.51,8.64,8.55,3.54,5.57,5.34,7.13,2024-01-07 00:00:00
8.03,1.45,49.138946,2.63,3.37,3.29,4.64,5.76,6.39,8.26,7.5,3.32,5.45,4.21,4.9,3.98,8.06,8.2,2024-09-05 00:00:00
8.42,4.52,51.358931,1.25,2.66,4.45,1.72,5.33,7.7,8.15,3.48,7.49,4.47,2.91,5.25,4.39,5.75,2.64,2024-09-06 00:00:00
8.03,6.72,51.26331,5.86,3.97,4.62,7.79,3.98,6.95,8.12,6.55,3.31,4.23,2.74,5.83,4.63,2.23,6.33,2024-01-01 00:00:00
4.89,3.24,51.832249,3.73,3.78,2.2,4.35,4.44,6.62,1.36,4.25,5.81,5.77,7.37,2.81,8.07,1.41,6.16,2024-04-01 00:00:00
3.79,6.24,50.550101,6.4,5.54,3.71,4.77,4.18,5.53,5.57,8.35,3.51,6.8,1.62,2.65,7.17,2.34,6.32,2024-09-04 00:00:00
7.44,2.33,48.132331,4.64,6.12,3.83,6.97,5.18,8.13,6.53,7.22,4.68,4.83,7.42,6.52,3.72,8.14,4.23,2024-11-20 00:00:00
6.39,6.61,50.891585,3.89,7.55,1.29,5.99,5.62,1.34,3.05,7.0,5.38,2.96,1.58,3.14,3.62,1.42,3.19,2024-09-13 00:00:00
5.76,8.38,50.015909,1.5,8.0,1.37,7.06,7.71,8.52,1.28,5.15,2.05,6.69,5.24,6.43,6.71,4.54,5.11,2024-05-14 00:00:00
5.81,7.61,47.090756,4.01,5.52,4.53,6.12,5.37,3.72,8.7,3.49,8.74,8.02,1.3,2.15,6.56,2.79,4.0,2024-03-06 00:00:00
8.38,8.42,46.574245,4.59,2.17,6.53,6.61,7.25,6.65,2.08,3.48,2.25,6.68,8.4,7.62,3.3,4.91,8.18,2024-01-25 00:00:00
5.77,7.1,47.344363,6.12,8.16,1.89,1.38,4.55,1.9,3.41,3.32,3.21,6.75,4.11,8.07,2.24,5.32,5.47,2024-10-24 00:00:00
5.47,1.55,52.208482,7.99,8.29,4.52,1.25,3.47,4.86,5.36,2.3,1.52,3.51,6.54,7.54,3.22,8.06,5.6,2024-07-10 00:00:00
1.63,2.51,51.095929,1.43,7.86,7.07,4.72,8.27,6.27,6.55,4.85,8.04,7.51,6.15,5.22,7.85,7.65,7.63,2024-03-02 00:00:00
1.26,7.42,46.057158,3.3,6.42,4.74,6.97,8.22,7.51,7.15,3.96,7.05,5.41,5.67,2.04,8.76,7.61,4.63,2024-05-18 00:00:00
5.98,7.5,45.730369,7.64,4.62,4.88,1.57,1.71,6.14,4.58,7.02,6.04,1.37,2.51,7.18,4.64,7.66,1.54,2024-09-24 00:00:00
1.91,2.11,51.989306,6.89,2.86,3.21,5.28,1.64,6.79,6.01,7.08,8.11,5.77,4.63,6.93,1.37,8.22,5.32,2024-05-01 00:00:00
8.29,3.35,52.565062,4.3,6.89,4.05,6.77,6.18,1.51,4.67,2.26,2.91,2.63,4.06,1.86,3.88,2.13,6.79,2024-05-16 00:00:00
4.09,1.91,50.517266,2.41,1.63,5.51,7.77,8.08,1.21,7.67,8.8,4.1,4.85,1.39,8.08,3.07,5.18,6.9,2024-07-05 00:00:00
1.53,5.95,48.747306,7.66,7.55,7.9,8.29,5.17,4.89,4.01,1.53,6.08,1.67,5.7,5.4,8.43,6.39,3.66,2024-04-02 00:00:00
6.36,1.65,45.533524,8.37,3.42,4.81,7.94,2.83,5.6,4.2,3.96,3.97,5.02,1.95,1.88,2.87,4.46,5.73,2024-11-06 00:00:00
4.79,7.35,45.557839,7.17,4.89,6.15,3.6,8.3,7.58,7.06,2.16,1.76,3.07,1.79,3.25,4.4,2.8,6.4,2024-12-04 00:00:00
5.74,3.67,48.087603,6.73,7.72,8.77,2.22,6.93,3.98,5.74,3.23,5.89,5.46,2.72,5.14,3.32,2.12,8.22,2024-06-02 00:00:00
4.14,2.32,46.492205,2.5,8.25,1.95,4.67,2.5,8.49,2.67,3.4,6.42,2.94,8.03,6.2,2.64,5.83,8.57,2024-02-22 00:00:00
2.83,7.31,45.594168,6.43,3.64,4.78,3.55,8.05,6.19,3.84,6.95,6.67,2.76,3.14,2.25,4.85,8.21,4.0,2024-03-29 00:00:00
5.84,3.67,49.921252,8.29,1.46,2.97,2.16,2.18,4.21,6.38,3.67,8.08,7.71,1.4,3.16,8.53,5.57,4.65,2024-01-20 00:00:00
1.67,6.81,49.563276,6.31,8.67,2.3,1.73,3.87,5.76,8.57,1.57,6.06,4.25,2.26,2.23,8.71,5.86,6.67,2024-02-28 00:00:00
7.74,4.8,46.114942,6.46,6.35,7.1,8.46,1.91,7.51,3.98,8.45,5.31,2.21,3.91,1.77,5.14,4.03,7.64,2024-08-16 00:00:00
5.94,6.2,49.732701,3.32,1.79,7.79,5.21,2.14,2.84,8.25,2.67,6.81,2.31,2.14,5.25,2.07,3.78,6.09,2024-06-16 00:00:00
6.89,7.14,49.685476,1.45,7.84,8.78,4.09,4.6,5.04,8.38,5.79,4.62,2.76,7.06,2.79,7.55,4.3,7.18,2024-10-18 00:00:00
8.29,4.57,50.426704,8.21,8.33,4.54,5.28,2.22,7.24,2.11,4.8,1.72,7.76,2.63,2.5,5.26,7.81,5.19,2024-08-04 00:00:00
2.58,8.17,49.285087,1.35,4.73,8.51,7.77,3.02,1.93,2.32,5.66,7.36,1.8,3.99,6.63,3.53,4.36,2.16,2024-09-30 00:00:00
5.38,5.1,45.675129,1.37,3.6,6.32,4.3,1.85,7.07,5.54,3.21,8.7,3.14,7.65,4.66,8.1,5.98,2.42,2024-07-14 00:00:00
8.69,2.69,51.953646,2.69,4.39,1.99,7.34,3.81,8.37,7.16,6.94,8.55,2.52,1.37,7.92,8.68,5.16,8.25,2024-01-31 00:00:00
3.63,3.64,49.040051,4.78,7.22,3.3,3.47,7.94,1.89,7.01,1.96,5.31,3.73,7.84,7.78,3.34,1.28,1.92,2024-08-02 00:00:00
2.22,6.95,51.107706,5.6,3.49,5.5,6.09,4.07,7.81,6.48,6.12,8.19,1.98,2.91,8.4,2.16,2.9,2.58,2024-01-09 00:00:00
3.67,8.13,45.685605,4.52,4.11,5.79,2.59,7.86,1.28,7.71,6.24,7.99,6.93,6.3,8.57,4.01,1.33,2.35,2024-04-15 00:00:00
1.59,5.32,50.851161,8.65,1.49,1.48,2.63,2.12,1.96,5.02,5.72,4.62,3.74,6.9,7.07,5.6,5.6,8.6,2024-12-04 00:00:00
8.31,4.73,52.259856,2.72,5.01,5.88,6.22,4.16,2.36,6.69,2.16,6.27,2.97,6.88,5.93,7.36,1.42,6.41,2024-08-06 00:00:00
6.03,5.98,47.298548,6.02,3.83,8.12,2.63,8.51,4.4,3.79,6.38,2.63,5.89,2.92,2.46,3.11,3.37,8.14,2024-07-20 00:00:00
1.98,7.92,49.620765,2.59,7.14,7.26,8.18,4.36,6.79,5.81,8.47,7.49,7.81,6.78,2.09,3.51,3.99,4.19,2024-01-19 00:00:00
7.04,1.41,46.729911,4.56,6.57,8.28,5.69,4.42,8.28,8.14,6.51,7.01,1.69,8.61,1.79,1.81,8.16,1.9,2024-01-24 00:00:00
2.73,6.92,45.276728,3.14,4.31,8.6,7.72,3.15,4.79,8.17,6.64,2.69,4.49,7.09,3.45,6.87,7.62,8.66,2024-06-01 00:00:00
3.73,8.15,48.968834,1.51,8.69,4.77,6.99,1.25,1.44,6.73,3.27,1.7,7.95,8.23,3.43,4.77,8.51,3.32,2024-07-28 00:00:00
6.71,2.01,51.657809,5.19,1.36,2.23,6.97,5.14,5.18,8.7,2.21,1.94,7.22,7.96,4.8,5.76,1.55,6.03,2024-02-01 00:00:00
1.33,8.66,47.995197,8.07,3.81,3.61,2.13,5.02,7.19,4.17,1.25,7.95,5.95,4.35,7.7,8.38,5.84,7.48,2024-06-26 00:00:00
5.07,2.27,48.461335,3.72,5.38,7.85,2.98,5.39,4.91,5.65,8.73,6.2,2.57,6.73,5.16,5.31,7.02,4.79,2024-08-27 00:00:00
1.65,1.42,45.11706,5.06,6.45,6.66,5.39,7.53,8.6,5.74,5.66,2.3,2.83,5.9,3.8,6.59,4.07,2.68,2024-08-19 00:00:00
6.35,7.7,51.815505,8.63,6.18,2.19,7.17,7.84,4.22,4.29,6.58,6.96,2.73,4.7,2.73,8.23,1.9,7.5,2024-12-16 00:00:00
1.73,7.17,49.174772,4.62,2.79,4.02,2.95,5.5,8.76,4.34,7.04,5.7,8.39,3.4,7.9,7.92,2.88,5.21,2024-11-21 00:00:00
7.69,6.41,46.520766,1.88,4.26,2.49,3.2,7.94,7.47,4.78,6.71,2.41,7.95,5.61,7.95,5.83,7.43,5.71,2024-01-31 00:00:00
1.67,4.12,48.462646,2.98,6.96,2.72,3.2,4.98,4.23,5.56,4.6,5.16,1.88,3.58,8.38,7.73,5.09,6.27,2024-10-20 00:00:00
4.78,8.22,45.35166,8.19,8.01,1.51,4.64,8.69,4.52,1.47,2.68,8.09,7.64,2.9,7.11,1.35,8.46,2.64,2024-07-26 00:00:00
8.79,3.85,50.050152,8.54,2.71,1.71,5.36,1.9,3.7,5.12,4.02,7.55,6.09,2.94,8.79,3.28,8.61,4.9,2024-04-07 00:00:00
4.38,1.52,45.289497,6.31,6.12,8.56,8.63,6.21,3.34,2.02,5.87,5.97,5.83,8.19,3.75,3.0,3.9,6.32,2024-02-12 00:00:00
2.65,1.54,49.749199,6.96,6.26,4.27,2.37,8.05,6.92,1.51,4.89,5.78,3.05,1.84,3.59,8.42,1.36,7.87,2024-06-30 00:00:00
6.62,4.89,47.912487,4.34,7.01,3.96,5.28,6.71,5.13,4.42,4.36,8.76,5.87,4.31,2.85,3.04,6.74,8.16,2024-06-21 00:00:00
7.2,1.28,45.832553,6.76,4.31,8.28,1.76,6.25,7.13,6.53,4.76,4.12,6.2,7.85,2.6,5.39,2.38,6.88,2024-07-22 00:00:00
1.5,7.77,51.753972,8.44,2.46,8.68,6.79,6.17,7.07,1.35,3.86,5.17,4.67,6.94,1.69,4.44,5.58,3.93,2024-09-07 00:00:00
5.49,8.4,50.676276,8.58,3.92,6.03,4.55,1.31,5.4,3.89,2.2,3.36,3.08,7.1,7.02,8.5,6.0,5.7,2024-05-09 00:00:00
6.04,6.89,49.960901,5.06,3.56,4.19,2.66,6.98,5.86,1.35,4.39,5.1,2.73,7.89,3.42,6.48,1.59,6.54,2024-09-28 00:00:00
6.73,8.14,49.130504,4.17,3.34,7.22,4.56,4.31,3.67,2.88,5.15,6.9,3.58,2.87,5.89,1.84,3.55,4.07,2024-01-15 00:00:00
7.16,5.08,46.16448,5.17,1.92,2.22,5.11,7.29,4.1,7.5,6.72,6.58,2.93,5.92,8.03,5.8,7.96,5.36,2024-09-06 00:00:00
7.39,1.58,51.787528,3.42,7.66,3.68,5.54,8.62,5.97,5.72,1.5,2.49,4.96,3.38,3.09,8.17,6.35,6.59,2024-05-10 00:00:00
7.76,4.73,48.709979,8.79,2.49,4.75,1.57,6.13,4.52,7.55,6.65,4.84,5.61,6.99,3.17,5.19,2.94,6.12,2024-04-01 00:00:00
6.54,3.88,47.945577,5.96,7.83,2.62,4.0,8.29,6.98,4.65,6.13,4.91,1.78,6.01,2.23,4.25,2.98,4.0,2024-11-15 00:00:00
7.51,1.99,47.59665,4.88,5.95,7.48,5.92,7.18,8.58,8.7,1.78,2.23,6.35,5.98,6.86,7.27,6.35,5.91,2024-12-11 00:00:00
2.55,7.53,46.798186,6.91,3.63,2.87,1.73,5.87,2.19,3.8,2.67,8.07,6.92,7.69,7.34,4.31,6.27,6.26,2024-08-12 00:00:00
6.72,8.09,45.106128,5.55,2.59,1.7,1.44,7.47,8.61,4.49,7.56,1.38,3.94,5.29,6.2,4.04,2.81,6.03,2024-12-01 00:00:00
5.7,3.31,45.685333,3.86,1.6,6.61,2.49,8.17,3.36,1.75,5.64,4.14,5.62,3.12,7.18,3.01,7.05,3.49,2024-12-09 00:00:00
4.32,1.68,45.969223,8.13,5.45,4.36,8.58,4.84,8.79,7.78,4.57,8.62,3.97,5.4,7.11,2.05,3.95,5.75,2024-06-16 00:00:00
6.5,5.12,48.826658,7.29,4.62,2.3,6.65,7.99,6.11,1.67,8.56,4.92,4.3,4.22,5.0,6.93,7.8,1.91,2024-01-28 00:00:00
6.78,5.69,48.836886,3.73,1.38,6.47,2.21,8.67,3.12,4.36,7.52,8.45,2.94,4.75,3.26,7.69,6.06,4.68,2024-10-27 00:00:00
1.98,4.89,51.258664,6.27,7.51,5.28,8.09,7.48,5.57,2.27,4.23,4.3,5.2,1.54,7.68,3.72,1.89,3.48,2024-03-05 00:00:00
6.65,4.07,46.212065,4.49,5.24,6.78,8.19,6.86,8.64,2.23,7.63,3.22,8.48,5.6,6.34,2.74,3.75,7.7,2024-06-07 00:00:00
5.48,3.94,48.865146,2.06,7.57,5.0,5.11,3.22,6.63,3.22,5.21,6.84,1.2,8.44,5.79,7.98,6.21,2.54,2024-02-22 00:00:00
8.17,5.52,45.738428,7.54,3.65,5.06,6.87,5.52,7.81,7.6,4.76,2.68,8.73,2.53,1.25,4.74,8.69,2.24,2024-01-18 00:00:00
5.82,4.64,47.307222,6.38,1.86,5.59,5.76,5.2,2.33,5.7,1.49,8.03,1.21,7.58,4.07,1.6,2.56,7.2,2024-05-05 00:00:00
3.28,8.25,52.655794,7.12,5.12,2.41,4.36,6.63,5.59,2.37,4.18,6.45,3.1,2.74,4.92,7.66,2.37,4.54,2024-02-22 00:00:00
4.22,7.7,50.350775,2.85,8.49,3.8,4.47,6.99,5.3,1.84,8.6,5.76,6.42,1.29,7.47,1.25,1.26,8.68,2024-04-10 00:00:00
3.28,6.94,50.590459,4.97,8.39,1.82,3.74,2.92,4.9,6.96,6.62,7.32,5.63,3.0,7.55,2.71,4.98,5.31,2024-01-16 00:00:00
8.07,6.17,45.904637,8.5,8.31,7.56,7.88,7.13,2.0,4.86,6.6,3.65,3.22,8.18,7.04,4.57,8.32,6.99,2024-05-14 00:00:00
7.69,5.14,50.865652,5.13,5.92,5.24,8.41,2.3,4.01,4.79,4.62,8.53,3.81,7.47,3.71,3.09,5.12,5.77,2024-08-07 00:00:00
3.55,1.77,50.114742,7.32,3.64,8.09,6.4,5.25,8.19,6.89,2.83,2.9,1.21,1.26,7.62,8.74,5.99,2.3,2024-07-29 00:00:00
7.17,7.92,48.012132,1.79,1.7,3.33,7.61,8.07,6.86,2.83,6.75,5.98,7.46,6.46,6.95,4.63,5.17,4.07,2024-06-23 00:00:00
6.96,2.91,51.646555,6.2,6.4,6.36,4.97,4.14,2.34,7.8,8.12,2.18,4.5,7.98,1.92,7.15,7.64,4.34,2024-07-20 00:00:00
2.87,8.02,46.945059,4.02,8.52,7.71,5.61,6.68,4.11,3.73,4.23,6.16,7.5,2.27,2.16,6.55,7.19,8.77,2024-12-03 00:00:00
4.27,3.34,44.9088,5.04,6.21,3.99,8.28,3.55,6.67,6.35,1.88,5.85,4.35,3.76,8.55,1.75,4.08,2.01,2024-05-23 00:00:00
6.6,2.99,44.865529,5.88,6.49,4.72,6.52,2.45,3.43,7.81,6.61,7.6,3.43,2.7,2.65,4.41,4.08,5.68,2024-07-18 00:00:00
3.87,8.54,52.522823,3.08,3.24,5.87,4.7,7.59,5.91,7.32,7.75,3.21,8.25,5.81,7.81,6.02,3.9,2.21,2024-02-06 00:00:00
8.66,7.74,49.045411,4.91,4.8,8.4,8.54,8.65,1.91,7.45,7.14,8.66,8.74,8.57,7.53,3.23,5.14,3.5,2024-03-17 00:00:00
7.97,1.29,45.992102,6.1,1.53,6.43,4.52,5.34,3.02,1.96,8.78,2.01,7.12,1.77,3.17,2.16,1.76,8.02,2024-06-17 00:00:00
4.64,3.58,49.41973,1.92,2.08,6.17,3.63,3.89,4.82,8.28,6.52,7.7,8.78,7.76,2.93,5.66,7.12,7.27,2024-12-02 00:00:00
3.72,3.48,44.972689,5.07,6.74,1.36,6.25,8.73,6.2,2.61,5.5,8.53,7.69,5.13,7.21,4.62,2.16,5.91,2024-05-10 00:00:00
7.61,3.67,48.402342,2.54,6.24,4.0,7.75,1.37,6.27,7.88,6.14,6.58,8.11,1.5,7.82,7.32,5.13,4.92,2024-06-02 00:00:00
7.39,6.35,51.612023,7.67,7.0,7.8,3.83,4.06,4.48,1.41,6.97,5.63,7.94,1.99,5.55,8.27,2.4,5.92,2024-02-23 00:00:00
7.03,5.67,50.227287,4.8,3.29,1.35,4.59,5.42,5.21,3.08,4.5,6.88,2.45,5.27,8.42,5.08,6.75,6.95,2024-04-27 00:00:00
8.63,8.39,47.149571,7.39,6.67,6.75,1.21,4.09,8.21,6.24,7.78,5.93,5.66,7.92,8.61,7.61,5.23,5.43,2024-09-01 00:00:00
3.45,4.49,49.518505,5.34,2.67,5.99,4.46,8.7,8.17,3.51,4.3,4.08,2.44,4.38,6.49,4.56,7.89,2.36,2024-07-21 00:00:00
1.81,6.78,45.913716,2.38,5.98,4.53,6.03,1.77,4.82,4.18,3.48,4.41,5.02,8.42,6.53,4.69,3.52,5.44,2024-02-05 00:00:00
5.39,8.31,48.373205,7.37,2.85,6.98,5.82,2.46,5.24,1.21,8.35,6.67,3.95,6.93,3.8,5.99,1.73,6.55,2024-10-01 00:00:00
5.67,4.02,44.89046,5.25,7.57,2.44,3.45,7.69,5.13,8.57,6.01,4.41,8.0,5.02,3.38,2.91,8.4,3.61,2024-09-10 00:00:00
8.51,3.33,52.469903,8.77,2.1,6.23,1.56,5.0,2.72,6.53,2.63,1.43,8.57,8.8,4.97,6.85,4.19,5.36,2024-10-20 00:00:00
7.99,8.79,45.75658,2.97,1.26,6.04,7.63,2.49,3.26,3.76,3.84,6.21,4.45,2.86,5.48,8.5,6.9,6.7,2024-10-28 00:00:00
4.29,6.93,48.873412,3.91,1.24,8.23,5.84,5.26,6.43,4.5,4.83,7.52,7.22,7.41,6.04,3.26,6.48,1.68,2024-07-02 00:00:00
2.78,6.73,50.858168,6.52,6.19,4.65,2.99,7.87,8.52,6.39,8.72,4.99,5.84,3.96,2.8,7.6,6.15,3.13,2024-10-10 00:00:00
5.61,6.82,51.730138,2.2,2.7,8.66,1.72,7.0,5.57,1.51,4.54,5.42,5.14,2.38,8.03,6.8,7.79,4.46,2024-09-01 00:00:00
