col_environnement_id,col_time_id,col_zone_environnement_id,col_mode_environnement_id,col_polluant_id,col_station_mesure_id,col_type_carburant_id,col_emission_co2_kg,col_emission_co2_km,col_emission_par_habitant_kg,col_reduction_emission_pct,col_indice_aqi,col_niveau_qualite_air,col_pm25_ugm3,col_pm10_ugm3,col_no2_ugm3,col_o3_ugm3,col_energie_consommee_kwh,col_part_renouvelable_pct,col_cout_energie_eur,col_age_vehicule_moyen,col_nb_vehicules_electriques,col_taux_renouvellement_pct,col_valeur_cible,col_ecart_objectif_pct,col_atteint_objectif,col_reduction_trafic_covid_pct,col_gain_environnemental_kg
ID_013,ID_013,ID_013,ID_013,ID_013,ID_013,ID_013,2.59,8.12,2.08,5.05,68.13,1.3,6.6,5.83,5.89,2.05,2.67,8.37,2.54,7.47,6.14,2.76,83.29,5.2,2.0,ID_013,8.12
ID_014,ID_014,ID_014,ID_014,ID_014,ID_014,ID_014,6.37,5.61,2.18,1.4,52.26,2.49,3.59,4.96,1.96,7.37,1.27,5.99,6.12,4.47,1.52,6.25,12.97,7.61,4.07,ID_014,3.25
ID_015,ID_015,ID_015,ID_015,ID_015,ID_015,ID_015,4.68,7.84,1.29,7.76,75.1,7.06,4.57,1.55,3.81,2.71,3.24,5.57,7.69,6.77,2.3,6.42,32.03,7.59,4.8,ID_015,4.01
ID_016,ID_016,ID_016,ID_016,ID_016,ID_016,ID_016,3.11,6.15,6.34,3.76,66.96,4.61,3.9,5.98,2.27,4.91,8.79,8.25,3.79,4.55,1.83,1.98,37.07,6.04,6.37,ID_016,3.32
ID_017,ID_017,ID_017,ID_017,ID_017,ID_017,ID_017,2.47,1.39,5.46,2.87,74.77,7.64,6.28,7.66,4.79,3.44,6.55,1.5,3.22,6.86,3.16,1.76,78.52,2.31,8.46,ID_017,5.05
ID_018,ID_018,ID_018,ID_018,ID_018,ID_018,ID_018,2.76,2.26,5.6,6.96,80.32,5.6,7.34,3.79,8.27,4.87,1.29,2.13,7.73,1.41,5.61,6.51,44.43,4.17,4.46,ID_018,7.06
ID_019,ID_019,ID_019,ID_019,ID_019,ID_019,ID_019,2.79,2.61,3.79,2.48,44.47,8.65,6.62,8.78,3.34,2.33,6.38,2.13,6.7,6.18,6.97,4.35,15.56,8.65,1.8,ID_019,8.1
ID_020,ID_020,ID_020,ID_020,ID_020,ID_020,ID_020,3.67,5.74,2.11,7.94,62.88,6.4,7.45,1.58,2.03,7.38,2.31,1.43,4.75,7.24,2.8,4.75,19.7,8.06,4.42,ID_020,6.85
ID_021,ID_021,ID_021,ID_021,ID_021,ID_021,ID_021,3.96,7.32,7.22,5.27,59.19,4.46,2.45,4.54,6.57,4.23,6.8,4.9,6.9,3.74,7.89,1.45,67.59,2.97,2.64,ID_021,4.32
ID_022,ID_022,ID_022,ID_022,ID_022,ID_022,ID_022,4.82,2.32,8.38,3.86,49.29,3.31,5.45,8.16,1.51,3.1,3.14,7.85,2.39,5.76,7.02,2.49,28.25,7.63,1.41,ID_022,2.88
ID_023,ID_023,ID_023,ID_023,ID_023,ID_023,ID_023,7.36,4.24,6.84,7.47,83.72,3.2,6.08,7.37,8.0,8.53,6.99,1.92,8.36,3.42,3.22,3.27,61.59,4.26,1.59,ID_023,3.03
ID_024,ID_024,ID_024,ID_024,ID_024,ID_024,ID_024,4.74,2.19,7.06,8.15,70.72,4.3,6.78,5.24,5.78,4.51,4.62,8.76,4.63,8.38,6.72,4.89,72.94,8.52,5.36,ID_024,6.9
ID_025,ID_025,ID_025,ID_025,ID_025,ID_025,ID_025,1.98,1.43,8.58,2.17,15.17,7.44,2.94,8.75,3.03,7.51,1.28,7.56,4.17,6.16,2.54,2.82,32.2,7.53,7.94,ID_025,4.43
ID_026,ID_026,ID_026,ID_026,ID_026,ID_026,ID_026,8.1,6.51,6.07,5.7,79.57,3.79,4.33,7.93,1.42,1.61,5.64,8.22,7.12,5.43,5.23,1.74,20.9,5.61,3.52,ID_026,4.09
ID_027,ID_027,ID_027,ID_027,ID_027,ID_027,ID_027,2.61,5.67,5.12,3.06,23.5,5.95,4.18,4.46,7.39,7.68,5.31,6.31,4.59,4.75,2.11,3.48,72.38,2.28,4.39,ID_027,1.49
ID_028,ID_028,ID_028,ID_028,ID_028,ID_028,ID_028,5.26,6.18,7.61,8.74,16.48,2.06,2.75,3.08,6.0,6.48,7.38,2.86,5.09,4.02,3.14,8.05,21.29,4.95,6.89,ID_028,7.25
ID_029,ID_029,ID_029,ID_029,ID_029,ID_029,ID_029,4.69,8.57,1.75,1.24,14.76,5.6,1.57,7.6,4.14,8.77,8.3,8.54,1.45,1.99,5.76,3.56,5.76,6.78,4.14,ID_029,4.28
ID_030,ID_030,ID_030,ID_030,ID_030,ID_030,ID_030,6.6,5.1,2.59,8.51,73.34,6.78,2.09,4.26,8.63,3.78,4.43,2.24,2.61,6.03,4.91,1.58,72.09,3.54,3.17,ID_030,1.86
ID_031,ID_031,ID_031,ID_031,ID_031,ID_031,ID_031,1.29,5.56,2.41,5.13,36.75,5.94,4.52,6.67,3.98,1.69,4.65,2.41,8.79,1.9,8.72,8.48,33.15,3.4,6.93,ID_031,3.06
ID_032,ID_032,ID_032,ID_032,ID_032,ID_032,ID_032,5.98,4.34,5.67,7.0,10.91,7.33,5.76,5.33,2.37,1.85,7.15,6.11,7.85,7.25,7.78,7.91,25.78,4.25,2.77,ID_032,1.33
ID_033,ID_033,ID_033,ID_033,ID_033,ID_033,ID_033,3.14,3.18,5.03,8.24,21.44,5.44,8.36,6.9,1.98,3.1,5.05,2.83,3.1,7.42,3.79,3.43,63.11,3.54,4.47,ID_033,3.79
ID_034,ID_034,ID_034,ID_034,ID_034,ID_034,ID_034,2.43,7.88,4.85,3.14,38.21,5.1,7.52,4.37,4.74,3.06,6.53,2.77,7.17,3.59,4.26,6.5,33.44,3.81,1.56,ID_034,8.44
ID_035,ID_035,ID_035,ID_035,ID_035,ID_035,ID_035,4.52,4.13,1.93,2.92,35.28,5.91,3.15,5.78,3.13,3.54,8.72,7.99,5.52,8.72,3.64,6.33,72.62,4.07,7.41,ID_035,6.45
ID_036,ID_036,ID_036,ID_036,ID_036,ID_036,ID_036,8.01,4.14,5.38,4.93,53.95,4.23,4.27,1.58,8.01,7.75,7.02,3.19,5.3,7.76,5.81,6.58,46.93,3.33,2.95,ID_036,5.21
ID_037,ID_037,ID_037,ID_037,ID_037,ID_037,ID_037,1.58,6.76,7.31,5.74,65.89,8.78,4.7,5.15,4.16,3.15,5.78,2.1,8.25,3.74,2.94,6.21,34.55,8.37,3.46,ID_037,7.86
ID_038,ID_038,ID_038,ID_038,ID_038,ID_038,ID_038,3.75,4.37,6.72,8.03,2.28,7.34,7.24,3.82,6.95,1.33,7.28,8.62,3.26,5.05,7.78,2.54,69.78,5.59,4.28,ID_038,2.92
ID_039,ID_039,ID_039,ID_039,ID_039,ID_039,ID_039,3.85,6.7,5.66,8.57,12.43,6.23,1.87,7.17,6.5,4.82,5.16,2.0,7.43,3.8,6.38,7.29,9.74,5.16,8.11,ID_039,1.74
ID_040,ID_040,ID_040,ID_040,ID_040,ID_040,ID_040,2.31,8.21,1.95,1.41,82.71,2.22,3.92,4.02,5.24,3.78,2.15,2.79,7.22,2.27,7.3,3.98,32.37,1.74,7.6,ID_040,5.76
ID_041,ID_041,ID_041,ID_041,ID_041,ID_041,ID_041,8.3,8.28,4.74,1.86,46.7,4.76,1.48,2.21,8.42,3.86,1.44,4.91,2.72,6.8,2.61,4.3,66.3,1.49,7.65,ID_041,6.3
ID_042,ID_042,ID_042,ID_042,ID_042,ID_042,ID_042,4.73,7.96,2.57,7.16,68.7,4.18,4.37,5.13,7.98,5.53,2.66,2.55,7.68,4.02,3.94,3.7,32.8,3.85,8.07,ID_042,4.33
ID_043,ID_043,ID_043,ID_043,ID_043,ID_043,ID_043,1.44,1.87,1.86,4.67,79.3,2.75,3.25,1.27,3.38,1.82,6.76,8.67,5.08,8.59,5.24,3.47,67.27,5.01,4.13,ID_043,7.38
ID_044,ID_044,ID_044,ID_044,ID_044,ID_044,ID_044,8.21,1.33,7.09,3.27,80.76,2.29,6.9,6.6,3.41,4.06,8.04,5.97,8.6,3.62,6.0,8.5,81.94,8.43,1.6,ID_044,8.25
ID_045,ID_045,ID_045,ID_045,ID_045,ID_045,ID_045,5.72,5.35,8.43,6.8,27.78,7.83,6.54,6.91,8.09,4.99,7.46,2.71,2.45,2.39,3.01,7.27,36.39,4.7,2.75,ID_045,1.55
ID_046,ID_046,ID_046,ID_046,ID_046,ID_046,ID_046,6.82,1.52,2.2,7.71,79.01,3.15,8.06,3.83,1.7,1.52,6.78,8.7,5.33,7.14,4.56,1.96,19.05,1.78,7.88,ID_046,3.43
ID_047,ID_047,ID_047,ID_047,ID_047,ID_047,ID_047,5.95,8.7,7.81,4.3,43.75,5.35,3.81,3.62,2.17,1.4,7.73,3.39,2.33,7.26,5.56,4.34,14.9,4.82,6.7,ID_047,1.62
ID_048,ID_048,ID_048,ID_048,ID_048,ID_048,ID_048,5.7,2.13,5.96,4.22,72.8,7.12,2.84,8.21,2.8,7.96,4.28,8.06,7.24,3.27,2.57,6.12,18.61,2.63,5.38,ID_048,4.78
ID_049,ID_049,ID_049,ID_049,ID_049,ID_049,ID_049,5.87,6.16,6.08,8.67,35.04,5.45,4.86,6.8,4.32,4.47,6.14,6.57,7.37,5.02,2.77,1.87,8.42,1.72,6.41,ID_049,5.69
ID_050,ID_050,ID_050,ID_050,ID_050,ID_050,ID_050,2.9,1.35,3.03,7.4,41.69,7.58,7.23,7.61,4.98,6.34,3.03,8.57,4.13,4.53,2.85,4.37,79.94,6.68,5.11,ID_050,5.39
ID_051,ID_051,ID_051,ID_051,ID_051,ID_051,ID_051,5.36,1.77,6.6,5.66,17.38,3.71,3.0,6.13,4.27,3.83,8.13,5.6,5.01,5.4,6.56,1.94,59.7,6.55,6.02,ID_051,8.44
ID_052,ID_052,ID_052,ID_052,ID_052,ID_052,ID_052,6.46,5.95,1.99,5.5,20.2,8.54,2.55,7.11,4.56,6.77,7.92,3.57,3.55,3.72,4.97,1.62,62.94,4.48,6.29,ID_052,4.32
ID_053,ID_053,ID_053,ID_053,ID_053,ID_053,ID_053,1.31,4.66,4.18,4.01,78.04,5.56,8.31,4.77,6.1,4.23,3.35,6.45,2.72,7.86,2.99,7.5,45.12,5.02,8.74,ID_053,2.19
ID_054,ID_054,ID_054,ID_054,ID_054,ID_054,ID_054,7.56,3.45,7.81,4.73,83.72,5.45,2.71,7.97,4.01,3.31,4.98,2.3,5.09,3.12,7.18,6.81,31.61,7.6,6.68,ID_054,1.44
ID_055,ID_055,ID_055,ID_055,ID_055,ID_055,ID_055,2.86,8.65,8.15,6.99,74.4,5.57,1.9,7.59,6.73,2.99,4.64,4.45,1.27,4.58,7.98,3.1,13.44,5.4,2.21,ID_055,2.09
ID_056,ID_056,ID_056,ID_056,ID_056,ID_056,ID_056,2.19,4.28,3.98,7.49,2.65,2.02,7.55,2.55,6.53,6.99,5.43,4.4,8.1,3.86,7.74,3.29,30.5,5.42,4.18,ID_056,7.18
ID_057,ID_057,ID_057,ID_057,ID_057,ID_057,ID_057,5.44,2.06,4.18,7.5,24.33,4.15,6.77,7.97,5.87,1.53,8.6,2.67,5.67,1.31,3.82,4.74,7.94,2.43,3.51,ID_057,5.39
ID_058,ID_058,ID_058,ID_058,ID_058,ID_058,ID_058,1.3,4.46,6.23,1.26,31.9,4.1,8.25,3.6,6.18,4.1,6.6,6.31,3.91,8.47,7.25,4.97,78.69,3.78,1.37,ID_058,7.28
ID_059,ID_059,ID_059,ID_059,ID_059,ID_059,ID_059,4.77,1.27,8.02,6.07,76.64,3.41,6.59,8.15,3.21,2.05,5.6,4.02,3.08,4.87,1.21,1.54,77.89,4.16,4.08,ID_059,4.62
ID_060,ID_060,ID_060,ID_060,ID_060,ID_060,ID_060,8.01,2.32,6.58,6.46,64.74,7.13,7.91,6.58,2.32,5.41,4.85,4.52,8.4,7.46,1.36,3.42,80.73,3.53,4.42,ID_060,8.02
ID_061,ID_061,ID_061,ID_061,ID_061,ID_061,ID_061,6.21,4.15,5.43,1.76,46.61,8.56,3.43,1.69,6.3,3.21,4.0,6.82,2.55,5.25,6.85,4.16,67.69,6.43,5.84,ID_061,2.92
ID_062,ID_062,ID_062,ID_062,ID_062,ID_062,ID_062,8.23,1.62,4.34,2.97,62.22,7.32,7.73,4.43,5.99,4.56,5.51,1.88,7.68,8.52,6.29,2.4,16.29,8.3,2.16,ID_062,1.68
ID_063,ID_063,ID_063,ID_063,ID_063,ID_063,ID_063,1.54,4.57,1.76,4.41,10.91,4.08,7.36,1.87,6.3,7.57,2.89,7.63,3.87,8.44,5.88,5.89,65.29,2.95,3.33,ID_063,2.04
ID_064,ID_064,ID_064,ID_064,ID_064,ID_064,ID_064,1.75,2.91,7.55,6.84,28.86,5.14,2.58,5.33,6.28,7.03,2.18,7.02,1.26,8.8,2.24,1.87,30.66,5.9,8.14,ID_064,1.38
ID_065,ID_065,ID_065,ID_065,ID_065,ID_065,ID_065,6.51,3.68,8.79,2.09,65.88,6.2,4.03,8.54,5.56,8.42,7.28,6.41,8.33,7.67,6.37,1.79,42.45,6.44,7.97,ID_065,1.27
ID_066,ID_066,ID_066,ID_066,ID_066,ID_066,ID_066,1.38,7.19,3.76,8.44,31.99,4.38,3.48,2.51,7.31,3.88,5.57,8.57,3.72,6.33,4.43,7.52,13.72,7.48,2.2,ID_066,3.1
ID_067,ID_067,ID_067,ID_067,ID_067,ID_067,ID_067,4.15,5.49,5.56,1.49,54.23,3.4,4.1,2.13,8.22,2.27,5.68,3.07,5.48,6.19,7.56,4.71,58.15,8.21,7.42,ID_067,7.73
ID_068,ID_068,ID_068,ID_068,ID_068,ID_068,ID_068,7.78,4.58,4.43,4.95,79.26,7.85,3.96,5.3,5.33,1.56,1.43,6.7,7.94,5.08,6.29,1.68,15.7,7.23,7.47,ID_068,5.14
ID_069,ID_069,ID_069,ID_069,ID_069,ID_069,ID_069,3.05,5.42,5.98,1.58,41.53,7.92,4.51,8.58,3.06,4.88,4.11,1.85,1.23,5.18,6.84,3.07,10.91,2.78,5.04,ID_069,2.24
ID_070,ID_070,ID_070,ID_070,ID_070,ID_070,ID_070,5.41,6.92,8.24,8.59,70.16,5.64,2.29,7.96,3.28,4.65,1.24,6.11,6.9,2.42,5.22,7.65,80.55,2.69,8.24,ID_070,5.93
ID_071,ID_071,ID_071,ID_071,ID_071,ID_071,ID_071,7.5,8.07,6.45,5.89,61.47,1.31,6.4,8.6,4.65,6.31,3.17,8.24,4.43,5.07,8.52,5.21,6.71,5.0,6.21,ID_071,6.55
ID_072,ID_072,ID_072,ID_072,ID_072,ID_072,ID_072,1.37,1.78,7.85,5.41,47.67,8.67,7.36,2.12,5.8,2.49,5.11,8.58,1.6,3.19,4.68,5.0,57.75,4.28,1.31,ID_072,7.87
ID_073,ID_073,ID_073,ID_073,ID_073,ID_073,ID_073,1.64,1.26,4.02,5.9,38.97,3.83,1.69,4.88,1.61,3.61,1.95,7.16,7.07,4.16,2.28,5.73,60.58,4.37,2.54,ID_073,8.16
ID_074,ID_074,ID_074,ID_074,ID_074,ID_074,ID_074,7.87,4.22,6.34,1.95,38.15,8.52,4.57,2.93,1.29,7.93,3.28,7.92,8.26,6.87,3.01,7.66,16.32,5.2,5.54,ID_074,4.76
ID_075,ID_075,ID_075,ID_075,ID_075,ID_075,ID_075,4.43,4.45,6.69,8.09,74.58,6.9,2.59,1.55,3.81,6.9,7.86,4.23,5.98,8.57,1.7,7.26,24.08,6.28,5.62,ID_075,2.19
ID_076,ID_076,ID_076,ID_076,ID_076,ID_076,ID_076,2.4,4.13,8.36,8.6,64.07,3.41,7.96,7.08,6.85,8.51,1.48,2.15,4.49,8.08,3.93,1.27,6.77,4.74,6.22,ID_076,6.32
ID_077,ID_077,ID_077,ID_077,ID_077,ID_077,ID_077,7.44,1.89,5.92,6.45,57.9,8.71,1.51,1.71,5.62,5.69,8.08,3.64,3.33,1.66,8.67,2.04,45.96,3.82,5.41,ID_077,3.68
ID_078,ID_078,ID_078,ID_078,ID_078,ID_078,ID_078,6.84,3.38,7.74,4.6,81.84,2.76,1.4,7.58,1.45,6.22,2.36,2.69,1.33,1.65,6.35,4.08,26.51,1.9,4.78,ID_078,8.43
ID_079,ID_079,ID_079,ID_079,ID_079,ID_079,ID_079,3.31,1.61,8.13,3.68,10.35,4.21,7.5,2.14,8.47,6.04,3.13,3.94,5.27,3.31,2.4,4.9,58.87,3.81,6.68,ID_079,4.8
ID_080,ID_080,ID_080,ID_080,ID_080,ID_080,ID_080,7.2,2.69,7.13,2.19,56.22,2.22,1.59,1.45,6.36,4.39,5.93,4.17,7.5,4.91,1.26,5.51,70.84,8.56,2.78,ID_080,1.48
ID_081,ID_081,ID_081,ID_081,ID_081,ID_081,ID_081,7.56,2.71,4.91,3.31,10.28,4.75,3.29,5.4,5.08,7.19,4.83,8.44,1.98,7.22,5.52,2.24,60.62,4.3,4.32,ID_081,4.69
ID_082,ID_082,ID_082,ID_082,ID_082,ID_082,ID_082,2.51,1.76,3.94,5.06,68.22,5.03,6.21,4.21,3.75,1.25,5.35,5.04,3.1,7.98,3.79,4.59,20.4,3.74,8.18,ID_082,7.78
ID_083,ID_083,ID_083,ID_083,ID_083,ID_083,ID_083,3.81,4.77,6.5,2.09,64.37,4.71,5.17,7.48,8.78,4.2,2.18,6.95,7.55,6.17,7.04,1.92,71.45,4.81,1.29,ID_083,6.95
ID_084,ID_084,ID_084,ID_084,ID_084,ID_084,ID_084,4.89,4.92,7.25,4.94,52.59,7.07,7.67,4.27,2.86,7.54,3.08,6.89,5.63,3.8,4.87,7.8,74.98,8.2,8.71,ID_084,6.11
ID_085,ID_085,ID_085,ID_085,ID_085,ID_085,ID_085,3.16,2.15,6.32,3.07,71.37,1.44,4.19,4.63,4.05,8.0,3.29,1.77,5.81,5.24,7.61,8.68,8.4,7.19,7.82,ID_085,5.6
ID_086,ID_086,ID_086,ID_086,ID_086,ID_086,ID_086,5.86,3.57,6.49,8.61,84.34,3.57,3.05,4.41,5.96,7.86,6.87,2.75,8.53,1.46,7.05,2.94,50.9,2.81,8.67,ID_086,2.72
ID_087,ID_087,ID_087,ID_087,ID_087,ID_087,ID_087,3.1,7.91,4.37,4.35,79.16,6.01,6.17,5.47,4.11,7.46,2.63,1.39,7.95,7.43,2.24,5.02,68.81,8.44,4.55,ID_087,5.27
ID_088,ID_088,ID_088,ID_088,ID_088,ID_088,ID_088,2.19,2.25,3.35,5.25,2.2,8.4,4.78,8.7,5.31,7.4,1.69,2.96,2.8,5.74,6.32,8.18,4.77,3.35,2.5,ID_088,2.04
ID_089,ID_089,ID_089,ID_089,ID_089,ID_089,ID_089,5.79,5.8,3.23,7.61,39.89,2.7,8.14,1.69,2.16,5.94,2.11,4.55,8.66,7.75,6.02,6.88,17.89,1.99,4.46,ID_089,2.94
ID_090,ID_090,ID_090,ID_090,ID_090,ID_090,ID_090,2.35,1.9,3.08,4.29,7.78,4.51,1.44,2.95,6.42,1.63,7.41,8.14,1.71,2.77,8.64,8.62,41.63,8.1,4.05,ID_090,4.19
ID_091,ID_091,ID_091,ID_091,ID_091,ID_091,ID_091,3.83,6.97,8.62,7.28,61.9,4.88,6.07,6.07,2.21,7.06,7.3,6.26,4.76,6.39,7.51,4.83,61.39,5.13,8.29,ID_091,2.73
ID_092,ID_092,ID_092,ID_092,ID_092,ID_092,ID_092,1.44,6.46,1.89,6.08,67.03,6.42,7.31,2.07,5.4,6.37,7.13,5.11,5.22,2.41,8.0,1.62,28.39,3.95,5.87,ID_092,2.5
ID_093,ID_093,ID_093,ID_093,ID_093,ID_093,ID_093,5.48,6.34,4.49,3.81,24.77,7.36,6.0,5.54,1.23,8.18,7.11,1.5,3.95,8.25,2.19,8.29,51.49,6.9,5.29,ID_093,6.07
ID_094,ID_094,ID_094,ID_094,ID_094,ID_094,ID_094,2.48,4.48,3.16,2.35,73.12,4.08,7.02,6.91,7.28,4.31,3.54,8.14,7.7,1.42,7.06,7.26,49.68,8.64,8.0,ID_094,5.12
ID_095,ID_095,ID_095,ID_095,ID_095,ID_095,ID_095,4.27,7.52,7.18,6.9,24.31,7.03,7.86,3.69,2.74,1.9,7.51,2.68,5.37,2.21,1.92,4.27,53.0,2.56,4.83,ID_095,5.34
ID_096,ID_096,ID_096,ID_096,ID_096,ID_096,ID_096,6.02,1.77,6.87,3.57,11.17,5.2,4.99,2.07,5.34,7.26,5.39,7.93,7.17,1.23,5.48,7.2,62.37,4.91,3.01,ID_096,8.54
ID_097,ID_097,ID_097,ID_097,ID_097,ID_097,ID_097,7.5,3.74,1.25,1.95,80.52,4.09,4.14,3.07,1.6,1.62,4.13,3.63,8.53,2.25,4.44,4.57,45.93,2.29,8.59,ID_097,4.18
ID_098,ID_098,ID_098,ID_098,ID_098,ID_098,ID_098,5.75,7.32,3.11,8.26,51.52,6.17,7.03,7.54,4.3,8.63,7.11,2.59,5.96,1.59,4.84,3.98,32.25,8.38,6.53,ID_098,6.66
ID_099,ID_099,ID_099,ID_099,ID_099,ID_099,ID_099,3.1,5.3,1.84,5.71,35.66,2.75,7.89,4.15,6.96,4.05,2.89,3.08,5.1,5.43,3.5,8.47,20.56,3.83,5.43,ID_099,1.9
ID_000,ID_000,ID_000,ID_000,ID_000,ID_000,ID_000,6.67,8.67,8.37,1.4,43.9,7.14,7.95,5.88,7.46,8.47,1.29,7.09,2.19,7.67,8.63,3.02,50.15,1.23,5.9,ID_000,3.23
ID_001,ID_001,ID_001,ID_001,ID_001,ID_001,ID_001,3.64,7.9,7.27,3.75,39.48,5.39,8.37,3.54,3.28,5.04,6.83,5.09,5.3,2.55,4.31,6.45,72.28,6.23,2.07,ID_001,5.8
ID_002,ID_002,ID_002,ID_002,ID_002,ID_002,ID_002,5.51,6.77,2.83,2.35,46.78,4.99,5.23,2.69,1.48,7.31,4.45,3.14,7.78,8.28,2.98,6.3,16.61,3.21,7.49,ID_002,3.49
ID_003,ID_003,ID_003,ID_003,ID_003,ID_003,ID_003,5.27,5.88,1.45,4.97,26.17,2.15,3.34,4.87,2.86,3.04,3.69,6.95,5.77,3.19,3.03,3.44,59.59,3.06,6.76,ID_003,4.48
ID_004,ID_004,ID_004,ID_004,ID_004,ID_004,ID_004,3.8,6.6,3.57,4.59,24.34,7.95,4.09,4.58,7.62,1.52,6.17,5.96,4.82,3.5,3.45,3.66,34.04,4.65,3.05,ID_004,3.86
ID_005,ID_005,ID_005,ID_005,ID_005,ID_005,ID_005,2.51,1.83,8.59,5.8,77.04,7.72,2.68,2.85,8.29,8.15,4.7,3.06,1.27,8.27,6.23,6.26,56.42,1.22,8.33,ID_005,7.45
ID_006,ID_006,ID_006,ID_006,ID_006,ID_006,ID_006,3.89,3.05,8.76,3.61,19.57,6.56,5.77,8.11,3.29,1.38,8.12,6.47,4.58,4.49,2.48,6.92,37.92,7.94,6.46,ID_006,5.83
ID_007,ID_007,ID_007,ID_007,ID_007,ID_007,ID_007,5.58,4.85,4.67,2.4,56.06,3.56,6.0,5.4,4.71,6.29,5.63,5.25,1.43,2.38,2.75,1.59,65.49,3.46,8.0,ID_007,4.36
ID_008,ID_008,ID_008,ID_008,ID_008,ID_008,ID_008,5.25,6.64,8.56,3.84,23.16,3.01,3.51,3.35,1.96,1.58,5.82,5.3,4.72,2.81,5.63,3.91,52.31,6.63,8.04,ID_008,2.77
ID_009,ID_009,ID_009,ID_009,ID_009,ID_009,ID_009,8.08,7.06,8.19,4.61,37.77,8.28,6.28,4.27,6.01,6.64,2.19,3.75,1.59,2.54,6.76,4.21,40.11,2.74,2.5,ID_009,4.2
ID_010,ID_010,ID_010,ID_010,ID_010,ID_010,ID_010,1.3,5.78,5.0,3.81,73.52,8.37,7.71,8.47,7.99,4.6,1.8,2.4,2.11,6.0,1.78,5.85,9.79,2.9,6.12,ID_010,7.91
