col_location,col_city,col_country,col_parameter,col_value,col_unit,col_date_utc,col_latitude,col_longitude
8.04,Marseille,7.83,6.32,3.48,4.22,2024-10-24 00:00:00,44.888153,-1.577931
8.17,Nantes,5.81,3.94,2.42,5.55,2024-10-29 00:00:00,51.558495,4.488895
5.78,Strasbourg,4.73,3.28,8.36,3.83,2024-05-24 00:00:00,44.999215,-0.169507
6.07,Lille,6.46,5.12,2.58,5.63,2024-04-21 00:00:00,51.238229,-0.262709
6.87,Nice,2.07,6.28,8.05,2.41,2024-01-20 00:00:00,49.363613,2.932429
1.82,Marseille,8.06,8.46,4.55,5.62,2024-12-14 00:00:00,45.753953,4.070642
4.29,Lille,5.06,4.79,1.27,7.69,2024-07-25 00:00:00,47.254337,2.299255
3.74,Lille,8.26,2.94,6.45,4.83,2024-04-01 00:00:00,52.542417,4.314893
2.95,Strasbourg,5.98,1.85,4.21,1.71,2024-08-18 00:00:00,49.568107,3.252913
2.69,Toulouse,3.43,3.12,8.55,4.35,2024-03-13 00:00:00,46.694487,4.055817
1.65,Nice,4.1,4.48,7.35,7.4,2024-03-26 00:00:00,51.416386,-0.434168
8.4,Montpellier,4.84,8.49,4.79,4.13,2024-09-02 00:00:00,45.309314,1.075695
3.75,Nantes,3.38,2.86,3.64,6.36,2024-03-18 00:00:00,51.12902,6.071273
8.44,Toulouse,8.5,2.0,1.46,3.77,2024-08-23 00:00:00,49.417586,0.805977
7.6,Toulouse,1.46,2.96,4.31,2.8,2024-08-05 00:00:00,46.461646,5.594422
3.39,Paris,4.13,8.08,4.76,4.24,2024-04-24 00:00:00,50.689393,2.838301
2.74,Bordeaux,6.69,3.29,5.93,4.07,2024-07-22 00:00:00,50.511338,-0.79956
4.38,Nice,3.43,1.82,4.96,5.07,2024-12-02 00:00:00,47.300171,0.666616
3.81,Nice,2.62,4.44,3.2,1.85,2024-02-01 00:00:00,50.571414,5.452449
4.35,Lyon,1.53,2.43,6.67,2.31,2024-03-29 00:00:00,47.675344,1.199913
3.58,Lille,4.92,2.7,1.61,7.25,2024-06-14 00:00:00,50.621676,2.957155
5.76,Nice,8.68,6.31,7.52,2.29,2024-11-15 00:00:00,52.570958,1.049417
6.34,Nice,5.17,6.75,1.37,5.6,2024-04-15 00:00:00,47.635178,-0.362925
2.83,Nantes,6.07,5.32,3.19,1.23,2024-05-22 00:00:00,45.394924,2.33556
3.53,Lille,6.46,7.38,8.35,5.96,2024-02-25 00:00:00,51.703593,4.003617
2.47,Lyon,6.5,5.59,6.09,6.6,2024-08-08 00:00:00,51.31641,-0.593913
8.29,Lille,5.54,3.46,4.43,2.43,2024-04-05 00:00:00,47.665141,5.07653
7.95,Strasbourg,1.59,6.26,7.12,2.31,2024-01-21 00:00:00,49.323767,-1.054368
2.09,Toulouse,8.34,5.39,7.75,1.77,2024-01-06 00:00:00,52.439359,-1.564755
3.55,Marseille,2.21,7.5,6.2,2.34,2024-10-02 00:00:00,45.418556,2.128482
6.11,Montpellier,2.74,5.35,8.44,4.2,2024-03-23 00:00:00,49.597087,2.563912
2.68,Marseille,4.03,2.69,2.22,4.25,2024-12-09 00:00:00,46.18751,-0.144545
3.13,Montpellier,5.03,7.11,8.36,2.77,2024-01-13 00:00:00,52.245524,4.509736
5.0,Nantes,2.15,4.66,4.19,4.82,2024-12-19 00:00:00,44.89369,0.210134
3.84,Lille,1.37,3.84,8.72,3.23,2024-07-18 00:00:00,46.717694,-0.405794
7.79,Nice,6.15,3.9,1.33,3.41,2024-07-19 00:00:00,47.294567,0.78867
3.35,Lille,5.26,1.85,2.19,5.23,2024-01-25 00:00:00,49.398975,4.10542
7.17,Montpellier,7.41,7.53,8.05,5.15,2024-07-16 00:00:00,51.438222,3.104995
5.02,Nice,3.52,3.74,2.22,3.89,2024-08-30 00:00:00,49.775459,0.779767
7.85,Lyon,4.38,6.72,2.28,5.39,2024-10-30 00:00:00,49.999305,0.420879
2.38,Strasbourg,6.19,3.13,3.63,7.94,2024-02-23 00:00:00,49.453002,-0.066185
7.01,Montpellier,7.12,2.08,1.27,3.66,2024-11-01 00:00:00,50.579286,-0.042622
2.01,Toulouse,4.53,1.56,5.97,7.84,2024-11-27 00:00:00,45.861972,0.390303
8.61,Bordeaux,1.52,3.88,7.24,6.13,2024-02-13 00:00:00,48.089154,4.460274
6.5,Toulouse,6.39,8.03,3.0,6.04,2024-02-24 00:00:00,51.911905,1.530582
5.76,Marseille,6.85,2.75,5.22,1.71,2024-12-12 00:00:00,45.577011,4.370104
4.71,Lyon,4.83,1.34,6.49,2.48,2024-07-29 00:00:00,46.73712,2.39661
4.78,Lyon,8.63,6.75,4.2,4.93,2024-04-02 00:00:00,48.977268,2.838779
5.55,Bordeaux,7.11,5.83,4.24,1.66,2024-09-14 00:00:00,50.274734,0.629379
3.0,Nice,1.86,6.2,3.9,6.93,2024-07-07 00:00:00,48.048567,2.926959
7.62,Nantes,5.8,8.07,5.89,2.95,2024-01-15 00:00:00,46.983164,3.261231
3.32,Strasbourg,1.37,2.76,5.97,7.48,2024-12-16 00:00:00,49.064821,2.739085
1.23,Toulouse,7.23,8.59,3.93,1.97,2024-07-21 00:00:00,51.390106,4.900081
6.54,Nantes,3.39,8.3,4.46,8.76,2024-09-13 00:00:00,47.345713,4.446557
2.8,Toulouse,7.01,5.07,3.98,2.91,2024-12-18 00:00:00,52.040499,4.329668
6.49,Lille,5.06,6.47,1.82,3.59,2024-04-18 00:00:00,52.809265,1.997535
4.51,Lyon,1.56,4.69,4.35,3.92,2024-12-13 00:00:00,45.401757,2.453017
3.1,Bordeaux,2.1,6.64,5.2,5.6,2024-08-01 00:00:00,48.472299,1.739078
6.86,Toulouse,5.82,8.68,6.92,2.67,2024-01-29 00:00:00,51.781152,3.345179
2.45,Lyon,7.37,7.78,1.37,8.18,2024-07-17 00:00:00,49.809065,5.089558
1.24,Bordeaux,3.91,3.88,8.67,2.28,2024-03-21 00:00:00,50.493016,3.906785
1.73,Montpellier,2.68,6.84,3.05,7.13,2024-07-29 00:00:00,47.865785,0.722777
6.42,Nice,8.42,4.94,1.9,2.06,2024-09-06 00:00:00,51.460593,3.883539
1.99,Marseille,7.19,3.81,2.27,6.02,2024-04-10 00:00:00,51.954851,-0.929113
8.42,Bordeaux,8.37,4.21,2.71,8.57,2024-09-01 00:00:00,48.677724,1.003897
8.31,Lyon,7.18,2.36,6.19,1.67,2024-04-18 00:00:00,45.502006,-0.266679
3.57,Toulouse,6.04,5.52,7.93,1.46,2024-09-22 00:00:00,45.067032,0.560509
7.16,Lille,4.68,7.41,7.66,6.48,2024-05-26 00:00:00,50.69527,2.422918
7.56,Paris,8.73,7.41,6.13,3.05,2024-12-04 00:00:00,49.402219,3.772391
3.2,Bordeaux,5.07,6.78,8.48,4.05,2024-03-23 00:00:00,51.010242,1.602017
6.62,Toulouse,8.22,7.54,8.22,2.4,2024-03-02 00:00:00,49.872695,3.352774
1.64,Toulouse,8.35,4.76,2.51,2.24,2024-03-11 00:00:00,51.05892,4.342983
5.22,Nantes,3.13,3.74,8.39,2.89,2024-02-23 00:00:00,50.228254,5.202167
1.48,Lyon,5.83,3.07,5.14,4.78,2024-10-23 00:00:00,47.359002,-0.856653
5.82,Bordeaux,4.52,3.63,5.47,2.9,2024-08-04 00:00:00,50.829508,2.740268
1.49,Nice,7.43,8.27,1.98,7.31,2024-03-16 00:00:00,49.226796,-0.334574
1.81,Paris,8.31,3.81,6.08,6.42,2024-07-28 00:00:00,47.80809,-0.59055
5.58,Toulouse,2.89,6.95,4.31,4.14,2024-10-07 00:00:00,49.6318,-0.497446
1.46,Paris,3.99,5.38,8.42,7.0,2024-02-02 00:00:00,47.141053,2.042691
6.69,Lille,5.18,4.16,8.47,5.0,2024-01-14 00:00:00,50.332681,3.755532
3.61,Paris,4.37,4.42,2.65,6.8,2024-05-03 00:00:00,46.522809,-0.928781
3.18,Marseille,5.55,3.17,8.33,3.53,2024-03-12 00:00:00,44.941035,4.825453
3.41,Nice,8.79,2.84,8.51,8.35,2024-05-02 00:00:00,50.509176,4.100126
7.73,Nice,3.54,2.21,4.27,8.37,2024-05-31 00:00:00,51.194021,3.358364
8.73,Marseille,6.25,6.88,6.73,7.67,2024-08-17 00:00:00,47.710349,-0.791089
5.86,Toulouse,5.94,3.87,1.7,6.58,2024-11-23 00:00:00,47.333898,5.044122
3.37,Nantes,6.07,5.8,7.67,5.88,2024-06-02 00:00:00,52.663943,2.166106
3.72,Marseille,6.3,6.21,3.53,1.3,2024-06-07 00:00:00,51.904783,1.211728
8.77,Lille,2.72,1.92,4.51,8.65,2024-09-10 00:00:00,50.013213,5.362419
5.74,Nice,6.34,5.22,5.29,5.29,2024-11-25 00:00:00,49.959368,0.383494
5.14,Marseille,7.11,8.46,8.72,6.83,2024-07-23 00:00:00,52.499987,0.351267
1.5,Nice,2.33,4.1,3.19,4.89,2024-01-13 00:00:00,50.843273,-0.528907
3.45,Strasbourg,5.76,7.95,8.68,3.3,2024-08-13 00:00:00,45.385823,2.128681
1.57,Paris,5.17,2.48,7.79,4.08,2024-02-29 00:00:00,45.376355,3.590573
6.6,Bordeaux,3.16,4.55,3.82,4.18,2024-08-23 00:00:00,47.052466,2.075443
3.24,Marseille,2.01,8.16,6.56,8.5,2024-09-23 00:00:00,49.565605,-1.236646
1.69,Lyon,3.81,1.67,2.29,8.29,2024-11-30 00:00:00,46.237692,2.458135
1.85,Bordeaux,5.92,2.97,2.24,8.31,2024-08-30 00:00:00,51.135987,0.353189
7.19,Lille,1.34,6.21,3.29,2.39,2024-02-04 00:00:00,52.82789,2.195152
1.68,Toulouse,3.69,2.38,5.51,3.15,2024-09-02 00:00:00,51.956504,5.766462
2.32,Paris,1.64,2.16,3.99,5.54,2024-03-19 00:00:00,48.800027,0.16754
4.88,Paris,6.36,1.3,1.51,8.76,2024-08-09 00:00:00,50.840316,3.616615
7.38,Marseille,2.64,4.65,8.65,3.93,2024-02-13 00:00:00,45.50739,-0.307239
5.9,Strasbourg,4.47,8.13,8.55,5.85,2024-06-09 00:00:00,46.854615,-0.848451
1.75,Lille,2.43,1.56,3.49,2.96,2024-02-04 00:00:00,51.016499,1.125348
7.34,Paris,8.75,1.93,7.8,6.72,2024-04-09 00:00:00,50.180143,2.361477
2.29,Toulouse,5.82,1.4,2.06,2.75,2024-10-13 00:00:00,49.678811,1.033499
5.32,Nice,7.47,7.32,2.43,8.48,2024-04-01 00:00:00,48.653552,-1.42724
4.03,Toulouse,2.62,2.19,8.46,3.85,2024-07-03 00:00:00,51.17432,-1.566099
4.11,Marseille,1.46,4.4,7.23,1.23,2024-05-08 00:00:00,45.977865,1.91573
5.11,Nice,5.69,4.79,6.42,4.49,2024-03-23 00:00:00,45.871903,0.124858
8.04,Bordeaux,4.82,1.65,6.52,4.02,2024-05-14 00:00:00,45.785458,-0.683301
7.14,Nice,7.38,6.43,4.19,4.81,2024-10-28 00:00:00,46.138032,2.864473
6.24,Montpellier,8.09,5.13,1.81,4.18,2024-02-29 00:00:00,46.743124,0.762995
8.67,Bordeaux,3.57,2.53,7.11,6.75,2024-07-01 00:00:00,48.344213,3.405805
8.72,Montpellier,2.54,3.39,6.52,5.08,2024-02-21 00:00:00,49.06213,-0.18019
5.08,Nice,4.07,5.09,4.26,6.68,2024-09-28 00:00:00,46.675569,5.599438
8.61,Lyon,8.59,6.32,4.56,8.74,2024-04-28 00:00:00,51.213498,3.202703
8.27,Bordeaux,6.59,7.53,4.64,7.68,2024-05-30 00:00:00,48.278327,0.810643
6.04,Nantes,7.58,2.18,1.79,6.33,2024-12-13 00:00:00,51.373303,2.658631
6.23,Paris,3.9,8.43,4.49,8.09,2024-02-11 00:00:00,49.147095,-0.636403
2.53,Bordeaux,1.94,8.02,7.55,5.55,2024-10-24 00:00:00,50.391852,4.356669
1.32,Strasbourg,2.88,7.52,1.54,3.28,2024-10-29 00:00:00,48.494388,5.761339
2.13,Bordeaux,1.32,6.12,6.62,1.23,2024-08-12 00:00:00,51.708546,0.020389
5.01,Nice,7.19,1.63,5.02,8.01,2024-07-25 00:00:00,47.784829,4.154011
5.5,Toulouse,5.94,4.86,1.67,4.74,2024-09-24 00:00:00,45.338192,5.728812
4.75,Strasbourg,2.23,2.17,8.53,1.86,2024-07-25 00:00:00,51.07314,2.537553
8.3,Bordeaux,6.31,5.06,4.5,5.78,2024-04-20 00:00:00,47.074309,5.197342
2.11,Bordeaux,1.31,6.96,4.46,5.95,2024-12-13 00:00:00,46.045166,4.686144
3.97,Lille,3.4,8.1,4.87,7.83,2024-01-20 00:00:00,46.304477,0.131932
4.02,Paris,6.92,2.37,6.77,5.63,2024-01-29 00:00:00,47.564819,3.347224
8.5,Marseille,1.36,1.4,6.98,2.38,2024-09-22 00:00:00,50.773299,1.87347
5.82,Marseille,8.62,5.48,3.48,5.51,2024-10-11 00:00:00,46.430535,4.798056
6.89,Strasbourg,8.5,2.13,2.15,2.48,2024-12-08 00:00:00,51.865309,-0.306081
5.12,Strasbourg,4.11,6.74,3.06,8.66,2024-03-10 00:00:00,46.378736,0.367603
7.3,Nantes,5.77,1.97,5.24,5.67,2024-11-18 00:00:00,46.442402,6.10781
8.27,Toulouse,7.13,6.01,8.1,7.11,2024-01-14 00:00:00,46.834222,4.803799
1.26,Bordeaux,6.38,7.37,2.66,1.72,2024-11-10 00:00:00,51.531508,0.924197
6.78,Montpellier,3.78,4.44,6.21,3.18,2024-01-20 00:00:00,45.59213,2.193899
3.93,Toulouse,7.65,4.74,4.67,6.75,2024-07-04 00:00:00,50.287552,-1.448764
2.54,Nantes,2.24,4.53,2.84,5.6,2024-02-10 00:00:00,52.114967,-0.12628
6.64,Bordeaux,8.02,1.88,3.74,4.52,2024-03-29 00:00:00,49.274642,3.287612
5.96,Marseille,2.15,2.92,6.38,5.91,2024-01-30 00:00:00,50.753063,1.122805
5.41,Montpellier,1.92,4.55,7.38,5.51,2024-02-15 00:00:00,50.68113,3.861041
7.01,Lyon,1.23,4.04,3.07,5.53,2024-10-13 00:00:00,49.376417,-0.575505
8.49,Lyon,1.88,7.79,3.92,3.51,2024-05-21 00:00:00,48.334422,5.735492
2.8,Lille,6.0,6.76,5.74,8.1,2024-09-25 00:00:00,51.53811,-1.32026
2.97,Nice,1.33,4.96,8.71,1.4,2024-09-22 00:00:00,47.723394,-0.042932
3.42,Montpellier,2.94,6.09,8.06,3.36,2024-03-16 00:00:00,50.975945,0.747152
5.1,Montpellier,8.7,5.75,3.29,2.12,2024-01-06 00:00:00,48.688032,3.342379
2.27,Nantes,8.29,5.43,3.83,7.64,2024-08-02 00:00:00,47.521244,-1.216512
3.5,Bordeaux,2.4,6.21,4.96,8.32,2024-07-13 00:00:00,45.715037,3.370091
2.79,Nantes,6.6,5.22,3.34,1.52,2024-07-02 00:00:00,52.286103,5.772372
8.09,Montpellier,2.24,8.23,8.15,1.75,2024-03-31 00:00:00,51.464516,6.039046
2.64,Nantes,6.53,6.58,2.95,5.71,2024-01-01 00:00:00,46.571909,-0.155288
6.13,Nice,1.24,4.29,4.47,3.1,2024-11-04 00:00:00,52.56219,-0.743922
7.97,Marseille,4.68,4.1,5.99,5.77,2024-06-29 00:00:00,50.839594,5.615447
5.41,Marseille,2.04,8.15,3.8,2.41,2024-11-12 00:00:00,51.464445,4.992622
5.42,Toulouse,1.61,3.85,7.39,4.22,2024-06-30 00:00:00,49.004445,-0.732278
5.82,Nice,7.39,3.92,7.38,7.94,2024-01-29 00:00:00,45.967359,3.920784
7.17,Paris,2.63,7.86,3.97,3.7,2024-04-02 00:00:00,51.948013,5.393278
7.09,Lyon,7.36,7.18,4.8,6.38,2024-04-19 00:00:00,51.131128,-1.405949
2.12,Strasbourg,8.02,3.44,7.65,6.33,2024-03-16 00:00:00,46.355362,6.332898
6.26,Nice,6.77,1.43,8.06,5.01,2024-05-10 00:00:00,44.899158,0.190831
8.72,Nice,3.24,8.32,4.44,5.73,2024-09-25 00:00:00,47.586995,0.411252
4.97,Montpellier,2.18,2.6,7.85,6.9,2024-01-20 00:00:00,49.120865,3.921164
5.35,Paris,3.14,6.1,6.26,7.64,2024-12-05 00:00:00,45.072486,-1.248094
5.97,Toulouse,7.69,3.41,7.05,3.89,2024-03-11 00:00:00,50.68601,-0.519067
5.36,Nice,4.63,2.6,7.65,8.3,2024-02-26 00:00:00,52.169122,2.624806
6.28,Lille,1.38,2.73,3.49,8.38,2024-04-22 00:00:00,47.691817,0.16948
5.48,Strasbourg,2.25,7.41,8.58,4.12,2024-12-26 00:00:00,47.566617,1.978843
5.19,Strasbourg,8.31,3.13,6.73,1.43,2024-05-25 00:00:00,52.839356,-0.71804
1.42,Lyon,7.59,4.68,5.66,4.74,2024-03-16 00:00:00,48.497784,5.647707
7.8,Nantes,5.84,3.0,3.69,6.38,2024-04-05 00:00:00,51.656873,0.148288
1.96,Lille,5.13,6.38,4.74,7.79,2024-10-09 00:00:00,51.821547,-0.863618
7.29,Toulouse,5.72,4.79,5.3,4.29,2024-11-17 00:00:00,51.479576,2.646246
2.85,Lille,2.03,3.64,6.33,6.68,2024-08-09 00:00:00,47.968799,4.936204
2.6,Strasbourg,7.32,1.26,2.58,1.96,2024-11-28 00:00:00,47.965788,4.198146
1.26,Nantes,6.96,3.87,7.93,6.42,2024-09-05 00:00:00,46.136227,-0.465425
2.88,Nantes,3.76,4.64,4.82,1.33,2024-09-20 00:00:00,49.14461,1.758868
6.3,Nantes,8.15,8.48,6.32,7.31,2024-02-24 00:00:00,52.54189,1.684779
8.64,Lyon,1.73,4.84,8.02,5.83,2024-09-04 00:00:00,50.133436,1.485692
1.54,Montpellier,2.67,1.85,2.01,3.92,2024-11-17 00:00:00,46.635382,-0.557768
3.13,Strasbourg,4.06,6.39,7.38,4.1,2024-05-20 00:00:00,50.095567,-0.266593
7.65,Lille,2.15,5.23,2.06,2.92,2024-01-23 00:00:00,49.555862,-0.833752
3.82,Strasbourg,2.56,4.64,8.73,5.55,2024-06-10 00:00:00,47.057616,6.214215
1.91,Nantes,7.32,8.59,4.6,6.22,2024-05-21 00:00:00,50.041055,0.611984
3.27,Paris,2.48,2.26,4.28,3.34,2024-08-20 00:00:00,52.694687,1.200646
8.26,Nantes,2.84,7.41,2.77,4.47,2024-12-20 00:00:00,49.908197,2.117184
2.75,Toulouse,8.69,5.09,2.44,3.57,2024-12-12 00:00:00,49.343091,1.479381
1.81,Strasbourg,7.45,6.95,5.1,8.74,2024-01-21 00:00:00,51.556833,5.907706
2.05,Bordeaux,4.45,4.16,4.68,8.04,2024-11-12 00:00:00,45.803337,1.124361
4.94,Marseille,7.65,6.14,8.05,7.11,2024-06-25 00:00:00,47.411235,-0.93412
8.29,Nice,7.56,7.62,4.52,4.79,2024-06-16 00:00:00,47.764502,5.973962
1.58,Nice,7.02,8.34,2.48,8.0,2024-10-19 00:00:00,51.933612,-0.505366
7.82,Lyon,8.51,2.93,8.29,2.76,2024-01-04 00:00:00,48.44083,0.758578
5.17,Bordeaux,5.72,8.21,2.8,1.62,2024-07-14 00:00:00,48.002865,4.979362
4.42,Montpellier,5.1,5.34,2.24,4.49,2024-06-04 00:00:00,45.499362,-0.668805
3.77,Nantes,4.09,2.27,3.8,6.43,2024-04-13 00:00:00,45.167282,5.840371
8.33,Lyon,4.54,2.19,4.04,6.61,2024-07-14 00:00:00,46.163795,2.757393
6.58,Marseille,5.92,5.15,7.52,1.89,2024-11-09 00:00:00,50.755841,0.968989
1.7,Bordeaux,5.86,5.39,6.68,3.84,2024-08-21 00:00:00,52.143302,4.842837
4.01,Montpellier,2.03,1.79,5.38,5.98,2024-11-21 00:00:00,50.824786,1.399621
4.62,Lyon,6.74,3.86,4.95,6.86,2024-04-09 00:00:00,46.806476,5.598545
3.48,Lyon,1.3,8.53,4.63,2.51,2024-06-22 00:00:00,48.234493,5.138753
1.64,Toulouse,3.98,5.06,2.32,8.12,2024-12-21 00:00:00,51.632324,2.170656
3.47,Toulouse,5.64,2.09,4.63,6.91,2024-11-07 00:00:00,48.723743,0.526514
4.53,Montpellier,5.87,8.2,5.54,7.86,2024-05-06 00:00:00,49.198872,2.404785
7.18,Nice,2.74,7.05,3.4,1.6,2024-04-03 00:00:00,47.575302,4.239249
7.98,Lille,5.51,8.09,4.66,7.35,2024-02-28 00:00:00,49.680844,-0.931469
2.18,Nice,5.97,5.75,4.34,4.75,2024-02-09 00:00:00,49.565654,4.908022
3.9,Montpellier,6.26,6.38,2.28,7.9,2024-01-14 00:00:00,51.366022,5.110375
5.35,Toulouse,6.58,3.83,5.06,3.43,2024-07-03 00:00:00,49.657617,4.624778
7.84,Strasbourg,7.55,3.46,2.2,7.7,2024-09-17 00:00:00,51.403176,2.072746
3.14,Lille,3.88,1.22,8.26,2.17,2024-07-20 00:00:00,51.404024,0.920333
8.17,Nantes,3.1,6.08,2.64,3.08,2024-11-09 00:00:00,49.584456,4.831474
7.93,Montpellier,7.42,6.26,6.81,2.08,2024-09-11 00:00:00,46.665793,-0.162608
5.38,Strasbourg,3.35,5.01,3.47,3.9,2024-04-05 00:00:00,51.325446,0.053818
7.53,Lille,6.67,4.42,5.58,4.08,2024-07-02 00:00:00,48.706974,4.554034
3.76,Nice,7.92,1.25,2.14,4.09,2024-11-04 00:00:00,46.445463,-0.515238
5.93,Nantes,1.67,1.35,1.74,7.29,2024-06-02 00:00:00,49.962618,-0.066554
3.83,Nice,1.68,6.01,1.49,5.26,2024-09-16 00:00:00,52.691854,0.792196
4.38,Strasbourg,3.15,8.21,5.61,8.69,2024-10-05 00:00:00,48.926807,-1.450267
3.25,Bordeaux,6.71,4.47,1.76,7.96,2024-06-23 00:00:00,49.957347,-1.44477
8.68,Paris,7.07,2.3,5.39,7.66,2024-06-23 00:00:00,48.377276,6.02178
6.87,Montpellier,8.64,7.95,2.52,2.8,2024-05-02 00:00:00,51.784971,1.763608
5.43,Nice,2.01,5.59,5.12,5.83,2024-10-20 00:00:00,47.658168,6.33514
6.43,Lyon,5.16,2.65,4.71,1.95,2024-09-19 00:00:00,47.384073,-0.677574
5.37,Nice,2.98,5.92,8.03,6.56,2024-02-06 00:00:00,47.314805,-1.059067
8.14,Nantes,7.94,1.53,4.28,6.65,2024-05-03 00:00:00,46.587313,-1.531238
5.73,Bordeaux,1.28,2.73,3.98,4.52,2024-07-09 00:00:00,47.757932,-1.425263
