col_table_source,col_aq_id,col_date,col_zone_id,col_pm25_ugm3,col_no2_ugm3,col_aqi_index,col_source,col_annee,col_secteur,col_emissions_mt_co2eq,col_evolution_annuelle_pourcent,col_part_nationale_pourcent,col_date_collecte,col_emissions_co2_transport_mt,col_indice_qualite_air,col_consommation_energie_transport_twh,col_part_transport_emissions_pourcent,col_reduction_emissions_vs_2019_pourcent,col_amelioration_qualite_air_pourcent,col_objectif_atteint,col_energy_id,col_mois,col_line_id,col_mode,col_energie_kwh,col_ville,col_condition_meteo,col_temperature_celsius,col_humidite_pourcent,col_pression_hpa,col_vitesse_vent_kmh,col_visibilite_km
SNCF_Open_Data,ID_010,2024-12-03 00:00:00,ID_010,2.22,2.22,44.03,SNCF_Open_Data,7.74,4.11,2.49,5.51,4.76,2024-03-20 00:00:00,4.37,6.97,7.9,5.76,7.68,4.22,4.64,ID_010,7.65,ID_010,Tramway,2.66,Nantes,8.26,8.4,ID_010,1015.1,80,5.03
Météo-France,ID_011,2024-12-16 00:00:00,ID_011,6.96,2.97,15.25,Airparif,7.19,8.8,2.32,8.31,1.42,2024-01-02 00:00:00,2.49,6.44,6.02,1.62,3.36,3.78,3.51,ID_011,1.98,ID_011,RER,7.43,Lyon,7.48,15.9,ID_011,1019.2,70,8.61
RATP_Open_Data_2024,ID_012,2024-02-23 00:00:00,ID_012,3.34,8.38,73.68,Data.gouv.fr,8.18,4.06,4.59,8.55,1.32,2024-07-10 00:00:00,6.68,2.64,3.77,1.27,4.6,2.79,2.27,ID_012,5.68,ID_012,Bus RATP,8.51,Strasbourg,7.22,12.1,ID_012,1014.9,50,1.24
Météo-France,ID_013,2024-05-25 00:00:00,ID_013,2.47,2.21,37.38,RATP_Open_Data_2024,5.53,1.33,3.73,3.7,4.3,2024-03-30 00:00:00,2.53,6.05,3.37,4.47,6.02,4.42,2.63,ID_013,2.29,ID_013,RER,2.31,Lille,2.58,11.7,ID_013,1014.5,80,6.08
Météo-France,ID_014,2024-08-04 00:00:00,ID_014,3.37,2.65,50.96,RATP_Open_Data_2024,7.09,6.04,2.25,5.74,6.11,2024-10-30 00:00:00,3.32,7.81,3.82,1.38,7.4,8.74,1.88,ID_014,1.46,ID_014,Transilien,7.71,Montpellier,8.64,19.5,ID_014,997.7,50,1.81
SNCF_Open_Data,ID_015,2024-01-13 00:00:00,ID_015,5.61,5.34,21.27,RATP_Open_Data_2024,6.23,8.7,4.05,4.11,8.18,2024-06-07 00:00:00,4.51,4.88,8.76,6.7,4.9,2.37,2.83,ID_015,7.5,ID_015,Tramway,4.47,Nice,1.82,26.4,ID_015,998.4,45,4.81
SNCF_Open_Data,ID_016,2024-05-01 00:00:00,ID_016,6.89,8.44,56.97,RATP_Open_Data_2024,8.3,8.44,3.68,5.36,4.85,2024-04-10 00:00:00,6.8,3.96,5.25,2.29,7.33,7.42,3.35,ID_016,4.82,ID_016,TGV,3.38,Nantes,1.46,15.1,ID_016,1005.4,45,8.66
RATP_Open_Data_2024,ID_017,2024-01-15 00:00:00,ID_017,4.41,2.91,35.15,RATP_Open_Data_2024,8.65,7.34,3.33,6.51,6.22,2024-10-23 00:00:00,8.08,1.35,3.45,6.89,2.73,3.09,6.29,ID_017,5.87,ID_017,TGV,3.31,Nantes,4.21,19.8,ID_017,1009.2,130,5.52
Météo-France,ID_018,2024-07-22 00:00:00,ID_018,4.35,7.67,10.78,SNCF_Open_Data,8.54,7.39,5.56,4.53,5.13,2024-04-08 00:00:00,4.96,8.45,4.85,3.14,4.2,6.44,4.86,ID_018,8.57,ID_018,RER,5.89,Toulouse,3.47,12.7,ID_018,995.9,70,5.75
SNCF_Open_Data,ID_019,2024-06-10 00:00:00,ID_019,1.53,4.41,27.04,Météo-France,1.52,7.31,8.61,6.06,2.58,2024-12-06 00:00:00,3.65,4.82,7.07,5.41,5.99,1.96,5.88,ID_019,1.76,ID_019,Métro,7.15,Lyon,4.96,25.9,ID_019,1015.9,80,8.32
Data.gouv.fr,ID_020,2024-06-21 00:00:00,ID_020,6.88,3.4,82.02,RATP_Open_Data_2024,1.28,3.98,3.53,8.59,2.28,2024-05-20 00:00:00,7.87,3.87,1.21,6.95,3.31,5.0,1.85,ID_020,2.35,ID_020,TGV,2.24,Montpellier,2.8,8.2,ID_020,998.0,30,4.56
Airparif,ID_021,2024-03-09 00:00:00,ID_021,6.58,7.17,3.44,Météo-France,6.51,6.44,1.43,7.89,3.29,2024-01-16 00:00:00,7.45,5.75,6.76,5.11,2.1,8.78,3.16,ID_021,4.06,ID_021,Tramway,1.83,Lille,7.5,23.1,ID_021,1019.0,130,2.34
SNCF_Open_Data,ID_022,2024-03-13 00:00:00,ID_022,3.99,6.59,6.92,Météo-France,1.66,7.34,3.18,4.29,3.81,2024-09-16 00:00:00,5.62,6.87,8.61,3.63,1.26,6.66,1.39,ID_022,1.98,ID_022,TER,6.71,Strasbourg,1.79,20.0,ID_022,1018.9,70,4.03
Airparif,ID_023,2024-03-21 00:00:00,ID_023,8.62,4.53,50.58,Météo-France,8.01,1.71,4.91,5.62,7.95,2024-03-15 00:00:00,5.25,2.65,6.52,1.78,7.51,4.19,3.19,ID_023,8.03,ID_023,Tramway,6.74,Paris,2.81,13.5,ID_023,1005.9,70,3.56
SNCF_Open_Data,ID_024,2024-11-07 00:00:00,ID_024,8.02,8.41,29.28,RATP_Open_Data_2024,1.27,3.06,4.07,5.04,7.07,2024-04-12 00:00:00,8.21,2.37,3.1,8.31,6.7,2.32,4.4,ID_024,4.82,ID_024,TER,1.35,Nantes,8.46,15.9,ID_024,1023.7,110,7.9
Airparif,ID_025,2024-08-06 00:00:00,ID_025,7.42,8.15,12.91,Météo-France,1.88,1.52,3.24,4.2,2.41,2024-06-24 00:00:00,8.25,4.52,5.22,8.63,8.36,7.54,1.39,ID_025,2.82,ID_025,TER,4.94,Lyon,6.39,7.9,ID_025,998.2,30,6.29
RATP_Open_Data_2024,ID_026,2024-10-31 00:00:00,ID_026,1.44,2.9,17.43,RATP_Open_Data_2024,2.48,1.42,5.35,2.54,4.95,2024-09-13 00:00:00,4.39,3.12,8.44,6.66,2.18,1.81,2.06,ID_026,6.07,ID_026,Métro,2.93,Lille,4.34,21.8,ID_026,999.2,45,4.66
Météo-France,ID_027,2024-06-11 00:00:00,ID_027,3.95,7.73,25.6,Data.gouv.fr,4.89,4.04,7.38,3.8,5.88,2024-12-09 00:00:00,1.68,4.82,1.28,3.37,6.18,4.23,2.55,ID_027,1.44,ID_027,Transilien,5.23,Nantes,6.76,18.4,ID_027,1012.6,110,3.05
RATP_Open_Data_2024,ID_028,2024-11-27 00:00:00,ID_028,7.95,6.11,56.54,RATP_Open_Data_2024,3.37,7.98,5.22,5.15,1.66,2024-07-23 00:00:00,1.82,4.34,5.57,4.55,5.02,2.16,6.73,ID_028,4.6,ID_028,TGV,7.13,Toulouse,7.57,10.4,ID_028,1016.6,50,7.27
RATP_Open_Data_2024,ID_029,2024-02-10 00:00:00,ID_029,3.18,3.89,10.64,RATP_Open_Data_2024,2.46,3.73,2.9,6.06,6.09,2024-06-29 00:00:00,7.1,8.61,6.01,7.3,7.29,5.73,2.83,ID_029,6.61,ID_029,Transilien,2.52,Lyon,6.25,5.7,ID_029,1020.0,30,5.61
Météo-France,ID_030,2024-09-19 00:00:00,ID_030,7.63,6.79,81.02,RATP_Open_Data_2024,6.61,6.6,3.02,5.64,2.78,2024-05-25 00:00:00,2.02,1.94,7.66,8.56,5.82,5.25,4.46,ID_030,6.49,ID_030,RER,3.82,Marseille,1.22,13.3,ID_030,1021.6,45,2.6
Météo-France,ID_031,2024-11-11 00:00:00,ID_031,5.16,2.24,26.78,SNCF_Open_Data,5.34,8.62,2.3,6.08,5.11,2024-09-03 00:00:00,7.7,2.61,8.49,2.65,1.56,2.62,5.58,ID_031,7.14,ID_031,Métro,3.05,Strasbourg,7.31,9.3,ID_031,1013.3,30,6.46
SNCF_Open_Data,ID_032,2024-01-07 00:00:00,ID_032,1.38,2.52,71.73,Data.gouv.fr,5.07,5.62,8.38,2.49,6.03,2024-02-01 00:00:00,8.03,8.25,7.42,4.69,7.03,4.91,3.7,ID_032,2.07,ID_032,Métro,3.79,Strasbourg,5.11,11.6,ID_032,1005.2,45,2.01
Météo-France,ID_033,2024-02-27 00:00:00,ID_033,7.87,6.09,24.68,Météo-France,7.9,8.42,8.54,2.8,6.68,2024-01-13 00:00:00,2.74,4.27,3.26,3.53,5.98,6.63,2.67,ID_033,3.56,ID_033,Bus RATP,4.99,Paris,7.7,7.9,ID_033,1023.2,30,6.18
RATP_Open_Data_2024,ID_034,2024-12-02 00:00:00,ID_034,4.91,7.23,60.32,Météo-France,7.91,4.29,1.24,3.12,5.97,2024-06-05 00:00:00,1.25,5.27,8.14,4.48,2.1,6.23,7.62,ID_034,1.59,ID_034,Tramway,3.58,Lyon,3.68,23.3,ID_034,995.9,30,3.32
Météo-France,ID_035,2024-03-30 00:00:00,ID_035,5.46,2.64,65.88,Airparif,2.95,4.7,6.37,5.84,8.01,2024-09-15 00:00:00,3.74,2.02,3.0,5.23,7.07,8.49,7.11,ID_035,1.94,ID_035,RER,3.03,Paris,4.22,11.8,ID_035,996.5,80,7.58
RATP_Open_Data_2024,ID_036,2024-09-09 00:00:00,ID_036,6.33,3.72,3.69,Data.gouv.fr,4.21,3.06,2.5,1.74,1.82,2024-05-22 00:00:00,5.3,7.29,3.49,8.22,4.6,4.4,3.35,ID_036,1.39,ID_036,TGV,1.99,Paris,8.15,24.1,ID_036,1013.7,130,6.96
SNCF_Open_Data,ID_037,2024-06-16 00:00:00,ID_037,1.95,2.66,28.55,Data.gouv.fr,4.62,3.52,1.57,2.34,3.42,2024-12-16 00:00:00,8.64,1.95,3.07,6.99,6.97,2.33,2.78,ID_037,7.46,ID_037,Transilien,7.12,Nantes,2.53,23.4,ID_037,1010.9,50,5.17
Airparif,ID_038,2024-03-10 00:00:00,ID_038,1.56,1.26,28.97,Airparif,7.94,5.81,4.13,6.44,4.69,2024-12-09 00:00:00,3.49,1.46,4.07,8.41,8.16,6.02,6.85,ID_038,1.4,ID_038,Transilien,3.0,Toulouse,2.08,6.2,ID_038,1011.8,50,2.57
Météo-France,ID_039,2024-07-24 00:00:00,ID_039,2.09,7.38,25.15,Météo-France,4.04,1.96,4.79,2.39,5.9,2024-10-01 00:00:00,8.76,5.66,6.76,6.57,5.8,5.42,1.81,ID_039,8.48,ID_039,TER,4.91,Nice,1.26,7.0,ID_039,995.5,70,6.94
SNCF_Open_Data,ID_040,2024-04-11 00:00:00,ID_040,6.73,2.81,47.65,RATP_Open_Data_2024,2.31,3.36,3.52,7.07,4.5,2024-06-19 00:00:00,3.43,5.45,5.59,4.45,2.37,4.27,2.55,ID_040,3.44,ID_040,RER,3.0,Bordeaux,3.14,26.2,ID_040,995.6,30,2.25
Data.gouv.fr,ID_041,2024-04-28 00:00:00,ID_041,2.7,5.26,11.32,SNCF_Open_Data,6.88,5.29,5.72,3.27,6.4,2024-05-19 00:00:00,3.43,5.93,7.2,2.88,8.62,4.47,5.81,ID_041,4.64,ID_041,Tramway,6.04,Lille,2.18,25.2,ID_041,1021.5,70,4.54
SNCF_Open_Data,ID_042,2024-11-01 00:00:00,ID_042,6.65,3.18,29.89,Data.gouv.fr,6.29,1.88,4.41,6.04,8.45,2024-06-24 00:00:00,8.67,3.49,4.58,7.44,2.84,6.53,4.34,ID_042,5.49,ID_042,RER,4.05,Bordeaux,2.47,21.5,ID_042,1010.2,30,6.6
SNCF_Open_Data,ID_043,2024-07-11 00:00:00,ID_043,6.48,3.13,56.31,SNCF_Open_Data,7.08,6.35,1.43,7.55,3.86,2024-12-17 00:00:00,7.38,1.57,2.45,4.33,7.75,4.26,1.62,ID_043,6.73,ID_043,Métro,2.93,Marseille,3.6,7.4,ID_043,1016.6,50,1.59
Airparif,ID_044,2024-05-10 00:00:00,ID_044,2.52,1.46,56.38,SNCF_Open_Data,5.14,6.8,5.52,6.29,4.69,2024-07-29 00:00:00,5.17,4.92,4.95,2.07,5.69,3.93,8.57,ID_044,5.15,ID_044,Métro,1.94,Paris,5.85,12.0,ID_044,1005.0,110,3.57
Data.gouv.fr,ID_045,2024-07-29 00:00:00,ID_045,6.66,1.51,33.68,RATP_Open_Data_2024,3.31,7.18,5.75,6.07,5.15,2024-11-01 00:00:00,1.52,6.56,8.03,6.49,7.3,1.39,7.48,ID_045,7.44,ID_045,Tramway,8.52,Lille,3.67,12.8,ID_045,1017.5,45,2.62
Data.gouv.fr,ID_046,2024-06-22 00:00:00,ID_046,4.96,7.51,62.04,SNCF_Open_Data,4.1,8.08,5.33,1.93,6.84,2024-09-25 00:00:00,3.79,1.5,5.04,5.24,4.29,8.39,3.42,ID_046,7.25,ID_046,Tramway,2.26,Bordeaux,8.64,14.4,ID_046,1000.1,50,4.31
SNCF_Open_Data,ID_047,2024-03-22 00:00:00,ID_047,4.06,6.03,79.49,Airparif,8.1,5.03,5.52,1.34,7.56,2024-12-12 00:00:00,5.71,3.64,5.24,5.43,5.85,6.73,8.46,ID_047,1.38,ID_047,Tramway,4.28,Lille,3.36,6.3,ID_047,1016.9,50,1.25
Data.gouv.fr,ID_048,2024-01-07 00:00:00,ID_048,2.88,1.52,41.81,SNCF_Open_Data,7.31,3.9,8.25,2.23,4.61,2024-07-15 00:00:00,6.11,2.08,6.92,8.05,2.5,2.6,4.08,ID_048,4.09,ID_048,Tramway,2.76,Lyon,5.8,21.9,ID_048,996.8,70,6.74
Airparif,ID_049,2024-05-20 00:00:00,ID_049,4.5,4.14,46.41,Météo-France,4.83,6.61,7.79,5.94,2.8,2024-09-07 00:00:00,7.98,5.65,8.31,5.77,2.85,2.36,5.98,ID_049,4.03,ID_049,Transilien,2.34,Nantes,7.36,15.5,ID_049,1006.4,50,7.15
Data.gouv.fr,ID_050,2024-11-27 00:00:00,ID_050,7.74,2.42,55.87,RATP_Open_Data_2024,6.41,2.28,4.58,6.4,3.54,2024-11-17 00:00:00,6.63,2.05,7.02,2.53,2.16,7.53,5.2,ID_050,7.46,ID_050,TER,8.41,Lyon,5.94,14.4,ID_050,1009.3,110,2.97
Météo-France,ID_051,2024-12-10 00:00:00,ID_051,7.62,7.7,9.49,Airparif,1.63,4.42,1.86,3.26,6.48,2024-10-28 00:00:00,5.4,1.32,6.82,3.76,4.0,7.61,6.21,ID_051,7.43,ID_051,Métro,1.97,Nantes,8.51,9.3,ID_051,1004.5,80,3.15
Météo-France,ID_052,2024-05-11 00:00:00,ID_052,5.8,1.4,67.02,RATP_Open_Data_2024,3.75,5.45,3.74,8.76,7.89,2024-04-06 00:00:00,5.38,3.2,7.33,5.83,8.65,4.94,5.36,ID_052,2.14,ID_052,Bus RATP,4.4,Marseille,2.69,25.7,ID_052,995.7,130,8.74
Météo-France,ID_053,2024-08-29 00:00:00,ID_053,1.53,7.82,53.43,SNCF_Open_Data,6.25,8.26,6.24,4.61,7.65,2024-06-13 00:00:00,1.88,7.4,4.87,5.94,8.05,6.25,6.06,ID_053,1.66,ID_053,Métro,8.62,Strasbourg,3.62,23.0,ID_053,1011.9,45,8.62
Data.gouv.fr,ID_054,2024-08-06 00:00:00,ID_054,7.43,7.26,31.58,SNCF_Open_Data,3.18,5.69,3.41,3.12,8.26,2024-02-15 00:00:00,2.76,6.97,2.64,6.14,6.64,4.14,4.19,ID_054,5.64,ID_054,TGV,7.04,Lyon,2.51,26.9,ID_054,1011.2,50,4.77
SNCF_Open_Data,ID_055,2024-02-28 00:00:00,ID_055,6.06,8.67,27.64,Météo-France,7.79,1.84,4.92,3.84,1.23,2024-05-22 00:00:00,1.36,6.65,8.01,6.42,1.49,2.41,4.22,ID_055,3.21,ID_055,Transilien,6.29,Paris,4.31,16.1,ID_055,1011.5,80,7.88
RATP_Open_Data_2024,ID_056,2024-12-05 00:00:00,ID_056,1.5,7.52,39.58,Airparif,4.81,4.96,4.27,5.91,7.31,2024-05-03 00:00:00,2.97,7.96,2.67,4.38,4.49,3.84,3.92,ID_056,2.01,ID_056,TER,4.73,Lille,3.44,15.2,ID_056,1013.2,110,5.19
RATP_Open_Data_2024,ID_057,2024-10-25 00:00:00,ID_057,6.64,6.07,70.55,Météo-France,7.0,3.42,2.62,4.65,4.83,2024-11-26 00:00:00,7.33,3.98,5.42,5.47,6.5,6.53,8.35,ID_057,8.21,ID_057,Bus RATP,5.72,Toulouse,7.3,19.3,ID_057,1006.7,130,6.46
SNCF_Open_Data,ID_058,2024-05-17 00:00:00,ID_058,8.44,3.69,61.25,Data.gouv.fr,8.13,1.75,3.7,7.23,4.39,2024-10-02 00:00:00,5.34,6.01,7.16,5.59,2.06,5.87,4.75,ID_058,8.3,ID_058,TGV,4.71,Bordeaux,5.87,8.9,ID_058,1004.6,50,5.63
Airparif,ID_059,2024-09-25 00:00:00,ID_059,8.33,2.03,63.49,SNCF_Open_Data,3.0,7.19,4.59,7.81,2.96,2024-08-02 00:00:00,2.55,5.66,6.97,3.08,2.01,5.43,5.55,ID_059,2.43,ID_059,TER,8.52,Montpellier,2.29,26.0,ID_059,1013.0,45,8.62
Data.gouv.fr,ID_060,2024-03-18 00:00:00,ID_060,7.21,5.56,34.34,Airparif,3.42,1.24,1.6,8.42,3.72,2024-03-30 00:00:00,5.79,1.88,5.71,5.67,6.3,7.72,3.01,ID_060,2.2,ID_060,RER,8.22,Bordeaux,2.54,18.5,ID_060,1006.9,70,8.4
Météo-France,ID_061,2024-08-29 00:00:00,ID_061,1.69,5.63,79.59,RATP_Open_Data_2024,3.64,1.67,6.99,6.21,6.9,2024-11-08 00:00:00,7.99,5.01,1.47,1.41,4.59,2.73,3.77,ID_061,1.91,ID_061,TER,7.75,Montpellier,5.45,23.3,ID_061,1017.4,110,5.9
RATP_Open_Data_2024,ID_062,2024-04-12 00:00:00,ID_062,3.48,3.42,60.05,Météo-France,4.12,1.44,3.03,8.74,4.52,2024-05-18 00:00:00,6.33,6.42,6.47,3.3,5.85,5.85,4.7,ID_062,6.01,ID_062,Métro,3.4,Marseille,8.28,22.4,ID_062,1016.4,70,1.27
RATP_Open_Data_2024,ID_063,2024-06-10 00:00:00,ID_063,8.51,1.85,64.9,Data.gouv.fr,8.37,1.42,3.22,1.32,4.6,2024-03-31 00:00:00,3.1,8.31,6.7,4.62,3.52,7.47,6.11,ID_063,3.05,ID_063,Métro,1.28,Bordeaux,7.94,20.3,ID_063,1005.6,30,2.93
Airparif,ID_064,2024-12-03 00:00:00,ID_064,3.13,7.61,25.07,Météo-France,4.25,7.11,7.9,5.41,5.85,2024-03-27 00:00:00,8.33,8.41,6.48,7.56,1.71,1.43,3.68,ID_064,8.8,ID_064,Métro,6.62,Paris,6.97,15.1,ID_064,997.3,30,8.37
Météo-France,ID_065,2024-02-05 00:00:00,ID_065,6.07,1.79,4.54,Météo-France,7.82,6.01,1.89,8.14,3.86,2024-10-06 00:00:00,2.86,5.6,5.39,5.95,4.0,5.31,4.19,ID_065,1.66,ID_065,Métro,5.22,Nice,5.76,17.8,ID_065,1019.6,110,2.67
SNCF_Open_Data,ID_066,2024-05-19 00:00:00,ID_066,4.27,7.63,36.37,Data.gouv.fr,4.02,3.89,2.53,3.37,2.62,2024-12-19 00:00:00,8.63,4.23,8.16,1.98,7.39,6.32,7.93,ID_066,8.2,ID_066,Métro,4.7,Paris,2.91,18.8,ID_066,1014.1,45,2.12
Airparif,ID_067,2024-08-17 00:00:00,ID_067,1.34,5.68,26.98,Airparif,8.58,5.75,8.51,7.54,2.19,2024-03-27 00:00:00,5.51,1.34,7.02,1.24,6.18,6.07,8.62,ID_067,3.64,ID_067,Tramway,6.98,Marseille,4.48,27.3,ID_067,1023.8,80,8.71
Data.gouv.fr,ID_068,2024-11-11 00:00:00,ID_068,7.14,3.73,55.76,RATP_Open_Data_2024,8.59,5.15,7.12,5.19,7.52,2024-02-14 00:00:00,1.5,1.34,7.41,4.16,5.07,4.06,7.62,ID_068,2.22,ID_068,Bus RATP,1.29,Paris,2.08,10.7,ID_068,995.3,80,7.24
RATP_Open_Data_2024,ID_069,2024-05-15 00:00:00,ID_069,2.83,6.19,34.89,RATP_Open_Data_2024,6.99,3.7,3.89,2.54,3.35,2024-05-06 00:00:00,1.74,7.31,4.19,4.92,8.79,4.31,4.03,ID_069,1.45,ID_069,Tramway,1.98,Toulouse,5.85,21.1,ID_069,1017.3,130,5.85
SNCF_Open_Data,ID_070,2024-02-03 00:00:00,ID_070,7.43,3.72,28.41,Data.gouv.fr,6.69,5.68,7.17,1.51,7.04,2024-06-07 00:00:00,6.11,1.5,8.19,5.72,6.57,5.7,8.31,ID_070,4.4,ID_070,Bus RATP,2.72,Lille,7.34,16.9,ID_070,1008.3,70,5.97
Météo-France,ID_071,2024-04-28 00:00:00,ID_071,6.41,7.35,35.68,Airparif,7.23,5.86,2.98,7.35,1.51,2024-05-22 00:00:00,3.74,2.6,7.84,8.67,4.05,1.59,4.19,ID_071,3.31,ID_071,Transilien,2.75,Nantes,6.44,12.7,ID_071,1010.2,70,8.47
Météo-France,ID_072,2024-10-04 00:00:00,ID_072,2.21,3.21,30.49,Airparif,5.46,4.72,7.21,5.33,4.0,2024-06-02 00:00:00,3.78,8.6,7.69,7.55,4.37,4.42,7.46,ID_072,4.66,ID_072,Bus RATP,4.91,Lille,8.25,23.7,ID_072,1009.1,110,6.84
Data.gouv.fr,ID_073,2024-09-04 00:00:00,ID_073,6.35,8.57,33.91,Data.gouv.fr,6.81,6.65,4.13,3.81,5.74,2024-09-19 00:00:00,2.35,1.99,4.42,4.52,8.03,4.56,1.73,ID_073,4.77,ID_073,TGV,6.54,Nantes,1.49,25.3,ID_073,1005.3,50,1.69
RATP_Open_Data_2024,ID_074,2024-09-20 00:00:00,ID_074,8.7,6.03,4.9,Météo-France,2.37,5.14,2.51,2.51,1.79,2024-04-20 00:00:00,1.43,3.41,8.8,3.95,6.46,3.59,2.59,ID_074,4.65,ID_074,Transilien,3.97,Marseille,8.76,13.9,ID_074,1001.6,45,8.21
Data.gouv.fr,ID_075,2024-04-01 00:00:00,ID_075,5.24,3.43,25.66,Météo-France,1.46,7.92,3.15,4.87,8.22,2024-11-04 00:00:00,2.82,5.78,1.2,4.65,6.29,8.63,5.23,ID_075,7.59,ID_075,Bus RATP,4.45,Bordeaux,5.94,14.2,ID_075,1024.1,30,8.41
Airparif,ID_076,2024-05-18 00:00:00,ID_076,8.02,7.22,68.38,Météo-France,8.39,4.08,5.6,3.48,7.75,2024-02-23 00:00:00,5.31,1.21,2.77,2.57,6.2,7.99,7.87,ID_076,6.81,ID_076,TGV,1.46,Bordeaux,8.45,16.7,ID_076,995.6,130,4.52
Data.gouv.fr,ID_077,2024-01-17 00:00:00,ID_077,8.79,4.18,61.93,Data.gouv.fr,5.1,7.23,3.11,6.4,2.19,2024-06-14 00:00:00,6.92,4.47,7.55,6.95,6.94,4.95,7.83,ID_077,6.55,ID_077,Métro,2.68,Marseille,7.68,27.4,ID_077,1015.9,70,5.0
Airparif,ID_078,2024-04-12 00:00:00,ID_078,5.8,2.69,39.05,Airparif,2.52,4.21,1.2,6.5,8.02,2024-01-18 00:00:00,6.28,5.8,1.61,7.29,5.24,4.07,6.15,ID_078,4.02,ID_078,Tramway,2.77,Strasbourg,1.93,15.9,ID_078,1008.9,130,7.92
Data.gouv.fr,ID_079,2024-03-19 00:00:00,ID_079,3.62,5.3,59.13,Météo-France,7.36,4.59,1.75,8.32,2.74,2024-04-03 00:00:00,7.86,6.7,3.09,3.19,8.42,3.32,1.67,ID_079,3.23,ID_079,Tramway,3.37,Nantes,1.78,5.7,ID_079,1008.7,30,5.08
