col_mode_environnement_id,col_code_mode,col_nom_mode,col_type_mode,col_est_electrique,col_emission_factor_co2_gkm,col_type_energie,col_cout_energie_eur_km,col_efficacite_energetique,col_annee,col_pays,col_type_vehicule,col_pourcentage_parc,col_nombre_vehicules,col_emissions_co2_moyennes,col_source
MDE_00044,TGV,TER,TER,2.40,4.33,7.89,9.05,4.87,2024,4.14,6.20,3.22,Nom_44,2.62,RATP_Open_Data_2024
MDE_00045,Bus,TGV,TGV,6.70,6.68,6.78,6.39,2.19,2024,8.03,3.94,1.15,Nom_45,9.49,SNCF_Open_Data
MDE_00046,Tramway,Tramway,RER,4.86,7.47,6.42,7.40,4.85,2024,8.65,6.98,6.11,Nom_46,8.41,Data.gouv.fr
MDE_00047,TER,TER,TGV,8.31,5.46,2.61,0.96,2.41,2024,4.91,8.10,6.07,Nom_47,4.30,SNCF_Open_Data
MDE_00048,Métro,Métro,RER,4.61,6.74,8.26,3.71,5.04,2024,2.73,9.99,6.25,Nom_48,3.77,RATP_Open_Data_2024
MDE_00049,Métro,TGV,TER,5.47,4.47,2.95,1.90,5.59,2024,9.46,4.77,8.37,Nom_49,2.30,RATP_Open_Data_2024
MDE_00050,Velo,Velo,RER,2.51,9.84,1.02,2.92,6.00,2024,9.53,3.51,2.82,Nom_50,9.45,Data.gouv.fr
MDE_00051,TER,Métro,RER,1.61,9.45,6.97,6.26,7.56,2024,5.55,9.27,9.22,Nom_51,5.93,Meteo_France
MDE_00052,TER,TGV,TGV,9.54,8.69,6.03,8.33,1.17,2024,8.02,1.16,1.18,Nom_52,6.61,Meteo_France
MDE_00053,Bus,Bus,Bus,9.79,6.98,2.28,6.35,1.41,2024,7.00,4.72,9.11,Nom_53,7.80,Data.gouv.fr
MDE_00054,TGV,Tramway,Tramway,8.04,5.65,9.46,6.92,4.53,2024,5.88,7.12,4.86,Nom_54,6.47,AirParif_2024
MDE_00055,Velo,TER,TGV,1.32,8.77,8.69,2.45,8.28,2024,5.39,9.13,8.64,Nom_55,7.24,RATP_Open_Data_2024
MDE_00056,Bus,TGV,Bus,3.63,8.56,8.38,2.18,1.81,2024,2.28,7.67,9.11,Nom_56,5.78,RATP_Open_Data_2024
MDE_00057,RER,Velo,Tramway,3.27,5.50,3.90,1.55,7.19,2024,8.68,1.65,2.22,Nom_57,8.00,RATP_Open_Data_2024
MDE_00058,Métro,TGV,Bus,9.12,4.01,8.92,6.49,6.69,2024,9.86,9.66,3.88,Nom_58,5.02,Data.gouv.fr
MDE_00059,Tramway,Velo,Velo,6.83,9.33,9.17,1.95,2.34,2024,3.66,4.76,5.21,Nom_59,8.60,SNCF_Open_Data
MDE_00060,TER,Métro,Bus,3.33,1.42,8.41,9.13,3.29,2024,9.36,7.75,8.76,Nom_60,4.67,Meteo_France
MDE_00061,Métro,Métro,Bus,9.17,8.36,8.71,1.14,7.24,2024,5.09,3.73,6.62,Nom_61,7.40,SNCF_Open_Data
MDE_00062,Bus,Velo,RER,2.43,7.47,7.60,1.08,2.48,2024,5.38,6.73,1.01,Nom_62,3.85,SNCF_Open_Data
MDE_00063,Velo,RER,TER,8.90,1.15,9.20,9.08,6.25,2024,6.13,4.90,1.52,Nom_63,3.91,RATP_Open_Data_2024
MDE_00064,TER,TGV,Métro,5.29,1.56,2.40,8.07,6.29,2024,7.22,6.25,1.00,Nom_64,6.09,Meteo_France
MDE_00065,Bus,TER,TER,2.95,6.12,7.64,3.80,5.10,2024,6.94,6.12,4.38,Nom_65,6.79,Meteo_France
MDE_00066,Bus,Bus,Métro,5.60,8.16,4.38,8.21,7.48,2024,5.88,8.62,8.58,Nom_66,9.94,AirParif_2024
MDE_00067,Bus,TGV,Velo,3.14,1.05,7.17,0.61,4.57,2024,4.14,9.43,9.78,Nom_67,5.82,SNCF_Open_Data
MDE_00068,Velo,Tramway,TGV,2.24,6.45,7.49,6.18,9.96,2024,9.75,7.41,4.88,Nom_68,4.93,AirParif_2024
MDE_00069,TGV,Tramway,TER,6.80,4.92,6.89,2.43,5.88,2024,7.82,2.68,3.19,Nom_69,8.75,SNCF_Open_Data
MDE_00070,Métro,TER,TGV,7.08,9.36,7.86,9.16,1.44,2024,5.68,5.72,5.40,Nom_70,3.33,Data.gouv.fr
MDE_00071,TGV,Métro,TGV,9.81,5.30,9.45,5.60,7.26,2024,6.16,9.71,5.18,Nom_71,3.78,Data.gouv.fr
MDE_00072,Velo,Bus,TGV,2.07,5.82,1.77,7.39,9.79,2024,7.72,5.44,8.13,Nom_72,2.97,Data.gouv.fr
MDE_00073,TER,TGV,Bus,8.28,2.89,7.33,4.77,4.92,2024,9.37,6.19,2.61,Nom_73,8.99,SNCF_Open_Data
MDE_00074,Métro,RER,Bus,8.54,7.30,9.82,7.25,3.58,2024,8.75,6.52,5.26,Nom_74,2.87,RATP_Open_Data_2024
MDE_00075,Velo,RER,TER,8.53,3.40,9.28,4.60,4.42,2024,2.56,4.40,2.03,Nom_75,6.89,Meteo_France
MDE_00076,TER,TGV,Tramway,3.74,1.35,4.83,4.85,9.64,2024,1.40,5.66,9.72,Nom_76,3.73,Meteo_France
MDE_00077,TGV,TGV,Tramway,4.00,1.42,9.77,1.92,2.74,2024,6.87,3.28,8.43,Nom_77,2.21,RATP_Open_Data_2024
MDE_00078,RER,RER,Bus,1.26,6.67,3.09,9.75,8.31,2024,6.99,9.83,2.16,Nom_78,2.99,RATP_Open_Data_2024
MDE_00079,TER,Velo,Bus,8.43,6.42,4.78,7.27,2.90,2024,2.25,9.26,8.15,Nom_79,8.51,RATP_Open_Data_2024
MDE_00080,RER,Métro,Tramway,1.11,4.97,4.69,0.80,1.83,2024,3.42,2.77,4.09,Nom_80,6.96,SNCF_Open_Data
MDE_00081,TGV,RER,RER,4.23,1.56,9.89,9.83,4.50,2024,5.73,6.57,7.84,Nom_81,8.95,RATP_Open_Data_2024
MDE_00082,TER,Bus,Velo,7.85,2.98,2.80,4.82,8.41,2024,2.80,2.27,6.17,Nom_82,8.94,Data.gouv.fr
MDE_00083,RER,TGV,Velo,3.51,2.86,2.01,3.81,9.59,2024,3.61,4.58,7.25,Nom_83,3.91,Meteo_France
MDE_00084,TER,Bus,Bus,1.10,8.56,1.40,6.52,6.31,2024,5.83,1.44,9.94,Nom_84,4.85,RATP_Open_Data_2024
MDE_00085,Métro,RER,TER,8.00,6.67,9.54,9.68,4.81,2024,5.34,6.95,3.88,Nom_85,7.57,RATP_Open_Data_2024
MDE_00086,TER,Velo,Métro,4.64,4.05,1.58,3.56,5.54,2024,2.90,1.43,1.57,Nom_86,6.66,Meteo_France
MDE_00087,Velo,TER,RER,2.46,3.03,5.88,9.05,1.87,2024,7.63,6.49,3.04,Nom_87,5.65,AirParif_2024
MDE_00088,Bus,Métro,RER,1.49,2.90,3.12,5.04,4.27,2024,6.56,6.28,3.36,Nom_88,6.80,RATP_Open_Data_2024
MDE_00089,TER,Velo,Velo,3.52,5.73,9.04,8.69,9.51,2024,6.60,5.77,9.47,Nom_89,8.96,Data.gouv.fr
MDE_00090,TGV,TER,TER,4.92,9.94,8.63,3.56,6.43,2024,6.83,8.65,7.91,Nom_90,6.21,Meteo_France
MDE_00091,Velo,TGV,TER,2.99,5.90,4.21,3.11,4.55,2024,7.30,4.63,4.67,Nom_91,6.75,Data.gouv.fr
MDE_00092,Métro,TGV,TER,7.55,6.16,5.23,5.78,9.94,2024,4.06,6.25,9.25,Nom_92,1.24,Data.gouv.fr
MDE_00093,Velo,Bus,Tramway,1.51,7.56,6.71,1.10,1.34,2024,7.07,7.72,9.29,Nom_93,5.29,SNCF_Open_Data
MDE_00094,Bus,TER,Tramway,1.15,7.23,9.83,2.37,9.30,2024,3.58,7.37,7.10,Nom_94,7.73,RATP_Open_Data_2024
MDE_00095,Velo,TGV,TER,2.20,8.78,2.83,6.49,5.24,2024,9.56,5.91,9.98,Nom_95,2.95,Meteo_France
MDE_00096,Velo,Bus,RER,1.72,2.23,1.52,7.71,9.45,2024,4.11,1.56,7.84,Nom_96,6.38,Data.gouv.fr
MDE_00097,TER,TER,Velo,8.56,5.77,3.48,8.06,4.18,2024,8.53,9.52,1.68,Nom_97,3.84,AirParif_2024
MDE_00098,TGV,TGV,Bus,4.10,3.46,7.19,6.21,3.29,2024,9.67,7.94,1.60,Nom_98,5.61,Data.gouv.fr
MDE_00099,Métro,RER,Velo,6.00,6.41,1.73,9.91,6.28,2024,3.91,6.85,4.67,Nom_99,6.38,SNCF_Open_Data
MDE_00100,Tramway,Tramway,Tramway,6.74,8.58,9.69,6.89,9.88,2024,8.38,3.19,9.00,Nom_100,1.26,RATP_Open_Data_2024
MDE_00101,Métro,Tramway,TGV,3.94,9.95,1.36,3.61,5.43,2024,1.38,3.39,9.17,Nom_101,9.40,RATP_Open_Data_2024
MDE_00102,Bus,Tramway,TGV,1.59,9.33,2.63,9.61,1.36,2024,2.52,4.16,7.08,Nom_102,4.27,Meteo_France
MDE_00103,Velo,TER,TGV,9.86,6.23,1.18,3.30,3.08,2024,4.09,7.53,9.85,Nom_103,8.75,Data.gouv.fr
MDE_00104,Bus,TGV,TER,1.00,4.21,8.80,8.16,7.92,2024,1.65,4.17,5.23,Nom_104,9.51,SNCF_Open_Data
MDE_00105,Métro,TGV,TGV,9.00,9.05,2.20,4.93,1.78,2024,8.42,1.35,9.47,Nom_105,7.85,RATP_Open_Data_2024
MDE_00106,Bus,Tramway,Tramway,7.54,9.78,5.14,1.30,5.45,2024,4.49,4.72,2.14,Nom_106,5.49,Meteo_France
MDE_00107,TER,Tramway,RER,8.03,8.81,4.68,6.63,6.63,2024,6.98,7.54,5.64,Nom_107,7.09,RATP_Open_Data_2024
MDE_00108,Tramway,Métro,RER,7.14,4.51,1.72,8.29,2.61,2024,3.96,4.32,1.46,Nom_108,1.10,Data.gouv.fr
MDE_00109,Velo,TER,TER,9.52,9.57,2.89,7.82,2.91,2024,2.36,8.29,4.91,Nom_109,5.35,Meteo_France
MDE_00110,TER,RER,Tramway,3.47,9.62,2.56,4.53,8.15,2024,6.75,2.40,8.13,Nom_110,6.35,AirParif_2024
MDE_00111,Velo,TGV,Velo,1.24,9.69,7.17,7.59,7.95,2024,4.64,9.39,1.25,Nom_111,4.64,SNCF_Open_Data
MDE_00112,RER,TGV,Métro,6.75,7.57,7.88,1.65,1.41,2024,7.77,8.99,9.17,Nom_112,6.89,RATP_Open_Data_2024
MDE_00113,Bus,Bus,Tramway,3.52,6.69,6.58,8.52,9.60,2024,7.15,4.64,6.72,Nom_113,8.20,SNCF_Open_Data
MDE_00114,Bus,TER,Tramway,2.50,2.15,1.71,3.43,9.88,2024,7.10,3.56,5.89,Nom_114,1.73,SNCF_Open_Data
MDE_00115,Bus,TER,TER,2.28,7.47,6.84,7.96,5.38,2024,3.72,7.83,9.73,Nom_115,8.95,Data.gouv.fr
MDE_00116,TGV,RER,TGV,2.17,4.39,1.97,9.59,3.85,2024,6.78,6.96,6.82,Nom_116,5.43,AirParif_2024
MDE_00117,TER,Tramway,RER,4.79,6.68,4.45,4.28,7.17,2024,2.17,6.24,5.79,Nom_117,5.87,Data.gouv.fr
MDE_00118,Velo,Velo,TER,8.76,2.98,6.05,8.76,3.31,2024,3.19,2.42,8.88,Nom_118,5.30,RATP_Open_Data_2024
MDE_00119,Métro,Tramway,RER,2.88,8.94,6.71,7.28,6.44,2024,2.11,1.20,3.89,Nom_119,9.62,AirParif_2024
MDE_00120,Métro,Velo,TGV,6.86,1.25,8.17,2.49,2.91,2024,2.82,3.87,4.44,Nom_120,6.42,SNCF_Open_Data
MDE_00121,Velo,Velo,Tramway,8.55,8.84,2.24,7.57,2.52,2024,3.04,3.38,8.31,Nom_121,6.39,SNCF_Open_Data
MDE_00122,TER,Tramway,Velo,9.78,5.97,1.93,8.55,8.16,2024,2.90,8.23,9.67,Nom_122,7.43,Data.gouv.fr
MDE_00123,TGV,TER,Métro,4.50,7.28,4.21,9.32,1.38,2024,2.15,2.19,7.52,Nom_123,3.88,Meteo_France
MDE_00124,TGV,Métro,Tramway,8.20,8.78,1.19,6.11,2.90,2024,4.72,7.97,5.98,Nom_124,9.75,Meteo_France
MDE_00125,TER,TGV,Métro,1.76,6.17,5.75,2.49,9.49,2024,5.94,6.41,2.20,Nom_125,9.39,RATP_Open_Data_2024
MDE_00126,Métro,RER,Métro,2.56,4.73,1.01,8.00,6.85,2024,2.60,8.68,9.10,Nom_126,2.45,Data.gouv.fr
MDE_00127,TER,Tramway,TGV,8.22,6.42,7.58,1.59,3.98,2024,7.13,9.28,3.09,Nom_127,3.26,AirParif_2024
MDE_00128,Bus,Métro,Velo,5.68,9.11,6.55,8.11,7.48,2024,5.41,7.34,3.57,Nom_128,6.23,Data.gouv.fr
MDE_00129,Métro,Métro,Métro,6.24,9.56,5.63,4.48,3.97,2024,1.78,8.05,4.27,Nom_129,4.48,Meteo_France
MDE_00130,RER,RER,TER,1.68,3.29,7.45,9.29,6.47,2024,4.80,7.36,1.26,Nom_130,3.56,SNCF_Open_Data
MDE_00131,Métro,Bus,Bus,8.34,2.15,7.23,8.30,8.44,2024,2.39,6.74,6.81,Nom_131,1.92,RATP_Open_Data_2024
MDE_00132,RER,RER,TGV,1.40,2.27,1.60,8.52,4.94,2024,3.68,5.59,4.17,Nom_132,6.02,AirParif_2024
MDE_00133,Bus,TGV,Métro,6.27,9.51,9.78,7.45,7.60,2024,7.46,4.31,1.62,Nom_133,6.04,RATP_Open_Data_2024
MDE_00134,Métro,RER,RER,5.75,3.56,9.90,0.62,5.79,2024,4.99,4.31,7.85,Nom_134,2.60,RATP_Open_Data_2024
MDE_00135,RER,Velo,RER,4.29,4.82,8.83,1.94,2.81,2024,3.61,5.10,6.52,Nom_135,9.33,Data.gouv.fr
MDE_00136,Métro,Métro,Tramway,7.42,2.87,7.87,3.42,3.07,2024,4.70,6.14,8.18,Nom_136,2.22,AirParif_2024
MDE_00137,TGV,RER,RER,2.10,1.75,5.37,1.10,4.39,2024,4.20,4.84,5.75,Nom_137,2.14,AirParif_2024
MDE_00138,Métro,Tramway,Velo,9.30,8.45,9.79,4.21,8.86,2024,5.58,6.39,1.60,Nom_138,7.74,AirParif_2024
MDE_00139,Bus,TGV,Velo,7.26,5.30,2.15,9.77,6.28,2024,6.07,4.51,5.95,Nom_139,2.13,Meteo_France
MDE_00140,TGV,TGV,Bus,8.04,1.60,6.33,5.32,8.09,2024,2.84,9.24,7.90,Nom_140,2.59,RATP_Open_Data_2024
MDE_00141,Bus,Bus,TGV,8.05,3.81,5.04,5.45,9.10,2024,7.62,7.08,7.43,Nom_141,7.76,Data.gouv.fr
MDE_00142,Bus,Tramway,Bus,9.66,5.71,3.22,4.05,7.74,2024,2.17,1.16,2.67,Nom_142,9.81,Meteo_France
MDE_00143,TGV,TER,TGV,2.38,7.16,5.56,3.16,5.79,2024,9.16,4.82,5.66,Nom_143,8.53,SNCF_Open_Data
MDE_00144,Tramway,Tramway,RER,7.29,4.91,6.03,8.12,3.73,2024,7.63,1.07,9.53,Nom_144,2.29,RATP_Open_Data_2024
MDE_00145,RER,Métro,Tramway,8.81,2.71,7.13,9.79,2.62,2024,9.25,7.99,1.83,Nom_145,8.14,AirParif_2024
MDE_00146,Tramway,Velo,TER,1.63,3.64,9.01,9.97,7.88,2024,1.46,8.94,2.82,Nom_146,6.39,RATP_Open_Data_2024
MDE_00147,TER,Velo,Bus,4.33,2.42,3.75,3.93,7.10,2024,6.08,5.84,3.16,Nom_147,7.48,RATP_Open_Data_2024
MDE_00148,RER,TER,Velo,2.76,5.36,2.85,7.43,7.06,2024,1.39,8.59,4.13,Nom_148,1.59,Data.gouv.fr
MDE_00149,Velo,Tramway,RER,7.05,1.89,2.45,5.53,9.58,2024,6.98,8.81,2.63,Nom_149,2.68,Meteo_France
MDE_00150,TGV,Tramway,TGV,1.27,6.33,2.40,2.73,3.22,2024,5.21,6.68,6.02,Nom_150,9.49,Meteo_France
MDE_00151,Velo,RER,Tramway,7.74,4.97,6.34,1.13,9.33,2024,1.51,8.96,6.58,Nom_151,8.09,Data.gouv.fr
MDE_00152,Bus,TER,Bus,9.43,2.13,1.26,9.36,6.64,2024,2.16,4.02,3.22,Nom_152,5.27,Data.gouv.fr
MDE_00153,Métro,TER,RER,7.98,6.33,2.41,9.76,5.05,2024,5.76,2.43,8.79,Nom_153,8.30,Data.gouv.fr
MDE_00154,TER,Tramway,Bus,2.56,3.98,5.41,3.01,6.21,2024,5.86,4.66,9.56,Nom_154,6.30,Data.gouv.fr
MDE_00155,TER,Tramway,Bus,6.08,1.56,5.37,5.41,4.93,2024,3.64,8.91,6.20,Nom_155,4.66,AirParif_2024
MDE_00156,Bus,TER,Velo,3.61,7.08,1.53,1.14,7.62,2024,1.14,1.30,4.22,Nom_156,5.27,AirParif_2024
MDE_00157,Velo,TER,TGV,2.50,6.76,5.95,8.93,1.48,2024,8.48,9.62,4.78,Nom_157,7.18,AirParif_2024
MDE_00158,Velo,Bus,Velo,5.67,9.47,4.94,2.50,7.76,2024,1.86,6.19,4.47,Nom_158,6.13,RATP_Open_Data_2024
MDE_00159,TER,Bus,TGV,3.44,7.39,6.14,5.69,3.74,2024,1.29,1.60,2.22,Nom_159,6.37,Meteo_France
MDE_00160,Tramway,Velo,Velo,2.21,7.36,8.78,3.51,6.20,2024,9.70,4.24,3.38,Nom_160,6.77,Meteo_France
MDE_00161,RER,Tramway,Tramway,1.49,6.76,2.98,5.40,3.09,2024,4.40,8.24,2.61,Nom_161,5.14,Data.gouv.fr
MDE_00162,Bus,Velo,RER,8.54,2.67,3.22,3.84,5.22,2024,6.84,6.71,5.02,Nom_162,2.97,AirParif_2024
MDE_00163,Bus,Bus,Bus,4.81,1.58,8.12,0.84,9.81,2024,4.68,9.33,6.43,Nom_163,4.67,SNCF_Open_Data
MDE_00164,Bus,TER,RER,4.20,3.86,4.07,1.50,4.53,2024,1.98,1.50,2.24,Nom_164,9.72,AirParif_2024
MDE_00165,Bus,TER,Tramway,3.31,4.61,6.81,3.36,9.73,2024,1.53,4.09,6.15,Nom_165,5.67,Meteo_France
MDE_00166,Métro,Métro,Tramway,5.74,4.18,5.00,0.87,5.76,2024,6.84,7.74,1.48,Nom_166,4.50,Data.gouv.fr
MDE_00167,TGV,Bus,Métro,8.15,5.43,3.11,6.09,1.35,2024,5.94,4.53,1.76,Nom_167,2.18,AirParif_2024
MDE_00168,Métro,Métro,RER,2.90,6.52,8.72,2.49,9.11,2024,6.09,3.48,5.39,Nom_168,4.02,Data.gouv.fr
MDE_00169,RER,Tramway,Bus,1.35,8.25,6.81,2.90,3.44,2024,3.75,9.74,7.00,Nom_169,6.80,RATP_Open_Data_2024
MDE_00170,Métro,TGV,Tramway,8.73,3.46,7.27,9.73,9.21,2024,6.64,5.65,7.81,Nom_170,3.32,RATP_Open_Data_2024
MDE_00171,TER,Bus,Bus,2.00,2.49,3.73,2.73,8.10,2024,8.37,9.47,3.08,Nom_171,2.58,RATP_Open_Data_2024
MDE_00172,Bus,TER,Bus,1.10,7.25,9.29,6.93,3.49,2024,9.50,1.87,9.98,Nom_172,5.09,AirParif_2024
MDE_00173,TGV,RER,Métro,2.42,6.95,9.14,1.48,5.40,2024,7.03,1.42,2.21,Nom_173,6.40,AirParif_2024
MDE_00174,RER,TER,TGV,4.62,1.24,6.21,6.19,5.88,2024,9.47,3.70,2.47,Nom_174,1.47,Meteo_France
MDE_00175,Velo,TGV,TGV,4.06,4.63,4.91,3.62,1.13,2024,6.73,1.06,2.73,Nom_175,9.57,Meteo_France
MDE_00176,Velo,TER,Velo,1.52,9.32,7.13,0.51,9.16,2024,4.25,1.52,9.87,Nom_176,8.36,AirParif_2024
MDE_00177,TER,Bus,Velo,4.24,3.04,1.80,5.11,3.93,2024,8.99,9.60,4.59,Nom_177,5.15,AirParif_2024
MDE_00178,TER,Velo,Tramway,1.59,5.74,5.53,6.01,9.36,2024,2.86,5.29,5.90,Nom_178,5.15,AirParif_2024
MDE_00179,TGV,Bus,Velo,4.90,1.75,2.16,5.92,6.97,2024,9.91,3.20,5.16,Nom_179,6.61,SNCF_Open_Data
MDE_00180,RER,Velo,TER,8.89,5.45,5.39,3.24,2.41,2024,5.20,5.11,2.00,Nom_180,1.84,RATP_Open_Data_2024
MDE_00181,Métro,TGV,RER,2.84,1.72,1.81,0.75,7.20,2024,4.76,2.37,4.47,Nom_181,5.74,Meteo_France
MDE_00182,Bus,RER,Velo,6.29,2.72,3.58,1.12,2.92,2024,6.72,6.49,4.09,Nom_182,7.08,Meteo_France
MDE_00183,TGV,Métro,Métro,4.50,4.05,8.54,3.72,8.77,2024,2.49,8.22,2.46,Nom_183,6.18,Meteo_France
MDE_00184,Métro,Velo,RER,4.14,8.01,3.42,8.47,5.07,2024,5.17,5.76,9.88,Nom_184,7.94,SNCF_Open_Data
MDE_00185,Métro,Bus,TER,5.12,8.53,2.51,7.59,1.02,2024,5.15,9.06,3.01,Nom_185,7.01,SNCF_Open_Data
MDE_00186,Tramway,Velo,RER,8.43,5.58,7.07,1.87,8.40,2024,9.65,5.00,9.88,Nom_186,6.29,SNCF_Open_Data
