col_annee,col_pays,col_type_vehicule,col_pourcentage_parc,col_nombre_vehicules,col_emissions_co2_moyennes,col_source
6.16,France,6.44,1.62,7.57,2.67,SNCF_Open_Data
1.69,France,4.91,3.77,6.29,5.62,Météo-France
3.28,France,5.6,1.55,5.45,2.16,SNCF_Open_Data
8.15,France,2.89,7.49,4.77,6.08,Airparif
2.71,France,8.33,5.67,5.41,5.34,Météo-France
1.21,France,7.73,2.06,1.73,2.28,RATP_Open_Data_2024
3.86,France,4.19,8.26,6.18,4.6,RATP_Open_Data_2024
1.29,France,8.79,3.59,3.63,1.47,SNCF_Open_Data
2.76,France,1.64,6.46,8.01,2.23,Météo-France
5.79,France,6.58,1.23,8.14,2.07,SNCF_Open_Data
6.94,France,6.35,4.42,5.46,2.79,Météo-France
4.2,France,2.91,3.1,4.62,3.75,SNCF_Open_Data
7.86,France,8.17,1.64,8.22,5.65,SNCF_Open_Data
5.09,France,4.26,5.99,5.44,5.43,RATP_Open_Data_2024
7.67,France,3.27,5.04,5.73,7.39,Météo-France
2.32,France,5.01,7.43,8.1,7.01,Data.gouv.fr
6.85,France,3.57,1.61,3.66,8.46,Météo-France
8.18,France,3.78,6.05,6.56,5.0,RATP_Open_Data_2024
4.4,France,6.54,1.28,1.67,4.7,RATP_Open_Data_2024
1.75,France,5.35,2.31,2.23,5.75,RATP_Open_Data_2024
6.04,France,6.02,5.42,2.02,4.19,Météo-France
5.7,France,2.88,1.22,6.07,5.51,SNCF_Open_Data
1.92,France,1.45,7.87,5.52,5.88,RATP_Open_Data_2024
1.41,France,6.88,4.38,6.38,5.91,Data.gouv.fr
7.15,France,2.48,2.18,7.33,2.8,Météo-France
