col_date,col_annee,col_mois,col_indice_prix_gazole,col_indice_prix_sp95,col_indice_prix_sp98,col_variation_mensuelle_gazole,col_variation_mensuelle_sp95,col_variation_mensuelle_sp98,col_indice_inflation
2024-12-17 00:00:00,3.35,6.37,1.71,1.962,1.898,3.02,3.39,4.24,46.207063
2024-12-04 00:00:00,4.69,3.18,1.706,1.93,1.827,4.23,5.92,6.49,47.758548
2024-03-04 00:00:00,3.91,5.95,1.745,1.845,1.966,4.76,4.81,7.61,50.176864
2024-09-01 00:00:00,7.2,2.77,1.883,1.936,1.684,8.26,7.19,5.6,46.509616
2024-08-05 00:00:00,4.94,2.09,1.867,1.685,1.849,4.31,6.56,7.83,46.56471
2024-05-10 00:00:00,1.78,8.72,1.784,1.696,1.959,6.97,1.66,5.14,51.770993
2024-06-09 00:00:00,1.84,4.82,1.862,1.772,1.75,7.87,4.57,8.62,51.382409
2024-01-29 00:00:00,7.8,3.01,1.928,1.682,1.927,6.16,3.25,2.47,48.314306
2024-01-12 00:00:00,8.26,2.76,1.897,1.739,1.83,3.32,7.71,5.58,49.564436
2024-05-31 00:00:00,8.71,8.09,1.762,1.978,1.818,8.4,8.62,1.81,46.112884
2024-10-01 00:00:00,1.48,5.09,1.851,1.867,1.753,4.88,2.99,6.16,51.789191
2024-06-27 00:00:00,7.16,5.09,1.755,1.719,1.782,7.21,5.95,7.49,50.868838
2024-09-30 00:00:00,2.21,8.52,1.91,1.75,1.949,2.55,2.14,2.33,47.924115
2024-03-05 00:00:00,7.55,2.24,1.834,1.882,1.862,7.67,7.34,7.19,47.289225
2024-04-23 00:00:00,4.12,4.24,1.933,1.766,1.882,3.44,6.46,8.67,47.728358
2024-11-01 00:00:00,3.02,5.83,1.976,1.778,1.92,6.86,2.66,7.71,52.01442
