col_id_station,col_region,col_departement,col_commune,col_carburant,col_prix,col_date_releve,col_latitude,col_longitude,col_marque,col_services
S_027,Grand Est,Grand Est,Lille,5.33,1.929,2024-09-06 00:00:00,52.032457,3.023407,3.41,4.48
S_033,Auvergne-Rhône-Alpes,Occitanie,Marseille,8.39,1.84,2024-03-23 00:00:00,46.552027,-0.558579,3.21,2.77
S_064,Occitanie,Nouvelle-Aquitaine,Lyon,2.46,1.81,2024-12-14 00:00:00,50.822509,0.812028,2.43,4.74
S_095,Hauts-de-France,Occitanie,Toulouse,6.12,1.709,2024-07-30 00:00:00,52.410772,-1.206786,5.94,7.61
S_058,Pays de la Loire,Île-de-France,Bordeaux,4.02,1.874,2024-03-10 00:00:00,45.160007,-1.04959,5.74,3.8
S_038,Bretagne,Auvergne-Rhône-Alpes,Nantes,4.8,1.757,2024-05-13 00:00:00,45.527321,4.483622,1.45,6.2
S_024,Normandie,Bretagne,Strasbourg,4.71,1.853,2024-11-29 00:00:00,47.303514,0.476945,7.77,1.43
S_015,Occitanie,Provence-Alpes-Côte d'Azur,Nice,4.97,1.863,2024-07-27 00:00:00,46.971063,1.309485,5.6,2.42
S_031,Nouvelle-Aquitaine,Nouvelle-Aquitaine,Lyon,5.52,1.942,2024-12-11 00:00:00,49.419647,1.095844,7.93,4.42
S_061,Provence-Alpes-Côte d'Azur,Bretagne,Montpellier,5.2,1.733,2024-06-14 00:00:00,46.333322,6.124747,7.83,7.37
S_005,Nouvelle-Aquitaine,Bretagne,Marseille,7.16,1.964,2024-08-04 00:00:00,48.628181,5.995728,4.67,2.69
S_032,Hauts-de-France,Hauts-de-France,Nice,1.95,1.843,2024-11-05 00:00:00,46.89424,3.348613,3.94,5.97
S_084,Auvergne-Rhône-Alpes,Nouvelle-Aquitaine,Nantes,3.07,1.782,2024-07-04 00:00:00,50.307532,4.606281,7.65,6.46
S_087,Île-de-France,Provence-Alpes-Côte d'Azur,Nice,5.86,1.797,2024-06-13 00:00:00,49.672768,6.343501,6.36,8.42
S_014,Île-de-France,Provence-Alpes-Côte d'Azur,Nantes,1.67,1.881,2024-08-16 00:00:00,49.582223,1.442387,3.03,6.29
S_084,Pays de la Loire,Normandie,Bordeaux,5.75,1.81,2024-08-30 00:00:00,51.960524,0.985592,7.79,6.21
S_092,Bretagne,Bretagne,Strasbourg,6.27,1.734,2024-07-04 00:00:00,48.854455,3.067612,3.5,3.16
S_100,Île-de-France,Île-de-France,Bordeaux,6.86,1.98,2024-09-30 00:00:00,52.039985,1.637987,7.39,5.43
S_071,Hauts-de-France,Occitanie,Paris,3.98,1.681,2024-07-25 00:00:00,45.183268,2.344961,8.48,2.32
S_039,Auvergne-Rhône-Alpes,Grand Est,Lyon,6.64,1.707,2024-09-15 00:00:00,48.602324,-0.90025,8.27,8.16
S_016,Pays de la Loire,Hauts-de-France,Bordeaux,4.37,1.892,2024-02-02 00:00:00,52.206259,2.776856,3.21,6.83
S_024,Provence-Alpes-Côte d'Azur,Grand Est,Strasbourg,3.58,1.925,2024-05-05 00:00:00,48.363448,2.188765,3.44,1.47
S_041,Grand Est,Nouvelle-Aquitaine,Nantes,8.48,1.961,2024-03-25 00:00:00,45.848045,6.076313,5.3,3.81
S_067,Normandie,Pays de la Loire,Strasbourg,8.19,1.743,2024-10-16 00:00:00,46.68901,-0.970285,4.82,8.31
S_015,Occitanie,Grand Est,Nantes,5.15,1.906,2024-02-14 00:00:00,51.351938,3.904124,7.94,6.74
S_080,Auvergne-Rhône-Alpes,Provence-Alpes-Côte d'Azur,Lille,4.72,1.713,2024-08-16 00:00:00,51.845084,5.065161,6.02,6.87
S_072,Grand Est,Bretagne,Marseille,7.6,1.766,2024-11-13 00:00:00,51.070958,2.561864,3.45,1.67
S_075,Provence-Alpes-Côte d'Azur,Bretagne,Strasbourg,3.69,1.96,2024-05-25 00:00:00,51.940581,1.440272,1.91,7.42
S_031,Provence-Alpes-Côte d'Azur,Hauts-de-France,Marseille,3.0,1.798,2024-03-01 00:00:00,45.164229,-1.645332,4.82,4.72
S_072,Nouvelle-Aquitaine,Normandie,Nantes,7.8,1.964,2024-08-14 00:00:00,47.918231,3.113693,7.05,5.52
S_052,Hauts-de-France,Bretagne,Strasbourg,3.37,1.792,2024-03-27 00:00:00,45.606518,1.933372,2.38,7.72
S_040,Auvergne-Rhône-Alpes,Occitanie,Marseille,1.88,1.78,2024-10-25 00:00:00,49.168669,3.429513,3.27,6.97
S_022,Bretagne,Nouvelle-Aquitaine,Nantes,7.56,1.748,2024-11-20 00:00:00,51.850307,-1.628312,6.85,1.39
S_098,Hauts-de-France,Provence-Alpes-Côte d'Azur,Lille,1.78,1.691,2024-06-28 00:00:00,49.119636,1.303841,4.94,4.13
S_051,Normandie,Pays de la Loire,Toulouse,2.73,1.933,2024-08-30 00:00:00,50.303973,3.424607,2.23,2.41
S_002,Occitanie,Auvergne-Rhône-Alpes,Montpellier,4.56,1.738,2024-03-27 00:00:00,51.278151,2.111783,1.97,5.43
S_018,Normandie,Normandie,Paris,3.38,1.809,2024-03-29 00:00:00,51.605657,-0.013637,7.86,4.66
S_032,Hauts-de-France,Normandie,Marseille,7.09,1.794,2024-10-26 00:00:00,51.36026,3.290579,1.6,8.2
S_095,Occitanie,Hauts-de-France,Strasbourg,3.71,1.938,2024-06-01 00:00:00,47.180082,0.125313,6.12,4.0
S_034,Bretagne,Grand Est,Paris,5.41,1.875,2024-12-16 00:00:00,52.431542,-0.594241,5.29,7.38
S_084,Île-de-France,Pays de la Loire,Strasbourg,7.46,1.953,2024-03-18 00:00:00,49.39824,0.401495,3.66,5.78
S_097,Pays de la Loire,Bretagne,Paris,3.42,1.883,2024-07-30 00:00:00,44.998295,3.146388,5.79,6.03
S_026,Grand Est,Bretagne,Paris,7.22,1.887,2024-04-22 00:00:00,45.17035,2.474518,2.9,6.1
S_056,Hauts-de-France,Pays de la Loire,Marseille,6.68,1.932,2024-04-06 00:00:00,49.027544,0.240536,4.14,6.47
S_087,Pays de la Loire,Hauts-de-France,Nice,8.13,1.905,2024-11-22 00:00:00,48.66001,4.658983,7.81,6.78
S_090,Nouvelle-Aquitaine,Auvergne-Rhône-Alpes,Paris,7.71,1.978,2024-09-21 00:00:00,45.348298,2.03155,1.49,7.75
S_004,Nouvelle-Aquitaine,Normandie,Bordeaux,4.07,1.812,2024-09-27 00:00:00,48.734796,4.216951,5.59,8.08
S_078,Bretagne,Provence-Alpes-Côte d'Azur,Marseille,6.82,1.775,2024-03-24 00:00:00,47.205799,3.612711,6.72,5.31
S_024,Grand Est,Auvergne-Rhône-Alpes,Montpellier,4.57,1.892,2024-08-14 00:00:00,49.228972,1.539391,5.56,4.27
S_054,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,Strasbourg,1.75,1.699,2024-11-02 00:00:00,46.101952,0.232901,7.73,4.99
S_022,Occitanie,Auvergne-Rhône-Alpes,Strasbourg,6.24,1.904,2024-02-05 00:00:00,49.122109,4.988028,1.78,1.21
S_034,Auvergne-Rhône-Alpes,Île-de-France,Strasbourg,8.65,1.8,2024-03-04 00:00:00,45.944379,-1.445513,2.41,8.24
S_039,Hauts-de-France,Pays de la Loire,Paris,8.68,1.884,2024-01-15 00:00:00,48.120516,1.666559,7.26,8.78
S_077,Île-de-France,Nouvelle-Aquitaine,Marseille,6.59,1.89,2024-05-24 00:00:00,49.23043,2.094517,3.58,1.79
S_094,Île-de-France,Île-de-France,Lyon,7.63,1.702,2024-10-18 00:00:00,47.801721,6.162095,7.94,4.37
S_011,Provence-Alpes-Côte d'Azur,Occitanie,Toulouse,7.83,1.691,2024-09-23 00:00:00,46.642604,-0.809403,8.79,5.72
S_095,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,Strasbourg,8.38,1.684,2024-12-05 00:00:00,51.827074,3.299006,7.59,5.98
S_076,Occitanie,Bretagne,Nantes,2.29,1.84,2024-03-03 00:00:00,52.797906,3.124183,8.61,3.64
S_070,Île-de-France,Auvergne-Rhône-Alpes,Lille,7.76,1.713,2024-12-13 00:00:00,50.499775,1.163609,6.48,1.74
S_095,Occitanie,Nouvelle-Aquitaine,Bordeaux,4.76,1.746,2024-03-25 00:00:00,45.754302,4.01481,4.17,2.92
S_002,Île-de-France,Occitanie,Lyon,2.51,1.918,2024-12-03 00:00:00,47.223988,3.327266,5.2,8.21
S_079,Grand Est,Grand Est,Montpellier,4.71,1.818,2024-07-07 00:00:00,47.397555,2.973028,7.18,2.42
S_080,Grand Est,Nouvelle-Aquitaine,Marseille,3.57,1.831,2024-05-01 00:00:00,52.511441,4.187589,5.05,7.49
S_075,Normandie,Île-de-France,Lille,1.5,1.707,2024-01-04 00:00:00,51.706802,2.329853,5.5,5.62
S_031,Auvergne-Rhône-Alpes,Occitanie,Lyon,7.34,1.817,2024-12-11 00:00:00,52.327957,0.115184,7.5,7.64
S_078,Hauts-de-France,Nouvelle-Aquitaine,Nice,1.73,1.869,2024-07-07 00:00:00,45.202396,1.072875,6.24,2.97
S_091,Hauts-de-France,Normandie,Bordeaux,7.75,1.769,2024-10-16 00:00:00,52.474894,-1.274054,4.88,3.46
S_079,Grand Est,Nouvelle-Aquitaine,Lyon,3.32,1.852,2024-10-01 00:00:00,48.147893,5.620873,3.22,7.9
S_013,Normandie,Île-de-France,Nantes,6.91,1.712,2024-03-26 00:00:00,52.662346,2.260957,8.74,6.23
S_093,Nouvelle-Aquitaine,Auvergne-Rhône-Alpes,Paris,3.29,1.72,2024-10-06 00:00:00,46.223765,4.951409,4.86,3.3
S_070,Pays de la Loire,Île-de-France,Marseille,2.92,1.937,2024-01-17 00:00:00,46.830075,5.872261,5.96,4.8
S_054,Grand Est,Pays de la Loire,Strasbourg,3.91,1.8,2024-02-16 00:00:00,47.825205,2.162055,6.17,7.58
S_016,Bretagne,Nouvelle-Aquitaine,Montpellier,6.87,1.894,2024-06-29 00:00:00,51.416259,2.839368,6.53,8.65
S_070,Occitanie,Provence-Alpes-Côte d'Azur,Nantes,4.45,1.879,2024-01-11 00:00:00,50.211025,-1.505875,6.32,8.72
S_019,Normandie,Pays de la Loire,Montpellier,2.25,1.862,2024-04-04 00:00:00,49.216726,1.458561,5.49,8.53
S_090,Bretagne,Hauts-de-France,Lille,3.86,1.702,2024-11-18 00:00:00,49.175253,0.324326,8.44,6.26
S_049,Île-de-France,Provence-Alpes-Côte d'Azur,Nice,1.58,1.796,2024-09-11 00:00:00,48.902139,4.663831,7.73,8.37
S_091,Nouvelle-Aquitaine,Nouvelle-Aquitaine,Lille,7.62,1.924,2024-12-24 00:00:00,49.328023,0.956147,7.29,8.16
S_023,Auvergne-Rhône-Alpes,Pays de la Loire,Toulouse,7.01,1.843,2024-02-24 00:00:00,46.088294,-0.656435,6.24,7.57
S_043,Auvergne-Rhône-Alpes,Grand Est,Montpellier,1.41,1.819,2024-05-08 00:00:00,51.498676,6.170286,3.88,1.27
S_070,Normandie,Provence-Alpes-Côte d'Azur,Marseille,7.2,1.947,2024-12-21 00:00:00,51.112815,2.284353,7.33,6.17
S_074,Pays de la Loire,Pays de la Loire,Lyon,3.93,1.89,2024-04-06 00:00:00,46.810615,4.727563,2.72,5.95
S_043,Nouvelle-Aquitaine,Hauts-de-France,Lille,7.5,1.866,2024-01-04 00:00:00,45.148306,2.735407,6.52,8.05
S_082,Normandie,Île-de-France,Nantes,6.24,1.704,2024-01-07 00:00:00,47.454845,-0.806601,6.6,1.45
S_033,Occitanie,Bretagne,Lyon,8.03,1.723,2024-03-02 00:00:00,48.279682,4.912271,5.6,6.55
S_073,Hauts-de-France,Bretagne,Marseille,3.61,1.782,2024-10-29 00:00:00,51.465363,4.730442,5.15,8.42
S_033,Occitanie,Occitanie,Nantes,7.71,1.853,2024-06-06 00:00:00,46.30399,-0.661284,5.49,6.74
S_088,Auvergne-Rhône-Alpes,Bretagne,Lyon,4.84,1.886,2024-02-06 00:00:00,49.818628,0.132361,4.13,1.54
S_009,Île-de-France,Occitanie,Montpellier,1.94,1.978,2024-12-25 00:00:00,51.424028,-1.17707,4.4,2.06
S_033,Hauts-de-France,Grand Est,Lyon,2.92,1.844,2024-04-05 00:00:00,46.002726,-1.558286,5.67,3.83
S_033,Hauts-de-France,Hauts-de-France,Bordeaux,2.11,1.964,2024-12-04 00:00:00,50.021589,4.180925,6.42,3.92
S_026,Occitanie,Provence-Alpes-Côte d'Azur,Nice,3.15,1.945,2024-09-16 00:00:00,51.803225,1.424893,8.33,6.92
S_078,Pays de la Loire,Nouvelle-Aquitaine,Lille,8.09,1.892,2024-09-07 00:00:00,52.398936,1.264121,8.51,2.34
S_094,Auvergne-Rhône-Alpes,Occitanie,Montpellier,4.53,1.797,2024-11-20 00:00:00,46.580862,-0.402156,3.77,8.57
S_083,Pays de la Loire,Île-de-France,Paris,2.54,1.902,2024-06-13 00:00:00,48.637852,2.609342,6.51,8.03
S_008,Île-de-France,Grand Est,Bordeaux,6.11,1.892,2024-07-25 00:00:00,50.522288,2.871212,4.35,7.63
S_053,Auvergne-Rhône-Alpes,Pays de la Loire,Paris,7.07,1.778,2024-07-27 00:00:00,51.199532,3.159277,7.18,5.72
S_044,Pays de la Loire,Provence-Alpes-Côte d'Azur,Lille,2.99,1.765,2024-04-18 00:00:00,46.616669,6.00956,2.76,3.16
S_046,Nouvelle-Aquitaine,Pays de la Loire,Strasbourg,4.23,1.77,2024-10-09 00:00:00,50.016514,1.033487,2.06,1.73
S_098,Occitanie,Provence-Alpes-Côte d'Azur,Nantes,7.71,1.714,2024-09-02 00:00:00,47.181407,3.795588,7.19,8.38
S_084,Provence-Alpes-Côte d'Azur,Auvergne-Rhône-Alpes,Nantes,8.75,1.681,2024-05-20 00:00:00,46.246252,-0.071472,5.44,8.21
S_032,Hauts-de-France,Bretagne,Montpellier,6.27,1.827,2024-08-04 00:00:00,46.526531,1.345373,8.44,4.44
S_086,Pays de la Loire,Grand Est,Strasbourg,3.44,1.96,2024-04-15 00:00:00,49.043861,5.288316,1.88,1.72
S_051,Grand Est,Bretagne,Strasbourg,1.29,1.907,2024-06-30 00:00:00,46.596822,1.721115,6.71,4.02
S_029,Auvergne-Rhône-Alpes,Île-de-France,Paris,3.34,1.803,2024-10-09 00:00:00,46.430897,1.084498,4.58,6.26
S_011,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,Bordeaux,5.34,1.889,2024-09-25 00:00:00,50.284393,-1.04462,2.06,4.68
S_050,Nouvelle-Aquitaine,Normandie,Montpellier,8.51,1.986,2024-04-10 00:00:00,48.137306,4.412922,8.52,3.86
S_034,Île-de-France,Pays de la Loire,Strasbourg,5.84,1.804,2024-10-30 00:00:00,49.983589,3.948935,6.12,8.23
S_091,Bretagne,Auvergne-Rhône-Alpes,Montpellier,2.7,1.825,2024-05-20 00:00:00,47.115858,3.907304,7.99,6.19
S_083,Normandie,Pays de la Loire,Nice,1.28,1.844,2024-07-07 00:00:00,45.976072,2.113846,6.76,6.0
S_065,Nouvelle-Aquitaine,Nouvelle-Aquitaine,Montpellier,5.34,1.849,2024-01-03 00:00:00,52.207886,5.047041,2.07,6.31
S_030,Occitanie,Auvergne-Rhône-Alpes,Nice,4.66,1.688,2024-04-04 00:00:00,51.16348,0.520774,3.34,5.92
S_010,Provence-Alpes-Côte d'Azur,Auvergne-Rhône-Alpes,Lille,5.63,1.8,2024-07-31 00:00:00,47.076446,4.940378,8.32,7.12
S_083,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,Toulouse,6.27,1.764,2024-08-03 00:00:00,45.467219,4.712781,2.54,3.98
S_014,Occitanie,Normandie,Montpellier,6.4,1.781,2024-03-04 00:00:00,51.709099,1.606551,5.97,7.9
S_087,Grand Est,Auvergne-Rhône-Alpes,Lyon,2.14,1.918,2024-09-23 00:00:00,48.557839,1.853057,6.35,6.3
S_085,Hauts-de-France,Île-de-France,Toulouse,8.58,1.687,2024-09-26 00:00:00,49.862529,6.083454,7.78,6.95
S_012,Île-de-France,Pays de la Loire,Montpellier,4.73,1.853,2024-12-24 00:00:00,49.522765,1.918864,6.57,6.62
S_056,Bretagne,Nouvelle-Aquitaine,Bordeaux,7.93,1.914,2024-08-07 00:00:00,52.201662,1.937951,5.95,1.95
S_062,Grand Est,Bretagne,Nantes,6.87,1.842,2024-01-07 00:00:00,51.861413,6.301001,7.29,2.66
S_038,Pays de la Loire,Normandie,Nantes,4.93,1.894,2024-04-14 00:00:00,45.084366,3.550895,3.05,1.56
S_046,Hauts-de-France,Bretagne,Toulouse,1.21,1.963,2024-09-02 00:00:00,44.964433,0.964268,5.91,3.49
S_007,Nouvelle-Aquitaine,Occitanie,Nantes,7.25,1.766,2024-06-19 00:00:00,47.246955,4.765689,6.3,8.5
S_080,Occitanie,Auvergne-Rhône-Alpes,Bordeaux,2.15,1.729,2024-08-21 00:00:00,50.192589,0.192488,3.63,1.55
S_055,Hauts-de-France,Grand Est,Nantes,4.12,1.903,2024-02-18 00:00:00,47.379024,0.438104,6.68,7.01
S_069,Auvergne-Rhône-Alpes,Île-de-France,Paris,7.76,1.818,2024-05-10 00:00:00,45.594262,2.689013,3.77,7.95
S_079,Bretagne,Occitanie,Toulouse,3.47,1.968,2024-05-27 00:00:00,49.122329,1.015325,4.98,4.39
S_023,Île-de-France,Normandie,Lille,4.58,1.905,2024-04-01 00:00:00,47.724833,1.643674,2.42,4.79
S_074,Occitanie,Nouvelle-Aquitaine,Toulouse,4.11,1.771,2024-04-24 00:00:00,48.162958,1.124074,3.68,5.64
S_074,Normandie,Bretagne,Lille,4.64,1.73,2024-02-28 00:00:00,46.72995,5.119172,8.63,4.49
S_051,Occitanie,Bretagne,Strasbourg,3.8,1.83,2024-11-03 00:00:00,51.604092,4.88022,8.53,4.12
S_069,Nouvelle-Aquitaine,Île-de-France,Lille,1.64,1.907,2024-10-11 00:00:00,48.630302,-0.1387,2.58,1.28
S_008,Occitanie,Nouvelle-Aquitaine,Toulouse,5.23,1.704,2024-03-28 00:00:00,50.982007,0.272905,6.84,7.07
S_039,Auvergne-Rhône-Alpes,Nouvelle-Aquitaine,Strasbourg,8.31,1.717,2024-11-27 00:00:00,49.296324,0.062879,2.39,3.49
S_085,Pays de la Loire,Nouvelle-Aquitaine,Marseille,5.84,1.775,2024-01-18 00:00:00,46.228495,-0.757988,8.58,5.49
S_025,Pays de la Loire,Occitanie,Nice,5.26,1.742,2024-11-20 00:00:00,47.266017,-0.268693,7.73,5.85
S_080,Provence-Alpes-Côte d'Azur,Grand Est,Lyon,1.27,1.837,2024-10-04 00:00:00,44.925689,2.805096,3.13,1.75
S_004,Bretagne,Bretagne,Paris,2.55,1.811,2024-04-01 00:00:00,47.407291,1.299891,5.06,2.01
S_031,Grand Est,Occitanie,Marseille,6.79,1.806,2024-05-04 00:00:00,50.19796,5.019639,6.05,4.29
S_066,Auvergne-Rhône-Alpes,Bretagne,Strasbourg,5.76,1.974,2024-10-16 00:00:00,45.643852,5.654212,6.56,2.99
S_042,Île-de-France,Grand Est,Lille,3.11,1.767,2024-10-02 00:00:00,47.389096,2.165436,8.66,7.01
S_007,Auvergne-Rhône-Alpes,Normandie,Lyon,7.95,1.789,2024-09-20 00:00:00,45.383297,-1.646677,2.55,4.14
S_064,Pays de la Loire,Provence-Alpes-Côte d'Azur,Nantes,3.87,1.9,2024-07-20 00:00:00,46.435472,1.949077,4.64,5.37
S_004,Auvergne-Rhône-Alpes,Nouvelle-Aquitaine,Marseille,6.9,1.86,2024-07-20 00:00:00,50.507343,-0.619705,8.59,3.99
S_039,Bretagne,Auvergne-Rhône-Alpes,Lille,7.11,1.935,2024-07-07 00:00:00,49.54036,3.436947,3.63,2.33
S_016,Normandie,Auvergne-Rhône-Alpes,Toulouse,2.02,1.804,2024-06-15 00:00:00,47.625128,0.641169,2.53,8.47
S_016,Bretagne,Provence-Alpes-Côte d'Azur,Lyon,4.75,1.844,2024-10-07 00:00:00,46.116087,0.474651,4.2,7.05
S_092,Auvergne-Rhône-Alpes,Île-de-France,Nantes,4.85,1.985,2024-10-10 00:00:00,47.972254,1.202476,6.93,3.97
S_081,Hauts-de-France,Normandie,Lyon,5.81,1.767,2024-01-07 00:00:00,51.484998,0.488583,6.54,5.44
S_022,Pays de la Loire,Nouvelle-Aquitaine,Paris,4.06,1.986,2024-12-22 00:00:00,46.762434,5.510316,7.08,4.34
S_056,Île-de-France,Bretagne,Lille,5.72,1.939,2024-12-06 00:00:00,47.564444,3.349887,1.5,4.38
S_083,Grand Est,Provence-Alpes-Côte d'Azur,Toulouse,8.15,1.796,2024-04-18 00:00:00,46.054016,2.288572,4.21,2.51
S_028,Auvergne-Rhône-Alpes,Hauts-de-France,Nice,6.94,1.986,2024-07-16 00:00:00,47.583843,2.520903,5.03,3.36
S_033,Bretagne,Nouvelle-Aquitaine,Nantes,6.53,1.859,2024-11-23 00:00:00,45.805734,4.490617,3.5,4.97
S_007,Occitanie,Île-de-France,Strasbourg,7.49,1.877,2024-05-31 00:00:00,51.246401,0.349298,3.22,2.22
S_067,Pays de la Loire,Grand Est,Marseille,5.53,1.85,2024-05-05 00:00:00,47.019686,-0.452986,2.35,3.49
S_095,Bretagne,Auvergne-Rhône-Alpes,Lyon,7.12,1.747,2024-11-04 00:00:00,51.677643,3.304168,5.5,6.19
S_060,Provence-Alpes-Côte d'Azur,Nouvelle-Aquitaine,Bordeaux,3.82,1.716,2024-12-15 00:00:00,52.660837,4.732214,5.33,4.45
S_012,Pays de la Loire,Nouvelle-Aquitaine,Lille,7.52,1.854,2024-11-30 00:00:00,45.045158,-0.565663,3.39,4.21
S_022,Grand Est,Hauts-de-France,Paris,7.23,1.938,2024-08-18 00:00:00,48.470094,5.40253,6.03,2.05
S_005,Normandie,Auvergne-Rhône-Alpes,Bordeaux,4.99,1.909,2024-11-18 00:00:00,44.981634,4.646668,1.85,1.98
S_029,Pays de la Loire,Grand Est,Paris,6.61,1.702,2024-06-09 00:00:00,45.77298,2.659906,5.88,5.6
S_021,Hauts-de-France,Grand Est,Lyon,7.58,1.967,2024-04-27 00:00:00,51.901457,4.585056,3.48,3.24
S_026,Nouvelle-Aquitaine,Pays de la Loire,Bordeaux,6.91,1.964,2024-10-14 00:00:00,45.877754,2.291151,6.54,6.2
S_050,Nouvelle-Aquitaine,Pays de la Loire,Nice,4.23,1.738,2024-12-21 00:00:00,51.692663,0.794116,2.23,6.26
S_094,Hauts-de-France,Grand Est,Paris,5.12,1.864,2024-01-27 00:00:00,48.019144,5.064929,5.83,1.56
S_064,Hauts-de-France,Bretagne,Bordeaux,5.81,1.706,2024-09-26 00:00:00,52.455235,2.645452,5.19,2.74
S_093,Hauts-de-France,Provence-Alpes-Côte d'Azur,Lille,4.28,1.845,2024-01-12 00:00:00,51.173091,5.171844,5.47,5.82
S_029,Auvergne-Rhône-Alpes,Bretagne,Montpellier,6.6,1.833,2024-04-12 00:00:00,47.280229,6.179436,1.6,1.85
S_085,Normandie,Bretagne,Montpellier,7.25,1.943,2024-02-03 00:00:00,46.079158,-1.589512,5.66,5.39
S_018,Occitanie,Île-de-France,Toulouse,8.3,1.853,2024-01-17 00:00:00,46.743062,1.028212,8.54,5.41
S_052,Normandie,Auvergne-Rhône-Alpes,Paris,2.55,1.815,2024-12-09 00:00:00,48.67267,4.20696,4.51,2.57
S_043,Provence-Alpes-Côte d'Azur,Normandie,Nice,7.79,1.843,2024-05-24 00:00:00,50.391465,4.905173,4.31,5.16
S_055,Hauts-de-France,Nouvelle-Aquitaine,Nice,3.77,1.776,2024-05-22 00:00:00,45.524118,4.139794,7.92,4.74
S_034,Hauts-de-France,Auvergne-Rhône-Alpes,Nice,7.56,1.979,2024-01-18 00:00:00,46.473386,0.373579,6.41,6.09
S_021,Nouvelle-Aquitaine,Nouvelle-Aquitaine,Lille,6.32,1.697,2024-05-19 00:00:00,51.6401,1.720117,6.14,4.77
S_003,Normandie,Provence-Alpes-Côte d'Azur,Nice,5.0,1.731,2024-09-17 00:00:00,45.393432,4.693916,2.27,4.66
S_093,Normandie,Île-de-France,Lyon,6.54,1.879,2024-12-04 00:00:00,46.558924,1.952923,7.7,1.36
S_042,Nouvelle-Aquitaine,Nouvelle-Aquitaine,Nice,6.54,1.968,2024-11-23 00:00:00,51.758554,1.660359,4.68,7.19
S_039,Pays de la Loire,Normandie,Nantes,4.96,1.73,2024-04-20 00:00:00,50.792175,1.469541,8.51,6.8
S_028,Grand Est,Provence-Alpes-Côte d'Azur,Strasbourg,5.2,1.795,2024-08-14 00:00:00,48.401855,1.865917,3.44,8.5
S_020,Occitanie,Grand Est,Paris,8.65,1.962,2024-10-08 00:00:00,46.179676,4.113877,5.3,8.8
S_028,Grand Est,Occitanie,Bordeaux,6.78,1.769,2024-05-24 00:00:00,46.009322,3.602699,7.61,2.76
S_035,Grand Est,Bretagne,Marseille,3.27,1.893,2024-01-18 00:00:00,45.811743,0.844346,7.72,7.12
