col_mode_mobilite_id,col_code_mode,col_nom_mode,col_type_mode,col_est_motorise,col_capacite,col_vitesse_max,col_vitesse_max_theorique,col_categorie_energie,col_niveau_service,col_impact_environnemental,col_cout_utilisation,col_accessibilite,col_infrastructure_requise,col_zone_couverture,col_frequence_service,col_niveau_bruit,col_emission_co2_km,col_consommation_energie,col_source
M_06,Transilien,Transilien,Transilien,7.67,5,50,70,1.86,4.14,8.66,2.04,7.07,5.5,6.12,3.45,7.57,7.58,5.98,RATP_Open_Data_2024
M_03,Tramway,Tramway,Bus RATP,2.03,350,110,45,3.52,5.04,6.5,2.68,1.37,6.94,5.35,4.54,5.68,2.76,7.16,SNCF_Open_Data
M_06,Tramway,Transilien,TGV,6.67,50,30,70,4.11,1.77,1.86,2.64,1.99,8.52,7.0,6.93,2.85,6.49,6.15,Airparif
M_08,TGV,Métro,Bus RATP,7.91,350,45,45,6.95,1.33,8.63,2.09,8.57,8.69,4.95,1.69,2.96,2.49,8.6,Météo-France
M_05,TGV,Bus RATP,TER,1.87,5,30,130,2.9,6.23,8.07,4.16,5.43,6.29,2.8,3.48,4.48,8.13,8.61,SNCF_Open_Data
M_10,Transilien,TER,Bus RATP,7.48,800,130,80,1.41,7.1,4.31,5.02,1.91,5.62,1.52,8.32,2.25,8.2,8.27,SNCF_Open_Data
M_08,TER,Transilien,Bus RATP,6.75,800,130,80,2.99,4.74,4.69,5.02,2.94,2.27,1.36,2.46,1.99,8.51,6.48,Airparif
M_05,Transilien,TGV,TER,1.61,50,30,130,3.06,2.91,8.48,1.46,1.23,4.48,5.95,5.48,7.04,3.05,3.81,SNCF_Open_Data
M_07,Tramway,Tramway,Bus RATP,2.64,800,80,30,4.42,3.17,8.73,2.46,5.11,7.28,6.03,6.29,2.57,1.51,4.26,Météo-France
M_05,Bus RATP,Transilien,TGV,7.99,5,130,30,7.74,1.88,7.66,1.38,5.4,1.22,1.77,2.37,6.74,4.97,8.09,RATP_Open_Data_2024
M_10,Transilien,TGV,TGV,2.59,350,50,70,3.81,3.04,8.1,4.0,6.58,4.29,3.7,5.96,4.84,2.98,8.07,Airparif
M_07,TER,Tramway,Transilien,6.38,5,45,30,3.73,6.61,2.91,3.35,7.02,5.19,5.58,8.03,7.79,3.07,6.68,Airparif
M_10,Transilien,TER,Tramway,4.59,350,80,80,3.6,7.32,4.29,2.44,3.13,5.44,6.37,7.81,1.36,3.59,8.02,SNCF_Open_Data
M_07,TGV,TGV,TER,4.62,5,30,50,5.2,7.49,4.05,2.06,3.43,2.89,4.14,2.66,7.62,4.0,6.62,Airparif
M_07,Transilien,Transilien,RER,5.45,120,80,45,2.62,6.36,3.33,1.36,4.86,2.72,7.22,1.42,5.84,3.62,6.51,Data.gouv.fr
M_10,TGV,Transilien,TGV,2.72,120,30,80,3.52,6.75,4.8,2.2,1.82,1.23,4.82,4.59,7.93,1.84,7.88,Airparif
M_09,Bus RATP,Tramway,Métro,5.48,350,110,45,5.93,4.67,1.84,2.77,2.92,4.11,6.48,2.97,6.17,4.62,2.81,Data.gouv.fr
M_07,TER,Transilien,Transilien,3.99,800,45,110,4.15,5.32,6.03,6.27,2.99,5.82,5.45,2.04,2.06,6.89,2.83,SNCF_Open_Data
M_02,RER,TER,Métro,1.43,120,130,130,5.38,5.3,1.79,2.65,3.92,4.05,5.85,8.53,6.86,2.46,6.36,RATP_Open_Data_2024
M_06,Transilien,TGV,Métro,8.78,50,110,50,6.42,4.59,6.09,8.59,4.65,6.31,4.19,2.51,4.06,2.75,1.78,Data.gouv.fr
M_09,Tramway,RER,TER,2.62,50,50,30,2.82,7.13,5.9,8.21,2.54,7.86,1.83,7.24,6.28,8.04,1.55,Météo-France
M_07,TGV,RER,TGV,1.95,50,80,110,5.96,2.26,7.17,2.03,7.2,7.66,6.87,4.05,8.72,6.95,6.22,Météo-France
M_05,RER,Bus RATP,Transilien,3.14,800,70,130,1.48,4.79,6.42,6.32,4.24,4.75,7.09,3.37,6.93,2.55,8.51,SNCF_Open_Data
M_04,Bus RATP,Tramway,TGV,3.47,120,70,30,5.42,6.73,8.16,7.64,3.55,2.16,1.76,7.49,3.51,8.0,8.18,Airparif
M_07,Transilien,Métro,Transilien,4.94,50,50,80,7.45,1.8,7.94,2.88,2.32,8.7,1.9,3.95,8.23,4.63,5.53,Airparif
M_01,Tramway,TER,RER,1.51,350,30,45,4.23,3.4,3.09,2.37,8.34,6.9,7.24,2.97,1.28,2.19,6.19,SNCF_Open_Data
M_02,Bus RATP,RER,TER,4.49,50,45,80,7.34,6.45,8.22,7.39,5.75,2.46,7.2,2.04,2.77,2.64,3.71,Data.gouv.fr
M_10,TGV,Bus RATP,Bus RATP,8.64,5,80,110,4.64,6.09,4.66,5.85,3.47,2.72,5.89,1.57,3.52,3.01,3.12,Météo-France
M_07,Transilien,RER,RER,3.75,350,130,80,3.96,6.58,5.65,7.31,8.58,2.62,4.46,2.46,5.92,6.83,7.44,Météo-France
M_08,Transilien,Bus RATP,Bus RATP,2.42,800,110,45,4.19,8.22,6.86,7.78,3.22,5.83,3.95,7.51,1.68,8.03,2.72,RATP_Open_Data_2024
M_07,Bus RATP,RER,TER,1.77,5,30,130,5.98,1.79,2.27,8.53,8.03,6.13,3.44,8.28,8.56,1.35,8.12,Météo-France
M_02,Bus RATP,Bus RATP,TER,5.11,800,50,45,5.63,7.8,4.53,1.72,5.84,3.0,4.77,3.58,7.28,3.07,3.09,Airparif
M_03,Transilien,Tramway,TER,5.76,800,130,30,6.68,3.79,7.48,5.49,8.44,6.43,3.76,7.59,6.66,3.63,4.23,Météo-France
M_10,Bus RATP,TGV,Transilien,1.71,5,50,110,5.99,3.12,7.2,2.67,2.53,5.94,5.32,7.27,4.11,2.88,1.31,Airparif
M_07,TER,Tramway,Transilien,5.32,800,45,45,8.15,3.66,1.6,8.08,7.46,1.92,5.28,7.4,6.28,6.14,1.26,Data.gouv.fr
M_02,TER,RER,TGV,2.77,350,30,70,1.42,2.46,2.64,4.15,6.37,4.66,5.32,7.23,5.36,1.28,1.72,Data.gouv.fr
M_02,TGV,Tramway,Transilien,6.24,120,110,80,2.47,7.63,6.98,6.39,5.73,6.02,2.12,4.65,3.4,4.93,4.87,RATP_Open_Data_2024
M_04,Tramway,Transilien,Transilien,7.47,5,50,70,7.75,7.17,1.5,5.31,1.44,4.76,8.3,8.15,4.22,3.53,8.27,SNCF_Open_Data
