col_type_route,col_heure,col_intensite_moyenne_veh_h,col_vitesse_moyenne_kmh,col_indice_congestion,col_source
6.74,7.97,3.64,80,5.0,Data.gouv.fr
5.17,5.15,8.66,30,7.42,Météo-France
3.36,4.59,5.74,130,2.75,SNCF_Open_Data
2.19,4.62,2.32,45,4.21,RATP_Open_Data_2024
4.65,1.63,1.64,80,7.37,Data.gouv.fr
2.01,4.27,2.47,110,1.23,Data.gouv.fr
8.42,3.73,8.76,30,3.64,Airparif
5.64,4.59,8.1,130,7.54,SNCF_Open_Data
4.03,6.47,4.66,110,5.74,Météo-France
6.64,2.69,8.42,70,6.91,RATP_Open_Data_2024
7.81,6.75,8.13,45,4.07,Météo-France
6.79,3.46,8.32,50,2.36,Météo-France
2.44,1.52,4.62,110,6.95,SNCF_Open_Data
5.93,3.52,3.33,30,2.12,Météo-France
1.21,1.79,6.38,130,4.08,Data.gouv.fr
7.21,5.79,8.76,50,1.87,SNCF_Open_Data
4.08,6.69,4.5,50,3.95,Météo-France
5.77,7.14,2.35,50,1.88,Météo-France
3.12,2.4,2.56,130,3.78,Météo-France
7.51,7.33,7.03,45,3.37,Météo-France
8.28,6.51,8.19,80,1.79,Météo-France
5.49,2.47,2.88,130,1.93,SNCF_Open_Data
1.25,5.96,4.36,110,4.33,Météo-France
3.66,6.1,3.75,110,6.42,SNCF_Open_Data
5.98,1.8,4.16,30,3.31,Data.gouv.fr
2.96,3.37,3.03,50,4.83,Météo-France
5.86,5.93,3.07,30,7.15,SNCF_Open_Data
1.97,3.48,4.05,70,4.67,SNCF_Open_Data
4.83,3.57,6.69,80,8.41,Airparif
4.34,5.76,7.58,80,7.03,RATP_Open_Data_2024
5.89,2.41,2.72,130,1.48,Data.gouv.fr
7.08,4.99,5.66,110,4.44,Data.gouv.fr
6.55,6.03,3.16,70,5.85,RATP_Open_Data_2024
4.18,7.31,7.53,50,7.98,RATP_Open_Data_2024
8.71,3.77,1.65,70,7.67,Data.gouv.fr
3.67,5.78,2.79,45,7.87,RATP_Open_Data_2024
1.39,7.07,3.58,45,8.45,SNCF_Open_Data
7.65,2.8,7.96,30,5.3,SNCF_Open_Data
1.61,6.46,8.73,30,8.03,Airparif
8.21,4.52,2.22,110,1.89,RATP_Open_Data_2024
8.53,8.0,1.95,110,4.12,Airparif
4.4,5.21,8.73,70,3.36,SNCF_Open_Data
6.38,6.21,1.23,70,8.28,Météo-France
8.79,6.38,5.34,70,4.7,SNCF_Open_Data
5.52,4.09,4.88,80,4.36,RATP_Open_Data_2024
8.33,2.79,5.37,50,3.98,Data.gouv.fr
6.34,4.04,6.17,130,2.87,SNCF_Open_Data
6.8,6.56,1.47,110,8.55,Météo-France
4.64,6.45,2.34,80,1.27,Météo-France
4.53,8.77,8.52,80,3.6,RATP_Open_Data_2024
1.88,1.89,5.38,50,3.01,RATP_Open_Data_2024
5.21,6.5,1.54,50,3.12,SNCF_Open_Data
8.02,5.95,6.26,110,5.73,Airparif
1.91,5.85,2.32,80,5.27,Météo-France
2.18,5.21,6.97,80,7.81,Météo-France
4.09,4.68,4.91,30,2.18,Airparif
5.86,3.69,7.35,130,5.98,RATP_Open_Data_2024
7.52,5.71,6.53,45,5.75,SNCF_Open_Data
7.44,8.07,3.06,110,7.81,SNCF_Open_Data
5.09,5.81,2.91,30,1.62,Airparif
4.87,5.48,4.99,50,7.67,RATP_Open_Data_2024
5.58,6.58,6.43,110,3.86,Airparif
1.73,6.5,1.77,30,7.38,RATP_Open_Data_2024
8.77,2.94,2.95,30,5.01,Météo-France
7.91,2.27,1.53,45,8.03,Airparif
4.99,1.36,7.89,70,6.42,SNCF_Open_Data
1.46,7.67,8.27,130,3.94,SNCF_Open_Data
7.43,8.18,4.74,30,5.71,RATP_Open_Data_2024
2.87,8.36,3.95,80,5.27,SNCF_Open_Data
2.58,7.38,3.22,110,7.13,RATP_Open_Data_2024
7.96,5.08,3.95,80,8.61,Météo-France
8.05,6.14,2.14,45,6.38,Airparif
4.52,7.04,4.81,45,4.89,SNCF_Open_Data
2.27,8.24,4.02,70,3.72,Data.gouv.fr
1.65,1.27,7.08,45,3.24,Météo-France
