col_id_station,col_latitude,col_longitude,col_cp,col_ville,col_adresse,col_carburant,col_prix,col_date_maj,col_services
S_073,47.163417,-1.360591,4.43,Marseille,6.66,8.31,1.882,2024-11-27 00:00:00,2.05
S_026,50.189925,-0.602189,3.72,Toulouse,7.83,4.9,1.986,2024-05-09 00:00:00,8.23
S_070,48.802237,0.021099,7.87,Toulouse,2.26,7.61,1.983,2024-03-16 00:00:00,3.9
S_065,52.11432,5.85523,5.22,Lyon,6.93,2.31,1.698,2024-04-18 00:00:00,1.5
S_053,50.064382,1.717394,2.72,Montpellier,8.29,8.77,1.683,2024-09-15 00:00:00,1.3
S_070,46.954479,5.927171,1.93,Montpellier,2.86,4.2,1.735,2024-02-27 00:00:00,2.06
S_087,48.315978,4.600729,6.42,Nantes,6.69,2.79,1.853,2024-03-24 00:00:00,1.8
S_039,48.074448,0.863741,7.46,Toulouse,5.11,8.12,1.829,2024-06-13 00:00:00,7.66
S_022,48.669241,3.423948,6.64,Strasbourg,4.24,1.68,1.786,2024-07-30 00:00:00,1.65
S_091,51.177981,4.639716,5.44,Strasbourg,2.18,4.35,1.769,2024-10-28 00:00:00,6.15
S_012,47.579081,1.853719,1.56,Nice,4.46,3.73,1.785,2024-08-28 00:00:00,7.07
S_051,47.726866,2.514431,4.88,Montpellier,1.79,3.59,1.953,2024-07-16 00:00:00,5.23
S_010,50.488714,3.770244,5.58,Lyon,6.92,7.07,1.807,2024-01-16 00:00:00,5.41
S_076,45.523291,4.767717,8.13,Nice,8.78,2.18,1.803,2024-03-13 00:00:00,3.39
S_005,49.047251,5.056799,3.15,Lyon,6.05,6.79,1.728,2024-03-23 00:00:00,7.06
S_003,52.121957,0.178302,4.72,Paris,8.76,4.67,1.8,2024-05-01 00:00:00,7.42
S_099,45.92167,-0.727914,7.2,Lille,7.76,3.68,1.71,2024-10-14 00:00:00,2.7
S_084,45.016452,5.941821,4.75,Bordeaux,7.3,2.71,1.939,2024-09-24 00:00:00,2.06
S_066,50.929231,0.628915,5.84,Bordeaux,6.94,2.63,1.891,2024-02-06 00:00:00,5.49
S_100,49.063591,3.518115,8.78,Nantes,3.53,3.22,1.908,2024-07-20 00:00:00,2.51
S_015,46.399777,-0.5369,3.36,Lille,5.65,7.54,1.765,2024-11-01 00:00:00,1.82
S_006,50.500274,3.624122,1.75,Bordeaux,1.4,5.55,1.792,2024-09-04 00:00:00,4.96
S_068,45.79957,2.71211,2.69,Nice,3.62,8.26,1.683,2024-02-18 00:00:00,7.08
S_082,46.359169,2.924308,5.55,Lille,4.71,4.07,1.941,2024-11-03 00:00:00,4.67
S_069,46.179333,2.861033,5.59,Montpellier,3.01,7.82,1.872,2024-10-02 00:00:00,4.47
S_009,52.454649,2.582955,1.37,Toulouse,7.35,2.47,1.915,2024-12-10 00:00:00,7.2
S_051,49.130569,3.362876,2.39,Strasbourg,2.84,6.58,1.924,2024-04-20 00:00:00,8.16
S_012,48.082854,2.987868,8.24,Nice,4.77,1.42,1.705,2024-05-03 00:00:00,7.59
S_062,51.996316,2.612017,3.54,Marseille,7.8,1.24,1.936,2024-10-09 00:00:00,2.8
S_087,48.558428,1.638093,6.85,Lyon,7.77,5.56,1.686,2024-10-17 00:00:00,3.81
S_041,52.068043,2.16799,4.01,Marseille,5.37,1.9,1.941,2024-08-22 00:00:00,5.2
S_094,51.427398,-0.248075,2.37,Marseille,8.47,5.34,1.771,2024-01-06 00:00:00,1.66
S_091,47.348716,1.966927,5.23,Lyon,1.75,6.91,1.797,2024-07-19 00:00:00,4.85
S_072,50.551009,2.465795,4.57,Montpellier,4.7,8.09,1.901,2024-08-11 00:00:00,3.91
S_080,52.601084,-1.269022,8.56,Bordeaux,4.63,1.27,1.74,2024-01-21 00:00:00,1.71
S_011,47.659652,-0.191688,5.19,Bordeaux,5.04,2.47,1.685,2024-05-04 00:00:00,4.88
S_047,50.515185,0.045176,7.77,Strasbourg,3.0,5.7,1.821,2024-10-14 00:00:00,6.24
S_030,49.033723,-0.931653,3.19,Marseille,4.13,1.97,1.744,2024-07-03 00:00:00,4.59
S_040,50.367759,-0.985583,4.77,Bordeaux,3.86,1.85,1.937,2024-10-13 00:00:00,5.55
S_059,47.074049,3.742759,2.59,Lyon,2.18,1.68,1.772,2024-04-23 00:00:00,5.74
S_037,45.342415,0.151398,4.64,Marseille,8.36,7.85,1.908,2024-10-10 00:00:00,6.72
S_021,47.7892,3.036997,1.7,Lille,4.25,7.22,1.983,2024-11-25 00:00:00,3.52
S_069,46.684555,5.496424,8.74,Lyon,8.76,6.77,1.892,2024-09-20 00:00:00,4.37
S_028,49.165646,2.963257,6.0,Marseille,2.94,1.66,1.803,2024-05-15 00:00:00,7.88
S_038,47.178947,3.165669,3.17,Nice,6.98,4.15,1.951,2024-06-03 00:00:00,3.73
S_098,47.605358,1.961647,6.17,Paris,5.72,2.3,1.828,2024-05-07 00:00:00,5.65
S_019,45.577992,4.919704,4.71,Marseille,5.43,5.97,1.881,2024-03-20 00:00:00,4.26
S_053,45.158875,4.279978,2.03,Lille,4.38,8.42,1.772,2024-02-12 00:00:00,6.81
S_043,51.996581,1.88557,5.3,Toulouse,6.32,4.38,1.761,2024-09-28 00:00:00,5.97
S_075,49.263446,2.58086,1.77,Lyon,6.38,4.93,1.81,2024-11-22 00:00:00,8.19
S_063,50.527274,-1.058217,4.06,Lyon,7.65,3.66,1.719,2024-10-20 00:00:00,8.35
S_081,47.141156,5.909676,3.69,Lyon,8.66,1.34,1.828,2024-11-09 00:00:00,2.68
S_070,47.616859,3.595716,5.24,Lille,2.12,6.27,1.752,2024-06-01 00:00:00,2.41
S_065,50.172087,1.42823,7.0,Nantes,7.91,2.03,1.912,2024-10-18 00:00:00,5.13
S_006,45.737919,1.830969,4.04,Montpellier,5.43,6.83,1.691,2024-06-17 00:00:00,6.86
S_060,50.818694,5.932715,3.24,Strasbourg,4.8,8.47,1.706,2024-06-29 00:00:00,8.51
S_038,51.823665,4.909193,3.31,Montpellier,8.63,7.74,1.939,2024-12-05 00:00:00,6.68
S_074,47.937338,5.241065,5.62,Paris,1.66,5.2,1.951,2024-03-26 00:00:00,7.97
S_025,48.113832,2.664119,2.37,Nice,1.5,7.36,1.682,2024-06-29 00:00:00,2.2
S_046,50.23744,0.027625,8.53,Toulouse,6.53,4.2,1.965,2024-07-07 00:00:00,6.47
S_048,46.440535,1.697941,2.57,Paris,2.62,4.73,1.931,2024-07-08 00:00:00,1.63
S_072,51.950546,3.12096,4.71,Lille,2.53,8.54,1.73,2024-11-24 00:00:00,8.72
S_020,49.330374,-1.105784,2.96,Lille,7.6,6.14,1.867,2024-06-06 00:00:00,4.32
S_085,46.024723,3.182313,4.03,Nantes,6.52,7.16,1.804,2024-02-08 00:00:00,6.69
S_027,45.055948,4.1939,2.68,Bordeaux,7.64,5.35,1.935,2024-03-04 00:00:00,1.76
S_048,49.195624,4.825514,5.3,Toulouse,2.26,7.15,1.817,2024-05-18 00:00:00,6.98
S_030,46.305579,-0.391085,4.94,Toulouse,7.7,8.48,1.751,2024-07-04 00:00:00,1.23
S_016,46.764726,-0.618374,1.56,Nantes,4.58,5.36,1.688,2024-10-01 00:00:00,1.35
S_008,50.874351,3.615472,2.81,Lille,8.8,3.67,1.876,2024-02-08 00:00:00,7.12
S_071,47.077488,0.4072,4.1,Strasbourg,3.59,2.51,1.801,2024-03-06 00:00:00,4.91
S_020,44.869987,5.885204,2.96,Toulouse,8.74,7.0,1.858,2024-10-27 00:00:00,7.86
S_060,47.760406,4.648745,5.01,Montpellier,4.83,5.05,1.878,2024-03-06 00:00:00,3.35
S_045,51.102075,2.13262,6.81,Bordeaux,7.12,4.91,1.864,2024-06-30 00:00:00,5.13
S_047,45.93185,1.28127,5.64,Marseille,1.93,2.31,1.759,2024-07-16 00:00:00,7.15
S_057,52.446291,3.809401,3.49,Nice,4.74,8.78,1.815,2024-12-14 00:00:00,4.33
S_091,46.284649,-1.473074,6.13,Nantes,7.92,8.06,1.89,2024-04-25 00:00:00,6.48
S_079,46.179851,-0.51365,3.18,Lille,6.64,7.18,1.813,2024-05-25 00:00:00,8.33
S_044,45.897136,3.27157,5.97,Toulouse,6.35,2.18,1.753,2024-06-01 00:00:00,7.25
S_069,46.546872,3.301356,6.71,Marseille,1.77,1.33,1.815,2024-07-18 00:00:00,6.95
S_042,50.303551,3.954069,2.64,Toulouse,7.01,1.69,1.989,2024-03-19 00:00:00,5.77
S_029,52.560728,1.531565,8.48,Toulouse,2.58,2.41,1.947,2024-06-25 00:00:00,5.61
S_012,48.440842,0.515327,7.2,Toulouse,6.81,4.12,1.761,2024-04-02 00:00:00,5.36
S_043,51.722587,0.896285,4.84,Strasbourg,5.52,3.17,1.957,2024-12-26 00:00:00,5.81
S_077,47.061081,4.112566,3.27,Strasbourg,2.44,5.44,1.858,2024-09-30 00:00:00,4.92
S_047,49.50436,6.123248,7.67,Paris,5.56,2.99,1.99,2024-11-18 00:00:00,4.46
S_005,50.507871,1.466144,8.23,Paris,1.83,1.97,1.795,2024-10-26 00:00:00,2.44
S_009,52.490386,5.885558,3.3,Bordeaux,4.03,8.56,1.91,2024-07-19 00:00:00,2.55
S_038,52.761291,-0.233911,2.78,Nantes,5.11,5.91,1.983,2024-04-03 00:00:00,5.76
S_042,46.756137,-0.237506,8.37,Strasbourg,7.0,3.54,1.777,2024-11-27 00:00:00,7.21
S_083,52.641675,1.301064,3.16,Paris,6.58,3.61,1.813,2024-02-18 00:00:00,4.16
S_089,48.100816,0.707836,3.28,Bordeaux,3.31,2.82,1.818,2024-02-03 00:00:00,1.61
S_028,45.209664,0.905029,1.96,Montpellier,5.1,5.02,1.699,2024-01-17 00:00:00,1.35
S_004,51.761048,3.938801,7.44,Montpellier,5.08,5.44,1.847,2024-01-15 00:00:00,2.56
S_050,45.040282,4.06899,1.51,Bordeaux,2.33,1.84,1.966,2024-08-19 00:00:00,2.24
S_021,50.926186,5.822489,3.46,Strasbourg,6.55,7.33,1.763,2024-12-03 00:00:00,1.49
S_078,50.669814,0.131951,4.8,Montpellier,8.02,2.26,1.906,2024-09-01 00:00:00,2.59
S_028,50.519269,4.833521,2.84,Paris,4.38,2.58,1.724,2024-10-24 00:00:00,8.36
S_098,46.474528,4.97306,1.57,Lille,4.97,4.84,1.864,2024-03-22 00:00:00,7.62
S_081,49.439988,1.072746,6.44,Marseille,8.76,6.66,1.808,2024-11-29 00:00:00,3.83
S_061,48.949211,2.993482,7.48,Strasbourg,5.87,4.02,1.973,2024-02-02 00:00:00,6.89
S_047,49.9298,2.495392,6.86,Toulouse,7.75,2.65,1.746,2024-09-13 00:00:00,8.6
S_099,52.232942,1.280084,4.43,Marseille,4.51,1.88,1.761,2024-09-02 00:00:00,7.24
S_011,47.95569,4.450502,6.15,Nice,4.42,3.94,1.889,2024-02-21 00:00:00,5.21
S_013,47.746416,3.217182,7.77,Lille,6.45,7.7,1.88,2024-01-26 00:00:00,2.1
S_016,45.475152,5.671927,1.4,Lyon,3.7,4.0,1.825,2024-10-19 00:00:00,8.29
S_021,47.284821,4.946363,5.51,Toulouse,2.6,5.7,1.855,2024-01-04 00:00:00,6.38
S_038,49.565658,6.143282,7.97,Lille,4.92,5.15,1.79,2024-08-24 00:00:00,8.64
S_100,52.107976,5.668368,5.92,Lille,4.95,6.19,1.906,2024-07-18 00:00:00,8.76
S_088,51.336112,6.141237,3.56,Toulouse,2.85,4.52,1.839,2024-09-12 00:00:00,7.27
S_034,48.71917,3.802954,2.91,Strasbourg,6.57,6.35,1.93,2024-08-16 00:00:00,1.69
S_099,52.33803,6.299483,6.75,Toulouse,2.24,6.21,1.948,2024-10-22 00:00:00,7.07
S_085,48.656896,5.931902,3.88,Lyon,2.28,6.61,1.726,2024-10-28 00:00:00,5.36
S_042,46.976214,4.053047,1.31,Lyon,3.62,5.89,1.763,2024-07-10 00:00:00,4.31
S_009,47.704125,6.112828,6.4,Lyon,1.64,1.72,1.73,2024-05-27 00:00:00,2.19
S_065,49.245052,5.579926,1.37,Nice,1.46,6.29,1.863,2024-10-31 00:00:00,3.91
S_062,52.806608,-0.524489,3.29,Lille,6.82,5.27,1.896,2024-11-08 00:00:00,8.74
S_034,52.142201,2.29102,7.84,Marseille,1.57,7.55,1.882,2024-07-22 00:00:00,6.13
S_089,50.943297,-0.690464,4.6,Paris,8.38,5.75,1.956,2024-05-11 00:00:00,2.27
S_069,47.74888,5.675,2.08,Nantes,6.2,2.51,1.707,2024-06-09 00:00:00,6.37
S_016,48.38116,2.607687,7.53,Toulouse,6.17,6.8,1.749,2024-02-18 00:00:00,5.32
S_088,51.475971,1.886178,1.47,Strasbourg,8.61,6.72,1.705,2024-09-03 00:00:00,3.95
S_011,48.95597,2.799441,4.61,Nantes,7.83,2.5,1.721,2024-08-28 00:00:00,7.35
S_033,48.474411,5.996588,5.25,Montpellier,2.18,7.08,1.919,2024-02-12 00:00:00,7.26
S_097,46.992189,5.997762,6.0,Montpellier,5.38,2.87,1.846,2024-05-10 00:00:00,7.02
S_031,45.059718,6.341399,3.35,Nantes,1.49,6.78,1.891,2024-11-03 00:00:00,2.37
S_013,47.205625,-0.341767,8.45,Strasbourg,7.28,5.4,1.71,2024-08-22 00:00:00,7.95
S_043,45.775089,4.116492,2.76,Lille,6.78,6.32,1.726,2024-11-06 00:00:00,4.14
S_059,47.905829,3.567058,3.09,Strasbourg,5.65,2.18,1.702,2024-03-11 00:00:00,6.16
S_062,47.189548,5.100948,5.32,Nice,3.4,8.7,1.801,2024-03-11 00:00:00,6.72
S_026,44.943156,0.416154,2.74,Lyon,1.66,5.91,1.89,2024-10-26 00:00:00,7.49
S_020,49.61771,6.235494,7.21,Lille,2.11,2.91,1.917,2024-09-11 00:00:00,7.99
S_011,48.247806,0.305518,4.41,Montpellier,8.65,6.39,1.748,2024-01-05 00:00:00,4.5
S_044,52.521505,1.318324,2.67,Strasbourg,5.48,2.42,1.686,2024-03-17 00:00:00,2.62
S_070,48.750479,-1.644896,1.96,Strasbourg,8.14,6.11,1.839,2024-05-23 00:00:00,1.59
S_090,48.586903,2.368869,2.68,Nice,7.38,5.43,1.795,2024-02-15 00:00:00,2.83
S_063,45.346426,0.233583,2.96,Bordeaux,4.77,5.15,1.687,2024-06-30 00:00:00,4.97
S_048,49.129113,2.609928,1.3,Toulouse,4.14,3.27,1.925,2024-03-04 00:00:00,5.07
S_022,52.328479,-0.24533,5.79,Marseille,7.76,7.35,1.9,2024-12-24 00:00:00,4.68
S_088,49.505731,-0.685286,1.28,Nice,6.66,5.8,1.927,2024-01-18 00:00:00,6.44
S_007,50.506332,-0.198321,7.97,Montpellier,3.68,4.4,1.752,2024-06-27 00:00:00,3.85
S_068,47.685505,4.738421,1.67,Paris,7.25,7.29,1.819,2024-02-02 00:00:00,4.62
S_084,45.899564,5.080468,8.07,Lyon,4.66,7.4,1.871,2024-04-02 00:00:00,7.45
S_006,48.090234,1.19547,7.09,Paris,2.5,6.21,1.896,2024-02-05 00:00:00,7.3
S_063,50.420343,3.046096,3.56,Toulouse,3.74,6.02,1.82,2024-03-09 00:00:00,5.56
S_067,50.971577,2.73366,5.13,Lyon,5.43,3.46,1.801,2024-05-02 00:00:00,6.62
S_083,47.050879,0.83767,6.38,Marseille,6.75,2.23,1.771,2024-01-22 00:00:00,2.06
S_025,47.98907,1.012179,1.29,Toulouse,5.38,4.26,1.744,2024-12-11 00:00:00,3.66
S_021,47.673146,4.846609,2.89,Toulouse,4.99,3.39,1.832,2024-10-30 00:00:00,3.61
S_016,47.801315,2.901737,8.11,Strasbourg,8.07,4.08,1.982,2024-12-06 00:00:00,8.09
S_030,52.42077,5.178279,1.35,Montpellier,7.9,1.78,1.783,2024-01-27 00:00:00,4.2
S_031,46.653429,4.958269,4.08,Marseille,3.3,4.9,1.691,2024-10-30 00:00:00,1.7
S_032,45.4659,0.101205,7.71,Nice,7.08,8.21,1.71,2024-11-19 00:00:00,1.54
S_019,50.361266,1.612992,2.59,Strasbourg,6.75,2.1,1.88,2024-04-06 00:00:00,5.99
S_098,49.195009,3.754192,6.81,Bordeaux,7.12,2.66,1.963,2024-10-27 00:00:00,6.5
S_024,45.87038,1.36975,2.27,Lyon,4.57,3.59,1.684,2024-11-04 00:00:00,8.33
S_075,48.316062,-1.481743,7.09,Nice,1.43,7.63,1.775,2024-10-02 00:00:00,7.85
S_040,45.763742,-1.081246,5.32,Nice,3.68,8.34,1.934,2024-11-02 00:00:00,6.04
S_018,46.704288,3.438312,8.0,Toulouse,2.03,1.51,1.833,2024-02-06 00:00:00,5.31
S_016,48.127903,5.699621,2.5,Lyon,6.04,5.35,1.983,2024-08-30 00:00:00,6.46
S_004,45.702351,0.689087,1.71,Lille,7.21,3.43,1.903,2024-03-18 00:00:00,2.78
S_008,46.005499,4.78223,5.47,Lyon,3.53,6.42,1.933,2024-05-31 00:00:00,7.6
S_094,51.523753,4.510149,6.14,Toulouse,2.99,6.11,1.896,2024-04-29 00:00:00,6.72
S_007,49.521984,2.679055,3.61,Montpellier,4.79,3.37,1.784,2024-02-15 00:00:00,7.09
S_088,50.997053,1.61943,8.34,Lyon,1.74,4.83,1.697,2024-05-07 00:00:00,1.48
S_064,51.791196,-0.96859,8.73,Paris,5.95,1.24,1.849,2024-09-28 00:00:00,4.03
S_096,45.862296,5.810629,1.74,Montpellier,8.34,1.82,1.884,2024-05-17 00:00:00,8.58
S_036,50.465995,3.875891,4.29,Lille,4.78,8.34,1.983,2024-02-18 00:00:00,8.3
S_079,47.082258,2.420346,4.01,Nantes,3.37,8.02,1.815,2024-11-30 00:00:00,6.39
S_059,50.912169,5.442561,8.27,Lille,2.86,6.04,1.793,2024-01-12 00:00:00,7.66
S_013,47.937517,5.896351,1.65,Paris,2.69,4.41,1.935,2024-09-01 00:00:00,7.67
S_086,51.084268,2.15341,4.64,Bordeaux,2.33,6.74,1.907,2024-12-25 00:00:00,5.67
S_076,48.559561,0.255967,1.96,Marseille,4.37,3.15,1.715,2024-05-09 00:00:00,6.79
S_083,49.173418,6.062512,1.3,Nantes,1.23,2.7,1.977,2024-09-04 00:00:00,2.8
S_066,51.183017,3.631975,5.05,Nice,3.42,4.07,1.884,2024-05-22 00:00:00,5.66
S_071,48.952098,5.885366,1.22,Strasbourg,3.75,6.39,1.85,2024-04-28 00:00:00,3.64
S_056,49.104658,-0.996658,7.21,Marseille,2.33,3.07,1.934,2024-06-26 00:00:00,3.77
S_099,45.439595,4.203083,3.02,Nice,2.83,2.64,1.966,2024-03-16 00:00:00,7.86
S_025,51.722099,-0.472612,7.63,Paris,4.89,5.27,1.868,2024-05-25 00:00:00,1.84
S_011,51.329667,2.885352,7.14,Lille,5.69,8.38,1.941,2024-02-11 00:00:00,1.82
S_048,50.441026,3.661193,1.73,Lyon,6.97,3.02,1.68,2024-05-12 00:00:00,7.25
S_094,47.654338,1.210921,6.54,Marseille,3.84,1.51,1.85,2024-08-16 00:00:00,6.95
S_059,47.916483,1.391316,7.82,Nice,2.28,4.23,1.982,2024-07-05 00:00:00,5.52
S_009,45.701821,5.166068,2.99,Lille,4.01,4.8,1.951,2024-07-11 00:00:00,8.02
S_031,46.911281,1.900078,1.77,Strasbourg,8.08,6.52,1.884,2024-03-18 00:00:00,3.97
S_055,46.635769,1.051192,3.62,Strasbourg,7.97,4.03,1.95,2024-12-20 00:00:00,2.88
S_047,46.349553,4.26647,4.64,Lille,4.5,5.17,1.842,2024-06-26 00:00:00,4.9
S_042,47.421211,-0.064921,7.16,Bordeaux,8.12,3.87,1.738,2024-09-16 00:00:00,1.83
S_001,50.037678,4.062414,4.86,Paris,7.15,7.9,1.904,2024-06-19 00:00:00,2.55
S_069,45.044231,5.127987,7.05,Lyon,7.89,6.6,1.884,2024-12-03 00:00:00,3.16
S_018,45.22073,-0.516562,1.96,Toulouse,7.08,8.19,1.985,2024-02-28 00:00:00,3.11
S_036,45.204198,-0.464948,3.31,Marseille,8.62,1.34,1.771,2024-04-14 00:00:00,2.61
S_097,52.14215,2.195175,3.19,Lille,1.59,8.72,1.902,2024-09-03 00:00:00,5.59
S_097,48.371763,4.727408,3.37,Lyon,3.13,6.6,1.9,2024-08-15 00:00:00,3.77
S_099,46.088791,6.242741,4.01,Paris,2.76,5.33,1.947,2024-04-18 00:00:00,2.48
S_085,47.374339,3.660756,5.12,Bordeaux,1.28,4.29,1.753,2024-09-29 00:00:00,5.92
S_094,47.057382,-1.098036,7.37,Marseille,8.5,7.64,1.849,2024-09-06 00:00:00,5.88
S_075,51.799592,-0.245925,5.59,Bordeaux,5.82,6.09,1.828,2024-09-15 00:00:00,4.42
S_078,49.498484,3.10087,2.17,Lille,3.76,8.07,1.977,2024-01-14 00:00:00,5.11
S_036,52.429102,5.250625,6.19,Lyon,2.19,8.22,1.829,2024-09-15 00:00:00,6.16
S_012,50.735937,2.61987,4.02,Bordeaux,5.82,5.13,1.726,2024-01-08 00:00:00,7.01
S_035,49.176847,5.561778,8.65,Montpellier,4.93,7.84,1.708,2024-11-28 00:00:00,8.68
S_026,47.033997,5.482723,7.91,Paris,8.52,7.23,1.751,2024-08-19 00:00:00,6.95
S_087,46.521653,6.139077,2.38,Lille,5.86,8.74,1.703,2024-08-02 00:00:00,7.14
S_059,48.943741,4.851076,2.54,Nantes,8.28,1.59,1.683,2024-09-26 00:00:00,8.73
S_071,50.315279,-1.105982,3.16,Bordeaux,6.97,5.26,1.934,2024-10-20 00:00:00,7.84
S_060,47.901933,4.960539,3.99,Paris,4.7,8.31,1.911,2024-01-19 00:00:00,4.26
S_087,46.188053,-1.449936,8.34,Toulouse,1.45,6.85,1.746,2024-06-02 00:00:00,5.72
S_018,44.87025,1.275408,6.85,Strasbourg,5.06,5.66,1.776,2024-08-17 00:00:00,8.7
S_001,50.6609,1.222053,2.17,Bordeaux,6.79,8.69,1.743,2024-09-11 00:00:00,2.08
S_061,46.929492,3.2534,3.02,Lyon,2.15,3.13,1.886,2024-07-18 00:00:00,8.45
S_051,50.763952,0.634843,5.42,Toulouse,5.36,1.44,1.869,2024-03-24 00:00:00,1.41
S_040,45.48573,1.762766,4.53,Lyon,6.65,1.89,1.737,2024-08-17 00:00:00,6.18
S_008,48.299178,4.335216,4.49,Toulouse,1.48,5.46,1.727,2024-12-08 00:00:00,8.51
S_068,49.455543,5.821128,2.13,Montpellier,1.66,3.22,1.703,2024-03-29 00:00:00,7.18
S_046,52.754059,3.391469,6.33,Marseille,4.29,5.26,1.95,2024-01-24 00:00:00,7.0
S_013,47.146879,1.678799,7.5,Toulouse,3.54,3.16,1.898,2024-09-23 00:00:00,8.74
S_045,45.273137,2.442049,4.43,Nantes,6.6,6.91,1.796,2024-02-10 00:00:00,8.49
S_025,47.312313,6.223977,6.16,Nice,7.02,6.2,1.877,2024-02-19 00:00:00,1.86
S_040,49.104631,3.064214,5.54,Lyon,6.96,7.62,1.773,2024-04-07 00:00:00,6.27
S_056,51.511707,4.253869,4.66,Nantes,3.97,5.93,1.969,2024-02-23 00:00:00,4.93
S_100,52.197221,1.029538,2.88,Toulouse,7.55,5.77,1.849,2024-03-16 00:00:00,1.4
S_029,50.752315,5.760617,5.92,Montpellier,5.15,8.16,1.705,2024-02-21 00:00:00,2.57
S_068,51.304464,1.909132,1.74,Toulouse,6.44,5.62,1.776,2024-01-08 00:00:00,1.49
S_100,52.384323,2.728698,6.15,Lille,5.18,4.3,1.822,2024-04-30 00:00:00,8.6
S_100,45.783978,3.079496,4.37,Paris,5.92,2.85,1.908,2024-05-24 00:00:00,5.77
S_024,50.362722,6.160734,5.5,Montpellier,8.04,5.78,1.74,2024-11-11 00:00:00,5.55
S_098,45.683986,-1.319628,4.83,Nice,6.62,7.52,1.829,2024-08-28 00:00:00,7.86
S_030,45.604782,3.822677,4.71,Strasbourg,7.2,1.61,1.753,2024-07-12 00:00:00,4.82
S_063,47.260131,-1.286474,6.24,Nice,5.42,1.33,1.888,2024-08-22 00:00:00,2.99
S_019,46.103169,-1.279104,6.76,Nice,7.29,2.51,1.874,2024-05-07 00:00:00,3.51
S_045,45.584564,2.050396,2.62,Marseille,5.04,8.51,1.939,2024-04-04 00:00:00,6.7
S_049,46.651917,2.578986,4.64,Montpellier,2.58,4.91,1.732,2024-11-22 00:00:00,3.57
S_035,51.473512,4.524122,8.15,Montpellier,2.5,1.6,1.856,2024-07-22 00:00:00,6.83
S_065,45.994596,2.379157,1.91,Lille,4.91,4.56,1.857,2024-11-05 00:00:00,5.89
S_085,50.536233,1.596796,2.44,Lille,3.82,2.16,1.746,2024-10-24 00:00:00,1.68
S_084,46.554193,0.120655,8.46,Marseille,3.12,3.7,1.863,2024-02-04 00:00:00,1.95
S_010,48.689045,3.469478,8.45,Montpellier,2.98,6.91,1.879,2024-02-29 00:00:00,3.44
S_070,50.435319,0.752057,2.62,Bordeaux,8.66,8.11,1.813,2024-06-08 00:00:00,8.61
S_088,52.267407,-1.443049,1.72,Strasbourg,8.55,5.92,1.697,2024-01-09 00:00:00,2.46
S_057,47.040163,3.693193,7.23,Lyon,5.13,8.51,1.904,2024-07-10 00:00:00,5.2
