col_station,col_lignes,col_trafic_journalier,col_trafic_annuel,col_nombre_correspondances,col_zone_tarifaire,col_ville,col_source,col_date_maj
Gare du Nord 8,5.44,8.02,6.98,5.72,7.45,Bordeaux,Airparif,2024-04-27 00:00:00
Saint-Charles 2,1.82,4.46,6.46,1.82,3.31,Montpellier,SNCF_Open_Data,2024-10-31 00:00:00
Gare du Nord 3,1.87,2.7,4.81,2.35,6.87,Nantes,SNCF_Open_Data,2024-08-12 00:00:00
Gare du Nord 6,4.3,4.22,4.12,2.86,5.69,Lille,SNCF_Open_Data,2024-11-09 00:00:00
Saint-Charles 6,6.63,5.79,5.18,8.6,8.72,Lyon,RATP_Open_Data_2024,2024-04-04 00:00:00
Gare de l'Est 7,7.34,1.93,4.6,3.64,5.82,Lyon,Météo-France,2024-01-04 00:00:00
Gare du Nord 3,5.92,5.45,2.93,5.85,3.83,Marseille,Airparif,2024-09-22 00:00:00
Saint-Charles 6,3.37,4.37,6.53,3.99,4.23,Nantes,Data.gouv.fr,2024-06-28 00:00:00
Gare du Nord 5,3.55,2.31,3.32,6.18,4.31,Nice,Météo-France,2024-04-16 00:00:00
Part-Dieu 2,8.43,2.26,4.25,4.17,3.51,Bordeaux,Data.gouv.fr,2024-11-20 00:00:00
Gare de Lyon 6,4.82,3.84,4.84,5.4,1.83,Nice,Airparif,2024-09-21 00:00:00
Saint-Jean 1,1.94,4.31,5.23,7.32,8.79,Strasbourg,Data.gouv.fr,2024-01-15 00:00:00
