col_annee,col_emissions_co2_transport_mt,col_indice_qualite_air,col_consommation_energie_transport_twh,col_part_transport_emissions_pourcent,col_reduction_emissions_vs_2019_pourcent,col_amelioration_qualite_air_pourcent,col_objectif_atteint,col_source,col_date_collecte
2.69,1.74,3.58,7.65,2.85,4.71,8.47,4.74,Airparif,2024-08-14 00:00:00
2.63,8.36,8.4,3.89,7.75,2.06,5.73,4.07,RATP_Open_Data_2024,2024-08-30 00:00:00
5.53,7.14,1.63,5.28,5.83,3.54,1.46,6.96,SNCF_Open_Data,2024-01-30 00:00:00
5.4,5.74,5.75,1.67,8.18,4.34,6.97,7.87,SNCF_Open_Data,2024-07-13 00:00:00
7.41,3.19,6.97,4.08,6.85,7.57,5.46,2.91,Météo-France,2024-04-17 00:00:00
7.57,3.74,3.19,1.66,5.35,6.08,4.15,4.52,Data.gouv.fr,2024-07-16 00:00:00
7.68,7.5,3.5,4.44,5.07,6.1,3.4,7.7,Airparif,2024-02-21 00:00:00
3.58,2.15,6.54,2.45,2.08,2.96,2.29,8.57,Data.gouv.fr,2024-02-18 00:00:00
3.58,1.56,7.1,4.91,4.64,2.91,7.98,7.17,Météo-France,2024-04-30 00:00:00
2.45,6.11,6.16,3.56,6.32,6.88,8.01,4.09,SNCF_Open_Data,2024-12-02 00:00:00
1.45,2.77,2.95,7.02,7.83,2.25,6.42,8.33,Météo-France,2024-12-18 00:00:00
6.12,4.88,1.56,1.25,4.6,7.11,6.76,7.91,Airparif,2024-10-16 00:00:00
5.87,5.42,4.85,4.88,2.3,2.31,2.95,5.07,SNCF_Open_Data,2024-09-28 00:00:00
5.06,8.68,6.13,2.74,2.79,5.61,7.41,3.41,Airparif,2024-11-08 00:00:00
4.12,5.93,3.11,6.0,3.09,5.5,4.41,3.11,Météo-France,2024-09-01 00:00:00
1.69,4.79,2.74,6.17,5.57,8.07,6.01,6.12,SNCF_Open_Data,2024-06-20 00:00:00
4.53,6.89,6.92,7.04,5.78,3.99,5.62,4.12,Météo-France,2024-06-24 00:00:00
3.25,8.06,3.86,2.8,2.95,6.08,3.98,7.12,Météo-France,2024-12-19 00:00:00
8.39,7.37,8.78,5.57,1.42,2.27,7.26,8.43,SNCF_Open_Data,2024-11-16 00:00:00
6.01,8.3,7.21,2.4,7.81,5.97,2.18,4.04,RATP_Open_Data_2024,2024-12-21 00:00:00
4.97,8.18,1.84,8.38,1.39,2.74,3.18,3.8,Data.gouv.fr,2024-03-03 00:00:00
2.68,1.44,8.05,7.67,2.31,5.02,5.8,6.14,Météo-France,2024-07-21 00:00:00
8.74,7.89,5.87,8.63,1.69,2.75,6.4,8.74,Data.gouv.fr,2024-03-15 00:00:00
5.41,2.82,5.98,7.06,2.32,7.69,3.21,4.07,Airparif,2024-03-03 00:00:00
3.01,3.19,8.05,7.5,7.36,4.42,4.35,8.6,RATP_Open_Data_2024,2024-05-14 00:00:00
6.38,8.1,1.9,7.95,1.23,8.77,8.37,5.86,Météo-France,2024-09-12 00:00:00
1.83,3.26,2.15,6.58,7.25,6.07,1.74,5.38,SNCF_Open_Data,2024-02-20 00:00:00
1.73,2.29,8.53,5.51,3.99,3.5,4.41,2.84,RATP_Open_Data_2024,2024-10-11 00:00:00
5.3,3.06,2.73,6.28,2.33,6.49,3.84,6.6,Météo-France,2024-09-19 00:00:00
