col_mobilite_id,col_time_id,col_zone_id,col_mode_id,col_ligne_id,col_arret_id,col_segment_id,col_evenement_id,col_vehicule_id,col_trafic_mesure,col_vitesse_moyenne,col_temps_attente,col_taux_frequentation,col_nbr_accidents,col_niveau_delinquance,col_congestion_level,col_est_weekend,col_est_vacances,col_est_jour_ferie,col_is_peak_hour,col_high_risk_area,col_cout_energie_km,col_consommation_totale,col_feedback_score,col_source,col_date_insertion
MOB_00034,00034,00034,00034,00034,00034,00034,00034,00034,41.95,2.34,1.02,3.35,73,5.15,Élevé,OUI,NON,NON,NON,NON,0.66,7.97,88,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00035,00035,00035,00035,00035,00035,00035,00035,00035,11.77,7.26,9.97,4.82,85,4.36,Modéré,NON,NON,OUI,NON,NON,4.23,4.97,60,Meteo_France,2024-01-01 00:00:00
MOB_00036,00036,00036,00036,00036,00036,00036,00036,00036,10.26,7.90,5.18,2.03,65,6.88,Critique,OUI,NON,NON,NON,OUI,2.54,5.78,90,Data.gouv.fr,2024-01-01 00:00:00
MOB_00037,00037,00037,00037,00037,00037,00037,00037,00037,4.21,3.90,3.51,2.52,13,8.40,Faible,NON,OUI,NON,OUI,NON,2.47,8.91,25,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00038,00038,00038,00038,00038,00038,00038,00038,00038,10.03,4.51,2.71,9.45,45,7.34,Élevé,NON,OUI,OUI,NON,OUI,3.46,3.94,55,Data.gouv.fr,2024-01-01 00:00:00
MOB_00039,00039,00039,00039,00039,00039,00039,00039,00039,3.97,9.16,4.54,7.83,7,6.59,Critique,NON,NON,NON,NON,NON,4.56,7.06,73,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00040,00040,00040,00040,00040,00040,00040,00040,00040,4.74,1.51,8.57,8.54,8,1.82,Faible,OUI,OUI,NON,NON,OUI,7.92,6.04,14,Meteo_France,2024-01-01 00:00:00
MOB_00041,00041,00041,00041,00041,00041,00041,00041,00041,5.89,4.75,3.75,9.61,10,9.85,Élevé,OUI,NON,OUI,NON,NON,5.95,9.34,57,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00042,00042,00042,00042,00042,00042,00042,00042,00042,24.19,1.22,3.79,3.10,89,7.06,Faible,NON,OUI,OUI,OUI,NON,7.32,2.77,20,Data.gouv.fr,2024-01-01 00:00:00
MOB_00043,00043,00043,00043,00043,00043,00043,00043,00043,36.39,6.09,8.76,9.44,25,5.56,Élevé,OUI,NON,OUI,OUI,NON,9.35,8.74,97,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00044,00044,00044,00044,00044,00044,00044,00044,00044,11.04,6.69,1.23,2.13,49,9.71,Faible,NON,OUI,OUI,OUI,NON,0.52,8.71,97,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00045,00045,00045,00045,00045,00045,00045,00045,00045,25.98,7.05,8.11,6.36,99,2.68,Élevé,NON,OUI,NON,OUI,OUI,2.27,9.18,85,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00046,00046,00046,00046,00046,00046,00046,00046,00046,24.41,8.82,2.72,1.39,44,3.22,Critique,NON,NON,NON,NON,NON,2.10,7.84,1,Data.gouv.fr,2024-01-01 00:00:00
MOB_00047,00047,00047,00047,00047,00047,00047,00047,00047,41.68,5.83,2.50,8.95,16,8.98,Critique,NON,NON,NON,OUI,NON,7.57,2.05,79,Data.gouv.fr,2024-01-01 00:00:00
MOB_00048,00048,00048,00048,00048,00048,00048,00048,00048,17.16,7.81,1.36,7.08,54,5.21,Élevé,NON,OUI,OUI,OUI,NON,5.10,4.07,37,Meteo_France,2024-01-01 00:00:00
MOB_00049,00049,00049,00049,00049,00049,00049,00049,00049,49.93,1.33,6.46,4.84,22,9.07,Modéré,NON,NON,OUI,NON,NON,7.22,5.14,14,AirParif_2024,2024-01-01 00:00:00
MOB_00050,00050,00050,00050,00050,00050,00050,00050,00050,15.03,9.46,7.21,2.07,86,5.98,Critique,OUI,OUI,OUI,OUI,NON,7.97,9.38,1,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00051,00051,00051,00051,00051,00051,00051,00051,00051,37.63,7.13,8.15,8.36,16,5.80,Critique,NON,NON,OUI,NON,OUI,1.04,8.79,22,Data.gouv.fr,2024-01-01 00:00:00
MOB_00052,00052,00052,00052,00052,00052,00052,00052,00052,15.86,2.88,9.48,6.57,6,6.15,Faible,OUI,NON,NON,OUI,OUI,3.23,1.91,47,Data.gouv.fr,2024-01-01 00:00:00
MOB_00053,00053,00053,00053,00053,00053,00053,00053,00053,22.13,1.91,5.47,5.67,6,4.13,Faible,NON,NON,NON,NON,NON,6.58,5.21,75,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00054,00054,00054,00054,00054,00054,00054,00054,00054,13.77,8.85,7.58,3.88,68,8.50,Faible,NON,OUI,OUI,OUI,OUI,1.56,9.83,69,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00055,00055,00055,00055,00055,00055,00055,00055,00055,1.97,6.19,5.78,3.08,82,1.67,Modéré,NON,OUI,NON,NON,NON,5.77,1.32,69,AirParif_2024,2024-01-01 00:00:00
MOB_00056,00056,00056,00056,00056,00056,00056,00056,00056,8.66,5.49,6.61,4.43,8,5.84,Faible,OUI,NON,NON,NON,OUI,1.79,2.51,54,Meteo_France,2024-01-01 00:00:00
MOB_00057,00057,00057,00057,00057,00057,00057,00057,00057,12.86,9.13,8.95,8.31,57,5.28,Faible,OUI,NON,NON,NON,OUI,4.41,9.82,11,Meteo_France,2024-01-01 00:00:00
MOB_00058,00058,00058,00058,00058,00058,00058,00058,00058,30.38,1.27,1.31,1.14,7,5.50,Critique,NON,NON,NON,OUI,OUI,8.85,4.57,9,Meteo_France,2024-01-01 00:00:00
MOB_00059,00059,00059,00059,00059,00059,00059,00059,00059,28.88,2.48,3.18,1.08,99,5.30,Faible,NON,OUI,NON,OUI,OUI,3.55,8.17,20,Meteo_France,2024-01-01 00:00:00
MOB_00060,00060,00060,00060,00060,00060,00060,00060,00060,32.60,3.65,1.66,3.85,20,8.15,Critique,NON,OUI,OUI,OUI,NON,7.17,6.97,32,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00061,00061,00061,00061,00061,00061,00061,00061,00061,3.84,2.42,1.15,9.65,15,4.19,Modéré,NON,OUI,OUI,NON,NON,9.19,2.16,30,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00062,00062,00062,00062,00062,00062,00062,00062,00062,23.14,7.17,6.38,1.77,75,3.75,Faible,OUI,OUI,OUI,OUI,OUI,5.67,7.49,43,AirParif_2024,2024-01-01 00:00:00
MOB_00063,00063,00063,00063,00063,00063,00063,00063,00063,16.69,9.54,7.57,3.49,32,8.37,Faible,NON,OUI,OUI,OUI,NON,2.82,4.62,12,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00064,00064,00064,00064,00064,00064,00064,00064,00064,20.90,5.62,6.43,3.80,90,2.10,Élevé,OUI,OUI,OUI,OUI,OUI,8.90,2.01,13,Data.gouv.fr,2024-01-01 00:00:00
MOB_00065,00065,00065,00065,00065,00065,00065,00065,00065,12.07,4.85,4.16,9.42,13,5.42,Critique,NON,NON,NON,NON,OUI,3.06,9.71,81,AirParif_2024,2024-01-01 00:00:00
MOB_00066,00066,00066,00066,00066,00066,00066,00066,00066,43.31,6.06,3.23,4.62,72,1.37,Faible,OUI,OUI,NON,OUI,NON,3.08,1.94,56,Meteo_France,2024-01-01 00:00:00
MOB_00067,00067,00067,00067,00067,00067,00067,00067,00067,44.57,5.89,7.72,5.27,79,3.51,Modéré,NON,NON,NON,OUI,OUI,8.88,4.18,75,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00068,00068,00068,00068,00068,00068,00068,00068,00068,29.01,9.71,5.98,3.94,51,5.48,Modéré,NON,OUI,NON,NON,NON,7.03,9.47,45,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00069,00069,00069,00069,00069,00069,00069,00069,00069,5.74,3.35,2.67,9.90,74,9.47,Critique,OUI,OUI,NON,NON,OUI,4.22,6.47,64,AirParif_2024,2024-01-01 00:00:00
MOB_00070,00070,00070,00070,00070,00070,00070,00070,00070,47.61,6.26,5.85,5.76,70,4.19,Modéré,OUI,NON,OUI,NON,NON,4.94,9.41,75,AirParif_2024,2024-01-01 00:00:00
MOB_00071,00071,00071,00071,00071,00071,00071,00071,00071,25.19,3.60,6.88,5.90,9,8.13,Modéré,NON,NON,OUI,OUI,OUI,2.20,5.59,70,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00072,00072,00072,00072,00072,00072,00072,00072,00072,40.92,9.79,7.71,9.15,16,8.69,Élevé,OUI,OUI,OUI,NON,NON,8.29,4.25,96,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00073,00073,00073,00073,00073,00073,00073,00073,00073,34.40,4.47,3.44,1.90,49,9.87,Modéré,NON,NON,NON,OUI,OUI,0.51,5.01,19,Data.gouv.fr,2024-01-01 00:00:00
MOB_00074,00074,00074,00074,00074,00074,00074,00074,00074,47.52,5.84,3.09,7.58,2,1.33,Élevé,NON,OUI,OUI,OUI,OUI,3.82,5.74,91,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00075,00075,00075,00075,00075,00075,00075,00075,00075,3.20,2.37,7.55,8.56,68,8.85,Modéré,OUI,OUI,NON,NON,OUI,6.23,7.38,33,AirParif_2024,2024-01-01 00:00:00
MOB_00076,00076,00076,00076,00076,00076,00076,00076,00076,40.41,4.25,3.84,5.69,2,7.08,Faible,OUI,OUI,NON,NON,OUI,0.96,5.35,40,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00077,00077,00077,00077,00077,00077,00077,00077,00077,19.20,3.98,1.34,9.78,1,7.65,Modéré,OUI,NON,NON,NON,NON,4.82,1.17,28,Data.gouv.fr,2024-01-01 00:00:00
MOB_00078,00078,00078,00078,00078,00078,00078,00078,00078,31.45,4.22,9.64,3.52,88,5.21,Élevé,NON,NON,OUI,OUI,NON,1.42,7.69,31,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00079,00079,00079,00079,00079,00079,00079,00079,00079,32.40,1.78,4.51,8.62,2,7.79,Faible,NON,NON,NON,NON,OUI,1.73,9.83,98,Data.gouv.fr,2024-01-01 00:00:00
MOB_00080,00080,00080,00080,00080,00080,00080,00080,00080,34.01,2.88,7.82,4.12,57,9.20,Critique,OUI,NON,OUI,OUI,OUI,2.50,7.04,51,AirParif_2024,2024-01-01 00:00:00
MOB_00081,00081,00081,00081,00081,00081,00081,00081,00081,11.20,2.14,4.41,8.63,76,2.77,Modéré,NON,NON,OUI,NON,OUI,2.62,9.45,22,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00082,00082,00082,00082,00082,00082,00082,00082,00082,17.18,6.76,7.57,9.83,48,9.31,Critique,OUI,NON,NON,NON,NON,3.46,9.88,49,Meteo_France,2024-01-01 00:00:00
MOB_00083,00083,00083,00083,00083,00083,00083,00083,00083,42.07,1.34,2.47,1.02,20,7.74,Modéré,OUI,NON,NON,OUI,NON,9.38,7.54,32,Data.gouv.fr,2024-01-01 00:00:00
MOB_00084,00084,00084,00084,00084,00084,00084,00084,00084,8.37,7.88,9.91,2.69,10,8.21,Modéré,NON,OUI,NON,NON,NON,6.30,7.49,8,Data.gouv.fr,2024-01-01 00:00:00
MOB_00085,00085,00085,00085,00085,00085,00085,00085,00085,13.58,7.49,8.99,1.45,23,8.31,Modéré,OUI,OUI,OUI,OUI,NON,1.63,3.35,7,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00086,00086,00086,00086,00086,00086,00086,00086,00086,24.02,7.56,7.87,8.90,56,9.85,Modéré,OUI,OUI,NON,NON,NON,6.75,9.28,76,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00087,00087,00087,00087,00087,00087,00087,00087,00087,34.22,1.07,4.68,5.41,25,4.07,Élevé,OUI,OUI,OUI,NON,NON,5.65,6.48,46,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00088,00088,00088,00088,00088,00088,00088,00088,00088,40.75,7.17,2.22,3.84,11,5.82,Élevé,NON,NON,OUI,OUI,NON,9.36,2.55,2,Meteo_France,2024-01-01 00:00:00
MOB_00089,00089,00089,00089,00089,00089,00089,00089,00089,21.21,2.27,9.45,3.56,22,3.64,Modéré,OUI,OUI,NON,OUI,NON,9.90,5.31,1,Meteo_France,2024-01-01 00:00:00
MOB_00090,00090,00090,00090,00090,00090,00090,00090,00090,42.44,8.59,5.66,1.97,40,3.30,Critique,OUI,OUI,OUI,OUI,OUI,3.87,9.61,81,Data.gouv.fr,2024-01-01 00:00:00
MOB_00091,00091,00091,00091,00091,00091,00091,00091,00091,24.87,3.40,5.50,4.88,59,9.58,Critique,OUI,OUI,OUI,NON,NON,4.82,8.83,10,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00092,00092,00092,00092,00092,00092,00092,00092,00092,25.90,6.31,2.57,3.44,21,3.54,Faible,OUI,NON,NON,OUI,OUI,7.03,6.46,51,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00093,00093,00093,00093,00093,00093,00093,00093,00093,20.08,2.53,9.25,1.74,57,7.86,Élevé,OUI,OUI,NON,OUI,NON,1.84,6.12,68,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00094,00094,00094,00094,00094,00094,00094,00094,00094,16.76,5.85,7.07,4.04,85,4.31,Critique,NON,NON,OUI,OUI,OUI,3.43,5.22,81,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00095,00095,00095,00095,00095,00095,00095,00095,00095,13.57,2.69,3.28,1.73,36,1.02,Faible,NON,NON,NON,NON,NON,1.11,8.60,90,Meteo_France,2024-01-01 00:00:00
MOB_00096,00096,00096,00096,00096,00096,00096,00096,00096,18.52,3.65,7.74,6.90,52,5.66,Critique,NON,NON,OUI,NON,OUI,6.94,5.54,21,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00097,00097,00097,00097,00097,00097,00097,00097,00097,39.04,4.18,7.06,9.03,65,1.81,Modéré,OUI,OUI,OUI,OUI,NON,4.65,1.82,80,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00098,00098,00098,00098,00098,00098,00098,00098,00098,42.37,6.17,7.25,5.44,68,9.76,Modéré,NON,OUI,NON,NON,OUI,7.79,9.22,24,AirParif_2024,2024-01-01 00:00:00
MOB_00099,00099,00099,00099,00099,00099,00099,00099,00099,15.15,7.38,6.77,8.58,47,1.36,Critique,OUI,OUI,NON,OUI,OUI,7.72,3.97,54,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00100,00100,00100,00100,00100,00100,00100,00100,00100,42.34,4.77,4.97,1.82,29,2.84,Modéré,OUI,OUI,OUI,OUI,NON,1.26,8.67,29,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00101,00101,00101,00101,00101,00101,00101,00101,00101,11.43,3.53,5.02,5.15,9,2.90,Modéré,NON,OUI,NON,OUI,NON,6.67,5.23,92,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00102,00102,00102,00102,00102,00102,00102,00102,00102,47.08,8.42,3.96,5.94,6,6.41,Élevé,OUI,NON,OUI,OUI,NON,7.26,1.59,23,Meteo_France,2024-01-01 00:00:00
MOB_00103,00103,00103,00103,00103,00103,00103,00103,00103,46.59,8.33,9.21,1.27,1,3.37,Modéré,OUI,NON,OUI,OUI,OUI,2.26,1.79,100,Data.gouv.fr,2024-01-01 00:00:00
MOB_00104,00104,00104,00104,00104,00104,00104,00104,00104,36.18,9.61,2.52,7.73,97,3.14,Faible,NON,OUI,OUI,NON,OUI,0.81,9.60,70,Meteo_France,2024-01-01 00:00:00
MOB_00105,00105,00105,00105,00105,00105,00105,00105,00105,25.09,8.95,5.82,6.93,16,5.19,Élevé,OUI,NON,OUI,OUI,OUI,5.87,9.19,77,AirParif_2024,2024-01-01 00:00:00
MOB_00106,00106,00106,00106,00106,00106,00106,00106,00106,31.81,6.21,2.99,2.30,54,9.45,Faible,NON,NON,NON,OUI,OUI,4.39,8.63,49,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00107,00107,00107,00107,00107,00107,00107,00107,00107,9.16,9.54,6.03,8.66,77,7.47,Modéré,NON,OUI,OUI,NON,OUI,1.88,4.52,27,Data.gouv.fr,2024-01-01 00:00:00
MOB_00108,00108,00108,00108,00108,00108,00108,00108,00108,9.82,9.67,9.02,7.21,1,1.54,Faible,NON,NON,OUI,NON,OUI,4.29,3.26,85,AirParif_2024,2024-01-01 00:00:00
MOB_00109,00109,00109,00109,00109,00109,00109,00109,00109,33.64,3.12,4.33,9.02,70,9.12,Faible,OUI,NON,OUI,NON,NON,5.48,5.43,56,AirParif_2024,2024-01-01 00:00:00
MOB_00110,00110,00110,00110,00110,00110,00110,00110,00110,45.36,7.72,3.35,3.76,85,2.82,Élevé,NON,OUI,NON,OUI,NON,7.50,2.78,67,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00111,00111,00111,00111,00111,00111,00111,00111,00111,34.15,3.24,6.53,4.93,43,7.88,Critique,NON,OUI,OUI,OUI,NON,9.50,5.91,30,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00112,00112,00112,00112,00112,00112,00112,00112,00112,19.04,8.51,1.71,1.43,11,9.91,Critique,OUI,OUI,NON,NON,NON,6.18,9.55,18,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00113,00113,00113,00113,00113,00113,00113,00113,00113,31.10,6.05,8.76,8.61,71,8.63,Élevé,NON,OUI,OUI,OUI,NON,8.81,5.00,4,Meteo_France,2024-01-01 00:00:00
MOB_00114,00114,00114,00114,00114,00114,00114,00114,00114,46.45,9.05,4.92,3.67,23,2.33,Modéré,NON,NON,NON,NON,OUI,2.62,9.00,87,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00115,00115,00115,00115,00115,00115,00115,00115,00115,5.48,5.24,8.97,9.21,52,6.89,Faible,NON,OUI,NON,NON,OUI,6.15,6.49,2,Meteo_France,2024-01-01 00:00:00
MOB_00116,00116,00116,00116,00116,00116,00116,00116,00116,1.87,3.55,3.92,5.26,35,3.43,Élevé,NON,OUI,OUI,NON,NON,9.78,6.06,46,AirParif_2024,2024-01-01 00:00:00
MOB_00117,00117,00117,00117,00117,00117,00117,00117,00117,35.14,2.04,9.68,8.45,71,2.63,Faible,NON,NON,OUI,OUI,NON,3.85,6.42,23,Meteo_France,2024-01-01 00:00:00
MOB_00118,00118,00118,00118,00118,00118,00118,00118,00118,14.73,4.17,6.88,1.97,39,2.51,Critique,OUI,NON,NON,OUI,OUI,3.19,4.81,26,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00119,00119,00119,00119,00119,00119,00119,00119,00119,31.37,3.94,2.12,5.38,60,8.08,Élevé,NON,NON,OUI,NON,NON,7.26,2.35,66,Data.gouv.fr,2024-01-01 00:00:00
MOB_00120,00120,00120,00120,00120,00120,00120,00120,00120,27.77,1.71,8.43,2.35,68,5.34,Élevé,NON,OUI,OUI,NON,OUI,7.94,1.07,56,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00121,00121,00121,00121,00121,00121,00121,00121,00121,10.82,9.36,8.34,6.85,83,6.59,Modéré,NON,OUI,NON,OUI,NON,4.49,3.28,25,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00122,00122,00122,00122,00122,00122,00122,00122,00122,44.80,6.84,9.33,2.85,92,1.77,Modéré,OUI,NON,OUI,NON,NON,9.04,9.33,8,Meteo_France,2024-01-01 00:00:00
MOB_00123,00123,00123,00123,00123,00123,00123,00123,00123,1.23,8.92,8.24,7.42,55,9.61,Critique,OUI,NON,NON,OUI,OUI,9.54,7.67,61,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00124,00124,00124,00124,00124,00124,00124,00124,00124,22.38,9.84,2.57,7.00,39,4.41,Modéré,NON,OUI,NON,NON,NON,1.32,4.80,92,Meteo_France,2024-01-01 00:00:00
MOB_00125,00125,00125,00125,00125,00125,00125,00125,00125,19.72,1.53,4.09,4.78,33,9.28,Élevé,OUI,OUI,OUI,NON,OUI,9.14,4.08,20,AirParif_2024,2024-01-01 00:00:00
