col_date,col_nombre_accidents,col_blesses_legers,col_blesses_graves,col_tues,col_taux_mortalite,col_source,col_date_collecte
2024-10-11 00:00:00,ID_022,4.75,1.64,7.19,5.4,SNCF_Open_Data,2024-06-16 00:00:00
2024-03-12 00:00:00,ID_023,3.35,2.87,8.79,3.42,Data.gouv.fr,2024-01-19 00:00:00
2024-06-27 00:00:00,ID_024,2.64,6.58,3.46,3.06,Data.gouv.fr,2024-12-17 00:00:00
2024-01-22 00:00:00,ID_025,4.21,1.72,5.46,6.7,Airparif,2024-09-11 00:00:00
2024-01-26 00:00:00,ID_026,3.3,2.82,8.08,7.31,Airparif,2024-06-30 00:00:00
2024-01-29 00:00:00,ID_027,8.69,2.05,3.37,5.52,Data.gouv.fr,2024-04-03 00:00:00
2024-08-08 00:00:00,ID_028,6.3,5.46,5.93,8.67,RATP_Open_Data_2024,2024-07-06 00:00:00
2024-05-02 00:00:00,ID_029,6.67,2.35,7.35,7.83,RATP_Open_Data_2024,2024-04-01 00:00:00
2024-09-06 00:00:00,ID_030,1.41,3.25,5.91,7.09,RATP_Open_Data_2024,2024-03-03 00:00:00
2024-12-20 00:00:00,ID_031,5.64,2.16,7.21,1.54,SNCF_Open_Data,2024-08-09 00:00:00
2024-07-07 00:00:00,ID_032,4.98,2.22,2.17,8.56,Data.gouv.fr,2024-05-09 00:00:00
2024-06-15 00:00:00,ID_033,4.48,7.89,4.92,4.39,Airparif,2024-04-27 00:00:00
2024-03-16 00:00:00,ID_034,1.79,1.38,6.71,7.5,Météo-France,2024-09-18 00:00:00
2024-07-27 00:00:00,ID_035,4.25,4.37,2.6,8.73,RATP_Open_Data_2024,2024-01-06 00:00:00
2024-11-15 00:00:00,ID_036,2.86,6.76,5.97,2.7,Airparif,2024-11-06 00:00:00
2024-04-01 00:00:00,ID_037,7.13,2.5,8.54,6.76,Météo-France,2024-04-29 00:00:00
2024-09-19 00:00:00,ID_038,3.77,1.77,2.37,5.52,SNCF_Open_Data,2024-06-28 00:00:00
2024-10-10 00:00:00,ID_039,3.35,8.68,2.16,1.44,SNCF_Open_Data,2024-07-10 00:00:00
2024-08-29 00:00:00,ID_040,7.78,7.65,3.78,8.0,Data.gouv.fr,2024-05-13 00:00:00
2024-02-13 00:00:00,ID_041,4.91,2.74,1.63,8.54,Airparif,2024-08-06 00:00:00
2024-03-21 00:00:00,ID_042,2.2,7.54,5.09,6.72,SNCF_Open_Data,2024-07-15 00:00:00
2024-01-16 00:00:00,ID_043,3.31,7.52,3.92,3.93,Météo-France,2024-09-27 00:00:00
2024-12-10 00:00:00,ID_044,1.91,8.31,2.28,4.75,RATP_Open_Data_2024,2024-11-09 00:00:00
2024-02-12 00:00:00,ID_045,8.0,3.49,7.13,3.39,Météo-France,2024-05-01 00:00:00
2024-07-26 00:00:00,ID_046,1.3,2.27,7.79,2.98,Data.gouv.fr,2024-03-23 00:00:00
2024-08-13 00:00:00,ID_047,7.59,5.28,8.32,8.55,Data.gouv.fr,2024-06-28 00:00:00
2024-09-18 00:00:00,ID_048,5.5,4.07,5.4,2.79,RATP_Open_Data_2024,2024-06-01 00:00:00
2024-12-02 00:00:00,ID_049,1.31,3.19,3.31,4.5,Airparif,2024-05-04 00:00:00
2024-06-09 00:00:00,ID_050,7.44,8.61,4.75,2.88,Météo-France,2024-05-22 00:00:00
2024-02-29 00:00:00,ID_051,4.24,5.28,2.57,6.37,Météo-France,2024-08-18 00:00:00
2024-02-07 00:00:00,ID_052,8.22,8.06,2.83,6.43,Météo-France,2024-01-28 00:00:00
2024-10-14 00:00:00,ID_053,3.34,8.15,7.74,3.0,RATP_Open_Data_2024,2024-08-19 00:00:00
2024-04-23 00:00:00,ID_054,3.29,3.63,2.37,1.71,Airparif,2024-05-05 00:00:00
2024-10-26 00:00:00,ID_055,4.12,3.4,2.16,6.13,SNCF_Open_Data,2024-05-19 00:00:00
2024-09-30 00:00:00,ID_056,6.02,2.69,7.57,2.68,RATP_Open_Data_2024,2024-08-30 00:00:00
2024-02-18 00:00:00,ID_057,8.45,5.66,4.82,4.33,Météo-France,2024-11-12 00:00:00
2024-08-16 00:00:00,ID_058,3.62,2.45,4.79,6.84,Data.gouv.fr,2024-08-09 00:00:00
2024-11-10 00:00:00,ID_059,2.72,8.6,4.34,1.72,Data.gouv.fr,2024-05-10 00:00:00
