col_date,col_heure,col_ville,col_type_zone,col_trafic_vehicules,col_periode,col_confinement,col_taux_occupation,col_vitesse_moyenne,col_niveau_confinement
2024-09-16 00:00:00,7.84,Lyon,5.17,2.62,6.9,4.44,2.73,30,8.19
2024-03-16 00:00:00,2.04,Paris,5.01,6.96,6.01,2.97,2.89,45,6.15
2024-06-17 00:00:00,1.49,Toulouse,6.6,3.86,4.73,4.55,7.81,80,5.49
2024-03-28 00:00:00,7.98,Marseille,3.81,4.63,3.69,2.55,1.77,110,3.46
2024-10-09 00:00:00,1.84,Bordeaux,3.41,8.45,3.52,6.53,3.35,45,1.37
2024-10-11 00:00:00,3.22,Bordeaux,4.8,5.46,1.39,8.67,6.19,30,5.82
2024-07-14 00:00:00,4.13,Montpellier,1.63,7.55,6.96,2.89,2.21,70,3.74
2024-12-02 00:00:00,8.62,Paris,1.32,5.81,5.26,3.54,7.02,45,2.32
2024-10-21 00:00:00,3.92,Nantes,3.32,4.38,6.45,6.75,6.19,45,6.78
2024-06-20 00:00:00,6.8,Paris,4.73,7.39,4.25,7.72,2.66,50,1.57
2024-11-22 00:00:00,5.15,Toulouse,3.01,1.87,6.21,6.44,7.98,80,1.32
2024-07-30 00:00:00,5.22,Nice,3.15,3.09,5.03,6.47,7.39,50,2.62
2024-01-12 00:00:00,4.84,Lille,6.03,6.18,4.7,1.39,8.53,70,6.32
2024-10-25 00:00:00,3.18,Bordeaux,2.48,8.57,3.83,7.46,6.32,30,7.16
2024-09-26 00:00:00,7.66,Nice,4.05,7.99,3.14,5.74,8.77,50,7.78
2024-10-20 00:00:00,5.17,Strasbourg,8.56,5.3,4.06,5.81,3.23,50,6.23
2024-02-10 00:00:00,5.23,Strasbourg,7.05,3.71,4.77,2.99,2.19,130,4.34
2024-10-08 00:00:00,3.77,Nantes,7.18,8.65,8.44,3.33,4.56,130,8.67
2024-10-20 00:00:00,3.43,Paris,3.83,8.25,8.31,4.59,4.35,30,5.74
2024-10-16 00:00:00,7.87,Bordeaux,4.13,1.92,6.26,4.38,1.86,30,5.61
2024-12-22 00:00:00,8.41,Montpellier,1.24,1.61,4.02,4.66,2.94,30,2.29
2024-05-22 00:00:00,1.27,Paris,8.2,2.69,6.77,2.6,5.33,130,4.92
2024-09-29 00:00:00,5.24,Montpellier,8.24,5.99,5.75,7.65,4.09,110,4.49
2024-01-28 00:00:00,3.04,Bordeaux,2.88,4.23,2.53,3.0,8.61,130,8.1
2024-01-30 00:00:00,4.11,Nice,2.9,1.35,6.71,4.61,5.31,110,7.89
2024-02-04 00:00:00,2.52,Paris,8.13,3.54,3.11,5.0,2.06,80,4.52
2024-02-21 00:00:00,7.45,Nice,8.75,4.32,5.44,8.05,3.89,110,6.05
2024-10-05 00:00:00,6.21,Nantes,1.31,8.35,3.32,2.57,2.28,130,2.79
2024-10-12 00:00:00,4.98,Marseille,5.85,7.23,4.38,4.73,6.36,50,3.4
2024-09-11 00:00:00,2.92,Lyon,6.84,5.06,4.38,4.44,7.08,110,8.5
2024-05-28 00:00:00,1.38,Nice,7.67,5.43,6.88,6.73,7.29,70,4.81
2024-07-09 00:00:00,6.16,Bordeaux,7.25,3.51,6.69,3.69,1.52,130,2.94
2024-03-16 00:00:00,6.68,Paris,1.43,2.76,3.5,1.94,6.02,70,5.11
2024-10-12 00:00:00,5.49,Montpellier,3.95,4.44,3.51,6.0,3.61,80,7.98
2024-09-10 00:00:00,5.22,Toulouse,7.56,8.3,5.68,7.96,7.76,30,6.46
2024-09-02 00:00:00,5.56,Paris,7.62,1.9,3.41,6.5,1.71,30,6.62
2024-11-04 00:00:00,7.2,Marseille,2.2,5.75,6.84,4.74,8.52,70,7.44
2024-06-08 00:00:00,4.73,Lyon,1.65,6.52,6.85,8.75,5.21,80,1.85
2024-11-18 00:00:00,7.79,Marseille,6.83,8.59,1.39,4.26,7.85,70,4.06
2024-01-24 00:00:00,1.94,Nantes,8.52,1.97,7.91,2.01,7.81,130,2.73
2024-04-26 00:00:00,4.12,Lyon,5.44,4.64,2.27,3.05,5.05,80,1.36
2024-07-27 00:00:00,4.92,Bordeaux,2.35,3.73,4.26,1.96,2.15,130,2.96
2024-08-29 00:00:00,1.3,Strasbourg,6.36,4.27,2.4,2.05,2.57,130,7.4
2024-06-19 00:00:00,3.32,Nice,1.65,4.06,6.05,5.56,7.33,70,1.68
2024-06-11 00:00:00,7.94,Bordeaux,6.88,3.8,6.95,4.23,6.82,130,6.79
2024-04-08 00:00:00,3.09,Montpellier,2.05,6.88,2.94,5.01,5.32,70,1.4
2024-02-23 00:00:00,2.99,Nantes,8.69,2.4,4.87,8.56,2.29,50,5.57
2024-07-24 00:00:00,3.04,Strasbourg,5.61,6.03,2.15,7.63,5.12,130,4.54
2024-07-03 00:00:00,4.25,Strasbourg,2.96,3.87,7.44,1.33,2.27,45,3.84
2024-11-22 00:00:00,4.6,Bordeaux,4.72,4.86,2.7,3.55,3.74,130,6.4
2024-09-28 00:00:00,4.6,Nantes,3.86,1.34,5.02,5.64,3.53,30,2.13
2024-07-14 00:00:00,1.9,Nantes,5.5,3.65,4.21,5.63,6.18,80,4.17
2024-02-12 00:00:00,5.66,Nice,3.42,5.99,1.64,8.42,3.37,70,6.32
2024-07-22 00:00:00,7.58,Bordeaux,6.18,5.34,7.72,2.47,7.87,70,6.5
2024-09-13 00:00:00,3.57,Strasbourg,7.08,1.56,6.21,2.28,4.0,80,5.44
2024-11-08 00:00:00,2.96,Paris,6.14,7.1,4.63,5.57,1.89,80,7.69
2024-06-25 00:00:00,1.43,Toulouse,1.44,8.63,4.92,7.36,3.99,45,8.26
2024-09-06 00:00:00,2.31,Marseille,7.05,7.97,7.16,6.68,3.81,30,1.58
2024-07-12 00:00:00,1.72,Toulouse,7.19,7.19,2.13,2.9,3.98,30,6.94
2024-04-04 00:00:00,6.29,Nice,6.01,6.62,4.42,7.07,2.17,130,2.14
2024-07-13 00:00:00,1.37,Toulouse,7.0,4.57,8.49,1.42,3.34,110,1.81
2024-11-05 00:00:00,7.78,Nice,6.33,3.91,7.73,7.75,8.08,80,4.64
2024-06-15 00:00:00,3.62,Nantes,6.16,8.52,4.92,2.37,7.13,70,1.45
2024-07-09 00:00:00,5.38,Lyon,8.77,5.32,3.79,7.0,7.56,80,5.75
2024-04-28 00:00:00,1.37,Montpellier,3.93,2.78,4.54,4.97,4.0,130,1.41
2024-10-22 00:00:00,2.41,Nice,2.39,8.69,7.66,4.85,6.52,110,1.57
2024-06-20 00:00:00,8.2,Nice,1.32,5.94,5.61,4.21,3.99,45,2.3
2024-12-23 00:00:00,2.98,Marseille,6.18,6.49,5.62,2.0,2.55,130,7.48
2024-05-21 00:00:00,5.73,Bordeaux,3.13,8.34,1.81,8.31,6.83,70,4.28
2024-11-04 00:00:00,5.14,Lille,7.08,5.94,4.63,3.75,4.82,130,1.87
2024-11-03 00:00:00,7.59,Paris,5.95,7.59,2.31,8.54,4.7,80,8.76
2024-05-05 00:00:00,4.94,Lyon,6.19,1.89,2.46,6.41,8.17,70,7.48
2024-10-14 00:00:00,7.81,Montpellier,8.29,2.36,6.19,6.2,6.67,110,1.75
2024-10-22 00:00:00,6.68,Toulouse,7.58,8.09,4.57,8.73,6.23,110,3.79
2024-09-05 00:00:00,7.78,Marseille,7.97,2.53,2.46,7.33,3.4,50,4.5
2024-01-10 00:00:00,2.2,Lyon,8.25,1.81,4.43,6.41,4.44,45,5.96
2024-12-26 00:00:00,5.33,Lyon,3.6,6.04,5.51,7.12,2.66,130,8.57
2024-03-13 00:00:00,6.31,Paris,2.52,7.65,8.1,6.83,6.31,50,6.77
2024-06-24 00:00:00,8.37,Lille,6.27,1.55,6.51,8.04,7.73,80,3.81
2024-01-28 00:00:00,3.39,Strasbourg,8.77,7.66,5.71,1.46,4.76,130,7.22
2024-09-27 00:00:00,7.66,Toulouse,1.76,7.33,2.42,1.51,7.8,50,8.51
2024-07-27 00:00:00,8.72,Nantes,6.98,8.13,6.16,2.12,4.64,45,4.76
2024-03-15 00:00:00,3.15,Marseille,6.51,1.69,8.75,3.97,5.53,80,4.35
2024-08-12 00:00:00,4.03,Marseille,8.47,2.28,8.78,1.99,2.2,50,5.85
2024-09-09 00:00:00,6.02,Nice,6.64,6.92,4.5,4.91,6.2,50,5.66
2024-06-27 00:00:00,4.72,Lyon,2.56,8.08,5.76,8.42,2.57,130,3.4
2024-07-30 00:00:00,6.85,Nice,2.45,8.07,7.48,1.94,5.12,30,3.45
2024-01-18 00:00:00,4.99,Strasbourg,6.87,3.42,3.02,1.57,4.14,70,3.11
2024-07-01 00:00:00,3.62,Paris,7.65,8.62,4.2,4.42,7.51,70,3.18
2024-02-28 00:00:00,5.01,Toulouse,6.29,4.02,6.79,7.13,6.84,110,2.46
2024-03-05 00:00:00,8.29,Lille,3.32,2.49,6.51,2.82,8.65,130,2.74
2024-10-06 00:00:00,4.12,Bordeaux,8.71,8.46,4.42,6.81,4.71,30,1.97
2024-05-11 00:00:00,2.32,Lille,1.25,8.51,2.16,6.78,4.43,130,6.96
2024-02-17 00:00:00,5.79,Nice,7.13,5.56,7.42,5.46,6.51,70,3.84
2024-07-13 00:00:00,1.87,Montpellier,5.36,8.69,7.2,2.02,5.09,30,2.08
2024-03-10 00:00:00,4.06,Strasbourg,4.14,3.45,8.4,5.5,2.89,45,8.34
2024-09-21 00:00:00,4.22,Nice,5.33,8.32,3.51,1.55,5.23,45,4.98
2024-08-06 00:00:00,6.86,Nice,2.87,4.05,5.81,3.74,3.58,110,7.98
2024-07-07 00:00:00,3.12,Montpellier,1.88,7.94,3.25,4.12,5.77,80,2.61
2024-01-02 00:00:00,4.15,Bordeaux,8.48,1.96,6.67,3.95,2.54,80,4.58
2024-10-14 00:00:00,2.16,Bordeaux,2.97,5.05,8.45,8.74,8.57,30,2.64
2024-06-25 00:00:00,2.09,Lille,6.13,8.52,6.74,7.89,1.96,110,2.57
2024-06-14 00:00:00,4.78,Lyon,3.72,8.35,3.77,4.58,2.24,110,6.91
2024-08-03 00:00:00,5.08,Strasbourg,5.23,5.74,1.86,5.33,6.28,70,3.24
2024-08-18 00:00:00,7.98,Nantes,7.57,8.34,7.75,7.47,1.35,110,4.22
2024-11-07 00:00:00,8.62,Nantes,2.01,4.24,2.69,2.55,8.02,50,5.4
2024-07-24 00:00:00,4.65,Montpellier,3.07,7.89,8.18,8.2,4.63,30,5.29
2024-08-19 00:00:00,4.11,Montpellier,5.68,5.93,3.33,6.15,2.91,30,4.06
2024-11-07 00:00:00,5.49,Marseille,5.17,2.51,6.08,1.64,3.88,50,8.47
2024-12-18 00:00:00,6.38,Paris,1.8,6.77,2.46,6.6,8.66,50,4.39
2024-04-09 00:00:00,2.01,Nice,5.15,7.86,8.8,6.8,2.76,45,6.36
2024-02-12 00:00:00,6.78,Bordeaux,8.27,5.81,7.64,3.97,1.55,70,6.95
2024-06-16 00:00:00,2.02,Bordeaux,6.52,5.54,5.16,7.1,8.13,50,7.4
2024-03-04 00:00:00,3.84,Lille,7.64,8.38,1.5,5.43,5.88,45,4.23
2024-04-16 00:00:00,2.98,Toulouse,2.3,4.43,6.81,4.96,5.77,45,5.14
2024-05-03 00:00:00,4.38,Paris,3.76,2.42,2.06,1.58,2.3,130,1.46
2024-04-06 00:00:00,6.89,Paris,6.4,4.89,2.69,1.58,7.24,50,6.48
2024-11-14 00:00:00,3.78,Montpellier,4.5,4.0,3.23,6.29,5.42,130,5.01
2024-01-08 00:00:00,7.59,Lille,6.82,4.2,3.3,1.35,4.25,45,1.22
2024-01-04 00:00:00,6.59,Nice,6.72,8.65,2.31,7.67,3.77,50,7.2
2024-09-14 00:00:00,7.48,Montpellier,6.31,3.78,3.37,1.31,1.72,45,2.78
2024-03-06 00:00:00,5.15,Lille,4.76,5.7,8.57,5.54,4.74,30,8.6
2024-06-07 00:00:00,6.34,Strasbourg,3.35,6.73,7.98,8.52,3.72,80,1.66
2024-10-16 00:00:00,5.17,Lyon,2.79,8.63,4.16,1.74,2.4,30,6.45
2024-10-03 00:00:00,1.63,Paris,7.84,3.0,5.97,5.85,6.08,70,6.47
2024-10-04 00:00:00,1.62,Marseille,7.13,4.65,7.18,5.71,6.8,130,3.5
2024-05-03 00:00:00,4.7,Lille,3.39,2.03,7.81,4.25,7.0,30,1.33
2024-08-21 00:00:00,2.27,Nantes,3.58,7.02,1.32,2.75,3.83,70,4.39
2024-04-12 00:00:00,8.29,Marseille,4.16,8.46,4.6,7.15,8.01,30,1.48
2024-06-11 00:00:00,4.65,Marseille,2.31,3.32,2.49,2.1,1.49,30,6.15
2024-01-10 00:00:00,2.49,Montpellier,5.88,4.32,4.84,3.98,3.84,45,5.05
2024-01-15 00:00:00,8.04,Montpellier,3.73,3.69,1.58,4.26,7.3,130,1.23
2024-08-03 00:00:00,4.99,Marseille,5.32,7.52,5.95,4.3,3.83,45,8.19
2024-01-08 00:00:00,2.3,Marseille,2.02,8.28,1.91,3.22,5.44,130,5.92
2024-12-06 00:00:00,5.23,Nantes,5.35,5.0,3.46,3.46,7.81,80,3.14
2024-04-07 00:00:00,5.24,Marseille,8.1,3.1,5.55,3.13,1.38,70,2.55
2024-03-13 00:00:00,3.75,Paris,7.79,5.22,5.41,5.77,6.21,50,1.43
2024-10-30 00:00:00,5.71,Montpellier,7.95,4.16,8.68,7.73,7.15,110,2.84
2024-09-05 00:00:00,1.7,Toulouse,8.52,6.91,1.65,7.36,8.57,70,7.13
2024-03-04 00:00:00,5.58,Nice,3.79,8.64,2.38,7.71,4.35,30,7.77
2024-04-14 00:00:00,5.0,Lille,5.17,2.5,5.18,3.26,4.51,45,6.26
2024-05-30 00:00:00,7.05,Bordeaux,3.71,2.23,8.58,4.01,6.88,45,8.7
2024-11-23 00:00:00,7.66,Bordeaux,6.03,4.73,3.86,3.75,3.09,45,1.33
2024-06-01 00:00:00,5.78,Montpellier,5.39,2.19,7.73,6.98,8.08,110,3.19
2024-02-18 00:00:00,5.57,Nice,3.61,1.23,7.32,6.94,2.29,70,7.91
2024-02-12 00:00:00,2.5,Marseille,2.37,6.09,7.52,7.32,5.89,80,8.16
2024-07-11 00:00:00,7.17,Strasbourg,8.54,7.74,6.56,8.27,6.93,50,8.51
2024-04-23 00:00:00,5.19,Toulouse,7.17,2.21,6.59,7.84,8.72,70,6.76
2024-01-20 00:00:00,7.57,Montpellier,8.05,5.21,8.78,3.42,5.37,130,8.73
2024-03-28 00:00:00,5.07,Nice,3.12,3.07,1.63,6.48,3.64,45,4.52
2024-08-13 00:00:00,7.74,Marseille,8.24,5.5,8.11,4.56,7.38,30,7.28
2024-03-03 00:00:00,1.28,Lille,7.04,1.3,2.24,2.9,6.6,110,3.18
2024-11-11 00:00:00,1.87,Toulouse,5.53,6.9,4.39,2.86,4.26,80,3.04
2024-10-30 00:00:00,7.95,Paris,2.16,3.03,6.78,8.7,2.03,30,5.38
2024-04-28 00:00:00,6.83,Strasbourg,5.8,8.27,1.83,2.58,8.16,130,8.13
2024-06-14 00:00:00,5.46,Toulouse,6.51,7.72,4.45,5.79,5.23,45,3.3
2024-09-23 00:00:00,4.17,Paris,4.88,3.31,3.25,3.26,1.72,130,2.07
2024-09-21 00:00:00,4.08,Toulouse,2.86,5.91,8.74,3.66,4.53,130,2.56
2024-08-29 00:00:00,1.28,Lyon,3.4,5.91,5.02,7.29,6.76,70,2.51
2024-02-13 00:00:00,3.0,Nice,6.91,3.33,5.7,6.32,3.82,45,3.23
2024-02-01 00:00:00,4.68,Bordeaux,6.04,5.76,3.14,6.19,7.02,80,5.16
2024-12-08 00:00:00,1.94,Toulouse,3.48,6.21,7.21,4.34,8.03,30,8.77
2024-05-14 00:00:00,7.49,Toulouse,5.49,2.91,8.25,1.74,4.99,50,7.05
2024-04-29 00:00:00,4.57,Toulouse,7.4,6.17,7.8,4.02,5.3,80,5.51
2024-05-04 00:00:00,3.57,Nantes,1.87,5.64,8.13,8.39,3.93,30,7.56
2024-01-22 00:00:00,7.42,Strasbourg,4.9,2.0,4.32,8.32,3.21,45,5.78
2024-11-08 00:00:00,1.58,Strasbourg,3.15,1.95,3.39,1.24,2.88,30,5.7
2024-07-23 00:00:00,6.86,Bordeaux,6.68,4.81,2.71,5.42,7.45,50,3.84
2024-11-13 00:00:00,4.49,Toulouse,8.75,2.45,7.38,4.25,8.58,110,6.01
2024-12-25 00:00:00,5.45,Strasbourg,1.28,4.38,3.22,8.66,7.36,45,4.89
2024-09-04 00:00:00,1.2,Bordeaux,5.5,2.86,7.44,3.57,7.59,70,2.77
2024-11-06 00:00:00,5.39,Toulouse,7.49,6.39,7.13,3.67,4.09,50,8.4
2024-07-16 00:00:00,6.06,Bordeaux,4.04,5.51,7.93,4.95,1.55,70,4.34
2024-12-05 00:00:00,1.94,Nantes,2.62,1.64,7.21,6.89,1.21,30,8.07
2024-05-14 00:00:00,5.37,Lyon,4.8,2.27,4.72,4.18,2.87,110,8.49
2024-04-27 00:00:00,4.32,Lyon,4.3,4.68,6.66,8.22,5.14,50,3.55
2024-07-12 00:00:00,2.21,Lyon,7.14,8.12,2.3,7.51,1.97,110,3.11
2024-09-16 00:00:00,3.17,Lyon,7.3,6.3,8.51,7.52,2.77,50,6.98
2024-09-11 00:00:00,1.68,Nice,3.45,1.22,4.64,2.53,1.3,80,6.47
2024-03-26 00:00:00,1.25,Paris,6.0,7.16,3.26,6.17,5.98,50,3.51
2024-01-30 00:00:00,7.28,Montpellier,6.64,3.44,8.54,7.82,7.23,80,8.51
2024-05-05 00:00:00,6.14,Bordeaux,3.73,3.52,7.06,8.23,8.53,45,4.46
2024-10-29 00:00:00,1.42,Bordeaux,8.5,1.54,4.01,4.01,6.1,130,6.24
2024-02-05 00:00:00,6.76,Strasbourg,1.51,5.88,8.28,6.95,6.37,110,7.39
2024-03-24 00:00:00,3.56,Toulouse,1.25,8.68,3.56,2.18,1.26,30,4.8
2024-01-16 00:00:00,6.67,Marseille,7.43,4.64,4.1,7.04,7.7,50,5.33
2024-06-19 00:00:00,4.18,Marseille,8.01,7.96,8.47,6.78,4.76,50,5.04
2024-02-23 00:00:00,2.28,Nice,8.75,8.59,3.96,6.93,5.17,130,3.2
2024-04-08 00:00:00,7.56,Montpellier,5.73,1.35,2.21,8.45,5.17,30,8.03
2024-07-13 00:00:00,6.94,Lille,6.54,6.18,5.5,2.92,3.25,80,6.3
2024-01-14 00:00:00,6.47,Toulouse,8.61,8.45,6.41,3.59,4.98,130,2.36
2024-07-18 00:00:00,8.38,Paris,7.45,3.35,6.7,5.21,1.29,45,4.85
2024-08-26 00:00:00,3.93,Bordeaux,2.92,7.6,4.24,3.3,4.82,80,3.81
2024-04-04 00:00:00,4.03,Toulouse,5.97,4.11,6.45,7.61,6.49,80,3.18
2024-09-03 00:00:00,7.56,Nice,1.42,5.82,1.9,8.52,5.06,70,1.99
2024-05-26 00:00:00,1.47,Marseille,2.48,7.06,4.08,6.83,5.87,30,2.99
2024-10-19 00:00:00,8.75,Strasbourg,7.08,2.67,6.95,5.03,4.97,50,8.75
2024-03-04 00:00:00,3.74,Lyon,1.88,4.13,6.75,5.67,2.25,80,2.56
2024-11-06 00:00:00,1.77,Paris,1.89,4.7,4.79,2.98,5.95,45,3.6
2024-08-17 00:00:00,1.35,Lille,2.07,5.79,5.21,6.33,5.88,110,7.39
2024-11-21 00:00:00,5.03,Marseille,1.94,4.38,5.01,5.28,6.47,30,4.07
2024-11-30 00:00:00,4.14,Bordeaux,1.55,2.44,5.21,5.12,1.72,30,5.49
2024-03-26 00:00:00,1.29,Montpellier,3.02,7.92,5.84,8.6,2.6,30,5.42
2024-04-27 00:00:00,5.52,Toulouse,4.71,5.51,5.74,5.77,2.31,50,2.58
2024-10-15 00:00:00,8.33,Lille,1.74,8.56,3.84,2.36,3.35,70,4.07
2024-10-05 00:00:00,6.76,Bordeaux,5.58,6.26,3.07,5.78,6.83,70,4.39
2024-02-23 00:00:00,1.59,Marseille,7.1,1.39,3.44,4.49,3.67,50,7.71
2024-07-18 00:00:00,2.91,Toulouse,7.4,2.97,3.91,2.08,7.61,50,3.7
2024-05-16 00:00:00,8.39,Bordeaux,3.69,6.87,3.8,7.15,1.86,50,2.76
2024-08-06 00:00:00,1.7,Nantes,8.04,7.45,6.53,1.47,7.51,70,5.42
2024-01-08 00:00:00,3.77,Montpellier,1.83,7.91,2.87,4.35,3.57,50,2.81
2024-09-26 00:00:00,7.65,Nantes,3.3,7.98,5.13,2.83,1.3,45,1.44
2024-11-06 00:00:00,3.09,Lille,3.82,3.77,4.18,8.32,2.28,80,8.34
2024-02-14 00:00:00,8.26,Bordeaux,7.2,8.5,2.57,8.16,6.34,45,5.83
2024-05-10 00:00:00,1.73,Montpellier,3.3,1.84,4.92,3.74,5.31,110,3.51
2024-01-03 00:00:00,3.39,Toulouse,1.56,2.36,7.09,2.45,1.24,130,3.54
2024-07-01 00:00:00,4.93,Nantes,2.82,1.28,6.1,6.42,3.55,30,3.31
2024-10-21 00:00:00,2.67,Strasbourg,3.84,3.19,1.24,6.35,4.21,80,6.06
2024-08-03 00:00:00,6.4,Nantes,1.28,7.5,4.52,5.6,7.96,45,3.25
2024-11-06 00:00:00,6.73,Bordeaux,3.46,1.22,4.77,4.87,4.36,30,4.37
2024-12-24 00:00:00,3.74,Nice,8.29,7.48,6.38,8.63,1.45,130,3.98
2024-04-21 00:00:00,2.62,Lyon,2.63,7.03,3.3,5.91,1.3,70,4.1
2024-11-14 00:00:00,7.71,Montpellier,4.93,2.97,3.18,4.76,6.51,110,3.21
2024-01-05 00:00:00,1.94,Bordeaux,2.59,2.42,3.02,6.15,2.53,80,1.48
2024-03-19 00:00:00,7.58,Nice,3.08,6.55,1.98,1.95,2.67,110,7.81
2024-12-25 00:00:00,5.82,Nice,7.82,6.18,7.83,7.19,5.13,80,6.78
2024-06-20 00:00:00,6.68,Nice,3.48,8.22,2.26,8.04,5.94,130,3.2
2024-04-14 00:00:00,5.74,Nantes,6.72,8.52,2.48,2.51,2.95,110,3.19
2024-09-13 00:00:00,7.4,Nantes,7.81,1.55,1.76,6.01,5.32,50,7.84
2024-10-16 00:00:00,7.22,Lille,6.53,6.92,8.68,5.32,1.54,70,1.8
2024-06-21 00:00:00,5.36,Lille,6.49,8.5,7.34,2.2,4.76,45,2.79
2024-05-20 00:00:00,4.86,Lille,6.96,4.78,4.04,8.47,8.59,45,7.85
2024-02-09 00:00:00,2.83,Toulouse,7.13,6.22,8.72,7.83,4.53,50,8.66
2024-04-03 00:00:00,4.54,Lille,4.69,6.0,5.41,3.44,3.33,110,4.56
2024-01-14 00:00:00,8.79,Lyon,7.78,4.65,5.21,4.67,6.06,50,5.88
2024-08-07 00:00:00,3.64,Nice,7.73,1.48,3.92,1.37,5.88,80,3.39
2024-07-24 00:00:00,8.64,Strasbourg,8.27,8.48,1.96,6.49,5.4,45,1.25
2024-11-25 00:00:00,2.76,Marseille,7.65,8.13,4.6,2.41,1.67,80,3.81
2024-06-08 00:00:00,6.47,Nice,7.5,8.65,6.27,4.79,1.97,30,3.39
2024-09-11 00:00:00,1.51,Nice,6.5,7.28,2.06,4.79,2.46,110,7.58
2024-12-04 00:00:00,5.96,Lyon,5.95,1.42,8.19,3.97,6.29,110,7.5
2024-08-23 00:00:00,6.9,Lille,3.85,6.83,8.01,7.03,8.47,70,5.81
2024-03-30 00:00:00,1.95,Nantes,1.82,5.74,6.13,8.28,5.72,80,8.77
2024-02-07 00:00:00,6.72,Strasbourg,6.32,7.36,5.62,2.24,2.9,70,3.8
2024-10-07 00:00:00,1.79,Strasbourg,6.53,6.48,4.1,8.11,6.81,70,8.0
2024-06-17 00:00:00,2.43,Lille,6.13,5.76,7.0,8.57,3.88,30,7.88
2024-08-26 00:00:00,2.23,Strasbourg,8.18,6.59,8.13,2.95,2.04,130,5.12
