col_ville,col_region,col_reseau,col_mode,col_ligne,col_nom_ligne,col_heure,col_capacite_theorique,col_charge_percent,col_taux_remplissage,col_voyageurs_estimes,col_densite,col_longueur_km,col_nb_stations,col_efficacite_score,col_date_scraping,col_voyageurs_total_jour,col_voyages_par_km,col_cout_exploitation_euro,col_revenu_estime_euro,col_rentabilite_euro,col_ratio_rentabilite_percent,col_statut,col_date_analyse,col_type_action,col_action,col_impact_estime,col_delai,col_nb_lignes,col_voyageurs_total,col_charge_moyenne,col_efficacite_moyenne
Lyon,Grand Est,3.45,RER,7.3,Ligne C,8.23,120,3.67,4.92,2024-04-13 00:00:00,11753,1.462118,Matabiau 7,8.33,2024-05-11 00:00:00,6.43,4.69,5.43,2024-10-11 00:00:00,7.9,5.82,6.97,2024-02-26 00:00:00,1.93,3.96,2024-08-05 00:00:00,1.31,4.18,5.74,4.37,7.61
Nantes,Occitanie,1.7,TGV,8.37,Ligne 14,8.56,50,3.48,1.53,2024-06-05 00:00:00,167201,5.265557,Gare du Nord 9,6.44,2024-05-02 00:00:00,5.71,8.16,6.42,2024-12-07 00:00:00,2.92,6.59,7.16,2024-06-20 00:00:00,8.0,7.03,2024-04-04 00:00:00,3.36,5.77,6.26,6.39,5.23
Nice,Provence-Alpes-Côte d'Azur,2.8,RER,5.68,Ligne T2,7.33,120,3.45,8.05,2024-11-18 00:00:00,97267,5.159336,Matabiau 8,2.98,2024-04-25 00:00:00,1.69,4.73,3.7,2024-03-24 00:00:00,2.67,5.77,8.23,2024-07-22 00:00:00,6.71,4.62,2024-03-23 00:00:00,6.25,2.09,5.72,7.41,7.22
Lille,Île-de-France,7.31,Métro,3.88,Ligne 14,6.44,120,4.49,3.15,2024-03-24 00:00:00,170222,1.878127,Saint-Jean 6,5.44,2024-02-09 00:00:00,2.31,4.88,6.68,2024-06-15 00:00:00,1.4,5.02,2.65,2024-05-31 00:00:00,4.59,6.74,2024-05-15 00:00:00,6.07,3.94,2.33,6.88,5.27
Montpellier,Pays de la Loire,1.67,Transilien,4.24,Ligne 1,3.47,800,1.82,4.68,2024-01-24 00:00:00,189698,5.987879,Gare de l'Est 2,3.1,2024-07-22 00:00:00,3.12,1.21,5.88,2024-11-19 00:00:00,3.11,4.89,6.27,2024-10-15 00:00:00,7.63,5.76,2024-12-14 00:00:00,8.72,3.12,7.48,5.65,6.62
Lyon,Pays de la Loire,6.61,TGV,2.02,Ligne B,1.62,5,4.99,5.13,2024-08-31 00:00:00,171809,-0.74508,Saint-Jean 8,7.26,2024-08-19 00:00:00,5.43,3.31,3.97,2024-11-28 00:00:00,5.91,2.62,2.32,2024-03-11 00:00:00,1.42,3.65,2024-09-28 00:00:00,6.48,3.12,3.92,3.37,8.34
Nantes,Auvergne-Rhône-Alpes,5.45,Bus RATP,2.84,Ligne C,4.06,50,2.73,2.57,2024-09-06 00:00:00,95574,2.086714,Gare de l'Est 3,4.95,2024-01-14 00:00:00,4.91,3.11,4.5,2024-02-29 00:00:00,2.05,8.22,8.69,2024-08-23 00:00:00,2.67,8.39,2024-12-02 00:00:00,5.19,7.48,4.52,8.67,8.62
Nantes,Pays de la Loire,6.87,Bus RATP,3.75,Ligne M1,6.23,50,1.92,6.19,2024-09-25 00:00:00,119476,-1.044929,Montparnasse 5,1.67,2024-06-20 00:00:00,8.23,6.55,5.06,2024-03-18 00:00:00,8.8,3.61,7.12,2024-12-14 00:00:00,4.28,1.78,2024-03-25 00:00:00,2.69,8.12,6.65,4.51,1.62
Paris,Bretagne,7.44,Tramway,2.72,Ligne T2,7.83,5,1.77,6.5,2024-04-12 00:00:00,180316,1.517787,Gare du Nord 6,2.86,2024-05-06 00:00:00,6.29,7.22,1.9,2024-07-07 00:00:00,3.42,8.55,2.79,2024-04-27 00:00:00,7.44,7.14,2024-06-23 00:00:00,8.57,4.3,5.75,4.74,1.47
Nice,Provence-Alpes-Côte d'Azur,6.98,Bus RATP,8.75,Ligne 14,2.4,120,8.01,5.96,2024-12-19 00:00:00,103868,1.110259,Montparnasse 6,6.53,2024-12-02 00:00:00,6.5,6.81,2.07,2024-09-22 00:00:00,4.11,3.41,1.31,2024-04-07 00:00:00,7.95,6.4,2024-01-20 00:00:00,6.85,5.7,8.44,4.03,6.83
Lyon,Bretagne,6.45,RER,1.53,Ligne 14,5.15,800,3.83,2.11,2024-03-22 00:00:00,94690,0.023607,Saint-Charles 1,2.48,2024-12-09 00:00:00,6.37,6.17,8.34,2024-12-07 00:00:00,8.13,6.52,5.46,2024-10-16 00:00:00,7.15,4.15,2024-11-21 00:00:00,7.84,1.48,7.8,5.07,2.41
Lyon,Nouvelle-Aquitaine,3.1,Tramway,3.81,Ligne 14,5.16,350,7.23,2.33,2024-10-09 00:00:00,64811,0.784199,Gare de Lyon 1,4.25,2024-01-10 00:00:00,7.14,7.33,5.5,2024-12-14 00:00:00,6.76,8.09,3.66,2024-09-26 00:00:00,4.71,2.78,2024-02-13 00:00:00,8.15,3.31,5.8,3.85,8.77
Nice,Pays de la Loire,4.31,TER,7.09,Ligne 1,2.71,50,7.21,5.7,2024-01-06 00:00:00,187639,4.705715,Gare de l'Est 5,4.12,2024-01-11 00:00:00,4.13,7.68,2.8,2024-05-31 00:00:00,7.18,5.69,5.78,2024-01-16 00:00:00,5.74,3.74,2024-08-27 00:00:00,5.15,8.3,8.35,4.76,7.1
Nice,Grand Est,4.1,Transilien,4.05,Ligne 14,5.96,800,8.46,5.05,2024-06-09 00:00:00,134582,2.740237,Part-Dieu 3,8.52,2024-05-18 00:00:00,7.07,3.03,5.09,2024-04-03 00:00:00,1.85,8.26,2.68,2024-10-11 00:00:00,8.45,6.09,2024-05-29 00:00:00,3.98,8.05,3.02,2.0,3.14
Marseille,Nouvelle-Aquitaine,4.42,Métro,5.48,Ligne 1,4.12,800,5.12,3.33,2024-02-11 00:00:00,22356,-1.250724,Matabiau 7,4.8,2024-05-19 00:00:00,1.7,5.72,3.95,2024-10-03 00:00:00,5.55,8.4,2.06,2024-02-16 00:00:00,2.03,7.32,2024-10-16 00:00:00,8.59,7.25,3.69,1.34,1.86
Paris,Auvergne-Rhône-Alpes,8.48,TGV,6.06,Ligne A,5.04,800,2.14,6.23,2024-05-05 00:00:00,28229,2.500005,Saint-Jean 4,6.88,2024-08-23 00:00:00,7.73,6.32,7.6,2024-10-31 00:00:00,4.42,6.78,2.78,2024-02-12 00:00:00,2.31,5.65,2024-05-05 00:00:00,1.68,8.02,3.56,1.39,4.18
Bordeaux,Bretagne,7.29,Transilien,5.48,Ligne 1,7.39,350,8.35,2.23,2024-11-24 00:00:00,4056,0.33271,Gare de Lyon 8,3.56,2024-11-23 00:00:00,7.85,6.38,5.59,2024-06-28 00:00:00,7.74,1.92,4.21,2024-04-10 00:00:00,4.48,1.6,2024-12-21 00:00:00,6.95,4.0,7.03,2.81,6.81
Lille,Occitanie,3.1,TER,8.03,Ligne 14,3.51,50,3.64,6.08,2024-06-22 00:00:00,46038,0.10486,Haussmann Saint-Lazare 6,6.25,2024-03-24 00:00:00,2.04,5.88,7.56,2024-10-10 00:00:00,2.77,3.58,4.57,2024-02-16 00:00:00,7.16,2.44,2024-03-25 00:00:00,2.51,4.94,4.87,2.58,5.68
Nice,Occitanie,7.59,TER,1.71,Ligne 14,1.46,120,3.36,8.14,2024-07-11 00:00:00,78416,0.553885,Matabiau 3,7.63,2024-04-16 00:00:00,7.67,2.64,1.32,2024-12-19 00:00:00,1.75,5.19,1.88,2024-12-02 00:00:00,7.5,4.5,2024-08-14 00:00:00,8.66,7.65,1.3,3.91,6.11
Lyon,Hauts-de-France,6.15,Transilien,4.81,Ligne M1,3.76,50,6.44,7.48,2024-09-13 00:00:00,152310,5.17542,Saint-Charles 4,8.31,2024-05-19 00:00:00,6.62,4.83,5.18,2024-01-24 00:00:00,4.31,4.57,8.07,2024-05-25 00:00:00,6.61,4.59,2024-09-29 00:00:00,1.3,1.97,4.95,6.48,5.93
Toulouse,Grand Est,1.84,TER,5.16,Ligne B,3.7,800,6.68,1.75,2024-11-22 00:00:00,83496,5.086115,Saint-Jean 1,6.61,2024-05-17 00:00:00,3.57,3.66,6.78,2024-11-03 00:00:00,4.0,7.45,5.41,2024-04-26 00:00:00,2.8,6.06,2024-07-18 00:00:00,1.58,7.7,8.23,2.57,5.07
Lille,Hauts-de-France,4.16,Métro,3.44,Ligne T2,7.46,800,7.04,3.38,2024-06-29 00:00:00,196904,6.12324,Matabiau 4,1.62,2024-04-08 00:00:00,8.14,2.64,6.51,2024-06-15 00:00:00,7.63,5.33,4.07,2024-05-16 00:00:00,7.91,2.13,2024-04-26 00:00:00,6.4,3.46,3.72,4.37,8.1
Lille,Île-de-France,6.32,Bus RATP,3.97,Ligne 14,8.32,800,4.8,3.71,2024-11-29 00:00:00,160499,3.343139,Gare de l'Est 7,5.97,2024-03-22 00:00:00,2.65,4.8,1.96,2024-04-11 00:00:00,2.17,7.85,8.39,2024-08-03 00:00:00,7.35,5.61,2024-01-03 00:00:00,4.32,5.15,7.89,4.68,8.17
Nantes,Normandie,4.85,RER,8.33,Ligne A,1.36,50,3.61,5.72,2024-06-24 00:00:00,87322,4.473419,Montparnasse 6,6.78,2024-07-10 00:00:00,8.39,1.95,5.9,2024-06-08 00:00:00,1.34,3.98,6.63,2024-01-29 00:00:00,6.73,7.75,2024-04-14 00:00:00,5.5,8.59,6.09,1.3,4.04
Montpellier,Pays de la Loire,1.62,Métro,6.44,Ligne 1,3.53,50,7.41,6.46,2024-07-23 00:00:00,2308,-0.81597,Montparnasse 2,7.76,2024-05-24 00:00:00,2.22,2.62,4.49,2024-01-06 00:00:00,7.04,3.86,3.9,2024-03-28 00:00:00,2.84,2.99,2024-01-23 00:00:00,5.57,7.22,5.17,4.64,4.64
Paris,Grand Est,7.44,Métro,8.7,Ligne A,4.93,50,5.36,6.52,2024-06-19 00:00:00,41962,3.362493,Haussmann Saint-Lazare 4,6.56,2024-10-18 00:00:00,4.72,2.35,4.99,2024-07-03 00:00:00,7.73,4.72,1.33,2024-01-10 00:00:00,1.59,5.35,2024-12-17 00:00:00,7.38,7.64,7.34,1.85,4.34
Montpellier,Occitanie,2.54,TER,2.69,Ligne 1,5.33,50,8.1,1.4,2024-07-17 00:00:00,78301,0.41324,Haussmann Saint-Lazare 4,1.7,2024-08-11 00:00:00,5.43,7.08,3.9,2024-04-29 00:00:00,6.33,8.11,3.32,2024-12-19 00:00:00,1.47,6.69,2024-04-10 00:00:00,4.84,6.6,3.24,1.27,5.63
Nantes,Nouvelle-Aquitaine,2.45,Tramway,4.98,Ligne T2,2.64,350,7.25,2.94,2024-02-26 00:00:00,41013,4.473473,Saint-Jean 7,6.64,2024-01-16 00:00:00,2.85,7.02,3.64,2024-06-16 00:00:00,4.52,1.65,4.14,2024-03-02 00:00:00,2.03,7.04,2024-10-25 00:00:00,2.39,4.86,5.68,2.57,2.54
Bordeaux,Grand Est,7.2,Tramway,7.19,Ligne B,6.55,800,6.38,7.96,2024-03-15 00:00:00,194507,1.265051,Saint-Charles 2,6.74,2024-04-05 00:00:00,6.33,4.43,8.61,2024-10-14 00:00:00,7.73,1.64,8.3,2024-03-09 00:00:00,2.81,4.0,2024-04-11 00:00:00,4.66,7.85,7.75,6.19,6.62
Montpellier,Occitanie,7.55,Bus RATP,7.0,Ligne 14,4.15,5,6.26,1.52,2024-07-05 00:00:00,112299,3.864685,Gare du Nord 5,3.31,2024-02-16 00:00:00,6.4,5.5,2.7,2024-08-05 00:00:00,5.83,6.57,3.27,2024-05-26 00:00:00,2.8,8.28,2024-06-24 00:00:00,4.35,6.13,8.6,7.07,7.85
Nice,Provence-Alpes-Côte d'Azur,2.11,Bus RATP,6.79,Ligne A,4.64,5,6.86,4.51,2024-10-04 00:00:00,134184,4.511661,Montparnasse 5,8.47,2024-01-08 00:00:00,7.25,6.38,6.0,2024-09-29 00:00:00,1.22,6.05,1.46,2024-04-24 00:00:00,2.58,8.58,2024-03-20 00:00:00,2.7,7.19,5.28,8.61,7.31
Bordeaux,Provence-Alpes-Côte d'Azur,8.61,Métro,4.93,Ligne T2,2.36,5,6.86,7.23,2024-10-16 00:00:00,37140,2.456087,Gare du Nord 7,7.59,2024-04-23 00:00:00,5.66,8.69,6.99,2024-08-14 00:00:00,7.75,4.42,3.17,2024-06-12 00:00:00,5.93,1.59,2024-09-05 00:00:00,7.47,8.46,3.79,4.63,2.69
Nice,Grand Est,2.8,Métro,4.87,Ligne T2,2.52,800,3.32,7.11,2024-07-25 00:00:00,79210,5.198618,Saint-Charles 1,8.21,2024-11-25 00:00:00,1.67,5.91,5.83,2024-04-21 00:00:00,2.98,6.64,8.44,2024-09-27 00:00:00,5.14,6.05,2024-04-25 00:00:00,4.94,3.8,5.42,4.46,4.57
Paris,Île-de-France,8.23,Bus RATP,2.24,Ligne 14,8.7,50,5.79,6.84,2024-12-06 00:00:00,82046,2.727594,Gare de Lyon 9,7.0,2024-12-09 00:00:00,8.45,2.69,4.48,2024-11-27 00:00:00,7.0,8.26,5.16,2024-12-23 00:00:00,1.82,3.93,2024-11-12 00:00:00,3.11,3.57,5.47,7.25,2.28
Marseille,Nouvelle-Aquitaine,6.4,TGV,7.88,Ligne M1,1.73,5,4.58,1.89,2024-01-27 00:00:00,44882,5.082145,Part-Dieu 2,2.31,2024-02-16 00:00:00,8.31,7.72,2.14,2024-01-22 00:00:00,4.42,4.93,3.54,2024-05-23 00:00:00,2.64,5.93,2024-09-08 00:00:00,3.46,2.15,4.94,8.09,8.1
Lille,Bretagne,3.58,Métro,6.83,Ligne B,1.61,800,4.89,1.62,2024-04-13 00:00:00,65705,0.630075,Montparnasse 7,3.41,2024-07-10 00:00:00,2.46,6.42,8.47,2024-08-03 00:00:00,3.62,3.6,7.06,2024-10-15 00:00:00,3.29,3.93,2024-10-11 00:00:00,7.49,5.89,3.69,7.55,1.97
Nice,Occitanie,3.15,TGV,8.4,Ligne M1,2.99,800,7.88,4.14,2024-01-01 00:00:00,183423,-0.369728,Montparnasse 7,5.59,2024-04-09 00:00:00,4.33,1.77,7.33,2024-12-14 00:00:00,3.49,1.9,7.99,2024-06-24 00:00:00,1.34,5.23,2024-06-05 00:00:00,6.1,2.23,1.21,5.38,5.52
Nice,Auvergne-Rhône-Alpes,5.83,Tramway,6.91,Ligne M1,2.93,120,3.11,8.79,2024-10-17 00:00:00,191344,6.265921,Saint-Jean 8,8.34,2024-04-14 00:00:00,7.91,6.32,1.72,2024-03-12 00:00:00,5.83,6.53,2.83,2024-08-13 00:00:00,5.35,1.59,2024-10-30 00:00:00,6.24,4.18,3.04,6.41,6.97
Montpellier,Hauts-de-France,7.99,Tramway,7.61,Ligne T2,6.51,350,7.72,7.3,2024-06-03 00:00:00,183319,5.546167,Part-Dieu 6,8.02,2024-11-25 00:00:00,1.91,3.94,1.37,2024-08-04 00:00:00,3.25,2.01,3.41,2024-07-02 00:00:00,5.95,1.85,2024-11-29 00:00:00,2.63,3.26,2.07,6.14,6.59
Toulouse,Bretagne,2.74,Transilien,7.99,Ligne 14,8.65,5,3.35,2.9,2024-03-10 00:00:00,95259,-1.033668,Montparnasse 9,4.15,2024-07-09 00:00:00,8.2,7.52,7.01,2024-02-14 00:00:00,4.02,2.03,6.27,2024-11-14 00:00:00,8.14,2.93,2024-04-10 00:00:00,3.25,7.28,5.66,1.98,3.33
Nice,Provence-Alpes-Côte d'Azur,1.84,RER,3.52,Ligne 14,4.51,350,7.48,8.53,2024-04-28 00:00:00,42507,6.021886,Gare de l'Est 3,1.57,2024-05-09 00:00:00,2.19,8.08,6.32,2024-12-17 00:00:00,3.84,6.65,8.02,2024-04-19 00:00:00,5.81,6.05,2024-01-07 00:00:00,5.85,4.0,2.32,3.28,2.99
Bordeaux,Hauts-de-France,1.45,Transilien,3.08,Ligne 14,2.12,800,8.29,1.21,2024-02-20 00:00:00,86185,6.332501,Saint-Charles 7,2.61,2024-05-29 00:00:00,6.11,5.21,8.31,2024-11-19 00:00:00,4.43,6.51,5.75,2024-02-02 00:00:00,3.32,2.23,2024-08-02 00:00:00,3.76,2.61,2.7,7.26,2.11
Toulouse,Provence-Alpes-Côte d'Azur,1.44,RER,6.65,Ligne M1,7.35,800,8.38,8.44,2024-04-24 00:00:00,185770,0.372811,Gare du Nord 5,1.3,2024-10-04 00:00:00,2.43,7.99,1.93,2024-12-22 00:00:00,5.14,7.99,2.63,2024-08-31 00:00:00,3.33,2.86,2024-02-05 00:00:00,5.59,4.1,2.35,7.29,7.74
Paris,Pays de la Loire,1.39,TER,1.64,Ligne B,2.59,800,6.87,7.87,2024-01-15 00:00:00,20161,0.257186,Gare de Lyon 7,6.15,2024-01-06 00:00:00,6.0,4.54,7.75,2024-11-20 00:00:00,1.32,6.71,3.05,2024-02-23 00:00:00,3.62,2.76,2024-11-27 00:00:00,4.02,4.78,6.64,4.08,8.76
Lille,Occitanie,2.22,Métro,5.12,Ligne C,6.39,800,8.07,6.62,2024-08-16 00:00:00,13360,3.11384,Saint-Charles 7,5.19,2024-04-26 00:00:00,4.63,3.39,3.37,2024-05-22 00:00:00,6.74,8.56,2.25,2024-12-08 00:00:00,2.34,4.27,2024-02-12 00:00:00,2.91,4.99,1.58,7.89,4.19
