col_ville,col_mode_transport,col_periode_journee,col_freq_moyenne,col_freq_max,col_taux_remplissage_moyen,col_date,col_heure,col_jour_semaine,col_est_weekend,col_frequentation,col_capacite_max,col_taux_remplissage,col_source
Toulouse,Métro,2.76,6.98,8.29,3.04,2024-09-24 00:00:00,8.17,3.41,1,1.39,800,3.32,RATP_Open_Data_2024
Strasbourg,Transilien,6.35,5.56,4.66,7.48,2024-09-10 00:00:00,2.22,3.91,NON,3.14,800,7.96,RATP_Open_Data_2024
Lille,RER,2.59,4.38,7.97,7.09,2024-08-23 00:00:00,4.8,4.02,NON,3.81,50,4.39,RATP_Open_Data_2024
Nantes,Bus RATP,8.6,5.53,7.48,3.36,2024-10-27 00:00:00,3.99,8.51,NON,6.93,800,7.43,RATP_Open_Data_2024
Paris,TER,5.96,2.18,4.5,4.06,2024-02-17 00:00:00,6.5,4.87,OUI,7.11,800,7.01,Airparif
Nantes,Tramway,7.1,2.13,1.62,4.85,2024-04-20 00:00:00,6.17,6.32,NON,2.73,800,5.25,SNCF_Open_Data
Bordeaux,TGV,7.22,3.43,7.75,5.89,2024-05-15 00:00:00,5.59,4.76,OUI,8.67,120,6.43,SNCF_Open_Data
Nantes,Transilien,3.21,1.36,2.1,2.24,2024-06-11 00:00:00,8.25,5.67,NON,5.28,800,2.86,Airparif
Paris,RER,7.78,4.13,8.19,2.55,2024-07-23 00:00:00,1.21,7.4,1,7.89,800,7.25,RATP_Open_Data_2024
Montpellier,TGV,1.8,4.86,8.13,4.24,2024-10-28 00:00:00,3.08,1.66,NON,4.24,350,5.03,SNCF_Open_Data
Montpellier,RER,5.19,8.55,2.47,1.86,2024-09-01 00:00:00,5.92,5.24,1,4.18,350,1.84,Data.gouv.fr
Nice,Transilien,2.04,7.05,5.38,1.48,2024-03-19 00:00:00,6.49,7.89,0,4.61,5,3.92,Météo-France
Paris,Bus RATP,6.86,1.41,3.32,7.88,2024-12-17 00:00:00,5.84,6.29,OUI,6.96,350,7.91,SNCF_Open_Data
Nice,Transilien,5.77,8.19,4.19,3.14,2024-06-24 00:00:00,2.45,1.48,NON,2.68,350,3.35,Data.gouv.fr
Toulouse,TGV,5.11,8.27,7.33,4.23,2024-07-30 00:00:00,5.59,8.75,1,3.81,800,5.03,Météo-France
Nantes,TER,4.26,2.0,4.07,1.29,2024-05-21 00:00:00,6.76,8.62,1,8.12,800,3.17,Météo-France
Nantes,Transilien,6.58,3.48,5.13,1.72,2024-03-10 00:00:00,4.4,7.7,OUI,8.77,50,8.32,RATP_Open_Data_2024
Strasbourg,Transilien,5.7,7.51,4.12,5.84,2024-12-15 00:00:00,4.94,2.29,0,3.01,50,8.12,SNCF_Open_Data
Montpellier,Bus RATP,7.97,4.78,3.91,7.81,2024-02-20 00:00:00,7.99,2.58,OUI,1.39,50,6.14,Météo-France
Montpellier,Métro,3.77,3.46,1.36,6.61,2024-05-13 00:00:00,4.11,2.31,1,2.62,800,2.45,SNCF_Open_Data
Marseille,Métro,4.87,6.66,2.82,7.27,2024-03-16 00:00:00,1.96,3.57,1,1.8,50,1.64,SNCF_Open_Data
Lille,Transilien,5.01,4.73,5.63,5.08,2024-04-18 00:00:00,5.77,4.14,NON,2.46,50,5.94,RATP_Open_Data_2024
Nice,TER,1.43,4.6,4.19,3.28,2024-05-21 00:00:00,6.33,8.23,OUI,4.68,50,2.69,RATP_Open_Data_2024
Lille,RER,5.82,7.56,2.34,7.57,2024-06-20 00:00:00,1.58,6.52,0,5.9,120,3.25,Airparif
Nice,Tramway,2.6,8.69,7.31,6.02,2024-08-03 00:00:00,5.41,1.23,NON,8.4,50,3.77,Data.gouv.fr
Lille,Tramway,7.31,3.2,3.12,2.7,2024-12-11 00:00:00,6.73,2.44,OUI,5.57,120,7.33,Airparif
Toulouse,RER,2.52,5.85,5.01,2.84,2024-04-14 00:00:00,5.18,2.54,0,6.19,800,2.46,Data.gouv.fr
Lyon,Bus RATP,3.0,5.74,5.08,7.6,2024-02-18 00:00:00,3.6,7.72,OUI,6.22,800,3.18,SNCF_Open_Data
Nantes,TER,7.08,5.13,5.64,4.96,2024-11-07 00:00:00,6.05,2.87,OUI,3.45,350,5.66,RATP_Open_Data_2024
Strasbourg,Métro,7.04,2.29,7.56,7.77,2024-05-23 00:00:00,4.38,8.72,OUI,1.26,50,6.7,Météo-France
Bordeaux,Tramway,6.1,4.22,2.29,4.83,2024-12-21 00:00:00,4.98,2.25,0,5.24,5,6.96,Data.gouv.fr
Lille,TER,3.58,4.32,6.37,1.49,2024-11-05 00:00:00,7.82,5.32,NON,5.85,50,5.19,Airparif
Toulouse,Bus RATP,8.7,1.46,5.24,1.64,2024-01-25 00:00:00,6.8,6.06,1,7.77,5,8.71,Airparif
Lille,Bus RATP,2.21,2.1,3.1,5.75,2024-07-22 00:00:00,3.43,5.92,1,6.97,5,8.51,Météo-France
Montpellier,Tramway,8.6,4.57,6.77,3.27,2024-02-17 00:00:00,6.08,8.19,OUI,1.57,50,6.81,RATP_Open_Data_2024
Strasbourg,Tramway,7.72,8.53,4.24,5.49,2024-03-03 00:00:00,2.74,2.97,OUI,5.11,800,3.45,RATP_Open_Data_2024
Toulouse,Tramway,8.69,4.14,7.45,3.38,2024-07-28 00:00:00,2.94,8.03,0,7.74,800,4.23,Data.gouv.fr
Paris,TGV,4.61,3.91,8.6,4.0,2024-06-15 00:00:00,2.34,1.23,1,2.75,350,4.23,SNCF_Open_Data
Paris,Bus RATP,1.59,7.82,5.1,4.95,2024-02-28 00:00:00,1.27,5.29,OUI,2.54,350,8.12,SNCF_Open_Data
Nice,Bus RATP,4.97,2.1,6.59,4.0,2024-02-05 00:00:00,5.65,3.79,1,5.4,800,8.15,Data.gouv.fr
Paris,RER,7.99,8.56,5.98,5.63,2024-06-19 00:00:00,4.81,6.97,0,8.3,50,3.47,Data.gouv.fr
Nantes,TER,8.43,7.15,7.32,3.64,2024-10-12 00:00:00,4.86,6.91,1,3.1,800,5.11,Airparif
Lyon,Tramway,2.5,7.68,3.81,5.18,2024-04-22 00:00:00,7.24,4.03,1,4.61,800,2.64,Météo-France
Montpellier,Transilien,5.32,8.28,3.85,4.56,2024-08-07 00:00:00,5.85,7.55,OUI,3.98,350,5.18,RATP_Open_Data_2024
Strasbourg,Transilien,6.57,6.08,7.15,5.79,2024-12-10 00:00:00,5.44,5.49,NON,7.37,5,3.06,SNCF_Open_Data
Strasbourg,Tramway,2.83,5.08,3.43,5.57,2024-07-27 00:00:00,2.43,4.46,OUI,6.64,120,4.04,RATP_Open_Data_2024
Strasbourg,Bus RATP,4.33,1.91,6.04,7.08,2024-06-16 00:00:00,2.33,6.73,0,5.23,5,3.82,RATP_Open_Data_2024
Lille,TER,2.03,4.93,2.49,2.53,2024-05-04 00:00:00,3.82,5.74,0,2.44,5,6.52,SNCF_Open_Data
Lille,RER,4.3,6.92,7.76,4.68,2024-07-26 00:00:00,8.65,5.39,1,5.9,800,2.21,RATP_Open_Data_2024
Strasbourg,Bus RATP,7.98,1.7,1.7,3.1,2024-05-11 00:00:00,3.03,3.7,0,7.35,50,6.76,RATP_Open_Data_2024
Montpellier,TGV,6.58,1.34,4.29,7.27,2024-04-20 00:00:00,2.17,6.19,OUI,2.73,800,4.48,RATP_Open_Data_2024
Bordeaux,TGV,4.53,6.67,6.97,2.95,2024-06-13 00:00:00,3.19,3.68,NON,7.43,50,8.39,SNCF_Open_Data
Bordeaux,Tramway,4.31,1.65,7.35,2.09,2024-12-20 00:00:00,7.52,1.41,0,4.49,5,1.89,Airparif
Strasbourg,Transilien,7.8,1.22,5.29,5.99,2024-07-11 00:00:00,6.42,2.7,0,6.79,120,7.9,Airparif
Bordeaux,Bus RATP,1.62,5.37,2.88,6.62,2024-07-16 00:00:00,7.73,6.78,OUI,4.82,50,3.0,RATP_Open_Data_2024
Nice,Bus RATP,7.43,6.17,6.28,6.94,2024-12-15 00:00:00,2.08,7.18,0,7.69,50,2.15,Airparif
Nantes,Tramway,1.53,4.87,2.47,7.18,2024-08-26 00:00:00,7.05,4.4,0,8.02,120,2.88,RATP_Open_Data_2024
Nantes,TGV,6.55,4.81,6.89,5.09,2024-05-02 00:00:00,7.71,5.06,0,7.39,50,4.71,SNCF_Open_Data
Lille,TER,6.09,7.17,3.01,3.63,2024-02-10 00:00:00,2.07,6.02,1,2.59,350,2.25,Airparif
Nantes,Bus RATP,3.11,8.2,1.85,7.09,2024-03-31 00:00:00,7.44,1.84,0,4.2,120,7.9,Airparif
Lyon,TGV,6.93,4.24,5.63,5.15,2024-08-28 00:00:00,6.23,3.32,0,7.56,350,5.54,Data.gouv.fr
Nice,TER,7.86,5.51,6.02,3.21,2024-05-17 00:00:00,6.39,5.09,1,8.54,350,1.54,RATP_Open_Data_2024
Marseille,RER,1.23,3.41,7.39,6.87,2024-01-17 00:00:00,3.46,2.56,OUI,4.43,120,7.26,Airparif
Lyon,RER,2.6,1.55,3.86,1.78,2024-08-28 00:00:00,5.6,2.71,OUI,7.99,120,6.53,SNCF_Open_Data
Paris,Bus RATP,8.01,6.36,7.54,7.97,2024-04-16 00:00:00,2.49,4.23,1,1.41,800,1.46,SNCF_Open_Data
Bordeaux,TGV,6.1,4.82,5.08,7.28,2024-06-20 00:00:00,4.17,6.02,0,6.1,5,7.97,SNCF_Open_Data
Nantes,Bus RATP,3.36,7.03,7.42,4.48,2024-11-25 00:00:00,6.55,6.0,0,6.38,800,7.89,Data.gouv.fr
Paris,Tramway,2.93,2.23,3.15,5.64,2024-04-09 00:00:00,7.88,5.85,NON,2.03,120,2.51,Météo-France
Nice,Bus RATP,5.18,2.66,2.61,6.2,2024-07-08 00:00:00,5.24,7.44,0,5.1,120,8.53,Airparif
Strasbourg,TER,5.03,7.61,7.36,7.34,2024-12-12 00:00:00,7.06,1.4,1,4.81,120,7.43,Data.gouv.fr
Toulouse,RER,8.43,4.07,6.42,4.05,2024-10-13 00:00:00,5.19,7.77,OUI,5.11,350,7.49,Météo-France
Nice,Métro,5.7,7.82,6.61,6.53,2024-07-22 00:00:00,4.21,2.12,1,2.95,5,2.03,Data.gouv.fr
Lyon,TGV,2.68,4.83,7.08,2.6,2024-01-24 00:00:00,8.14,1.4,NON,6.16,5,7.26,Airparif
Bordeaux,TGV,6.02,7.42,4.37,2.16,2024-08-05 00:00:00,1.28,7.85,NON,1.83,350,7.55,Météo-France
Toulouse,TER,3.72,1.21,3.41,6.94,2024-09-26 00:00:00,6.24,2.7,1,7.93,800,4.08,SNCF_Open_Data
Marseille,Métro,8.74,2.34,1.35,8.74,2024-01-25 00:00:00,5.99,4.47,NON,8.72,50,5.27,Data.gouv.fr
Nantes,TER,6.92,6.07,2.67,4.66,2024-10-08 00:00:00,5.32,4.0,NON,5.08,800,5.95,Airparif
Lille,Bus RATP,2.78,8.12,2.34,1.71,2024-11-28 00:00:00,8.07,7.85,0,6.73,5,6.18,SNCF_Open_Data
Nice,Métro,1.27,4.17,4.76,3.41,2024-12-03 00:00:00,3.27,1.8,1,3.54,50,5.47,RATP_Open_Data_2024
Toulouse,TER,7.81,1.65,7.52,7.95,2024-02-22 00:00:00,6.72,1.55,OUI,4.98,5,7.57,SNCF_Open_Data
Nice,Transilien,4.76,3.15,8.39,3.55,2024-02-02 00:00:00,3.37,1.98,NON,8.3,50,6.66,RATP_Open_Data_2024
Montpellier,Métro,6.77,4.14,2.39,1.96,2024-12-09 00:00:00,3.62,4.44,1,4.18,350,1.94,Airparif
Lyon,Tramway,3.28,7.41,3.06,4.67,2024-08-21 00:00:00,1.99,6.47,NON,2.65,5,6.88,Airparif
Nice,Tramway,5.74,4.08,7.8,2.6,2024-08-09 00:00:00,4.22,3.08,0,3.34,120,5.65,Météo-France
Lille,Tramway,2.75,8.27,1.81,6.93,2024-09-25 00:00:00,6.51,2.75,OUI,5.23,5,8.04,SNCF_Open_Data
Marseille,TER,2.55,5.3,2.11,7.73,2024-02-02 00:00:00,3.54,7.13,OUI,7.05,800,4.34,RATP_Open_Data_2024
Nice,TER,1.63,5.05,5.64,6.24,2024-08-04 00:00:00,8.42,1.59,1,5.02,800,4.9,Airparif
Nantes,TER,3.79,4.42,1.59,4.43,2024-02-03 00:00:00,5.34,1.28,1,6.06,120,7.02,Data.gouv.fr
Strasbourg,Bus RATP,1.52,4.81,4.69,3.78,2024-05-04 00:00:00,3.95,8.15,0,3.47,350,1.6,Météo-France
Paris,Bus RATP,2.89,2.9,8.0,3.11,2024-06-04 00:00:00,4.8,5.58,1,2.76,350,4.02,Météo-France
Toulouse,Métro,8.39,7.73,5.22,1.29,2024-07-06 00:00:00,6.7,6.83,1,7.18,5,1.49,Airparif
Nantes,RER,6.92,5.78,7.06,7.43,2024-06-26 00:00:00,2.35,1.69,1,4.66,5,5.79,RATP_Open_Data_2024
Montpellier,Bus RATP,3.21,3.46,5.46,4.58,2024-11-11 00:00:00,4.82,3.07,0,7.21,350,3.24,Data.gouv.fr
Strasbourg,Bus RATP,8.18,7.6,7.34,8.26,2024-06-07 00:00:00,1.94,8.49,0,3.19,120,2.98,Data.gouv.fr
Lyon,RER,5.2,6.1,5.16,7.49,2024-02-09 00:00:00,5.25,2.94,0,3.28,50,7.5,SNCF_Open_Data
Lille,RER,6.72,5.03,7.33,2.39,2024-02-02 00:00:00,4.72,4.72,1,8.79,120,3.86,RATP_Open_Data_2024
Lyon,Métro,3.84,3.08,7.41,5.34,2024-02-19 00:00:00,2.98,7.94,1,5.85,800,8.4,Airparif
Paris,Tramway,4.15,8.2,8.11,3.65,2024-06-11 00:00:00,3.73,7.38,1,2.95,50,4.69,Météo-France
Bordeaux,Transilien,2.84,1.36,7.16,3.8,2024-06-26 00:00:00,7.63,8.2,OUI,7.54,50,1.65,Data.gouv.fr
Paris,TGV,4.99,7.92,2.85,6.9,2024-05-02 00:00:00,6.86,5.34,NON,2.59,50,8.73,SNCF_Open_Data
Bordeaux,Métro,2.63,2.57,5.6,1.28,2024-08-12 00:00:00,8.35,8.68,NON,7.46,800,1.24,SNCF_Open_Data
Toulouse,TER,7.98,5.67,2.56,2.76,2024-09-02 00:00:00,7.21,7.5,OUI,1.67,5,1.97,Airparif
Strasbourg,Tramway,4.5,5.41,1.35,6.39,2024-05-28 00:00:00,3.91,4.19,1,4.18,120,1.96,RATP_Open_Data_2024
Nice,Bus RATP,5.6,5.81,2.94,3.16,2024-02-05 00:00:00,5.41,2.7,OUI,5.15,120,6.1,Data.gouv.fr
Nantes,Bus RATP,8.22,4.81,6.51,1.89,2024-10-05 00:00:00,5.3,2.55,OUI,3.11,350,5.35,Airparif
Montpellier,TGV,6.79,3.49,4.32,4.24,2024-02-05 00:00:00,7.01,8.22,NON,4.74,50,2.23,Airparif
Lyon,Transilien,4.24,7.75,6.93,5.8,2024-12-21 00:00:00,8.15,2.68,OUI,8.01,50,2.85,SNCF_Open_Data
Montpellier,TER,5.16,8.51,4.65,6.08,2024-06-20 00:00:00,5.42,4.25,0,5.56,50,6.22,SNCF_Open_Data
Paris,TGV,5.53,4.8,5.28,8.58,2024-05-26 00:00:00,1.91,6.8,NON,7.69,800,2.61,Météo-France
Lyon,RER,7.66,6.8,2.31,6.7,2024-03-15 00:00:00,8.62,6.87,1,7.28,800,8.36,Airparif
Marseille,TGV,4.74,3.09,7.04,3.76,2024-05-05 00:00:00,2.88,6.73,0,2.56,120,6.85,SNCF_Open_Data
Bordeaux,TGV,2.36,2.33,7.66,1.81,2024-01-01 00:00:00,6.52,1.28,1,6.38,50,4.12,RATP_Open_Data_2024
Lyon,TGV,4.84,6.92,3.05,5.5,2024-07-05 00:00:00,8.8,3.99,1,7.49,800,7.42,Airparif
Strasbourg,Tramway,5.12,1.78,4.2,2.06,2024-07-26 00:00:00,5.84,3.22,0,6.55,350,7.4,Data.gouv.fr
Nice,Métro,6.61,6.79,1.68,7.87,2024-12-15 00:00:00,1.95,4.91,0,3.37,350,4.17,SNCF_Open_Data
Montpellier,Tramway,8.07,3.08,5.44,8.66,2024-05-13 00:00:00,5.15,8.7,1,4.87,50,1.63,RATP_Open_Data_2024
Toulouse,Bus RATP,5.37,8.21,7.57,6.98,2024-04-07 00:00:00,8.32,7.52,0,2.86,800,3.46,Airparif
Marseille,Transilien,2.38,5.35,5.61,7.49,2024-02-26 00:00:00,6.56,4.55,NON,5.25,800,6.46,Airparif
Nantes,Tramway,8.03,6.97,8.42,6.81,2024-06-04 00:00:00,8.35,4.87,OUI,6.2,800,2.79,RATP_Open_Data_2024
Strasbourg,Métro,5.94,2.06,3.05,2.08,2024-02-10 00:00:00,6.69,4.98,OUI,1.65,350,7.04,RATP_Open_Data_2024
Toulouse,RER,3.2,2.41,7.13,4.5,2024-10-27 00:00:00,3.91,3.96,NON,3.88,120,5.37,RATP_Open_Data_2024
Lille,Transilien,7.2,6.16,5.6,6.58,2024-09-17 00:00:00,3.3,3.05,NON,3.23,50,8.77,Data.gouv.fr
Bordeaux,TER,7.06,2.9,5.03,5.49,2024-09-29 00:00:00,2.61,4.01,1,7.16,120,8.24,Data.gouv.fr
Nantes,Transilien,8.1,2.94,4.35,1.49,2024-09-28 00:00:00,4.74,5.17,1,3.89,50,6.84,RATP_Open_Data_2024
Toulouse,Transilien,2.65,3.36,1.5,7.62,2024-05-09 00:00:00,4.87,8.16,0,8.42,350,8.05,Data.gouv.fr
Lyon,Transilien,5.21,8.0,3.06,3.39,2024-02-13 00:00:00,4.02,4.15,0,1.57,120,5.5,Météo-France
Paris,TER,8.56,3.55,3.3,4.85,2024-05-02 00:00:00,5.2,7.53,1,5.75,800,4.74,RATP_Open_Data_2024
Marseille,Bus RATP,3.42,4.5,3.46,8.41,2024-09-24 00:00:00,1.39,4.49,NON,1.38,350,5.82,RATP_Open_Data_2024
Nantes,RER,1.33,6.15,5.46,1.24,2024-04-25 00:00:00,6.34,1.57,NON,7.92,120,1.42,Data.gouv.fr
Marseille,RER,2.8,7.77,5.19,5.63,2024-04-22 00:00:00,8.75,5.37,0,7.82,350,8.7,SNCF_Open_Data
Toulouse,TGV,7.25,6.54,6.59,2.32,2024-10-08 00:00:00,5.96,5.29,NON,4.76,50,7.7,Airparif
Montpellier,RER,2.45,1.21,6.72,6.61,2024-11-14 00:00:00,5.63,1.24,NON,6.84,800,7.82,Airparif
Toulouse,Métro,4.18,6.62,7.25,7.97,2024-05-15 00:00:00,4.88,6.08,OUI,8.45,50,4.98,Météo-France
Paris,Transilien,5.05,7.09,1.74,5.8,2024-01-06 00:00:00,5.3,4.67,1,5.34,800,6.62,RATP_Open_Data_2024
Nantes,Bus RATP,2.5,1.57,3.1,5.24,2024-01-06 00:00:00,4.95,6.67,0,7.7,50,5.16,Météo-France
Lille,Transilien,6.21,2.41,6.81,5.06,2024-07-17 00:00:00,8.4,5.26,0,2.07,50,3.79,Data.gouv.fr
Bordeaux,TGV,8.16,1.3,6.51,2.86,2024-03-18 00:00:00,5.61,3.63,0,7.89,50,4.94,RATP_Open_Data_2024
Lille,RER,2.71,1.69,6.31,7.95,2024-12-18 00:00:00,8.36,1.78,NON,1.37,5,7.99,RATP_Open_Data_2024
Marseille,Métro,4.28,2.53,7.4,3.44,2024-02-02 00:00:00,7.31,5.18,1,1.89,50,4.19,Data.gouv.fr
Lyon,TGV,2.33,4.59,4.75,3.83,2024-08-13 00:00:00,2.97,8.39,0,5.3,120,3.44,Data.gouv.fr
Nice,RER,8.06,8.43,2.35,5.86,2024-05-13 00:00:00,5.37,6.03,NON,6.31,800,3.95,RATP_Open_Data_2024
Toulouse,RER,6.26,1.62,4.55,3.26,2024-01-20 00:00:00,8.71,7.32,1,5.37,120,6.79,Airparif
Strasbourg,Tramway,1.44,1.85,1.51,2.83,2024-04-09 00:00:00,7.78,4.78,OUI,1.22,800,2.47,SNCF_Open_Data
Paris,TER,2.41,7.06,7.74,3.95,2024-02-05 00:00:00,4.39,2.82,OUI,4.0,350,7.27,Airparif
Paris,TGV,4.06,5.06,2.2,7.05,2024-05-09 00:00:00,3.58,5.04,NON,7.46,50,6.7,Data.gouv.fr
Paris,Transilien,3.7,2.4,3.65,3.5,2024-12-07 00:00:00,7.37,5.09,NON,7.39,120,6.31,Météo-France
Nice,Métro,7.25,6.51,6.11,6.76,2024-12-17 00:00:00,7.0,7.69,0,5.16,50,4.43,Airparif
Paris,TGV,3.09,8.11,3.24,6.23,2024-11-17 00:00:00,6.32,3.71,0,4.79,5,7.63,SNCF_Open_Data
Strasbourg,Bus RATP,1.44,3.03,2.91,2.95,2024-06-11 00:00:00,3.41,2.47,NON,5.82,5,4.6,Météo-France
Montpellier,Transilien,2.41,3.19,8.48,5.13,2024-03-05 00:00:00,5.53,3.74,NON,7.79,50,1.73,RATP_Open_Data_2024
Toulouse,Transilien,1.74,2.1,2.63,8.18,2024-11-08 00:00:00,4.32,7.13,1,7.66,800,6.06,RATP_Open_Data_2024
Nantes,TGV,1.4,3.85,7.39,7.85,2024-07-05 00:00:00,2.77,1.56,OUI,8.27,50,7.51,Airparif
Strasbourg,Tramway,5.63,8.35,3.46,4.93,2024-10-29 00:00:00,3.5,2.13,0,7.73,50,8.44,Météo-France
Lyon,TER,1.63,6.47,1.85,5.47,2024-05-14 00:00:00,3.0,8.73,OUI,3.58,50,5.22,Airparif
Lille,Tramway,6.39,2.4,2.58,7.07,2024-04-28 00:00:00,5.59,8.09,1,7.55,50,7.1,Airparif
Lyon,TER,7.22,2.15,4.95,7.91,2024-01-11 00:00:00,2.52,7.89,OUI,2.91,800,1.35,Météo-France
Nice,Bus RATP,5.16,3.63,7.15,4.16,2024-09-16 00:00:00,2.89,2.76,1,3.25,50,1.65,SNCF_Open_Data
Montpellier,Tramway,3.01,4.72,1.21,3.89,2024-03-04 00:00:00,1.96,1.32,OUI,4.2,350,4.31,Data.gouv.fr
Strasbourg,Transilien,5.35,3.43,3.36,7.39,2024-11-09 00:00:00,5.29,1.36,NON,6.04,120,6.75,SNCF_Open_Data
Toulouse,Métro,6.08,5.48,4.99,6.54,2024-07-26 00:00:00,7.55,3.79,OUI,1.9,5,3.65,RATP_Open_Data_2024
Montpellier,Métro,4.11,6.31,8.57,6.68,2024-10-29 00:00:00,5.47,3.76,1,4.15,5,3.76,Data.gouv.fr
Bordeaux,RER,6.88,4.8,8.18,8.68,2024-09-04 00:00:00,2.74,2.44,1,2.8,800,4.12,Airparif
Paris,Transilien,1.78,7.45,2.73,4.98,2024-11-19 00:00:00,7.89,1.49,NON,8.39,120,8.1,SNCF_Open_Data
Nice,RER,2.5,8.42,2.07,6.73,2024-09-28 00:00:00,2.34,7.42,0,7.91,800,7.47,Airparif
Lyon,Transilien,5.95,6.93,8.56,7.29,2024-05-27 00:00:00,8.56,3.4,OUI,6.41,800,2.91,Data.gouv.fr
Lyon,TGV,5.04,2.17,5.3,3.58,2024-12-05 00:00:00,2.71,7.05,NON,2.12,800,5.42,Météo-France
Lille,Tramway,1.47,3.09,6.14,8.0,2024-05-02 00:00:00,8.58,5.71,0,7.54,800,7.17,Airparif
Bordeaux,Transilien,1.9,8.4,3.91,8.05,2024-11-03 00:00:00,6.63,4.68,NON,4.48,800,6.35,SNCF_Open_Data
Lille,Tramway,4.74,1.98,6.47,7.92,2024-02-24 00:00:00,7.55,1.38,1,6.85,800,4.83,Météo-France
Montpellier,Transilien,7.9,8.26,5.52,1.29,2024-02-08 00:00:00,7.58,4.82,1,2.87,50,4.45,SNCF_Open_Data
Bordeaux,TER,1.99,3.62,5.38,4.31,2024-05-01 00:00:00,4.41,5.16,1,4.93,120,8.26,Airparif
Nantes,Tramway,3.33,2.12,6.89,2.52,2024-08-17 00:00:00,4.73,3.57,1,3.34,5,4.64,Météo-France
Paris,Bus RATP,7.36,2.62,5.16,2.83,2024-10-18 00:00:00,7.88,7.48,0,4.77,5,5.32,Météo-France
Strasbourg,RER,3.31,3.63,1.71,8.37,2024-11-19 00:00:00,2.68,3.29,0,5.01,5,3.48,RATP_Open_Data_2024
Strasbourg,TER,3.23,1.77,6.16,6.66,2024-02-13 00:00:00,1.77,2.23,0,7.9,5,6.63,Data.gouv.fr
Lyon,TGV,5.32,3.36,6.58,3.54,2024-07-01 00:00:00,8.18,5.01,1,2.37,350,8.39,RATP_Open_Data_2024
Lyon,TGV,3.38,7.5,2.56,3.97,2024-12-08 00:00:00,3.67,3.39,OUI,3.27,5,1.43,Data.gouv.fr
Montpellier,TGV,1.83,3.49,6.36,3.92,2024-08-31 00:00:00,1.46,3.81,0,1.66,50,6.51,Data.gouv.fr
Strasbourg,Métro,8.53,6.48,8.27,6.79,2024-01-14 00:00:00,2.91,5.56,OUI,7.14,120,1.24,RATP_Open_Data_2024
