col_ville,col_mode_transport,col_retard_moyen,col_retard_max,col_nb_incidents,col_total_passagers_impactes,col_date,col_heure,col_ligne,col_retard_minutes,col_retard_categorie,col_cause_retard,col_nb_voyages_affectes,col_passagers_impactes,col_type_incident,col_source
Nice,Tramway,2.76,5.46,ID_024,4.65,2024-02-16 00:00:00,7.09,2.54,3.6,3.55,6.61,2.69,3.94,ID_024,RATP_Open_Data_2024
Bordeaux,Transilien,7.96,5.01,ID_025,4.85,2024-07-02 00:00:00,2.81,7.88,6.71,2.36,3.45,4.63,7.39,ID_025,Météo-France
Lyon,Tramway,7.22,4.13,ID_026,6.14,2024-03-22 00:00:00,5.22,2.76,7.69,6.38,7.54,3.49,3.53,ID_026,Météo-France
Marseille,Bus RATP,4.0,4.51,ID_027,1.93,2024-02-15 00:00:00,2.86,6.68,8.45,1.5,3.35,3.76,3.42,ID_027,Airparif
Toulouse,Métro,6.83,2.02,ID_028,3.51,2024-10-29 00:00:00,1.27,1.26,2.77,2.14,5.99,8.37,4.5,ID_028,SNCF_Open_Data
Nantes,TER,7.37,4.75,ID_029,7.44,2024-03-31 00:00:00,5.66,6.25,4.56,4.97,3.52,5.63,1.32,ID_029,Data.gouv.fr
Strasbourg,Transilien,5.52,2.46,ID_030,3.96,2024-03-27 00:00:00,5.96,1.95,8.05,5.13,6.19,1.57,5.12,ID_030,Météo-France
Lille,Métro,3.95,8.22,ID_031,5.98,2024-02-08 00:00:00,5.81,7.31,3.39,1.98,3.62,6.99,8.56,ID_031,RATP_Open_Data_2024
Marseille,RER,4.43,3.23,ID_032,4.7,2024-03-25 00:00:00,8.24,7.42,7.32,6.97,4.65,4.22,2.71,ID_032,RATP_Open_Data_2024
Lyon,Transilien,4.14,2.95,ID_033,3.66,2024-08-22 00:00:00,5.38,2.12,7.19,7.1,4.93,5.38,8.32,ID_033,RATP_Open_Data_2024
Strasbourg,Tramway,7.01,8.71,ID_034,4.37,2024-05-29 00:00:00,2.77,6.14,5.64,6.2,4.24,8.14,4.3,ID_034,Data.gouv.fr
Bordeaux,RER,1.23,4.35,ID_035,4.25,2024-12-15 00:00:00,1.42,1.31,5.57,8.38,8.13,5.0,7.21,ID_035,Météo-France
Toulouse,TGV,4.38,3.32,ID_036,3.65,2024-04-05 00:00:00,4.07,3.95,5.52,4.42,1.28,3.93,1.92,ID_036,Météo-France
Nice,TGV,3.24,1.76,ID_037,7.23,2024-11-14 00:00:00,2.74,6.37,4.78,2.79,3.83,1.86,1.54,ID_037,Airparif
Paris,Tramway,6.99,7.79,ID_038,5.74,2024-03-20 00:00:00,4.87,8.67,1.77,6.29,8.39,3.85,2.84,ID_038,RATP_Open_Data_2024
Lyon,Métro,4.66,4.54,ID_039,2.66,2024-09-25 00:00:00,6.36,4.43,1.56,3.03,7.68,4.06,3.35,ID_039,SNCF_Open_Data
Marseille,Tramway,2.94,4.73,ID_040,6.04,2024-10-30 00:00:00,6.22,8.03,2.95,6.19,3.06,5.47,3.19,ID_040,SNCF_Open_Data
Lyon,TGV,2.88,8.34,ID_041,8.12,2024-04-15 00:00:00,4.23,6.02,7.4,5.23,1.25,3.25,7.69,ID_041,Data.gouv.fr
Paris,TER,6.13,5.25,ID_042,1.42,2024-11-01 00:00:00,7.21,7.1,3.08,2.81,2.19,7.12,3.38,ID_042,Météo-France
Marseille,Bus RATP,2.45,6.52,ID_043,7.64,2024-03-17 00:00:00,3.69,5.9,6.14,8.41,5.85,6.18,2.47,ID_043,Data.gouv.fr
Lille,Tramway,4.41,2.65,ID_044,8.53,2024-03-05 00:00:00,1.53,7.66,4.79,8.62,6.6,6.71,4.54,ID_044,SNCF_Open_Data
Marseille,Bus RATP,5.94,2.41,ID_045,6.48,2024-06-08 00:00:00,7.82,5.86,2.98,1.42,7.29,6.44,7.64,ID_045,SNCF_Open_Data
Lyon,Transilien,6.67,5.96,ID_046,3.29,2024-03-26 00:00:00,7.14,6.17,8.31,3.07,6.27,6.42,1.21,ID_046,SNCF_Open_Data
Bordeaux,TGV,4.32,6.85,ID_047,1.9,2024-11-25 00:00:00,2.45,6.12,8.1,5.85,5.4,6.36,6.86,ID_047,Météo-France
Nantes,Bus RATP,5.18,1.56,ID_048,4.62,2024-10-06 00:00:00,7.27,8.7,6.41,7.78,6.83,2.92,8.55,ID_048,SNCF_Open_Data
Lille,TGV,7.59,8.4,ID_049,5.39,2024-12-18 00:00:00,3.58,6.78,4.28,1.81,7.79,7.27,4.54,ID_049,Airparif
Toulouse,Métro,6.07,4.03,ID_050,3.18,2024-11-12 00:00:00,7.59,3.06,4.82,2.46,1.4,6.66,3.16,ID_050,Airparif
Paris,Métro,4.11,4.13,ID_051,1.79,2024-03-27 00:00:00,5.87,4.87,8.72,6.92,4.22,7.52,3.18,ID_051,RATP_Open_Data_2024
Paris,TER,6.76,4.29,ID_052,5.32,2024-05-31 00:00:00,6.5,1.33,8.25,7.65,6.21,8.59,7.7,ID_052,Data.gouv.fr
Nice,Transilien,5.84,6.68,ID_053,6.49,2024-03-28 00:00:00,8.05,8.76,6.97,4.09,4.4,2.55,5.89,ID_053,SNCF_Open_Data
Lille,Transilien,4.97,7.26,ID_054,3.73,2024-01-12 00:00:00,7.93,4.27,4.55,5.08,8.11,7.5,7.89,ID_054,SNCF_Open_Data
Toulouse,Métro,6.99,2.1,ID_055,2.65,2024-12-12 00:00:00,5.82,5.02,6.61,3.71,3.69,3.15,8.6,ID_055,SNCF_Open_Data
Lille,Métro,3.82,7.0,ID_056,3.57,2024-07-05 00:00:00,8.01,6.43,3.26,5.86,7.41,1.31,7.68,ID_056,RATP_Open_Data_2024
Lyon,Tramway,3.24,1.9,ID_057,4.46,2024-07-26 00:00:00,4.04,2.64,3.68,1.94,4.69,2.65,1.72,ID_057,Data.gouv.fr
Nantes,RER,4.18,6.73,ID_058,7.84,2024-01-06 00:00:00,3.75,3.22,7.21,2.78,2.68,2.07,1.97,ID_058,Météo-France
Nantes,Métro,8.59,4.45,ID_059,2.34,2024-09-05 00:00:00,5.58,7.63,4.18,5.12,7.92,7.36,2.78,ID_059,SNCF_Open_Data
Marseille,Tramway,8.67,4.92,ID_060,5.83,2024-07-06 00:00:00,8.38,4.38,8.29,1.56,5.92,2.64,2.16,ID_060,RATP_Open_Data_2024
Bordeaux,Métro,1.25,3.2,ID_061,1.2,2024-12-06 00:00:00,6.99,4.93,8.09,4.72,2.82,4.99,3.02,ID_061,Météo-France
Toulouse,TGV,3.47,4.5,ID_062,6.79,2024-03-29 00:00:00,1.82,3.77,8.26,5.29,4.98,1.8,2.04,ID_062,Data.gouv.fr
Nice,TER,4.83,3.65,ID_063,3.64,2024-09-07 00:00:00,5.93,4.25,3.88,4.56,5.24,7.41,2.11,ID_063,Airparif
Lyon,Transilien,3.81,2.09,ID_064,1.7,2024-02-26 00:00:00,5.39,1.22,6.0,5.62,8.8,7.81,6.15,ID_064,RATP_Open_Data_2024
Bordeaux,RER,4.08,6.33,ID_065,2.49,2024-06-01 00:00:00,2.59,4.79,4.69,6.31,4.38,5.32,5.81,ID_065,Data.gouv.fr
Strasbourg,Tramway,4.8,7.85,ID_066,8.54,2024-10-05 00:00:00,6.1,1.61,8.44,5.28,8.49,2.09,6.54,ID_066,Airparif
Toulouse,Métro,7.24,8.52,ID_067,7.47,2024-10-03 00:00:00,7.6,3.18,4.66,4.52,3.43,2.99,2.29,ID_067,RATP_Open_Data_2024
Strasbourg,TER,7.59,5.57,ID_068,4.66,2024-12-25 00:00:00,5.74,6.19,4.84,1.62,8.51,7.03,5.12,ID_068,RATP_Open_Data_2024
Lille,TER,6.57,7.98,ID_069,2.04,2024-11-16 00:00:00,2.52,2.18,7.28,8.29,6.98,2.08,5.72,ID_069,Data.gouv.fr
Paris,Tramway,8.71,5.16,ID_070,4.87,2024-04-06 00:00:00,3.61,6.0,3.62,2.76,6.32,1.29,5.22,ID_070,Airparif
Bordeaux,Tramway,3.53,4.6,ID_071,7.03,2024-04-17 00:00:00,5.16,2.92,7.63,3.22,2.52,5.19,5.57,ID_071,RATP_Open_Data_2024
Lyon,TGV,7.42,8.68,ID_072,6.09,2024-11-01 00:00:00,2.45,3.42,3.08,3.99,8.42,7.79,2.29,ID_072,RATP_Open_Data_2024
Paris,Tramway,2.78,1.72,ID_073,4.17,2024-07-17 00:00:00,7.32,6.45,1.7,7.9,8.45,7.32,3.43,ID_073,SNCF_Open_Data
Montpellier,Tramway,2.74,7.41,ID_074,3.21,2024-10-24 00:00:00,4.49,4.93,7.68,1.58,5.36,1.44,6.21,ID_074,Airparif
Bordeaux,Bus RATP,1.64,8.11,ID_075,4.28,2024-04-03 00:00:00,5.67,4.35,7.46,4.33,1.89,6.47,7.52,ID_075,SNCF_Open_Data
Montpellier,Tramway,1.5,5.93,ID_076,1.61,2024-05-01 00:00:00,2.29,4.3,6.61,1.46,7.57,8.21,7.7,ID_076,SNCF_Open_Data
Nantes,Tramway,4.03,4.52,ID_077,2.7,2024-03-31 00:00:00,3.18,2.97,3.07,1.55,8.52,7.07,8.38,ID_077,Météo-France
Nantes,Bus RATP,5.59,3.61,ID_078,2.05,2024-09-07 00:00:00,8.24,2.14,6.59,7.2,4.48,2.76,5.9,ID_078,Météo-France
Nantes,Métro,8.7,3.83,ID_079,6.39,2024-09-08 00:00:00,3.96,4.56,3.09,5.84,1.33,6.48,1.29,ID_079,Airparif
Toulouse,TGV,1.83,1.78,ID_080,5.63,2024-05-15 00:00:00,5.16,7.25,2.43,3.42,7.83,3.36,2.96,ID_080,Data.gouv.fr
Marseille,Tramway,5.94,1.29,ID_081,6.69,2024-12-12 00:00:00,6.98,4.28,4.1,7.86,1.69,4.21,2.15,ID_081,Airparif
Nantes,TER,1.31,5.6,ID_082,4.52,2024-10-31 00:00:00,3.6,6.73,4.44,4.02,8.37,7.77,7.86,ID_082,Météo-France
Nice,TER,8.13,6.23,ID_083,2.1,2024-05-09 00:00:00,7.49,3.41,5.76,1.84,8.29,2.44,4.23,ID_083,Data.gouv.fr
Paris,TER,7.28,7.78,ID_084,6.09,2024-03-07 00:00:00,5.6,8.67,7.92,6.21,5.54,4.03,6.24,ID_084,SNCF_Open_Data
Lyon,Bus RATP,2.8,7.2,ID_085,5.82,2024-11-23 00:00:00,7.14,7.09,4.33,2.01,2.34,4.16,3.29,ID_085,Météo-France
Paris,Tramway,6.68,6.81,ID_086,8.72,2024-11-12 00:00:00,1.22,8.35,3.51,5.25,7.5,8.02,5.69,ID_086,Airparif
Toulouse,TER,4.42,1.49,ID_087,1.68,2024-06-25 00:00:00,5.23,1.27,4.81,3.18,2.81,2.99,5.58,ID_087,SNCF_Open_Data
Lille,Bus RATP,6.86,4.33,ID_088,5.9,2024-09-03 00:00:00,6.89,4.25,4.15,6.13,5.4,7.62,5.17,ID_088,SNCF_Open_Data
Strasbourg,Tramway,6.36,5.03,ID_089,6.21,2024-06-28 00:00:00,4.8,2.25,5.82,6.04,2.6,1.24,7.75,ID_089,Airparif
Strasbourg,Tramway,8.25,3.02,ID_090,5.67,2024-09-30 00:00:00,4.58,7.94,4.69,5.95,1.28,2.0,3.02,ID_090,RATP_Open_Data_2024
Paris,RER,5.33,1.39,ID_091,2.53,2024-11-17 00:00:00,2.82,2.94,4.06,2.73,7.59,1.96,7.28,ID_091,Data.gouv.fr
Lyon,Métro,8.35,6.34,ID_092,4.56,2024-03-22 00:00:00,4.36,1.84,2.24,5.78,2.86,1.37,4.24,ID_092,RATP_Open_Data_2024
Nantes,Tramway,6.25,3.44,ID_093,3.93,2024-09-22 00:00:00,4.58,7.93,2.96,3.79,8.47,4.64,6.48,ID_093,Data.gouv.fr
Strasbourg,Bus RATP,5.23,4.58,ID_094,3.66,2024-05-25 00:00:00,8.27,2.22,5.8,7.36,6.93,3.72,6.69,ID_094,RATP_Open_Data_2024
Montpellier,TGV,4.5,3.15,ID_095,3.84,2024-03-08 00:00:00,3.83,8.0,6.9,2.51,2.17,4.19,5.3,ID_095,RATP_Open_Data_2024
Bordeaux,Tramway,7.6,3.91,ID_096,1.78,2024-02-04 00:00:00,3.17,3.38,5.48,5.03,6.07,2.8,6.19,ID_096,Météo-France
Strasbourg,Tramway,3.39,6.04,ID_097,2.85,2024-11-17 00:00:00,8.45,1.91,5.22,8.58,3.13,5.85,6.28,ID_097,RATP_Open_Data_2024
Nice,TER,3.12,8.3,ID_098,7.28,2024-01-15 00:00:00,2.58,6.62,7.18,1.21,4.66,5.98,7.08,ID_098,Airparif
Toulouse,Transilien,4.26,8.39,ID_099,2.81,2024-05-31 00:00:00,1.67,1.54,7.12,3.6,8.66,3.49,5.66,ID_099,Météo-France
Lille,Bus RATP,6.11,1.58,ID_000,5.64,2024-04-28 00:00:00,5.67,1.54,5.98,3.29,1.68,1.24,5.57,ID_000,SNCF_Open_Data
Strasbourg,TGV,7.58,7.33,ID_001,8.79,2024-06-23 00:00:00,4.92,2.66,7.6,6.69,7.25,3.51,2.18,ID_001,Météo-France
Nice,Métro,3.69,7.22,ID_002,7.09,2024-04-04 00:00:00,2.25,5.29,2.6,3.28,8.14,7.02,3.24,ID_002,SNCF_Open_Data
Strasbourg,Bus RATP,8.3,6.22,ID_003,2.05,2024-07-27 00:00:00,2.21,4.15,2.32,1.98,3.14,3.62,4.38,ID_003,Data.gouv.fr
Nice,Métro,6.75,6.01,ID_004,3.78,2024-07-29 00:00:00,4.57,8.04,6.99,4.49,1.42,1.99,7.82,ID_004,Météo-France
Paris,TGV,1.47,2.83,ID_005,3.67,2024-09-09 00:00:00,3.19,5.04,3.02,8.11,6.09,4.25,1.99,ID_005,SNCF_Open_Data
Lille,TER,1.97,4.23,ID_006,5.4,2024-11-07 00:00:00,3.7,7.75,7.97,7.5,5.65,7.56,2.94,ID_006,Airparif
Marseille,TGV,2.86,6.3,ID_007,5.5,2024-01-05 00:00:00,5.26,5.32,3.95,3.78,7.06,1.68,2.13,ID_007,Data.gouv.fr
Toulouse,Métro,3.85,8.61,ID_008,3.72,2024-06-23 00:00:00,1.99,4.61,5.58,8.38,1.65,1.25,5.03,ID_008,Airparif
Lyon,Bus RATP,1.86,6.04,ID_009,3.63,2024-05-05 00:00:00,4.72,3.77,6.08,3.47,7.69,2.83,7.05,ID_009,Airparif
Paris,Bus RATP,4.03,6.03,ID_010,7.79,2024-03-22 00:00:00,4.63,4.16,8.78,7.57,4.53,3.32,6.0,ID_010,RATP_Open_Data_2024
Nice,Bus RATP,6.83,7.76,ID_011,5.29,2024-01-16 00:00:00,8.68,8.1,8.71,8.68,4.66,8.72,3.37,ID_011,RATP_Open_Data_2024
Paris,Transilien,4.1,8.37,ID_012,3.05,2024-01-03 00:00:00,7.55,4.29,3.3,5.29,8.48,8.47,7.28,ID_012,SNCF_Open_Data
Bordeaux,TGV,1.47,7.01,ID_013,8.2,2024-11-09 00:00:00,6.25,7.44,2.61,8.36,6.28,1.95,2.96,ID_013,Airparif
Bordeaux,Métro,8.41,4.62,ID_014,6.68,2024-04-14 00:00:00,4.56,6.96,1.73,4.8,3.84,1.24,6.17,ID_014,Airparif
Strasbourg,Transilien,3.07,6.57,ID_015,2.7,2024-01-31 00:00:00,1.3,4.52,4.08,2.06,4.25,4.5,7.9,ID_015,RATP_Open_Data_2024
Toulouse,TER,3.37,4.84,ID_016,8.62,2024-04-22 00:00:00,1.27,2.62,1.92,3.25,7.9,6.72,4.65,ID_016,Airparif
Toulouse,TGV,2.24,3.17,ID_017,4.18,2024-11-04 00:00:00,2.33,3.0,7.96,3.11,5.35,6.75,3.24,ID_017,Météo-France
Strasbourg,Transilien,4.88,7.68,ID_018,8.52,2024-06-24 00:00:00,7.44,4.46,8.01,5.62,5.38,5.93,2.02,ID_018,Airparif
Nice,Tramway,7.98,2.99,ID_019,5.16,2024-09-29 00:00:00,5.02,6.8,1.79,7.31,2.89,4.51,6.56,ID_019,Data.gouv.fr
Toulouse,RER,8.43,2.28,ID_020,3.74,2024-11-25 00:00:00,2.64,8.42,6.8,4.81,1.52,3.01,1.7,ID_020,SNCF_Open_Data
Nantes,Métro,5.57,1.85,ID_021,3.93,2024-10-04 00:00:00,3.26,4.72,5.22,2.44,4.75,6.49,4.99,ID_021,Météo-France
Montpellier,TER,1.64,8.03,ID_022,2.24,2024-12-07 00:00:00,8.48,3.04,1.71,8.44,1.27,4.92,2.55,ID_022,Data.gouv.fr
Paris,RER,6.77,3.13,ID_023,2.33,2024-04-08 00:00:00,7.93,5.8,3.85,5.05,6.04,7.46,2.45,ID_023,Data.gouv.fr
Nice,Métro,6.74,5.06,ID_024,8.71,2024-06-03 00:00:00,6.35,6.37,6.36,6.87,1.39,6.98,1.54,ID_024,RATP_Open_Data_2024
Montpellier,RER,1.37,1.3,ID_025,8.04,2024-06-05 00:00:00,1.34,6.97,6.23,7.07,4.57,8.29,6.49,ID_025,Airparif
Toulouse,TGV,5.68,2.3,ID_026,2.15,2024-11-13 00:00:00,5.73,1.82,7.31,7.09,3.5,8.28,4.02,ID_026,Airparif
Montpellier,Métro,1.57,6.33,ID_027,8.23,2024-02-02 00:00:00,1.34,1.91,7.39,4.31,4.44,7.07,7.24,ID_027,SNCF_Open_Data
Bordeaux,Tramway,8.43,6.18,ID_028,4.75,2024-08-09 00:00:00,7.25,3.38,6.14,8.63,7.69,2.54,2.41,ID_028,SNCF_Open_Data
Montpellier,TER,7.83,3.96,ID_029,3.28,2024-07-05 00:00:00,2.18,4.87,1.39,3.82,1.79,6.7,7.66,ID_029,Data.gouv.fr
Nantes,TGV,5.79,5.41,ID_030,3.36,2024-01-25 00:00:00,1.52,4.73,4.73,4.85,6.13,7.82,2.57,ID_030,Airparif
Nice,Transilien,4.87,3.53,ID_031,8.02,2024-05-17 00:00:00,6.79,7.6,6.43,2.1,5.02,8.02,8.43,ID_031,RATP_Open_Data_2024
Nantes,Bus RATP,8.52,3.55,ID_032,5.93,2024-04-25 00:00:00,8.74,3.91,8.68,7.57,2.27,3.43,8.58,ID_032,SNCF_Open_Data
Nice,Tramway,5.17,3.43,ID_033,4.88,2024-10-20 00:00:00,8.44,3.56,5.66,8.48,8.04,7.81,6.49,ID_033,SNCF_Open_Data
Nice,Métro,7.03,8.21,ID_034,2.98,2024-01-30 00:00:00,1.98,1.38,2.69,3.56,7.02,5.51,2.31,ID_034,RATP_Open_Data_2024
Nice,TER,8.16,4.63,ID_035,8.63,2024-09-21 00:00:00,4.42,4.59,8.74,4.59,4.42,4.4,1.26,ID_035,Data.gouv.fr
Bordeaux,TER,7.54,3.69,ID_036,6.49,2024-11-03 00:00:00,4.81,5.73,6.87,2.14,5.08,6.7,4.86,ID_036,RATP_Open_Data_2024
Strasbourg,Bus RATP,8.49,6.96,ID_037,7.12,2024-05-16 00:00:00,3.33,4.96,7.59,4.85,6.1,2.48,6.75,ID_037,Data.gouv.fr
Nice,Transilien,3.2,8.53,ID_038,7.78,2024-08-21 00:00:00,1.6,3.24,5.34,4.71,4.19,3.35,5.62,ID_038,Airparif
Lyon,Métro,5.03,7.79,ID_039,1.74,2024-11-07 00:00:00,7.91,5.87,1.42,4.75,7.45,6.63,8.76,ID_039,SNCF_Open_Data
Lyon,Tramway,2.02,6.41,ID_040,2.75,2024-11-30 00:00:00,4.62,1.3,6.93,3.07,2.56,1.66,2.78,ID_040,Data.gouv.fr
Paris,Tramway,4.96,4.12,ID_041,8.73,2024-05-23 00:00:00,6.4,6.64,3.29,6.14,7.12,3.52,4.96,ID_041,Météo-France
Toulouse,Tramway,7.05,6.68,ID_042,8.19,2024-05-11 00:00:00,6.27,4.13,6.61,1.24,7.69,1.49,7.37,ID_042,SNCF_Open_Data
Paris,Métro,6.27,8.28,ID_043,6.74,2024-06-06 00:00:00,4.43,7.83,7.09,1.56,2.7,6.56,7.02,ID_043,Airparif
Lyon,RER,7.75,5.18,ID_044,1.91,2024-09-26 00:00:00,1.25,2.68,3.67,2.02,3.06,4.48,2.69,ID_044,Airparif
Lille,TER,5.85,5.81,ID_045,5.05,2024-06-21 00:00:00,7.28,7.85,7.09,4.65,6.22,6.4,3.97,ID_045,Météo-France
Nice,Bus RATP,8.24,5.93,ID_046,4.65,2024-05-07 00:00:00,6.73,3.78,8.11,5.88,2.22,6.53,1.22,ID_046,RATP_Open_Data_2024
Montpellier,Métro,5.4,7.47,ID_047,5.63,2024-10-08 00:00:00,4.43,6.54,4.04,2.47,6.25,6.55,4.0,ID_047,Data.gouv.fr
Lyon,Transilien,7.81,1.8,ID_048,4.99,2024-09-05 00:00:00,6.03,3.96,7.52,2.04,7.53,3.32,4.71,ID_048,SNCF_Open_Data
Nantes,Métro,4.11,8.71,ID_049,8.43,2024-01-02 00:00:00,3.39,1.59,4.75,2.22,7.75,4.28,1.66,ID_049,RATP_Open_Data_2024
Toulouse,Métro,7.87,4.83,ID_050,8.18,2024-01-12 00:00:00,2.7,1.73,5.8,3.86,5.18,1.27,2.55,ID_050,Data.gouv.fr
Strasbourg,Tramway,5.22,3.3,ID_051,5.17,2024-09-06 00:00:00,1.5,3.72,1.39,6.34,5.69,7.51,4.72,ID_051,Météo-France
Bordeaux,Tramway,4.32,6.88,ID_052,7.0,2024-10-31 00:00:00,2.07,3.24,5.94,1.68,5.07,6.57,5.12,ID_052,Data.gouv.fr
Paris,TER,5.44,5.94,ID_053,1.96,2024-03-11 00:00:00,3.08,6.11,3.24,6.5,5.86,8.01,8.75,ID_053,Airparif
Lille,TGV,6.35,7.11,ID_054,1.25,2024-02-04 00:00:00,1.28,7.05,2.25,2.2,8.46,2.62,4.5,ID_054,SNCF_Open_Data
Paris,Bus RATP,1.82,5.03,ID_055,7.12,2024-11-02 00:00:00,6.64,4.47,1.77,7.26,5.7,5.39,1.76,ID_055,Airparif
Nantes,Bus RATP,6.59,8.32,ID_056,5.69,2024-02-11 00:00:00,6.48,6.95,5.02,2.09,2.93,2.79,6.98,ID_056,Airparif
Montpellier,Tramway,8.4,5.98,ID_057,7.27,2024-09-17 00:00:00,5.5,1.3,6.39,3.57,1.36,5.22,6.83,ID_057,Airparif
Marseille,Transilien,2.37,4.55,ID_058,3.74,2024-04-19 00:00:00,3.6,1.69,2.47,4.28,7.84,2.21,1.85,ID_058,RATP_Open_Data_2024
Lille,TGV,8.03,6.09,ID_059,7.35,2024-10-01 00:00:00,8.7,6.98,7.72,5.98,4.66,4.33,7.47,ID_059,Data.gouv.fr
Strasbourg,Tramway,2.18,1.58,ID_060,1.94,2024-06-18 00:00:00,5.98,7.38,7.89,3.4,7.87,4.4,4.7,ID_060,Météo-France
Nantes,Bus RATP,1.89,4.61,ID_061,7.28,2024-11-11 00:00:00,6.37,3.47,8.4,5.71,8.39,4.08,4.54,ID_061,Data.gouv.fr
Montpellier,TGV,1.74,4.31,ID_062,4.53,2024-03-06 00:00:00,7.55,7.38,5.28,3.43,3.13,2.6,6.0,ID_062,Airparif
Bordeaux,TGV,5.1,8.42,ID_063,2.04,2024-12-23 00:00:00,2.74,8.42,4.19,1.63,4.64,4.88,2.47,ID_063,RATP_Open_Data_2024
Lyon,Tramway,4.69,4.3,ID_064,5.04,2024-04-04 00:00:00,6.01,6.17,8.22,3.64,3.59,3.84,5.16,ID_064,Météo-France
Strasbourg,Métro,3.89,5.46,ID_065,8.45,2024-10-12 00:00:00,7.09,4.56,5.66,3.65,5.71,7.13,4.05,ID_065,Météo-France
Marseille,Transilien,4.78,7.27,ID_066,5.35,2024-10-16 00:00:00,8.35,2.89,2.96,4.13,2.39,7.49,7.55,ID_066,Météo-France
