col_event_id,col_time_id,col_line_id,col_stop_id,col_heure_theorique,col_heure_reelle,col_retard_s,col_annule,col_charge_estimee,col_vehicle_id
ID_026,ID_026,ID_026,ID_026,7.92,4.51,6.32,5.63,2024-06-26 00:00:00,ID_026
ID_027,ID_027,ID_027,ID_027,3.89,4.16,2.0,1.79,2024-12-13 00:00:00,ID_027
ID_028,ID_028,ID_028,ID_028,2.43,5.24,4.61,8.15,2024-03-22 00:00:00,ID_028
ID_029,ID_029,ID_029,ID_029,6.63,6.46,3.4,3.81,2024-05-13 00:00:00,ID_029
ID_030,ID_030,ID_030,ID_030,3.01,3.36,5.02,1.3,2024-07-31 00:00:00,ID_030
ID_031,ID_031,ID_031,ID_031,1.3,7.76,4.06,7.38,2024-01-15 00:00:00,ID_031
ID_032,ID_032,ID_032,ID_032,2.28,1.91,6.36,6.59,2024-05-20 00:00:00,ID_032
ID_033,ID_033,ID_033,ID_033,8.37,4.83,4.66,2.1,2024-01-01 00:00:00,ID_033
ID_034,ID_034,ID_034,ID_034,2.8,6.29,1.85,1.73,2024-03-31 00:00:00,ID_034
ID_035,ID_035,ID_035,ID_035,7.81,5.4,5.75,2.67,2024-06-03 00:00:00,ID_035
ID_036,ID_036,ID_036,ID_036,7.44,1.47,4.04,5.02,2024-03-21 00:00:00,ID_036
ID_037,ID_037,ID_037,ID_037,5.07,8.55,2.0,1.37,2024-04-19 00:00:00,ID_037
ID_038,ID_038,ID_038,ID_038,7.25,5.17,7.79,6.95,2024-09-10 00:00:00,ID_038
ID_039,ID_039,ID_039,ID_039,5.45,7.04,6.29,4.05,2024-08-05 00:00:00,ID_039
ID_040,ID_040,ID_040,ID_040,7.74,5.68,5.38,7.6,2024-06-20 00:00:00,ID_040
ID_041,ID_041,ID_041,ID_041,6.29,4.0,7.85,3.2,2024-01-03 00:00:00,ID_041
ID_042,ID_042,ID_042,ID_042,7.95,5.63,7.8,8.14,2024-08-11 00:00:00,ID_042
ID_043,ID_043,ID_043,ID_043,1.63,3.67,7.51,6.32,2024-11-11 00:00:00,ID_043
ID_044,ID_044,ID_044,ID_044,8.57,7.96,7.6,1.92,2024-10-27 00:00:00,ID_044
ID_045,ID_045,ID_045,ID_045,4.46,7.08,6.65,6.57,2024-11-19 00:00:00,ID_045
ID_046,ID_046,ID_046,ID_046,2.07,8.37,2.35,5.04,2024-06-11 00:00:00,ID_046
ID_047,ID_047,ID_047,ID_047,7.89,2.02,7.01,1.48,2024-12-16 00:00:00,ID_047
ID_048,ID_048,ID_048,ID_048,8.05,3.05,6.94,6.02,2024-10-08 00:00:00,ID_048
ID_049,ID_049,ID_049,ID_049,8.69,8.65,5.5,4.55,2024-04-30 00:00:00,ID_049
ID_050,ID_050,ID_050,ID_050,4.65,7.32,2.11,1.32,2024-01-08 00:00:00,ID_050
ID_051,ID_051,ID_051,ID_051,6.98,1.26,7.79,1.92,2024-08-17 00:00:00,ID_051
ID_052,ID_052,ID_052,ID_052,1.43,4.86,1.29,2.38,2024-04-28 00:00:00,ID_052
ID_053,ID_053,ID_053,ID_053,2.58,2.42,8.59,8.43,2024-04-02 00:00:00,ID_053
ID_054,ID_054,ID_054,ID_054,8.17,1.21,1.46,4.24,2024-11-18 00:00:00,ID_054
ID_055,ID_055,ID_055,ID_055,2.81,7.79,1.23,6.85,2024-06-16 00:00:00,ID_055
ID_056,ID_056,ID_056,ID_056,4.1,2.07,6.46,4.97,2024-10-29 00:00:00,ID_056
ID_057,ID_057,ID_057,ID_057,7.28,6.04,8.58,5.84,2024-09-25 00:00:00,ID_057
ID_058,ID_058,ID_058,ID_058,4.42,6.85,4.65,3.01,2024-12-26 00:00:00,ID_058
ID_059,ID_059,ID_059,ID_059,1.77,4.19,1.21,5.74,2024-09-26 00:00:00,ID_059
ID_060,ID_060,ID_060,ID_060,7.79,2.31,6.81,1.48,2024-06-16 00:00:00,ID_060
ID_061,ID_061,ID_061,ID_061,4.1,4.72,4.39,1.26,2024-03-20 00:00:00,ID_061
ID_062,ID_062,ID_062,ID_062,3.85,3.47,6.32,7.15,2024-12-17 00:00:00,ID_062
ID_063,ID_063,ID_063,ID_063,1.95,3.3,6.82,2.54,2024-06-28 00:00:00,ID_063
ID_064,ID_064,ID_064,ID_064,7.38,7.21,1.92,1.32,2024-04-22 00:00:00,ID_064
ID_065,ID_065,ID_065,ID_065,7.72,3.08,4.29,8.69,2024-11-16 00:00:00,ID_065
ID_066,ID_066,ID_066,ID_066,5.41,2.18,7.8,5.69,2024-09-14 00:00:00,ID_066
ID_067,ID_067,ID_067,ID_067,7.88,7.82,7.01,3.85,2024-12-24 00:00:00,ID_067
ID_068,ID_068,ID_068,ID_068,2.91,2.75,2.8,4.71,2024-04-27 00:00:00,ID_068
ID_069,ID_069,ID_069,ID_069,2.19,2.64,2.44,2.22,2024-11-30 00:00:00,ID_069
ID_070,ID_070,ID_070,ID_070,7.54,2.98,7.67,7.78,2024-06-15 00:00:00,ID_070
ID_071,ID_071,ID_071,ID_071,8.8,3.1,4.36,3.76,2024-07-05 00:00:00,ID_071
ID_072,ID_072,ID_072,ID_072,4.43,5.54,3.73,3.59,2024-03-12 00:00:00,ID_072
ID_073,ID_073,ID_073,ID_073,3.09,6.85,7.77,2.37,2024-10-31 00:00:00,ID_073
ID_074,ID_074,ID_074,ID_074,3.4,8.4,3.79,7.01,2024-01-28 00:00:00,ID_074
ID_075,ID_075,ID_075,ID_075,2.68,8.68,2.51,6.6,2024-07-13 00:00:00,ID_075
ID_076,ID_076,ID_076,ID_076,8.63,2.18,4.43,8.28,2024-09-22 00:00:00,ID_076
ID_077,ID_077,ID_077,ID_077,8.22,5.93,2.02,3.92,2024-03-20 00:00:00,ID_077
ID_078,ID_078,ID_078,ID_078,3.76,2.19,3.83,4.08,2024-09-06 00:00:00,ID_078
ID_079,ID_079,ID_079,ID_079,6.8,4.03,2.57,7.71,2024-11-08 00:00:00,ID_079
ID_080,ID_080,ID_080,ID_080,7.79,1.55,7.22,8.01,2024-12-12 00:00:00,ID_080
ID_081,ID_081,ID_081,ID_081,8.04,7.89,8.43,6.64,2024-06-19 00:00:00,ID_081
ID_082,ID_082,ID_082,ID_082,3.24,3.82,3.12,2.98,2024-05-01 00:00:00,ID_082
ID_083,ID_083,ID_083,ID_083,1.4,4.78,2.6,3.36,2024-01-29 00:00:00,ID_083
ID_084,ID_084,ID_084,ID_084,6.4,7.51,2.04,6.12,2024-06-18 00:00:00,ID_084
ID_085,ID_085,ID_085,ID_085,2.9,6.17,7.23,5.98,2024-08-06 00:00:00,ID_085
ID_086,ID_086,ID_086,ID_086,4.06,1.78,2.05,7.07,2024-05-19 00:00:00,ID_086
ID_087,ID_087,ID_087,ID_087,7.82,6.53,2.82,5.98,2024-05-16 00:00:00,ID_087
ID_088,ID_088,ID_088,ID_088,5.26,8.13,1.58,6.96,2024-01-29 00:00:00,ID_088
ID_089,ID_089,ID_089,ID_089,2.25,2.54,7.94,1.51,2024-05-24 00:00:00,ID_089
ID_090,ID_090,ID_090,ID_090,6.31,5.97,6.98,1.22,2024-03-20 00:00:00,ID_090
ID_091,ID_091,ID_091,ID_091,8.35,6.22,3.42,1.69,2024-05-29 00:00:00,ID_091
ID_092,ID_092,ID_092,ID_092,6.19,8.46,4.98,3.7,2024-07-14 00:00:00,ID_092
ID_093,ID_093,ID_093,ID_093,3.79,8.55,4.01,8.6,2024-08-25 00:00:00,ID_093
ID_094,ID_094,ID_094,ID_094,2.76,1.58,3.21,2.88,2024-09-02 00:00:00,ID_094
ID_095,ID_095,ID_095,ID_095,2.23,1.85,2.21,2.74,2024-01-02 00:00:00,ID_095
ID_096,ID_096,ID_096,ID_096,3.03,7.56,4.81,5.31,2024-12-08 00:00:00,ID_096
ID_097,ID_097,ID_097,ID_097,6.75,5.71,4.86,7.48,2024-07-27 00:00:00,ID_097
ID_098,ID_098,ID_098,ID_098,2.98,4.39,2.17,8.21,2024-06-05 00:00:00,ID_098
ID_099,ID_099,ID_099,ID_099,3.88,6.84,5.94,3.65,2024-01-03 00:00:00,ID_099
ID_000,ID_000,ID_000,ID_000,2.09,5.08,7.56,1.84,2024-08-20 00:00:00,ID_000
ID_001,ID_001,ID_001,ID_001,3.12,3.4,3.65,4.18,2024-04-14 00:00:00,ID_001
ID_002,ID_002,ID_002,ID_002,3.24,4.45,2.02,1.28,2024-03-26 00:00:00,ID_002
ID_003,ID_003,ID_003,ID_003,7.02,2.16,8.46,2.06,2024-04-09 00:00:00,ID_003
ID_004,ID_004,ID_004,ID_004,3.37,1.58,6.5,6.18,2024-10-31 00:00:00,ID_004
ID_005,ID_005,ID_005,ID_005,3.55,7.08,7.5,7.24,2024-08-25 00:00:00,ID_005
ID_006,ID_006,ID_006,ID_006,8.12,2.16,7.22,4.99,2024-08-13 00:00:00,ID_006
ID_007,ID_007,ID_007,ID_007,6.18,6.72,5.51,2.04,2024-02-17 00:00:00,ID_007
ID_008,ID_008,ID_008,ID_008,5.68,4.46,7.79,2.81,2024-01-09 00:00:00,ID_008
ID_009,ID_009,ID_009,ID_009,3.9,5.58,3.14,7.25,2024-10-28 00:00:00,ID_009
ID_010,ID_010,ID_010,ID_010,2.49,6.31,2.17,6.87,2024-09-27 00:00:00,ID_010
ID_011,ID_011,ID_011,ID_011,4.36,1.92,5.26,5.35,2024-07-02 00:00:00,ID_011
ID_012,ID_012,ID_012,ID_012,5.18,5.17,3.32,6.22,2024-03-30 00:00:00,ID_012
ID_013,ID_013,ID_013,ID_013,1.54,4.88,6.75,6.83,2024-12-25 00:00:00,ID_013
ID_014,ID_014,ID_014,ID_014,8.48,4.85,3.71,2.31,2024-12-12 00:00:00,ID_014
ID_015,ID_015,ID_015,ID_015,4.72,5.94,5.47,2.51,2024-01-25 00:00:00,ID_015
ID_016,ID_016,ID_016,ID_016,4.73,3.59,7.31,2.88,2024-06-30 00:00:00,ID_016
ID_017,ID_017,ID_017,ID_017,4.8,3.79,2.0,4.99,2024-05-06 00:00:00,ID_017
ID_018,ID_018,ID_018,ID_018,2.36,3.72,6.13,3.2,2024-09-23 00:00:00,ID_018
ID_019,ID_019,ID_019,ID_019,5.23,7.42,8.16,8.61,2024-08-15 00:00:00,ID_019
ID_020,ID_020,ID_020,ID_020,7.03,5.64,4.07,5.65,2024-01-23 00:00:00,ID_020
ID_021,ID_021,ID_021,ID_021,3.17,3.42,5.85,2.31,2024-02-16 00:00:00,ID_021
ID_022,ID_022,ID_022,ID_022,7.88,1.67,5.28,6.01,2024-10-07 00:00:00,ID_022
ID_023,ID_023,ID_023,ID_023,7.72,1.91,8.15,1.63,2024-07-20 00:00:00,ID_023
ID_024,ID_024,ID_024,ID_024,1.45,5.77,8.53,2.19,2024-07-13 00:00:00,ID_024
ID_025,ID_025,ID_025,ID_025,4.69,7.24,5.87,1.22,2024-05-08 00:00:00,ID_025
ID_026,ID_026,ID_026,ID_026,5.13,6.58,3.71,4.76,2024-06-12 00:00:00,ID_026
ID_027,ID_027,ID_027,ID_027,6.47,1.97,6.9,2.55,2024-02-12 00:00:00,ID_027
ID_028,ID_028,ID_028,ID_028,2.61,8.7,8.41,3.57,2024-07-25 00:00:00,ID_028
ID_029,ID_029,ID_029,ID_029,4.44,8.19,2.44,7.72,2024-10-20 00:00:00,ID_029
ID_030,ID_030,ID_030,ID_030,5.03,6.43,2.46,1.76,2024-10-17 00:00:00,ID_030
ID_031,ID_031,ID_031,ID_031,5.02,5.91,7.13,2.05,2024-06-24 00:00:00,ID_031
ID_032,ID_032,ID_032,ID_032,4.34,7.0,7.46,3.63,2024-11-24 00:00:00,ID_032
ID_033,ID_033,ID_033,ID_033,5.06,3.62,7.26,7.51,2024-05-09 00:00:00,ID_033
ID_034,ID_034,ID_034,ID_034,7.1,6.53,1.2,8.67,2024-03-09 00:00:00,ID_034
ID_035,ID_035,ID_035,ID_035,4.91,3.15,7.4,6.43,2024-02-12 00:00:00,ID_035
ID_036,ID_036,ID_036,ID_036,6.15,4.23,7.55,6.85,2024-11-16 00:00:00,ID_036
ID_037,ID_037,ID_037,ID_037,7.02,8.3,2.9,5.2,2024-01-31 00:00:00,ID_037
ID_038,ID_038,ID_038,ID_038,7.99,6.9,7.39,3.93,2024-09-08 00:00:00,ID_038
ID_039,ID_039,ID_039,ID_039,2.69,2.59,8.71,7.9,2024-07-02 00:00:00,ID_039
ID_040,ID_040,ID_040,ID_040,1.84,5.26,7.11,3.64,2024-03-11 00:00:00,ID_040
ID_041,ID_041,ID_041,ID_041,3.77,4.74,3.81,7.14,2024-02-29 00:00:00,ID_041
ID_042,ID_042,ID_042,ID_042,3.29,8.35,6.6,4.96,2024-11-14 00:00:00,ID_042
ID_043,ID_043,ID_043,ID_043,5.67,1.4,1.9,6.79,2024-05-13 00:00:00,ID_043
ID_044,ID_044,ID_044,ID_044,7.7,1.87,3.51,3.01,2024-02-18 00:00:00,ID_044
ID_045,ID_045,ID_045,ID_045,7.21,6.01,4.88,5.26,2024-06-02 00:00:00,ID_045
ID_046,ID_046,ID_046,ID_046,5.97,1.87,5.0,6.79,2024-01-09 00:00:00,ID_046
ID_047,ID_047,ID_047,ID_047,4.2,8.35,1.97,2.14,2024-06-07 00:00:00,ID_047
ID_048,ID_048,ID_048,ID_048,5.46,8.8,3.62,1.76,2024-02-03 00:00:00,ID_048
ID_049,ID_049,ID_049,ID_049,7.16,7.0,7.26,6.14,2024-09-03 00:00:00,ID_049
ID_050,ID_050,ID_050,ID_050,8.72,6.34,7.91,1.22,2024-03-09 00:00:00,ID_050
ID_051,ID_051,ID_051,ID_051,7.58,6.7,3.83,4.41,2024-02-07 00:00:00,ID_051
ID_052,ID_052,ID_052,ID_052,7.25,1.45,7.9,5.37,2024-08-12 00:00:00,ID_052
ID_053,ID_053,ID_053,ID_053,1.71,2.47,8.61,2.07,2024-01-13 00:00:00,ID_053
ID_054,ID_054,ID_054,ID_054,8.25,8.74,2.5,6.32,2024-04-27 00:00:00,ID_054
ID_055,ID_055,ID_055,ID_055,6.15,7.02,1.91,2.28,2024-01-27 00:00:00,ID_055
ID_056,ID_056,ID_056,ID_056,4.33,8.35,6.09,4.89,2024-11-25 00:00:00,ID_056
ID_057,ID_057,ID_057,ID_057,4.43,1.33,8.57,2.04,2024-03-12 00:00:00,ID_057
ID_058,ID_058,ID_058,ID_058,7.71,5.51,2.36,4.64,2024-07-16 00:00:00,ID_058
ID_059,ID_059,ID_059,ID_059,3.15,7.06,7.59,8.38,2024-06-12 00:00:00,ID_059
ID_060,ID_060,ID_060,ID_060,5.85,3.62,3.08,2.26,2024-05-04 00:00:00,ID_060
ID_061,ID_061,ID_061,ID_061,5.18,1.8,7.95,6.13,2024-02-18 00:00:00,ID_061
ID_062,ID_062,ID_062,ID_062,8.49,2.97,7.89,5.94,2024-03-08 00:00:00,ID_062
ID_063,ID_063,ID_063,ID_063,3.53,3.06,2.4,8.56,2024-06-12 00:00:00,ID_063
ID_064,ID_064,ID_064,ID_064,5.43,4.6,8.57,3.75,2024-09-03 00:00:00,ID_064
ID_065,ID_065,ID_065,ID_065,2.9,4.5,8.54,2.65,2024-04-09 00:00:00,ID_065
ID_066,ID_066,ID_066,ID_066,5.33,2.87,5.74,2.67,2024-11-15 00:00:00,ID_066
ID_067,ID_067,ID_067,ID_067,3.24,4.27,8.65,7.7,2024-04-29 00:00:00,ID_067
ID_068,ID_068,ID_068,ID_068,5.79,1.29,6.93,2.0,2024-04-08 00:00:00,ID_068
ID_069,ID_069,ID_069,ID_069,4.5,3.12,7.69,7.04,2024-02-15 00:00:00,ID_069
ID_070,ID_070,ID_070,ID_070,4.9,4.4,5.77,2.3,2024-05-17 00:00:00,ID_070
ID_071,ID_071,ID_071,ID_071,6.28,4.37,3.16,6.49,2024-12-14 00:00:00,ID_071
ID_072,ID_072,ID_072,ID_072,2.61,7.98,2.0,8.49,2024-11-26 00:00:00,ID_072
ID_073,ID_073,ID_073,ID_073,1.68,5.48,6.94,3.09,2024-03-18 00:00:00,ID_073
ID_074,ID_074,ID_074,ID_074,6.01,5.82,4.71,4.31,2024-12-24 00:00:00,ID_074
ID_075,ID_075,ID_075,ID_075,8.09,3.23,1.51,1.61,2024-09-26 00:00:00,ID_075
ID_076,ID_076,ID_076,ID_076,7.41,5.84,1.36,5.61,2024-10-18 00:00:00,ID_076
ID_077,ID_077,ID_077,ID_077,8.66,2.25,1.82,5.13,2024-06-22 00:00:00,ID_077
ID_078,ID_078,ID_078,ID_078,6.19,2.28,2.59,6.43,2024-05-20 00:00:00,ID_078
ID_079,ID_079,ID_079,ID_079,8.07,4.09,1.76,3.41,2024-04-29 00:00:00,ID_079
ID_080,ID_080,ID_080,ID_080,2.86,8.26,4.06,4.68,2024-07-11 00:00:00,ID_080
ID_081,ID_081,ID_081,ID_081,7.95,5.32,3.71,3.98,2024-07-24 00:00:00,ID_081
ID_082,ID_082,ID_082,ID_082,8.67,2.83,1.29,7.6,2024-02-22 00:00:00,ID_082
ID_083,ID_083,ID_083,ID_083,7.2,6.04,2.46,2.23,2024-09-11 00:00:00,ID_083
ID_084,ID_084,ID_084,ID_084,7.91,4.39,2.21,3.67,2024-06-21 00:00:00,ID_084
ID_085,ID_085,ID_085,ID_085,7.96,5.37,3.96,1.31,2024-10-02 00:00:00,ID_085
ID_086,ID_086,ID_086,ID_086,2.16,3.13,6.25,8.22,2024-11-30 00:00:00,ID_086
ID_087,ID_087,ID_087,ID_087,2.29,6.8,1.28,7.2,2024-03-11 00:00:00,ID_087
ID_088,ID_088,ID_088,ID_088,1.84,2.42,6.1,6.1,2024-10-25 00:00:00,ID_088
ID_089,ID_089,ID_089,ID_089,4.62,7.86,3.15,4.49,2024-04-20 00:00:00,ID_089
ID_090,ID_090,ID_090,ID_090,4.64,2.99,4.86,8.31,2024-01-06 00:00:00,ID_090
ID_091,ID_091,ID_091,ID_091,5.01,8.57,4.95,6.82,2024-08-29 00:00:00,ID_091
ID_092,ID_092,ID_092,ID_092,1.27,1.59,1.41,2.73,2024-12-24 00:00:00,ID_092
ID_093,ID_093,ID_093,ID_093,7.68,6.59,7.12,2.95,2024-07-17 00:00:00,ID_093
ID_094,ID_094,ID_094,ID_094,2.92,6.16,4.31,3.29,2024-05-06 00:00:00,ID_094
ID_095,ID_095,ID_095,ID_095,6.58,8.23,5.81,5.43,2024-03-05 00:00:00,ID_095
ID_096,ID_096,ID_096,ID_096,5.66,3.95,6.41,2.03,2024-08-22 00:00:00,ID_096
ID_097,ID_097,ID_097,ID_097,4.77,3.64,4.85,6.94,2024-05-22 00:00:00,ID_097
ID_098,ID_098,ID_098,ID_098,5.83,3.03,5.42,6.13,2024-11-22 00:00:00,ID_098
ID_099,ID_099,ID_099,ID_099,1.42,7.85,6.48,5.71,2024-11-27 00:00:00,ID_099
ID_000,ID_000,ID_000,ID_000,8.17,2.16,6.93,6.77,2024-10-19 00:00:00,ID_000
ID_001,ID_001,ID_001,ID_001,7.86,6.29,7.9,1.68,2024-07-11 00:00:00,ID_001
ID_002,ID_002,ID_002,ID_002,4.79,8.25,4.4,2.79,2024-03-14 00:00:00,ID_002
ID_003,ID_003,ID_003,ID_003,8.61,2.79,7.76,3.0,2024-12-16 00:00:00,ID_003
ID_004,ID_004,ID_004,ID_004,5.8,7.18,4.48,6.89,2024-02-19 00:00:00,ID_004
ID_005,ID_005,ID_005,ID_005,3.81,2.66,6.82,2.84,2024-02-19 00:00:00,ID_005
ID_006,ID_006,ID_006,ID_006,4.45,8.65,7.28,8.15,2024-01-30 00:00:00,ID_006
ID_007,ID_007,ID_007,ID_007,6.19,7.27,3.65,2.27,2024-02-08 00:00:00,ID_007
ID_008,ID_008,ID_008,ID_008,6.7,2.98,3.21,6.47,2024-08-05 00:00:00,ID_008
ID_009,ID_009,ID_009,ID_009,5.73,6.86,4.43,6.7,2024-04-17 00:00:00,ID_009
ID_010,ID_010,ID_010,ID_010,7.53,6.35,3.65,7.85,2024-08-12 00:00:00,ID_010
ID_011,ID_011,ID_011,ID_011,4.7,6.2,8.76,1.75,2024-08-19 00:00:00,ID_011
ID_012,ID_012,ID_012,ID_012,8.29,7.91,5.84,3.65,2024-11-25 00:00:00,ID_012
ID_013,ID_013,ID_013,ID_013,6.51,5.18,3.83,7.05,2024-03-29 00:00:00,ID_013
ID_014,ID_014,ID_014,ID_014,2.63,1.33,7.76,5.0,2024-12-10 00:00:00,ID_014
ID_015,ID_015,ID_015,ID_015,8.55,2.66,7.95,2.31,2024-03-07 00:00:00,ID_015
ID_016,ID_016,ID_016,ID_016,6.14,7.54,2.49,7.28,2024-09-14 00:00:00,ID_016
ID_017,ID_017,ID_017,ID_017,6.9,7.37,8.1,2.37,2024-03-31 00:00:00,ID_017
ID_018,ID_018,ID_018,ID_018,4.58,3.01,2.98,4.6,2024-08-29 00:00:00,ID_018
ID_019,ID_019,ID_019,ID_019,2.8,7.04,5.82,6.18,2024-06-24 00:00:00,ID_019
ID_020,ID_020,ID_020,ID_020,3.55,1.75,4.75,3.18,2024-07-01 00:00:00,ID_020
ID_021,ID_021,ID_021,ID_021,5.04,2.5,5.94,8.73,2024-06-20 00:00:00,ID_021
ID_022,ID_022,ID_022,ID_022,1.45,6.38,2.35,3.9,2024-02-04 00:00:00,ID_022
ID_023,ID_023,ID_023,ID_023,3.4,5.29,8.63,7.75,2024-12-20 00:00:00,ID_023
ID_024,ID_024,ID_024,ID_024,6.96,2.68,5.19,6.22,2024-12-08 00:00:00,ID_024
ID_025,ID_025,ID_025,ID_025,1.61,8.15,3.75,1.2,2024-10-20 00:00:00,ID_025
ID_026,ID_026,ID_026,ID_026,7.63,8.23,7.18,3.87,2024-05-14 00:00:00,ID_026
ID_027,ID_027,ID_027,ID_027,5.79,6.41,3.94,5.19,2024-06-06 00:00:00,ID_027
ID_028,ID_028,ID_028,ID_028,4.99,6.75,1.58,5.41,2024-04-20 00:00:00,ID_028
ID_029,ID_029,ID_029,ID_029,6.25,4.31,4.0,7.52,2024-08-13 00:00:00,ID_029
ID_030,ID_030,ID_030,ID_030,3.64,1.36,1.9,7.74,2024-12-24 00:00:00,ID_030
ID_031,ID_031,ID_031,ID_031,3.6,2.37,2.98,6.29,2024-01-28 00:00:00,ID_031
ID_032,ID_032,ID_032,ID_032,7.27,6.18,5.67,1.82,2024-07-03 00:00:00,ID_032
ID_033,ID_033,ID_033,ID_033,6.95,7.85,8.4,6.49,2024-10-27 00:00:00,ID_033
ID_034,ID_034,ID_034,ID_034,5.55,7.72,5.92,8.23,2024-02-25 00:00:00,ID_034
ID_035,ID_035,ID_035,ID_035,6.87,8.37,4.9,7.87,2024-09-26 00:00:00,ID_035
ID_036,ID_036,ID_036,ID_036,4.86,7.92,4.57,4.36,2024-02-28 00:00:00,ID_036
ID_037,ID_037,ID_037,ID_037,5.69,6.36,3.89,2.76,2024-12-11 00:00:00,ID_037
ID_038,ID_038,ID_038,ID_038,7.16,1.45,6.23,7.64,2024-11-26 00:00:00,ID_038
ID_039,ID_039,ID_039,ID_039,7.56,7.62,8.48,8.64,2024-10-20 00:00:00,ID_039
ID_040,ID_040,ID_040,ID_040,3.9,8.73,4.33,3.37,2024-09-07 00:00:00,ID_040
ID_041,ID_041,ID_041,ID_041,2.69,7.8,3.98,8.43,2024-03-17 00:00:00,ID_041
ID_042,ID_042,ID_042,ID_042,2.81,3.98,1.57,1.31,2024-09-06 00:00:00,ID_042
ID_043,ID_043,ID_043,ID_043,7.47,5.36,4.53,4.73,2024-04-30 00:00:00,ID_043
ID_044,ID_044,ID_044,ID_044,6.07,5.81,8.56,4.51,2024-05-12 00:00:00,ID_044
ID_045,ID_045,ID_045,ID_045,7.92,6.83,1.86,7.92,2024-09-29 00:00:00,ID_045
ID_046,ID_046,ID_046,ID_046,7.19,2.68,3.81,5.22,2024-12-18 00:00:00,ID_046
ID_047,ID_047,ID_047,ID_047,2.18,4.75,8.24,2.3,2024-01-24 00:00:00,ID_047
ID_048,ID_048,ID_048,ID_048,3.61,4.98,7.92,3.7,2024-03-22 00:00:00,ID_048
ID_049,ID_049,ID_049,ID_049,5.17,2.39,3.7,1.42,2024-04-04 00:00:00,ID_049
ID_050,ID_050,ID_050,ID_050,6.79,6.67,6.17,7.63,2024-04-30 00:00:00,ID_050
ID_051,ID_051,ID_051,ID_051,8.59,2.61,5.37,4.24,2024-05-24 00:00:00,ID_051
ID_052,ID_052,ID_052,ID_052,7.26,2.58,8.23,7.42,2024-03-18 00:00:00,ID_052
ID_053,ID_053,ID_053,ID_053,8.14,2.71,3.88,3.04,2024-09-22 00:00:00,ID_053
ID_054,ID_054,ID_054,ID_054,4.78,3.56,6.54,1.46,2024-05-08 00:00:00,ID_054
ID_055,ID_055,ID_055,ID_055,5.79,7.4,1.99,3.68,2024-07-05 00:00:00,ID_055
