col_ville,col_region,col_type_periode,col_creneau_horaire,col_heure_debut,col_type_route,col_type_trafic_dominant,col_nb_vehicules,col_est_heure_pic,col_niveau_congestion,col_vitesse_moyenne_kmh,col_facteur_periode,col_date_scraping,col_source,col_trafic_total,col_nb_heures_pic,col_vitesse_moyenne,col_trafic_moyen_journalier,col_facteur_vs_ouvre,col_heures_pic,col_niveau_encombrement,col_date_analyse,col_trafic_moyen,col_nb_villes_concernees,col_trafic_total_jour,col_heures_congestion,col_rang,col_pourcentage_vs_max
Bordeaux,Occitanie,2.44,2.97,4.21,6.03,7.02,3.74,5.16,1.33,30,3.11,2024-11-11 00:00:00,Météo-France,1.45,7.85,30,6.28,6.11,1.7,2.25,2024-04-14 00:00:00,1.28,Nice,6.73,2.68,4.83,1.62
Marseille,Pays de la Loire,5.5,6.84,6.37,4.97,6.53,1.47,4.72,8.36,50,2.8,2024-11-24 00:00:00,Météo-France,1.83,8.65,80,6.02,1.46,4.19,5.08,2024-07-21 00:00:00,8.52,Toulouse,1.69,4.04,2.79,8.39
Strasbourg,Nouvelle-Aquitaine,2.85,5.84,7.23,8.64,5.82,5.99,5.8,7.95,110,8.78,2024-08-17 00:00:00,Airparif,5.49,4.64,80,5.98,4.84,4.29,6.42,2024-03-25 00:00:00,1.85,Strasbourg,4.91,6.25,7.02,7.34
Nantes,Île-de-France,6.69,5.87,7.14,2.23,7.6,5.95,8.36,4.31,80,2.08,2024-09-18 00:00:00,Météo-France,2.32,2.65,110,3.55,7.66,6.52,3.97,2024-02-19 00:00:00,7.65,Nantes,3.23,7.47,6.38,8.6
Bordeaux,Grand Est,3.75,1.96,6.05,4.48,3.47,8.67,2.56,5.81,80,7.92,2024-04-01 00:00:00,SNCF_Open_Data,8.41,4.37,110,4.88,4.05,1.99,4.19,2024-01-04 00:00:00,8.7,Montpellier,2.22,2.83,2.79,4.62
Paris,Nouvelle-Aquitaine,4.38,1.92,2.98,1.55,5.38,3.75,7.06,4.25,70,1.93,2024-06-28 00:00:00,Météo-France,1.8,8.67,50,5.36,7.31,2.94,2.9,2024-02-02 00:00:00,3.38,Toulouse,4.43,3.31,3.33,5.86
Strasbourg,Grand Est,1.4,2.72,3.58,7.3,4.25,3.1,7.57,6.36,80,8.37,2024-02-08 00:00:00,Météo-France,1.72,2.77,30,7.93,1.58,6.1,3.28,2024-07-28 00:00:00,7.54,Paris,8.75,2.98,5.8,6.05
Montpellier,Auvergne-Rhône-Alpes,6.48,5.12,3.41,5.84,8.06,5.38,1.9,3.01,70,3.87,2024-12-21 00:00:00,Météo-France,4.82,6.32,130,7.09,4.97,5.07,5.68,2024-09-29 00:00:00,4.13,Paris,6.67,8.37,5.02,2.48
Marseille,Auvergne-Rhône-Alpes,7.13,1.67,2.63,2.69,2.22,1.3,6.46,3.09,80,2.47,2024-09-18 00:00:00,RATP_Open_Data_2024,4.93,5.09,70,1.44,8.56,2.72,6.84,2024-04-27 00:00:00,2.04,Strasbourg,4.13,3.85,4.52,3.08
Lille,Normandie,7.67,3.3,8.29,7.61,3.0,3.99,3.53,2.46,45,6.86,2024-11-27 00:00:00,Data.gouv.fr,3.03,4.37,45,3.54,3.71,5.03,2.77,2024-08-24 00:00:00,3.06,Nantes,1.21,8.57,8.07,6.22
Nice,Auvergne-Rhône-Alpes,4.92,1.71,6.34,3.69,4.11,6.74,7.47,4.7,110,6.8,2024-05-14 00:00:00,Météo-France,8.0,2.83,80,4.94,7.17,2.72,3.99,2024-07-07 00:00:00,3.07,Marseille,2.96,4.69,5.77,3.37
Lille,Auvergne-Rhône-Alpes,3.69,7.6,2.53,7.05,5.38,2.62,2.18,4.72,50,2.43,2024-11-22 00:00:00,RATP_Open_Data_2024,7.8,1.29,80,5.81,4.91,2.85,8.41,2024-03-25 00:00:00,5.7,Marseille,3.96,5.47,2.12,4.53
Lille,Nouvelle-Aquitaine,7.81,4.37,5.49,1.43,4.34,7.22,1.98,7.06,30,3.58,2024-12-09 00:00:00,Data.gouv.fr,3.7,6.24,50,1.49,1.92,3.63,8.59,2024-01-05 00:00:00,3.71,Marseille,6.09,1.94,4.74,3.73
Marseille,Nouvelle-Aquitaine,6.17,4.02,3.42,8.15,8.43,8.64,4.31,5.7,130,1.39,2024-03-23 00:00:00,Météo-France,3.81,2.5,50,3.92,8.02,4.48,4.92,2024-04-22 00:00:00,7.34,Paris,2.68,7.1,6.73,8.43
Paris,Bretagne,4.21,1.26,4.58,6.61,6.31,2.62,5.87,7.47,50,2.91,2024-05-21 00:00:00,Data.gouv.fr,3.67,6.7,45,3.25,1.66,5.26,7.76,2024-07-17 00:00:00,6.24,Marseille,3.3,6.5,6.03,7.65
Strasbourg,Auvergne-Rhône-Alpes,2.42,4.44,6.33,6.38,8.67,1.85,1.41,6.85,45,3.73,2024-04-03 00:00:00,SNCF_Open_Data,3.11,2.94,130,1.33,1.55,3.04,4.51,2024-09-30 00:00:00,3.66,Strasbourg,1.76,7.34,4.98,4.79
Montpellier,Occitanie,6.68,8.1,6.03,1.59,4.74,3.68,2.1,8.37,30,3.87,2024-10-09 00:00:00,Airparif,8.57,4.78,45,7.89,2.93,3.49,7.95,2024-04-20 00:00:00,5.49,Paris,3.08,8.05,3.51,8.43
Lyon,Provence-Alpes-Côte d'Azur,4.11,2.8,1.89,8.49,7.52,8.57,3.36,5.49,45,6.88,2024-04-24 00:00:00,RATP_Open_Data_2024,5.87,2.21,80,6.77,7.42,2.42,4.83,2024-09-14 00:00:00,5.62,Paris,1.23,2.85,6.59,4.43
Nantes,Grand Est,4.38,3.18,2.21,6.74,4.06,2.34,6.88,5.76,70,6.7,2024-02-20 00:00:00,Data.gouv.fr,8.46,5.97,110,4.9,3.87,2.13,1.66,2024-08-20 00:00:00,2.15,Nantes,2.6,1.84,6.99,5.05
Nice,Bretagne,7.03,5.02,2.04,5.64,6.27,3.52,4.23,1.64,45,1.62,2024-02-27 00:00:00,RATP_Open_Data_2024,5.74,8.51,70,8.0,4.66,1.68,5.89,2024-10-23 00:00:00,8.39,Strasbourg,4.78,3.95,7.33,2.98
Montpellier,Hauts-de-France,2.0,4.37,6.27,6.38,5.96,2.96,1.88,8.62,130,5.6,2024-10-11 00:00:00,Data.gouv.fr,3.13,8.36,130,8.0,3.42,1.46,8.08,2024-10-22 00:00:00,5.89,Bordeaux,6.22,1.68,4.53,1.64
Strasbourg,Auvergne-Rhône-Alpes,2.75,1.29,7.83,1.57,2.95,3.01,2.65,6.54,80,7.81,2024-06-11 00:00:00,SNCF_Open_Data,8.43,8.39,50,8.27,3.0,6.89,3.25,2024-08-04 00:00:00,5.47,Lyon,4.42,7.28,5.68,2.58
Lyon,Auvergne-Rhône-Alpes,1.38,3.63,2.45,1.3,4.32,7.41,3.4,6.0,80,6.12,2024-02-29 00:00:00,RATP_Open_Data_2024,3.02,4.28,70,4.54,3.6,1.98,4.83,2024-06-01 00:00:00,6.32,Toulouse,2.95,8.32,1.65,6.4
Montpellier,Normandie,2.81,8.44,7.69,8.29,2.97,1.73,7.6,7.79,45,4.6,2024-08-03 00:00:00,SNCF_Open_Data,2.75,7.08,80,1.37,2.47,3.65,7.66,2024-08-12 00:00:00,2.95,Montpellier,4.1,1.24,5.81,6.75
Lille,Occitanie,7.05,1.37,3.03,4.65,2.89,5.18,7.18,7.59,45,8.12,2024-09-28 00:00:00,Météo-France,6.87,3.31,130,4.0,2.41,1.93,5.92,2024-12-21 00:00:00,4.37,Toulouse,7.24,2.95,7.7,6.1
Lille,Auvergne-Rhône-Alpes,6.2,4.26,8.66,5.03,6.06,4.84,4.11,6.27,50,5.07,2024-10-13 00:00:00,RATP_Open_Data_2024,3.17,7.34,30,4.45,5.29,6.7,4.59,2024-08-30 00:00:00,7.5,Toulouse,7.59,4.43,5.9,2.49
Lille,Grand Est,8.12,6.4,2.09,3.68,7.54,2.59,4.04,8.61,45,5.07,2024-04-21 00:00:00,RATP_Open_Data_2024,7.33,4.13,110,1.61,1.92,8.37,4.8,2024-03-22 00:00:00,5.59,Bordeaux,4.94,8.68,5.9,7.11
Nantes,Pays de la Loire,3.52,3.77,2.77,4.33,3.22,8.62,2.23,1.56,80,2.13,2024-07-26 00:00:00,Data.gouv.fr,4.71,6.69,70,3.77,3.08,5.39,4.6,2024-11-24 00:00:00,4.1,Nantes,7.23,5.46,7.33,7.48
Bordeaux,Provence-Alpes-Côte d'Azur,3.4,1.53,8.04,5.63,3.43,2.32,6.75,3.76,45,7.78,2024-12-02 00:00:00,Airparif,7.6,8.54,80,5.46,6.73,7.96,7.38,2024-01-22 00:00:00,3.06,Marseille,2.85,3.77,4.41,8.36
Lille,Provence-Alpes-Côte d'Azur,4.91,2.93,2.46,3.78,8.35,3.76,4.81,2.7,45,5.15,2024-10-05 00:00:00,SNCF_Open_Data,7.57,2.24,50,5.77,7.91,2.65,7.94,2024-08-08 00:00:00,7.19,Toulouse,7.88,5.56,5.54,8.53
Bordeaux,Auvergne-Rhône-Alpes,6.27,3.33,4.27,2.81,7.58,3.01,8.08,6.8,70,8.22,2024-10-19 00:00:00,Data.gouv.fr,6.06,7.12,45,6.53,3.62,2.75,1.52,2024-05-27 00:00:00,8.44,Montpellier,6.67,6.79,4.99,1.27
Bordeaux,Provence-Alpes-Côte d'Azur,1.96,3.82,7.86,4.19,2.37,4.06,4.64,1.98,110,5.2,2024-08-22 00:00:00,RATP_Open_Data_2024,8.73,8.17,70,7.73,2.07,1.82,4.25,2024-06-19 00:00:00,2.96,Nice,4.63,1.2,8.06,3.23
Toulouse,Provence-Alpes-Côte d'Azur,3.23,7.24,7.67,6.15,5.26,3.83,5.63,1.81,45,3.76,2024-08-14 00:00:00,Météo-France,6.93,2.93,130,4.04,7.13,3.17,5.56,2024-08-11 00:00:00,1.51,Marseille,3.23,4.12,7.9,2.84
Nice,Nouvelle-Aquitaine,4.58,7.1,8.5,2.37,6.37,3.19,3.21,1.51,110,3.81,2024-12-19 00:00:00,Météo-France,6.67,3.7,110,1.61,5.14,2.35,6.16,2024-09-03 00:00:00,5.28,Nantes,2.85,7.51,2.61,5.32
Montpellier,Auvergne-Rhône-Alpes,6.67,3.75,7.3,6.06,4.14,2.22,4.25,1.99,80,6.13,2024-09-27 00:00:00,SNCF_Open_Data,3.62,1.91,50,6.26,5.47,7.18,1.42,2024-02-12 00:00:00,1.28,Nice,5.23,7.35,6.62,4.91
Nice,Grand Est,4.27,1.26,6.85,1.42,6.29,3.39,4.59,5.65,130,6.14,2024-05-25 00:00:00,Airparif,2.28,6.13,45,4.83,8.03,4.1,7.84,2024-02-11 00:00:00,3.9,Montpellier,7.66,7.18,5.73,6.03
Bordeaux,Île-de-France,8.27,1.56,4.64,7.46,2.56,3.02,8.17,2.59,70,2.76,2024-03-21 00:00:00,Météo-France,3.42,2.04,70,7.58,2.88,1.29,8.44,2024-11-12 00:00:00,1.65,Nice,2.21,3.26,3.5,4.45
Lille,Hauts-de-France,2.56,6.46,1.53,8.53,8.28,7.99,4.79,5.84,110,1.42,2024-01-12 00:00:00,Data.gouv.fr,5.95,7.16,110,3.64,7.85,7.01,7.22,2024-04-28 00:00:00,8.61,Strasbourg,6.38,4.08,8.44,3.29
Strasbourg,Nouvelle-Aquitaine,3.37,8.3,1.77,3.8,4.27,5.77,7.31,2.71,110,4.39,2024-01-30 00:00:00,SNCF_Open_Data,4.36,6.97,70,4.96,4.14,2.8,8.25,2024-02-18 00:00:00,6.15,Marseille,4.82,5.78,3.53,6.91
Montpellier,Provence-Alpes-Côte d'Azur,4.99,1.9,3.38,3.66,2.75,3.46,5.46,1.95,50,3.16,2024-11-07 00:00:00,Météo-France,8.31,6.22,130,3.13,3.82,1.92,4.4,2024-01-23 00:00:00,3.94,Nantes,1.93,4.73,6.9,2.74
Nantes,Nouvelle-Aquitaine,7.72,8.61,4.97,4.57,1.27,4.08,3.96,8.68,70,3.12,2024-02-13 00:00:00,Data.gouv.fr,2.79,4.06,130,5.71,3.93,8.02,6.56,2024-10-29 00:00:00,5.61,Lyon,4.9,8.77,1.88,3.25
Montpellier,Grand Est,6.77,4.53,3.69,3.04,7.05,7.81,4.18,4.92,70,6.2,2024-10-21 00:00:00,RATP_Open_Data_2024,5.22,7.41,30,1.26,8.75,7.59,3.96,2024-02-07 00:00:00,2.29,Bordeaux,7.9,7.99,4.85,5.22
Lille,Pays de la Loire,1.59,3.75,4.81,2.01,5.5,3.38,7.4,7.52,70,2.5,2024-09-02 00:00:00,Airparif,6.98,1.63,45,1.78,8.52,8.04,5.53,2024-01-15 00:00:00,1.5,Bordeaux,6.3,5.82,7.32,5.22
Nice,Occitanie,7.51,7.46,6.01,8.67,7.8,4.45,8.79,4.96,50,3.61,2024-02-07 00:00:00,Météo-France,6.86,8.25,110,7.59,2.15,6.48,3.66,2024-06-07 00:00:00,4.48,Montpellier,3.23,5.16,6.23,3.98
Paris,Nouvelle-Aquitaine,7.14,6.62,7.03,7.54,2.51,3.54,5.96,8.25,130,6.31,2024-02-24 00:00:00,RATP_Open_Data_2024,1.83,4.59,70,6.15,7.91,2.65,4.69,2024-02-18 00:00:00,8.64,Toulouse,6.18,6.84,6.0,8.73
Toulouse,Occitanie,8.38,7.58,4.11,5.29,7.37,1.22,8.59,8.13,70,2.42,2024-11-18 00:00:00,RATP_Open_Data_2024,3.04,6.59,110,3.47,7.44,2.1,4.7,2024-10-05 00:00:00,5.47,Bordeaux,3.35,8.36,6.88,4.48
Nice,Nouvelle-Aquitaine,5.02,6.15,5.76,6.93,4.95,4.9,6.28,7.66,30,1.34,2024-06-20 00:00:00,Airparif,4.31,8.03,80,3.57,8.78,2.12,7.0,2024-04-20 00:00:00,3.39,Paris,6.26,4.19,5.82,2.91
Lyon,Occitanie,8.34,1.4,3.9,3.47,4.09,3.65,7.06,4.92,30,3.17,2024-12-11 00:00:00,RATP_Open_Data_2024,1.44,6.53,30,7.74,6.4,7.36,3.83,2024-07-19 00:00:00,8.64,Montpellier,8.48,6.92,3.57,6.53
Nantes,Pays de la Loire,8.01,3.33,2.93,7.31,1.75,5.25,3.7,7.7,70,6.96,2024-05-15 00:00:00,SNCF_Open_Data,4.07,8.66,30,6.73,3.16,8.44,1.23,2024-02-07 00:00:00,3.37,Bordeaux,3.28,7.91,6.41,4.86
Toulouse,Normandie,6.55,2.57,2.25,3.68,6.06,1.25,8.79,8.03,80,3.1,2024-03-13 00:00:00,Data.gouv.fr,6.02,2.66,80,1.94,7.79,5.86,8.19,2024-04-02 00:00:00,1.25,Nice,5.24,8.66,2.37,6.94
Lyon,Hauts-de-France,1.32,6.54,5.43,3.4,5.75,7.85,1.67,6.5,130,5.12,2024-04-11 00:00:00,SNCF_Open_Data,3.79,7.43,110,3.49,5.85,3.5,5.01,2024-05-31 00:00:00,8.77,Bordeaux,8.16,4.95,1.43,8.17
Nice,Bretagne,8.61,1.98,2.07,5.39,4.16,2.3,1.29,3.83,70,1.77,2024-06-05 00:00:00,RATP_Open_Data_2024,2.9,4.19,30,3.53,6.51,7.49,5.29,2024-09-28 00:00:00,8.16,Montpellier,1.28,6.77,4.24,4.09
Marseille,Occitanie,1.35,4.45,3.23,6.52,7.46,1.31,2.74,4.39,80,8.13,2024-10-20 00:00:00,SNCF_Open_Data,1.45,3.19,45,5.63,1.23,3.39,6.61,2024-09-26 00:00:00,2.99,Bordeaux,3.33,4.78,7.58,1.73
Toulouse,Provence-Alpes-Côte d'Azur,8.32,7.0,2.42,7.83,7.5,6.3,2.23,1.38,30,6.2,2024-02-18 00:00:00,Météo-France,7.99,6.66,50,4.74,5.21,6.83,4.76,2024-05-15 00:00:00,7.83,Lille,2.23,2.64,6.25,6.12
Nice,Pays de la Loire,3.22,5.35,8.25,1.5,3.31,6.66,6.73,5.93,70,1.85,2024-11-20 00:00:00,Airparif,1.93,2.57,70,4.46,6.47,2.95,5.43,2024-03-31 00:00:00,1.59,Lyon,8.68,7.59,6.24,4.41
Toulouse,Bretagne,2.41,6.28,1.65,8.42,2.63,8.0,3.87,6.35,70,1.64,2024-04-14 00:00:00,RATP_Open_Data_2024,4.83,6.15,70,7.78,4.48,8.36,6.73,2024-01-27 00:00:00,3.62,Nantes,2.75,8.3,6.56,1.72
Bordeaux,Normandie,2.37,1.22,1.9,4.81,4.57,6.71,8.35,3.79,80,6.6,2024-12-13 00:00:00,RATP_Open_Data_2024,4.59,4.61,110,1.73,5.2,6.62,4.02,2024-10-25 00:00:00,7.15,Nice,6.93,4.51,4.06,4.56
Nantes,Provence-Alpes-Côte d'Azur,2.17,2.4,8.37,6.47,5.77,2.35,2.29,6.61,70,2.75,2024-07-10 00:00:00,SNCF_Open_Data,3.85,5.61,110,1.57,1.33,1.45,3.72,2024-10-31 00:00:00,1.24,Strasbourg,7.26,5.34,8.56,4.15
Lyon,Normandie,1.3,5.75,4.57,4.02,7.15,5.05,4.04,1.67,50,2.42,2024-08-24 00:00:00,Data.gouv.fr,8.56,3.63,70,2.76,8.2,1.37,4.17,2024-09-24 00:00:00,1.98,Montpellier,3.68,2.82,2.77,6.01
Paris,Grand Est,3.04,5.2,1.31,5.49,3.92,5.22,4.34,3.14,130,3.74,2024-02-14 00:00:00,SNCF_Open_Data,5.42,8.25,50,1.92,4.65,3.41,6.77,2024-09-20 00:00:00,3.64,Strasbourg,3.19,4.08,5.91,8.56
Nice,Bretagne,5.87,1.82,2.94,1.39,1.35,2.47,6.57,2.59,130,4.58,2024-11-12 00:00:00,SNCF_Open_Data,2.44,2.03,45,4.95,4.63,1.57,5.8,2024-07-15 00:00:00,5.08,Toulouse,7.38,5.94,7.6,4.33
Strasbourg,Auvergne-Rhône-Alpes,8.53,6.57,6.57,7.95,7.96,4.18,4.09,2.74,110,6.24,2024-02-21 00:00:00,Airparif,6.55,2.58,80,2.76,2.38,2.18,6.84,2024-01-26 00:00:00,8.21,Marseille,1.89,8.2,6.48,6.75
Lyon,Bretagne,2.88,4.11,6.9,8.48,3.86,4.81,2.51,8.48,30,5.02,2024-09-05 00:00:00,RATP_Open_Data_2024,7.45,3.23,130,6.67,2.97,1.98,5.84,2024-01-25 00:00:00,3.86,Nantes,8.45,5.83,8.32,3.44
Paris,Pays de la Loire,4.35,4.95,4.72,8.42,6.78,7.15,7.11,4.38,80,4.34,2024-07-16 00:00:00,Airparif,4.06,6.33,70,1.21,6.82,4.27,6.57,2024-04-18 00:00:00,8.72,Lyon,3.14,3.88,7.49,2.88
Strasbourg,Grand Est,5.55,7.57,6.12,1.46,4.85,2.7,5.32,3.32,30,2.69,2024-10-19 00:00:00,Data.gouv.fr,7.77,5.93,130,7.18,6.57,2.72,4.14,2024-11-17 00:00:00,7.36,Marseille,2.79,5.78,5.23,3.84
Lyon,Bretagne,5.29,3.17,6.72,5.59,8.29,7.22,4.14,6.07,130,2.47,2024-05-06 00:00:00,SNCF_Open_Data,6.68,2.88,80,8.38,2.41,1.8,4.7,2024-03-06 00:00:00,6.53,Lille,5.1,7.66,5.38,6.35
Toulouse,Occitanie,6.23,8.1,4.56,4.61,6.1,2.07,3.88,3.74,45,3.8,2024-06-08 00:00:00,Airparif,3.14,5.2,50,7.41,7.44,1.23,1.32,2024-02-25 00:00:00,5.59,Lyon,5.54,4.81,2.18,7.05
Lyon,Occitanie,5.24,2.88,6.59,5.44,6.87,1.44,1.3,6.68,130,3.56,2024-06-23 00:00:00,Data.gouv.fr,2.91,8.32,45,6.74,5.67,7.12,7.63,2024-06-30 00:00:00,1.49,Strasbourg,7.71,3.79,8.72,7.56
Montpellier,Occitanie,4.5,8.23,4.09,5.55,2.52,3.51,3.3,1.9,110,6.8,2024-11-22 00:00:00,Airparif,1.79,8.75,80,4.13,1.57,2.81,3.73,2024-02-25 00:00:00,2.91,Bordeaux,2.69,4.66,2.98,5.98
Montpellier,Normandie,3.08,8.65,4.9,3.02,1.88,6.28,8.14,6.07,70,7.66,2024-12-17 00:00:00,RATP_Open_Data_2024,6.63,1.55,130,6.38,3.25,6.58,3.06,2024-01-28 00:00:00,2.91,Nantes,5.18,7.23,3.57,1.58
Paris,Hauts-de-France,2.09,4.14,1.97,4.42,2.8,3.68,3.5,7.78,50,2.21,2024-08-28 00:00:00,SNCF_Open_Data,7.75,4.7,30,2.57,7.78,6.08,4.95,2024-09-27 00:00:00,6.02,Lille,2.02,7.06,7.33,2.54
Nantes,Normandie,5.68,4.09,6.28,3.96,4.06,3.21,3.05,1.21,45,3.42,2024-09-13 00:00:00,SNCF_Open_Data,5.6,1.54,110,5.45,7.73,6.28,6.49,2024-09-21 00:00:00,6.13,Nantes,3.73,8.4,5.67,3.15
Nice,Île-de-France,6.1,2.74,8.73,6.81,6.49,4.3,4.26,6.82,80,5.16,2024-07-27 00:00:00,SNCF_Open_Data,8.11,2.22,45,5.57,8.52,2.12,3.92,2024-09-23 00:00:00,7.53,Montpellier,3.58,5.04,3.8,6.66
