col_accident_id,col_time_id,col_zone_id,col_lat,col_lon,col_type,col_gravite,col_usager_vulnerable,col_gravite_estimee,col_date_enrichissement
ID_047,ID_047,ID_047,46.921913,2.099441,6.51,8.79,5.38,2024-03-04 00:00:00,2024-12-05 00:00:00
ID_048,ID_048,ID_048,50.669522,-1.5329,3.06,2.09,4.04,2024-08-30 00:00:00,2024-04-11 00:00:00
ID_049,ID_049,ID_049,44.957655,0.722345,2.8,2.66,4.14,2024-10-25 00:00:00,2024-01-20 00:00:00
ID_050,ID_050,ID_050,49.193435,-1.638269,7.02,5.57,3.08,2024-06-17 00:00:00,2024-05-07 00:00:00
ID_051,ID_051,ID_051,50.837458,-1.582112,2.25,6.27,6.39,2024-02-14 00:00:00,2024-09-17 00:00:00
ID_052,ID_052,ID_052,51.701073,5.350509,6.75,1.97,5.24,2024-06-22 00:00:00,2024-05-12 00:00:00
ID_053,ID_053,ID_053,46.889538,-0.963821,5.07,2.45,1.23,2024-10-20 00:00:00,2024-07-09 00:00:00
ID_054,ID_054,ID_054,45.842198,4.810454,1.25,7.83,1.9,2024-12-08 00:00:00,2024-03-04 00:00:00
ID_055,ID_055,ID_055,51.724769,5.024794,4.78,7.68,7.61,2024-05-22 00:00:00,2024-07-23 00:00:00
ID_056,ID_056,ID_056,46.392648,2.708466,3.73,6.1,7.72,2024-02-08 00:00:00,2024-11-06 00:00:00
ID_057,ID_057,ID_057,52.461148,2.135561,7.69,7.01,3.01,2024-06-20 00:00:00,2024-07-16 00:00:00
ID_058,ID_058,ID_058,52.350756,1.93306,8.29,5.02,7.05,2024-05-09 00:00:00,2024-05-13 00:00:00
ID_059,ID_059,ID_059,49.957431,1.346115,2.97,1.32,6.84,2024-02-22 00:00:00,2024-07-12 00:00:00
ID_060,ID_060,ID_060,48.507836,2.33806,2.43,6.33,5.09,2024-06-15 00:00:00,2024-06-05 00:00:00
ID_061,ID_061,ID_061,52.520502,2.005444,4.89,2.68,6.54,2024-01-16 00:00:00,2024-08-02 00:00:00
ID_062,ID_062,ID_062,46.123109,1.685196,3.45,1.25,2.27,2024-09-27 00:00:00,2024-09-25 00:00:00
ID_063,ID_063,ID_063,48.439991,3.61838,7.15,4.52,4.89,2024-09-29 00:00:00,2024-03-26 00:00:00
ID_064,ID_064,ID_064,52.321876,0.193514,5.75,3.63,5.65,2024-04-15 00:00:00,2024-12-24 00:00:00
ID_065,ID_065,ID_065,48.784727,0.437428,1.99,6.27,4.62,2024-08-12 00:00:00,2024-03-10 00:00:00
ID_066,ID_066,ID_066,52.566203,0.987891,4.86,5.75,7.32,2024-04-14 00:00:00,2024-05-08 00:00:00
ID_067,ID_067,ID_067,51.31323,4.011371,6.55,5.65,4.31,2024-01-03 00:00:00,2024-12-04 00:00:00
ID_068,ID_068,ID_068,46.013519,3.673062,3.78,4.11,1.49,2024-10-10 00:00:00,2024-06-03 00:00:00
ID_069,ID_069,ID_069,47.73401,2.668073,2.5,5.54,6.53,2024-03-01 00:00:00,2024-01-20 00:00:00
ID_070,ID_070,ID_070,46.214032,0.202673,7.07,6.82,8.79,2024-02-08 00:00:00,2024-12-07 00:00:00
ID_071,ID_071,ID_071,50.981281,4.609477,5.88,2.2,7.46,2024-10-24 00:00:00,2024-12-17 00:00:00
ID_072,ID_072,ID_072,49.737555,2.296584,5.98,7.94,1.88,2024-08-07 00:00:00,2024-09-06 00:00:00
ID_073,ID_073,ID_073,46.874607,5.183329,5.41,8.47,8.48,2024-06-30 00:00:00,2024-03-16 00:00:00
ID_074,ID_074,ID_074,45.253683,-0.557209,4.36,5.17,5.6,2024-02-19 00:00:00,2024-06-07 00:00:00
ID_075,ID_075,ID_075,47.548081,-0.493524,6.54,6.62,7.73,2024-02-21 00:00:00,2024-02-05 00:00:00
ID_076,ID_076,ID_076,47.071969,-1.417924,8.4,6.38,5.46,2024-08-21 00:00:00,2024-01-06 00:00:00
ID_077,ID_077,ID_077,51.50515,5.541648,3.57,7.95,8.01,2024-12-21 00:00:00,2024-07-28 00:00:00
ID_078,ID_078,ID_078,46.631906,1.555904,7.27,7.37,7.5,2024-11-02 00:00:00,2024-12-26 00:00:00
ID_079,ID_079,ID_079,47.606829,1.401524,2.46,2.82,3.61,2024-08-02 00:00:00,2024-08-19 00:00:00
ID_080,ID_080,ID_080,50.517747,2.676682,3.98,1.64,2.24,2024-11-02 00:00:00,2024-07-02 00:00:00
ID_081,ID_081,ID_081,45.77532,2.168912,2.62,1.49,6.55,2024-07-20 00:00:00,2024-05-11 00:00:00
ID_082,ID_082,ID_082,50.551993,3.344305,1.42,3.62,8.8,2024-03-18 00:00:00,2024-11-15 00:00:00
ID_083,ID_083,ID_083,50.995528,1.486333,2.4,2.92,6.64,2024-02-29 00:00:00,2024-12-10 00:00:00
ID_084,ID_084,ID_084,50.478461,3.391674,6.29,2.81,4.27,2024-09-03 00:00:00,2024-12-06 00:00:00
ID_085,ID_085,ID_085,44.863204,2.839992,1.39,2.43,5.55,2024-06-16 00:00:00,2024-11-02 00:00:00
ID_086,ID_086,ID_086,50.452518,-0.201991,8.14,4.29,3.71,2024-12-19 00:00:00,2024-01-22 00:00:00
ID_087,ID_087,ID_087,51.242758,1.433431,1.55,6.7,8.3,2024-08-20 00:00:00,2024-10-23 00:00:00
ID_088,ID_088,ID_088,49.640732,4.758419,5.18,1.45,2.24,2024-12-24 00:00:00,2024-07-11 00:00:00
ID_089,ID_089,ID_089,50.740568,4.428241,4.38,1.59,8.64,2024-11-24 00:00:00,2024-02-03 00:00:00
ID_090,ID_090,ID_090,48.417866,-0.044894,2.3,6.38,4.55,2024-02-03 00:00:00,2024-04-03 00:00:00
ID_091,ID_091,ID_091,52.181812,4.382701,4.13,8.16,1.98,2024-09-03 00:00:00,2024-01-06 00:00:00
ID_092,ID_092,ID_092,49.104878,6.201661,5.06,8.07,4.73,2024-09-10 00:00:00,2024-11-10 00:00:00
ID_093,ID_093,ID_093,50.935095,6.2869,1.72,1.49,4.51,2024-12-04 00:00:00,2024-12-07 00:00:00
ID_094,ID_094,ID_094,49.217597,4.524321,8.33,3.36,7.18,2024-03-24 00:00:00,2024-08-28 00:00:00
ID_095,ID_095,ID_095,45.860886,-1.58217,5.16,5.95,6.75,2024-11-24 00:00:00,2024-05-30 00:00:00
ID_096,ID_096,ID_096,45.093679,0.010611,3.84,2.06,7.84,2024-08-01 00:00:00,2024-10-17 00:00:00
ID_097,ID_097,ID_097,45.297637,4.744769,6.97,8.23,4.82,2024-09-08 00:00:00,2024-02-17 00:00:00
ID_098,ID_098,ID_098,51.16961,-1.556677,5.64,4.15,6.35,2024-12-05 00:00:00,2024-05-14 00:00:00
ID_099,ID_099,ID_099,47.663833,-0.247361,4.74,5.05,2.01,2024-04-15 00:00:00,2024-08-14 00:00:00
ID_000,ID_000,ID_000,49.001298,1.10281,8.51,7.27,6.66,2024-04-12 00:00:00,2024-05-05 00:00:00
ID_001,ID_001,ID_001,46.422753,1.214562,6.84,1.74,5.6,2024-08-08 00:00:00,2024-08-09 00:00:00
ID_002,ID_002,ID_002,45.978851,4.942606,5.03,3.71,6.84,2024-08-15 00:00:00,2024-10-12 00:00:00
ID_003,ID_003,ID_003,48.182832,5.421518,3.07,2.82,4.94,2024-03-24 00:00:00,2024-08-30 00:00:00
ID_004,ID_004,ID_004,51.635694,2.413038,6.41,6.48,5.02,2024-03-20 00:00:00,2024-04-26 00:00:00
ID_005,ID_005,ID_005,45.805736,-0.778729,8.62,8.19,5.04,2024-11-16 00:00:00,2024-10-13 00:00:00
ID_006,ID_006,ID_006,49.719663,1.766031,2.5,8.04,7.86,2024-04-14 00:00:00,2024-09-19 00:00:00
ID_007,ID_007,ID_007,52.288507,3.857825,4.37,3.89,2.99,2024-02-21 00:00:00,2024-08-29 00:00:00
ID_008,ID_008,ID_008,50.627922,3.99069,3.88,7.97,3.47,2024-02-21 00:00:00,2024-08-11 00:00:00
ID_009,ID_009,ID_009,52.588252,3.390972,1.34,7.08,7.82,2024-10-21 00:00:00,2024-11-05 00:00:00
ID_010,ID_010,ID_010,47.886522,5.649218,6.89,5.33,5.6,2024-06-28 00:00:00,2024-07-19 00:00:00
ID_011,ID_011,ID_011,51.536186,1.549658,2.97,4.24,2.26,2024-07-10 00:00:00,2024-03-21 00:00:00
ID_012,ID_012,ID_012,52.110761,5.540948,5.0,1.61,7.54,2024-10-14 00:00:00,2024-01-30 00:00:00
ID_013,ID_013,ID_013,50.300196,1.40956,1.92,2.87,2.49,2024-01-22 00:00:00,2024-03-27 00:00:00
ID_014,ID_014,ID_014,45.184829,0.88907,4.07,7.15,3.85,2024-10-23 00:00:00,2024-07-13 00:00:00
ID_015,ID_015,ID_015,45.480786,-0.942541,8.0,4.52,5.95,2024-12-02 00:00:00,2024-12-02 00:00:00
ID_016,ID_016,ID_016,47.4638,0.584071,2.39,6.56,6.99,2024-11-26 00:00:00,2024-05-06 00:00:00
ID_017,ID_017,ID_017,50.646862,3.682159,3.72,7.45,7.44,2024-02-26 00:00:00,2024-03-27 00:00:00
ID_018,ID_018,ID_018,48.007845,4.72048,8.42,8.5,4.39,2024-10-09 00:00:00,2024-02-29 00:00:00
ID_019,ID_019,ID_019,47.690938,0.457294,4.47,5.77,6.56,2024-02-12 00:00:00,2024-10-28 00:00:00
ID_020,ID_020,ID_020,51.458032,-0.046964,7.34,3.96,3.58,2024-12-21 00:00:00,2024-10-23 00:00:00
ID_021,ID_021,ID_021,52.09377,2.252424,7.95,8.24,5.98,2024-11-01 00:00:00,2024-04-02 00:00:00
ID_022,ID_022,ID_022,49.123427,-1.163128,4.14,1.43,7.43,2024-05-19 00:00:00,2024-01-24 00:00:00
ID_023,ID_023,ID_023,48.179164,5.163257,4.44,3.58,6.38,2024-12-12 00:00:00,2024-04-01 00:00:00
ID_024,ID_024,ID_024,46.887133,1.162081,5.0,1.63,1.24,2024-06-29 00:00:00,2024-02-11 00:00:00
ID_025,ID_025,ID_025,50.610588,-0.191744,3.31,1.8,3.43,2024-01-18 00:00:00,2024-12-23 00:00:00
ID_026,ID_026,ID_026,48.944884,5.814698,5.32,3.66,3.7,2024-11-11 00:00:00,2024-10-25 00:00:00
ID_027,ID_027,ID_027,46.860038,-1.106294,2.16,7.36,4.22,2024-02-16 00:00:00,2024-09-03 00:00:00
ID_028,ID_028,ID_028,52.845965,2.527679,6.21,4.26,2.71,2024-07-03 00:00:00,2024-10-02 00:00:00
ID_029,ID_029,ID_029,46.17718,-1.399609,8.78,6.75,3.37,2024-02-05 00:00:00,2024-12-08 00:00:00
ID_030,ID_030,ID_030,44.999729,3.778911,7.92,3.47,2.11,2024-10-28 00:00:00,2024-04-12 00:00:00
ID_031,ID_031,ID_031,47.103964,-0.338385,8.63,3.07,3.19,2024-04-29 00:00:00,2024-01-29 00:00:00
ID_032,ID_032,ID_032,45.379586,5.601213,3.57,6.28,3.74,2024-05-02 00:00:00,2024-10-16 00:00:00
ID_033,ID_033,ID_033,50.496411,4.727606,3.35,5.46,4.46,2024-10-12 00:00:00,2024-10-15 00:00:00
ID_034,ID_034,ID_034,48.001804,2.960662,2.25,8.75,7.78,2024-08-28 00:00:00,2024-01-01 00:00:00
ID_035,ID_035,ID_035,46.70409,6.179694,8.37,2.25,5.95,2024-05-20 00:00:00,2024-11-16 00:00:00
ID_036,ID_036,ID_036,49.201781,1.999301,5.27,5.97,3.14,2024-04-15 00:00:00,2024-03-29 00:00:00
ID_037,ID_037,ID_037,50.856154,3.472612,6.55,4.29,7.59,2024-04-04 00:00:00,2024-11-23 00:00:00
ID_038,ID_038,ID_038,45.390022,-0.168779,8.77,2.74,4.36,2024-08-04 00:00:00,2024-04-10 00:00:00
ID_039,ID_039,ID_039,52.447879,0.264377,4.88,3.14,3.9,2024-04-04 00:00:00,2024-09-30 00:00:00
ID_040,ID_040,ID_040,49.994682,0.98909,6.12,5.26,1.83,2024-04-21 00:00:00,2024-02-06 00:00:00
ID_041,ID_041,ID_041,49.088589,-0.477891,4.69,6.09,6.74,2024-11-17 00:00:00,2024-02-04 00:00:00
ID_042,ID_042,ID_042,51.446854,3.528108,3.53,8.13,1.29,2024-01-15 00:00:00,2024-04-27 00:00:00
ID_043,ID_043,ID_043,47.413631,4.426683,2.95,2.29,3.48,2024-01-08 00:00:00,2024-03-11 00:00:00
ID_044,ID_044,ID_044,49.578487,3.936045,7.48,7.47,2.52,2024-08-25 00:00:00,2024-03-12 00:00:00
ID_045,ID_045,ID_045,49.576348,3.509626,8.57,2.96,4.26,2024-05-09 00:00:00,2024-03-05 00:00:00
ID_046,ID_046,ID_046,47.007654,4.932866,5.11,4.05,3.9,2024-06-11 00:00:00,2024-06-03 00:00:00
ID_047,ID_047,ID_047,45.732219,4.712643,5.89,2.13,1.73,2024-03-02 00:00:00,2024-07-08 00:00:00
ID_048,ID_048,ID_048,46.368759,5.038804,4.46,2.16,7.81,2024-06-13 00:00:00,2024-05-13 00:00:00
ID_049,ID_049,ID_049,48.017718,0.139206,1.98,3.9,1.21,2024-05-06 00:00:00,2024-03-26 00:00:00
ID_050,ID_050,ID_050,46.313483,4.316077,7.47,7.47,5.07,2024-10-01 00:00:00,2024-06-09 00:00:00
ID_051,ID_051,ID_051,52.563424,2.492497,2.28,7.45,7.99,2024-11-10 00:00:00,2024-05-05 00:00:00
ID_052,ID_052,ID_052,45.400724,-1.474467,6.66,5.29,7.42,2024-09-01 00:00:00,2024-01-08 00:00:00
ID_053,ID_053,ID_053,45.955731,5.163001,6.54,4.02,7.39,2024-09-12 00:00:00,2024-11-12 00:00:00
ID_054,ID_054,ID_054,51.889156,5.422133,6.92,4.32,5.96,2024-05-21 00:00:00,2024-10-05 00:00:00
ID_055,ID_055,ID_055,48.591541,3.837963,2.21,1.54,7.23,2024-03-21 00:00:00,2024-04-03 00:00:00
ID_056,ID_056,ID_056,47.814118,6.210396,8.38,5.93,6.37,2024-05-15 00:00:00,2024-05-27 00:00:00
ID_057,ID_057,ID_057,51.050199,5.707847,4.94,3.43,1.28,2024-06-11 00:00:00,2024-01-30 00:00:00
ID_058,ID_058,ID_058,47.56352,0.682167,7.73,8.66,4.32,2024-07-23 00:00:00,2024-09-22 00:00:00
ID_059,ID_059,ID_059,52.647212,-0.021697,5.32,4.4,4.01,2024-08-20 00:00:00,2024-08-07 00:00:00
ID_060,ID_060,ID_060,46.837296,4.091893,8.01,4.61,1.6,2024-11-25 00:00:00,2024-04-27 00:00:00
ID_061,ID_061,ID_061,46.348816,-0.380019,6.61,4.38,4.95,2024-11-18 00:00:00,2024-01-24 00:00:00
ID_062,ID_062,ID_062,50.390695,2.558187,7.46,8.3,1.42,2024-10-17 00:00:00,2024-07-14 00:00:00
ID_063,ID_063,ID_063,47.608268,5.066295,3.89,7.86,8.53,2024-07-10 00:00:00,2024-09-12 00:00:00
ID_064,ID_064,ID_064,50.483895,-0.856777,6.61,1.79,5.31,2024-03-24 00:00:00,2024-03-21 00:00:00
ID_065,ID_065,ID_065,46.95537,2.776759,7.54,8.69,7.77,2024-11-18 00:00:00,2024-03-08 00:00:00
ID_066,ID_066,ID_066,47.568422,-1.26534,3.74,1.74,5.75,2024-12-23 00:00:00,2024-10-12 00:00:00
ID_067,ID_067,ID_067,50.789797,2.076553,4.22,6.29,5.05,2024-01-29 00:00:00,2024-01-24 00:00:00
ID_068,ID_068,ID_068,47.89656,1.35174,7.67,6.97,8.48,2024-04-03 00:00:00,2024-07-08 00:00:00
ID_069,ID_069,ID_069,45.036076,4.65134,2.21,5.72,7.94,2024-07-12 00:00:00,2024-12-01 00:00:00
ID_070,ID_070,ID_070,49.737163,0.937344,8.08,6.59,3.32,2024-10-11 00:00:00,2024-11-27 00:00:00
ID_071,ID_071,ID_071,48.941561,2.36496,2.95,2.07,2.59,2024-10-18 00:00:00,2024-05-08 00:00:00
ID_072,ID_072,ID_072,49.004447,-0.360193,5.61,5.93,3.84,2024-12-07 00:00:00,2024-03-11 00:00:00
ID_073,ID_073,ID_073,44.967559,5.112688,6.84,2.62,7.12,2024-10-27 00:00:00,2024-11-20 00:00:00
ID_074,ID_074,ID_074,47.921931,2.158978,6.05,3.8,4.75,2024-04-28 00:00:00,2024-06-30 00:00:00
ID_075,ID_075,ID_075,45.775243,5.752166,5.34,1.43,5.27,2024-11-21 00:00:00,2024-04-23 00:00:00
ID_076,ID_076,ID_076,50.494891,-0.927698,6.5,5.7,1.75,2024-09-13 00:00:00,2024-05-19 00:00:00
ID_077,ID_077,ID_077,49.777178,5.615707,7.02,6.75,7.84,2024-02-10 00:00:00,2024-03-31 00:00:00
ID_078,ID_078,ID_078,45.635056,2.288072,2.49,4.3,8.21,2024-04-05 00:00:00,2024-10-24 00:00:00
ID_079,ID_079,ID_079,45.05476,-1.290111,7.92,3.34,1.48,2024-01-07 00:00:00,2024-09-28 00:00:00
ID_080,ID_080,ID_080,50.013634,2.062085,7.03,7.44,3.88,2024-02-18 00:00:00,2024-08-13 00:00:00
ID_081,ID_081,ID_081,50.312282,-1.394395,2.82,7.43,6.92,2024-05-05 00:00:00,2024-09-21 00:00:00
ID_082,ID_082,ID_082,48.321665,1.254583,5.75,8.69,8.64,2024-05-02 00:00:00,2024-10-29 00:00:00
ID_083,ID_083,ID_083,51.354197,4.668545,2.59,2.85,5.08,2024-03-24 00:00:00,2024-05-24 00:00:00
ID_084,ID_084,ID_084,50.465514,4.361957,2.68,5.87,4.4,2024-03-23 00:00:00,2024-06-29 00:00:00
ID_085,ID_085,ID_085,46.35999,2.37847,2.42,7.99,7.8,2024-09-03 00:00:00,2024-02-24 00:00:00
ID_086,ID_086,ID_086,45.902916,-0.547998,5.71,8.31,5.56,2024-05-27 00:00:00,2024-11-15 00:00:00
ID_087,ID_087,ID_087,51.357136,0.516346,3.67,6.7,7.97,2024-01-12 00:00:00,2024-03-29 00:00:00
ID_088,ID_088,ID_088,49.582708,4.520169,2.97,6.36,5.02,2024-11-16 00:00:00,2024-01-04 00:00:00
ID_089,ID_089,ID_089,48.669733,0.334621,7.46,5.66,2.91,2024-10-22 00:00:00,2024-03-18 00:00:00
ID_090,ID_090,ID_090,52.48045,1.691657,4.32,2.32,5.65,2024-09-20 00:00:00,2024-02-17 00:00:00
ID_091,ID_091,ID_091,46.809233,4.744587,4.29,6.83,6.85,2024-04-03 00:00:00,2024-01-14 00:00:00
ID_092,ID_092,ID_092,45.662826,-1.389962,2.0,1.94,5.11,2024-12-04 00:00:00,2024-02-19 00:00:00
ID_093,ID_093,ID_093,52.189292,4.273019,8.53,8.47,7.05,2024-02-02 00:00:00,2024-12-21 00:00:00
ID_094,ID_094,ID_094,51.93188,-0.537061,8.35,2.91,5.7,2024-12-18 00:00:00,2024-10-19 00:00:00
ID_095,ID_095,ID_095,44.984582,2.579511,1.48,1.3,7.52,2024-05-18 00:00:00,2024-12-08 00:00:00
ID_096,ID_096,ID_096,50.042329,-0.59913,4.33,3.47,1.54,2024-09-07 00:00:00,2024-12-11 00:00:00
ID_097,ID_097,ID_097,50.057371,3.144012,1.7,1.44,2.5,2024-07-18 00:00:00,2024-01-03 00:00:00
ID_098,ID_098,ID_098,48.117395,-0.18111,3.79,7.82,5.48,2024-02-13 00:00:00,2024-09-18 00:00:00
ID_099,ID_099,ID_099,50.587374,0.829585,7.28,1.71,3.35,2024-11-06 00:00:00,2024-03-14 00:00:00
ID_000,ID_000,ID_000,47.971422,-0.161603,6.27,7.72,6.56,2024-11-02 00:00:00,2024-10-30 00:00:00
ID_001,ID_001,ID_001,50.193402,0.315699,3.06,7.23,5.57,2024-05-20 00:00:00,2024-06-09 00:00:00
ID_002,ID_002,ID_002,45.062568,1.363721,5.36,5.28,5.08,2024-05-23 00:00:00,2024-08-01 00:00:00
ID_003,ID_003,ID_003,47.559486,1.939835,7.59,1.93,6.13,2024-05-21 00:00:00,2024-04-27 00:00:00
ID_004,ID_004,ID_004,46.372018,6.173523,3.14,6.71,8.42,2024-02-05 00:00:00,2024-08-01 00:00:00
ID_005,ID_005,ID_005,45.912845,2.014752,3.01,4.94,1.99,2024-07-13 00:00:00,2024-02-21 00:00:00
ID_006,ID_006,ID_006,46.611759,0.720535,7.12,4.74,5.46,2024-03-03 00:00:00,2024-01-01 00:00:00
ID_007,ID_007,ID_007,47.536634,1.837703,3.09,3.54,8.02,2024-02-09 00:00:00,2024-04-22 00:00:00
ID_008,ID_008,ID_008,45.972449,1.686463,3.74,7.27,7.59,2024-02-14 00:00:00,2024-02-17 00:00:00
ID_009,ID_009,ID_009,52.467104,0.383335,1.68,4.33,6.06,2024-11-12 00:00:00,2024-07-31 00:00:00
ID_010,ID_010,ID_010,46.738991,5.983645,3.91,6.06,8.46,2024-01-08 00:00:00,2024-05-12 00:00:00
ID_011,ID_011,ID_011,52.250721,0.200723,6.26,7.48,5.35,2024-05-06 00:00:00,2024-06-30 00:00:00
ID_012,ID_012,ID_012,48.453601,-0.050357,7.4,5.09,6.26,2024-06-24 00:00:00,2024-11-26 00:00:00
ID_013,ID_013,ID_013,45.28463,-1.279217,3.59,6.65,7.52,2024-12-19 00:00:00,2024-11-18 00:00:00
ID_014,ID_014,ID_014,45.369523,-0.033089,5.37,6.79,2.94,2024-09-20 00:00:00,2024-07-22 00:00:00
ID_015,ID_015,ID_015,51.719083,-0.723949,6.08,4.83,6.12,2024-04-13 00:00:00,2024-10-14 00:00:00
ID_016,ID_016,ID_016,52.170692,6.128217,5.31,7.78,4.88,2024-10-29 00:00:00,2024-02-14 00:00:00
ID_017,ID_017,ID_017,48.713714,4.706048,8.05,2.46,7.54,2024-02-10 00:00:00,2024-12-12 00:00:00
ID_018,ID_018,ID_018,48.708818,-0.179075,4.09,1.81,7.62,2024-09-08 00:00:00,2024-07-04 00:00:00
