col_ville,col_code_departement,col_region,col_population,col_type_route,col_heure,col_trafic_vehicules_h,col_vitesse_moyenne_kmh,col_niveau_congestion,col_indice_congestion_1_10,col_date_scraping,col_source,col_latitude,col_longitude,col_qualite_air,col_emission_co2_g_km_moyenne,col_emission_totale_estimee_kg_h,col_lignes_metro,col_lignes_tram,col_systeme_velo,col_departement,col_jour_semaine,col_tmja,col_pourcentage_pl,col_vitesse_commerciale_kmh,col_longueur_reseau_km,col_date_mesure,col_mois,col_mois_nom,col_direction,col_classe_route,col_classement_bison,col_densite_trafic_percent,col_duree_trajet_supplementaire_min,col_est_periode_vacances,col_recommandation,col_trafic_par_habitant
Nice,Occitanie,Grand Est,51.911985,6.21,3.96,2.77,130,8.32,7.52,2024-09-18 00:00:00,Météo-France,51.911985,1.366411,3.0,5.81,2024-10-14 00:00:00,2.38,7.18,5.04,Nouvelle-Aquitaine,2.41,5.69,8.21,50,1.366411,2024-04-05 00:00:00,2.85,7.37,7.32,7.35,7.63,127223,6.41,0,1.32,5.72
Marseille,Normandie,Hauts-de-France,50.173635,2.22,7.83,7.85,80,2.41,5.69,2024-03-20 00:00:00,SNCF_Open_Data,50.173635,5.963781,2.59,3.67,2024-04-28 00:00:00,6.25,5.41,8.59,Pays de la Loire,5.7,7.52,4.1,80,5.963781,2024-01-11 00:00:00,4.36,4.43,7.29,6.82,1.36,115922,2.03,OUI,8.74,5.62
Toulouse,Normandie,Bretagne,49.522933,5.34,4.67,1.53,80,4.66,6.68,2024-02-08 00:00:00,Airparif,49.522933,5.658276,3.27,5.53,2024-04-22 00:00:00,5.27,4.47,3.6,Auvergne-Rhône-Alpes,4.42,3.22,8.35,30,5.658276,2024-06-26 00:00:00,6.6,6.62,3.44,4.51,8.72,101323,5.99,NON,4.4,5.11
Montpellier,Grand Est,Auvergne-Rhône-Alpes,50.513259,7.99,6.26,6.71,50,2.15,2.59,2024-01-12 00:00:00,SNCF_Open_Data,50.513259,3.453753,2.02,5.12,2024-12-13 00:00:00,7.94,3.76,7.92,Occitanie,5.18,5.65,3.74,80,3.453753,2024-12-13 00:00:00,6.76,6.9,5.21,3.64,5.3,48701,2.9,1,4.79,1.86
Bordeaux,Grand Est,Pays de la Loire,50.561875,5.4,8.73,8.39,110,4.25,5.26,2024-04-16 00:00:00,Météo-France,50.561875,3.660899,4.22,2.1,2024-12-16 00:00:00,3.1,2.5,5.77,Bretagne,8.29,5.64,4.1,50,3.660899,2024-09-18 00:00:00,6.88,8.28,1.88,7.44,5.94,14415,3.59,0,4.72,5.95
Lille,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,50.885965,7.08,5.1,3.57,30,1.93,5.09,2024-10-18 00:00:00,SNCF_Open_Data,50.885965,4.829322,2.4,3.5,2024-03-13 00:00:00,8.63,7.3,2.27,Bretagne,5.76,6.44,6.42,70,4.829322,2024-12-16 00:00:00,2.8,3.33,2.02,6.24,4.02,68366,6.98,0,7.79,7.36
Lyon,Île-de-France,Pays de la Loire,48.344088,5.78,5.23,6.56,70,5.88,5.03,2024-09-17 00:00:00,Data.gouv.fr,48.344088,1.7069,4.9,2.13,2024-02-20 00:00:00,2.27,6.46,8.16,Auvergne-Rhône-Alpes,8.31,4.76,5.67,45,1.7069,2024-04-27 00:00:00,5.59,4.83,4.63,5.22,6.1,153532,7.32,OUI,4.05,8.38
Toulouse,Bretagne,Grand Est,45.002021,5.11,5.44,3.69,110,8.17,3.92,2024-01-12 00:00:00,Airparif,45.002021,2.844272,5.67,7.07,2024-05-02 00:00:00,7.31,1.96,7.95,Occitanie,7.25,6.2,2.72,45,2.844272,2024-07-08 00:00:00,5.14,2.6,5.68,1.59,3.12,143266,7.33,NON,8.23,7.9
Lyon,Grand Est,Bretagne,52.670184,5.67,8.53,1.49,80,2.88,4.32,2024-03-05 00:00:00,Data.gouv.fr,52.670184,3.422,2.77,7.1,2024-07-12 00:00:00,6.38,3.05,8.14,Nouvelle-Aquitaine,2.07,3.89,1.3,70,3.422,2024-08-14 00:00:00,6.74,6.47,3.54,3.95,7.58,39201,4.09,OUI,2.59,6.94
Montpellier,Grand Est,Normandie,48.278551,6.61,8.56,3.16,45,2.79,5.15,2024-01-27 00:00:00,Airparif,48.278551,1.780195,5.19,6.27,2024-11-27 00:00:00,4.59,2.72,7.05,Île-de-France,1.29,3.34,2.06,110,1.780195,2024-11-16 00:00:00,2.71,8.71,3.27,3.31,6.38,22015,2.06,OUI,1.61,1.26
Lille,Provence-Alpes-Côte d'Azur,Nouvelle-Aquitaine,48.369099,1.81,5.44,8.31,80,4.03,1.79,2024-10-12 00:00:00,Météo-France,48.369099,-0.923478,6.36,6.47,2024-12-20 00:00:00,1.35,2.61,3.56,Bretagne,6.67,3.54,8.65,45,-0.923478,2024-10-11 00:00:00,5.36,6.31,4.68,5.0,5.9,164577,1.25,NON,2.49,6.12
Bordeaux,Hauts-de-France,Pays de la Loire,49.473641,4.62,3.81,6.75,130,4.91,6.2,2024-03-19 00:00:00,SNCF_Open_Data,49.473641,4.119192,4.36,1.22,2024-12-15 00:00:00,1.41,5.56,2.01,Provence-Alpes-Côte d'Azur,2.22,4.41,8.1,50,4.119192,2024-03-14 00:00:00,2.34,2.15,4.93,1.7,8.13,127757,2.08,NON,6.22,2.63
Paris,Bretagne,Pays de la Loire,46.225962,8.78,8.3,6.83,70,3.02,4.19,2024-09-22 00:00:00,Airparif,46.225962,4.582508,6.31,2.34,2024-11-02 00:00:00,8.27,6.04,8.18,Normandie,3.11,6.57,3.46,130,4.582508,2024-10-09 00:00:00,8.03,8.23,1.2,1.51,4.03,107251,3.97,OUI,5.4,2.08
Nantes,Pays de la Loire,Bretagne,48.210418,1.23,4.04,3.61,45,8.07,4.27,2024-06-14 00:00:00,Météo-France,48.210418,3.665853,3.56,1.95,2024-04-20 00:00:00,8.31,2.02,7.96,Bretagne,7.37,1.79,7.28,50,3.665853,2024-10-21 00:00:00,4.99,5.67,4.56,4.0,3.23,21312,6.4,OUI,6.15,1.68
Nantes,Grand Est,Hauts-de-France,46.498421,4.84,4.26,7.31,45,7.58,7.45,2024-08-16 00:00:00,Météo-France,46.498421,3.526066,3.8,7.56,2024-05-17 00:00:00,5.02,8.66,1.25,Bretagne,8.32,4.06,3.49,50,3.526066,2024-07-26 00:00:00,6.16,3.4,8.2,5.97,2.05,52346,4.61,1,6.5,8.53
Paris,Occitanie,Hauts-de-France,45.471078,2.94,4.71,8.68,50,3.77,4.36,2024-04-26 00:00:00,Data.gouv.fr,45.471078,1.163882,8.6,7.45,2024-07-09 00:00:00,8.21,3.58,8.15,Auvergne-Rhône-Alpes,7.51,5.42,2.6,70,1.163882,2024-09-02 00:00:00,4.64,3.7,7.11,2.94,6.51,89606,1.77,NON,2.49,2.5
Bordeaux,Auvergne-Rhône-Alpes,Île-de-France,48.655493,7.01,4.33,7.53,80,3.62,8.29,2024-06-01 00:00:00,Airparif,48.655493,1.182227,5.02,1.85,2024-05-29 00:00:00,6.63,5.05,3.45,Provence-Alpes-Côte d'Azur,4.08,2.27,6.2,50,1.182227,2024-01-18 00:00:00,2.36,7.55,4.08,7.6,5.29,25027,4.51,NON,3.44,7.06
Bordeaux,Nouvelle-Aquitaine,Auvergne-Rhône-Alpes,49.708659,7.58,6.56,4.31,45,5.69,3.78,2024-12-10 00:00:00,Data.gouv.fr,49.708659,-0.140139,5.08,2.02,2024-02-04 00:00:00,8.57,4.55,6.73,Pays de la Loire,6.34,5.75,3.82,45,-0.140139,2024-05-08 00:00:00,6.77,3.32,4.78,2.27,1.23,176188,3.3,NON,3.08,5.45
Strasbourg,Hauts-de-France,Grand Est,50.666112,2.53,7.01,2.19,30,8.02,6.16,2024-08-17 00:00:00,Météo-France,50.666112,0.946554,3.4,5.93,2024-07-17 00:00:00,4.84,5.41,7.07,Hauts-de-France,8.14,6.51,7.17,50,0.946554,2024-11-18 00:00:00,2.11,8.27,1.49,7.2,7.67,187641,7.89,1,1.27,6.11
Nice,Pays de la Loire,Bretagne,48.536872,7.84,1.95,3.38,70,3.93,6.16,2024-04-24 00:00:00,Airparif,48.536872,4.013707,5.79,5.14,2024-04-03 00:00:00,5.82,3.28,7.79,Provence-Alpes-Côte d'Azur,7.25,7.71,4.72,80,4.013707,2024-04-13 00:00:00,1.34,4.56,2.77,4.04,5.32,180508,2.23,NON,3.25,5.89
Nantes,Occitanie,Nouvelle-Aquitaine,52.392427,2.97,6.28,7.43,30,2.95,5.69,2024-01-21 00:00:00,Data.gouv.fr,52.392427,3.214397,6.91,6.83,2024-06-11 00:00:00,3.67,2.94,4.16,Auvergne-Rhône-Alpes,2.68,4.38,6.0,130,3.214397,2024-02-29 00:00:00,3.84,1.67,4.83,3.07,4.33,151419,5.49,NON,7.04,6.76
Lyon,Auvergne-Rhône-Alpes,Provence-Alpes-Côte d'Azur,46.091304,8.25,4.4,6.01,30,5.26,6.8,2024-04-17 00:00:00,SNCF_Open_Data,46.091304,4.43034,8.7,7.48,2024-08-20 00:00:00,7.94,6.95,2.18,Bretagne,1.67,3.82,3.22,45,4.43034,2024-11-21 00:00:00,4.83,7.24,8.34,4.89,3.59,32281,8.65,OUI,2.45,5.34
Nantes,Nouvelle-Aquitaine,Île-de-France,50.82897,7.06,3.8,5.18,30,3.68,1.22,2024-10-10 00:00:00,Data.gouv.fr,50.82897,2.873822,1.62,1.99,2024-12-26 00:00:00,7.6,7.13,6.91,Bretagne,4.66,8.58,8.0,30,2.873822,2024-09-26 00:00:00,1.4,8.21,2.84,1.64,6.43,27350,5.25,0,5.3,7.2
Strasbourg,Normandie,Pays de la Loire,45.944965,4.49,6.13,4.07,30,4.14,6.4,2024-06-02 00:00:00,Airparif,45.944965,-0.004206,2.02,2.23,2024-10-05 00:00:00,8.01,6.76,2.02,Bretagne,2.26,2.29,5.06,80,-0.004206,2024-02-20 00:00:00,7.25,7.53,4.43,7.84,8.58,27945,5.14,1,5.25,6.59
Paris,Nouvelle-Aquitaine,Auvergne-Rhône-Alpes,47.701452,5.95,4.25,4.37,45,2.03,4.23,2024-05-09 00:00:00,Data.gouv.fr,47.701452,0.090139,2.34,6.52,2024-06-04 00:00:00,1.45,8.57,2.38,Occitanie,8.5,2.82,5.83,110,0.090139,2024-03-21 00:00:00,2.92,5.79,7.37,2.89,7.63,103696,7.35,1,6.93,3.07
Nice,Pays de la Loire,Occitanie,49.164125,4.69,2.74,1.21,50,2.87,4.52,2024-12-23 00:00:00,Airparif,49.164125,4.798971,3.88,2.07,2024-02-02 00:00:00,1.39,5.24,8.12,Île-de-France,5.68,7.59,6.43,30,4.798971,2024-05-06 00:00:00,7.12,6.59,3.25,4.5,8.66,98418,2.82,OUI,4.01,3.86
Paris,Auvergne-Rhône-Alpes,Pays de la Loire,50.814772,1.68,5.98,5.19,70,5.06,4.12,2024-05-28 00:00:00,Airparif,50.814772,1.404028,4.5,3.1,2024-01-17 00:00:00,7.37,6.58,7.31,Nouvelle-Aquitaine,4.52,6.65,1.39,110,1.404028,2024-05-12 00:00:00,7.56,4.51,3.52,6.07,5.9,166841,4.64,OUI,6.99,7.73
Toulouse,Grand Est,Nouvelle-Aquitaine,52.644397,2.61,7.79,3.0,70,4.62,2.92,2024-05-11 00:00:00,Météo-France,52.644397,3.844155,8.34,3.88,2024-04-22 00:00:00,7.2,1.33,3.53,Bretagne,3.67,3.71,7.64,80,3.844155,2024-06-28 00:00:00,3.63,4.83,8.58,2.26,4.07,2241,5.16,NON,1.21,7.47
Nantes,Hauts-de-France,Bretagne,45.669593,5.15,3.24,6.58,110,5.21,1.57,2024-03-25 00:00:00,Météo-France,45.669593,1.4524,8.1,7.88,2024-09-01 00:00:00,1.73,5.86,7.24,Normandie,4.88,8.77,8.02,110,1.4524,2024-02-07 00:00:00,2.99,8.55,6.51,4.38,4.98,55703,1.55,0,7.92,2.76
Paris,Provence-Alpes-Côte d'Azur,Normandie,46.968983,6.81,5.2,6.73,80,4.21,4.61,2024-06-18 00:00:00,Airparif,46.968983,2.420928,4.22,7.34,2024-11-06 00:00:00,6.66,4.26,4.61,Occitanie,8.6,1.48,1.29,70,2.420928,2024-12-18 00:00:00,1.69,2.81,3.54,2.21,1.64,173295,4.88,1,5.5,6.66
Lyon,Grand Est,Hauts-de-France,52.319793,1.88,2.52,7.19,80,7.68,6.98,2024-01-11 00:00:00,Data.gouv.fr,52.319793,1.596002,1.82,6.02,2024-07-06 00:00:00,6.9,4.16,5.63,Hauts-de-France,2.99,7.95,5.21,130,1.596002,2024-12-12 00:00:00,3.55,6.42,8.26,7.95,1.76,141423,3.34,NON,3.01,2.86
Strasbourg,Auvergne-Rhône-Alpes,Grand Est,48.683692,2.65,2.04,1.68,30,3.77,4.78,2024-09-12 00:00:00,Data.gouv.fr,48.683692,2.340679,7.15,4.85,2024-09-22 00:00:00,6.42,7.46,3.43,Hauts-de-France,6.44,3.48,8.14,45,2.340679,2024-08-09 00:00:00,5.26,6.42,8.7,3.88,2.01,98008,4.88,1,3.61,5.48
Paris,Normandie,Pays de la Loire,46.222058,7.13,4.94,3.83,45,3.71,1.82,2024-02-24 00:00:00,Data.gouv.fr,46.222058,1.420038,7.85,7.86,2024-04-10 00:00:00,7.5,2.87,2.08,Grand Est,3.51,3.72,3.21,110,1.420038,2024-02-26 00:00:00,4.33,5.97,7.54,3.01,8.23,8589,2.72,NON,3.95,4.4
Nice,Normandie,Grand Est,50.739114,5.31,8.48,3.48,130,5.73,3.96,2024-11-28 00:00:00,Airparif,50.739114,2.529771,7.56,2.04,2024-03-03 00:00:00,1.8,7.86,3.13,Bretagne,3.95,1.27,3.46,45,2.529771,2024-07-03 00:00:00,1.82,7.65,5.14,7.86,4.23,104436,5.28,1,1.97,2.7
Paris,Hauts-de-France,Normandie,51.699085,4.99,3.69,8.14,30,4.75,6.17,2024-07-20 00:00:00,Météo-France,51.699085,1.324662,1.88,8.73,2024-08-11 00:00:00,2.58,7.38,7.68,Bretagne,5.43,2.93,8.51,45,1.324662,2024-05-10 00:00:00,6.92,2.33,3.6,7.0,6.82,187289,2.51,OUI,4.2,3.02
Nantes,Occitanie,Hauts-de-France,51.537641,5.97,2.89,2.19,70,1.34,3.74,2024-08-20 00:00:00,Météo-France,51.537641,2.483907,7.33,4.0,2024-12-03 00:00:00,1.63,7.92,8.04,Auvergne-Rhône-Alpes,1.79,5.5,7.51,30,2.483907,2024-06-24 00:00:00,7.11,7.63,3.07,4.16,4.57,18666,8.74,1,6.05,2.57
Lille,Bretagne,Pays de la Loire,51.451285,5.41,6.4,2.18,30,3.18,8.45,2024-04-14 00:00:00,RATP_Open_Data_2024,51.451285,3.628429,1.91,4.23,2024-07-02 00:00:00,8.17,4.25,4.27,Île-de-France,5.18,6.7,7.02,110,3.628429,2024-10-04 00:00:00,1.23,2.71,7.02,1.24,2.22,62626,1.43,OUI,8.22,2.5
Lille,Normandie,Normandie,52.154445,5.64,4.14,2.17,70,8.09,6.44,2024-06-17 00:00:00,RATP_Open_Data_2024,52.154445,5.634302,2.42,6.28,2024-09-04 00:00:00,2.5,1.48,2.47,Hauts-de-France,1.95,3.74,3.55,70,5.634302,2024-07-07 00:00:00,7.86,4.28,6.19,7.42,3.22,55493,3.36,1,5.43,6.8
Toulouse,Provence-Alpes-Côte d'Azur,Occitanie,48.299731,8.64,1.74,7.03,130,6.69,5.77,2024-08-27 00:00:00,Météo-France,48.299731,4.440879,7.34,4.55,2024-01-09 00:00:00,2.47,8.2,7.7,Nouvelle-Aquitaine,4.82,1.47,5.81,30,4.440879,2024-12-06 00:00:00,3.01,3.89,4.15,8.26,8.54,13895,6.86,1,5.81,7.71
Bordeaux,Grand Est,Auvergne-Rhône-Alpes,47.276161,2.04,4.42,3.22,30,5.43,6.08,2024-09-04 00:00:00,Météo-France,47.276161,-0.293081,6.7,1.88,2024-12-06 00:00:00,6.32,8.39,8.03,Pays de la Loire,2.09,1.33,3.89,70,-0.293081,2024-11-21 00:00:00,3.62,2.79,4.02,4.01,2.84,118318,1.22,0,4.52,7.56
Marseille,Grand Est,Occitanie,51.423248,3.24,4.82,7.97,45,4.8,8.01,2024-08-06 00:00:00,Data.gouv.fr,51.423248,0.068692,7.69,4.51,2024-05-02 00:00:00,3.97,5.55,6.6,Grand Est,8.69,5.45,1.61,70,0.068692,2024-04-19 00:00:00,6.81,5.25,2.01,7.04,3.98,145487,6.28,1,5.47,6.18
Paris,Pays de la Loire,Bretagne,51.983757,4.76,4.34,6.65,110,2.81,3.47,2024-01-15 00:00:00,Airparif,51.983757,3.313691,1.47,7.19,2024-06-08 00:00:00,7.67,6.03,3.77,Île-de-France,2.61,5.78,3.12,45,3.313691,2024-02-12 00:00:00,1.34,7.26,1.6,6.78,6.69,154450,3.03,NON,4.11,8.27
Strasbourg,Provence-Alpes-Côte d'Azur,Nouvelle-Aquitaine,46.557371,5.94,7.06,4.48,45,8.26,4.03,2024-08-11 00:00:00,Météo-France,46.557371,3.948734,2.27,8.22,2024-07-23 00:00:00,1.55,7.35,7.54,Provence-Alpes-Côte d'Azur,5.02,5.71,3.99,30,3.948734,2024-09-21 00:00:00,8.44,7.41,7.96,6.28,3.32,137645,2.27,OUI,2.22,4.08
Lyon,Île-de-France,Normandie,46.722,2.89,6.48,6.34,45,6.98,7.36,2024-11-22 00:00:00,Data.gouv.fr,46.722,0.872472,6.91,5.59,2024-11-28 00:00:00,7.98,3.36,8.56,Hauts-de-France,4.64,6.8,4.36,110,0.872472,2024-04-28 00:00:00,8.46,6.81,6.87,4.46,4.59,67993,6.37,OUI,3.48,1.96
Nantes,Normandie,Provence-Alpes-Côte d'Azur,49.511516,8.72,8.2,2.03,30,5.15,6.15,2024-05-18 00:00:00,Data.gouv.fr,49.511516,-1.379217,5.14,3.0,2024-12-20 00:00:00,6.21,3.46,7.24,Normandie,3.57,1.24,2.34,50,-1.379217,2024-12-24 00:00:00,5.25,5.96,4.57,8.47,3.07,130206,7.13,OUI,3.34,7.3
Lille,Nouvelle-Aquitaine,Grand Est,51.914841,2.5,5.66,4.77,80,1.42,5.45,2024-11-19 00:00:00,Data.gouv.fr,51.914841,2.71933,8.0,1.83,2024-06-02 00:00:00,8.67,2.71,1.61,Nouvelle-Aquitaine,7.84,1.27,7.15,110,2.71933,2024-04-22 00:00:00,7.05,5.3,7.42,2.85,1.26,186232,5.68,OUI,3.14,3.81
Toulouse,Auvergne-Rhône-Alpes,Pays de la Loire,52.537141,4.37,2.99,2.84,50,1.28,5.19,2024-11-06 00:00:00,Météo-France,52.537141,0.803036,8.59,1.6,2024-08-18 00:00:00,6.44,1.53,7.68,Pays de la Loire,5.56,3.82,4.04,45,0.803036,2024-11-22 00:00:00,5.13,8.6,4.87,3.95,5.76,122790,8.46,OUI,6.37,3.31
Lyon,Île-de-France,Nouvelle-Aquitaine,47.706615,5.34,6.43,7.4,45,1.69,1.47,2024-02-18 00:00:00,SNCF_Open_Data,47.706615,1.639111,7.17,3.8,2024-03-19 00:00:00,7.7,5.74,7.56,Nouvelle-Aquitaine,8.1,5.6,3.92,70,1.639111,2024-11-03 00:00:00,2.96,7.61,4.23,2.27,8.56,54663,4.25,0,8.36,3.37
Lyon,Auvergne-Rhône-Alpes,Normandie,49.283845,5.14,6.48,4.93,130,5.58,5.73,2024-09-27 00:00:00,Airparif,49.283845,5.671935,3.92,6.77,2024-07-11 00:00:00,1.24,3.91,8.79,Pays de la Loire,8.45,6.25,2.65,50,5.671935,2024-07-10 00:00:00,8.36,4.03,3.64,7.34,4.71,142886,2.54,NON,8.73,2.91
Lille,Hauts-de-France,Auvergne-Rhône-Alpes,45.751543,7.43,6.05,7.54,110,2.92,8.79,2024-03-12 00:00:00,Airparif,45.751543,-0.49787,4.04,7.38,2024-03-23 00:00:00,3.13,3.76,3.91,Normandie,2.91,5.16,3.81,70,-0.49787,2024-11-03 00:00:00,4.88,2.99,1.77,6.17,2.26,150194,4.28,NON,2.62,6.46
Toulouse,Nouvelle-Aquitaine,Grand Est,46.801522,1.36,4.68,3.17,70,1.88,2.07,2024-09-24 00:00:00,RATP_Open_Data_2024,46.801522,3.165913,3.87,7.58,2024-02-01 00:00:00,4.45,3.71,2.31,Bretagne,3.94,6.35,8.51,80,3.165913,2024-09-08 00:00:00,7.49,5.18,4.09,4.46,5.21,164856,2.25,NON,4.49,1.35
Montpellier,Occitanie,Auvergne-Rhône-Alpes,47.356468,4.72,3.08,1.75,45,1.72,4.17,2024-06-18 00:00:00,Data.gouv.fr,47.356468,2.268564,4.85,6.44,2024-11-27 00:00:00,8.39,5.97,3.53,Auvergne-Rhône-Alpes,1.59,4.97,7.48,45,2.268564,2024-09-07 00:00:00,5.09,5.87,2.58,7.4,4.19,17293,6.3,NON,7.22,4.96
Strasbourg,Île-de-France,Normandie,52.824552,2.94,1.39,7.18,30,4.28,3.45,2024-12-17 00:00:00,SNCF_Open_Data,52.824552,5.890307,7.17,5.03,2024-11-22 00:00:00,1.51,4.0,1.8,Hauts-de-France,4.2,6.38,5.39,30,5.890307,2024-06-16 00:00:00,2.69,6.96,4.76,3.53,5.88,197119,1.97,0,5.04,3.13
Nice,Hauts-de-France,Bretagne,47.025231,4.47,7.38,4.05,50,7.75,7.75,2024-09-22 00:00:00,Data.gouv.fr,47.025231,5.35757,8.31,1.4,2024-08-28 00:00:00,5.86,3.81,4.16,Nouvelle-Aquitaine,8.47,8.29,8.26,110,5.35757,2024-09-20 00:00:00,3.64,8.09,4.03,6.91,2.59,26398,3.48,1,5.84,5.07
Bordeaux,Provence-Alpes-Côte d'Azur,Auvergne-Rhône-Alpes,50.562225,2.55,5.85,8.32,50,6.37,7.34,2024-05-24 00:00:00,SNCF_Open_Data,50.562225,2.783708,8.26,8.8,2024-05-08 00:00:00,7.78,3.98,4.32,Auvergne-Rhône-Alpes,1.96,4.78,7.82,130,2.783708,2024-10-16 00:00:00,4.01,5.83,3.68,4.31,7.02,17794,1.78,OUI,4.12,3.98
Bordeaux,Provence-Alpes-Côte d'Azur,Normandie,51.719674,4.07,5.06,3.77,110,2.51,7.27,2024-11-01 00:00:00,Data.gouv.fr,51.719674,-1.368841,3.11,5.56,2024-04-14 00:00:00,1.83,4.8,5.3,Auvergne-Rhône-Alpes,7.74,8.46,2.34,80,-1.368841,2024-06-01 00:00:00,3.15,1.68,4.7,3.22,6.72,118981,6.61,NON,3.45,8.63
Nice,Île-de-France,Occitanie,45.975348,7.03,8.17,1.41,110,5.76,7.79,2024-02-24 00:00:00,Data.gouv.fr,45.975348,3.890915,6.73,7.11,2024-02-05 00:00:00,5.19,7.19,4.27,Hauts-de-France,8.41,5.83,5.93,110,3.890915,2024-04-27 00:00:00,4.36,8.55,7.86,6.32,2.63,7249,7.95,OUI,7.58,5.06
